preamble,stimulus,is_correct,subject,stimulus_prob
"Which statement best explains the purpose of Hart's distinction between 'being obliged' and 'having an obligation'? (A) It illuminates the concept of a rule. (B) It demonstrates the difference between the internal and the external aspect of a rule. (C) It refutes the natural lawyer' view of the role of morality in law. (D) It explains the nature of power-conferring rules.. Of the answer choices above, the best answer choice is (",A,1,jurisprudence,[-5.810866355895996]
"Which statement best explains the purpose of Hart's distinction between 'being obliged' and 'having an obligation'? (A) It illuminates the concept of a rule. (B) It demonstrates the difference between the internal and the external aspect of a rule. (C) It refutes the natural lawyer' view of the role of morality in law. (D) It explains the nature of power-conferring rules.. Of the answer choices above, the best answer choice is (",B,0,jurisprudence,[-6.037428855895996]
"Which statement best explains the purpose of Hart's distinction between 'being obliged' and 'having an obligation'? (A) It illuminates the concept of a rule. (B) It demonstrates the difference between the internal and the external aspect of a rule. (C) It refutes the natural lawyer' view of the role of morality in law. (D) It explains the nature of power-conferring rules.. Of the answer choices above, the best answer choice is (",C,0,jurisprudence,[-6.592116355895996]
"Which statement best explains the purpose of Hart's distinction between 'being obliged' and 'having an obligation'? (A) It illuminates the concept of a rule. (B) It demonstrates the difference between the internal and the external aspect of a rule. (C) It refutes the natural lawyer' view of the role of morality in law. (D) It explains the nature of power-conferring rules.. Of the answer choices above, the best answer choice is (",D,0,jurisprudence,[-6.615553855895996]
"Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way? (A) His concept of status is misrepresented. (B) It is misinterpreted as a prediction. (C) It is taken literally. (D) His idea is considered inapplicable to Western legal systems.. Of the answer choices above, the best answer choice is (",A,0,jurisprudence,[-6.1907548904418945]
"Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way? (A) His concept of status is misrepresented. (B) It is misinterpreted as a prediction. (C) It is taken literally. (D) His idea is considered inapplicable to Western legal systems.. Of the answer choices above, the best answer choice is (",B,1,jurisprudence,[-6.8235673904418945]
"Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way? (A) His concept of status is misrepresented. (B) It is misinterpreted as a prediction. (C) It is taken literally. (D) His idea is considered inapplicable to Western legal systems.. Of the answer choices above, the best answer choice is (",C,0,jurisprudence,[-7.0423173904418945]
"Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way? (A) His concept of status is misrepresented. (B) It is misinterpreted as a prediction. (C) It is taken literally. (D) His idea is considered inapplicable to Western legal systems.. Of the answer choices above, the best answer choice is (",D,0,jurisprudence,[-7.1516923904418945]
"Which of the following factors contributed significantly to the revival of natural law in the 20th century? (A) Depression of the 1930 (B) The rise of Fascism (C) The international recognition of human rights after World War II (D) The Bolshevik Revolution. Of the answer choices above, the best answer choice is (",A,0,jurisprudence,[-6.3897809982299805]
"Which of the following factors contributed significantly to the revival of natural law in the 20th century? (A) Depression of the 1930 (B) The rise of Fascism (C) The international recognition of human rights after World War II (D) The Bolshevik Revolution. Of the answer choices above, the best answer choice is (",B,0,jurisprudence,[-6.6319684982299805]
