preamble,stimulus,is_correct,subject,stimulus_prob
"A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral (A) paralysis of the facial muscles. (B) paralysis of the facial muscles and loss of taste. (C) paralysis of the facial muscles, loss of taste and lacrimation. and (D) paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.. Of the answer choices above, answer (A) is the",best,1,anatomy,"[-2.035676956176758, -1.3264503479003906, -2.1156845092773438, -1.755910873413086, -1.7503490447998047, -2.118314743041992, -1.287546157836914, -1.3994636535644531, -2.532114028930664, -1.085113525390625, -2.8440303802490234, -1.7698173522949219, -1.3607826232910156, -2.011859893798828, -2.048053741455078, -2.084339141845703, -0.987396240234375, -1.6378498077392578, -1.362203598022461, -1.0859661102294922, -1.4024734497070312, -2.1816787719726562, -1.4119491577148438, -1.0799846649169922, -1.4228954315185547, -1.3805618286132812, -1.1509895324707031, -1.2094783782958984, -1.7189788818359375, -1.3318767547607422, -1.1195526123046875, -2.1713027954101562, -1.968404769897461, -1.9955673217773438, -1.382833480834961, -1.376169204711914, -1.613595962524414, -1.7733612060546875, -1.4219970703125, -1.4769744873046875, -1.6613483428955078, -1.7312545776367188, -1.3462982177734375, -1.9054317474365234, -1.9139347076416016, -2.9604835510253906, -0.7210197448730469, -1.4685821533203125, -2.3215103149414062, -0.7601165771484375]"
"A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral (A) paralysis of the facial muscles. (B) paralysis of the facial muscles and loss of taste. (C) paralysis of the facial muscles, loss of taste and lacrimation. and (D) paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.. Of the answer choices above, answer (B) is the",best,0,anatomy,"[-2.6196060180664062, -1.0453529357910156, -1.3851642608642578, -1.5346393585205078, -0.49721717834472656, -1.3133258819580078, -1.4687728881835938, -1.4881229400634766, -2.520526885986328, -0.8664817810058594, -1.2933120727539062, -0.9808712005615234, -0.9541168212890625, -1.5019569396972656, -1.791116714477539, -1.5576457977294922, -0.9760284423828125, -1.0321464538574219, -0.9553508758544922, -2.2903671264648438, -1.7543716430664062, -0.9200839996337891, -1.7723274230957031, -1.0682239532470703, -1.7417583465576172, -1.4005565643310547, -2.034534454345703, -2.3359832763671875, -0.9930191040039062, -1.1469459533691406, -2.218729019165039, -1.729522705078125, -1.0868148803710938, -1.515005111694336, -1.2870960235595703, -1.310079574584961, -2.138805389404297, -1.4030094146728516, -1.0343704223632812, -1.5452938079833984, -0.8588294982910156, -1.0755729675292969, -1.6133480072021484, -2.0886287689208984, -1.761251449584961, -1.5008468627929688, -1.9927330017089844, -1.5061016082763672, -0.9163856506347656, -1.8158988952636719]"
"A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral (A) paralysis of the facial muscles. (B) paralysis of the facial muscles and loss of taste. (C) paralysis of the facial muscles, loss of taste and lacrimation. and (D) paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.. Of the answer choices above, answer (C) is the",best,0,anatomy,"[-1.3586444854736328, -1.4220542907714844, -1.197072982788086, -2.7828903198242188, -1.3801212310791016, -1.1427249908447266, -1.0550212860107422, -2.0430660247802734, -1.0540008544921875, -1.2827606201171875, -1.011617660522461, -2.1924076080322266, -2.0079078674316406, -1.9782848358154297, -1.9586029052734375, -1.2499561309814453, -1.9217605590820312, -1.6477699279785156, -0.7386531829833984, -2.6126174926757812, -1.8549633026123047, -1.4692344665527344, -1.6209278106689453, -1.5958118438720703, -2.1312179565429688, -1.0157089233398438, -1.6437950134277344, -2.074665069580078, -1.5248870849609375, -1.1973457336425781, -1.5961875915527344, -1.0348777770996094, -0.8714561462402344, -1.082254409790039, -1.5927543640136719, -1.7022933959960938, -1.4928627014160156, -1.6115341186523438, -2.8895931243896484, -1.0367603302001953, -0.8721351623535156, -1.0462818145751953, -1.6521282196044922, -1.6553688049316406, -0.9836978912353516, -1.5840892791748047, -2.3928794860839844, -0.8614788055419922, -1.5240345001220703, -0.7413711547851562]"
"A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral (A) paralysis of the facial muscles. (B) paralysis of the facial muscles and loss of taste. (C) paralysis of the facial muscles, loss of taste and lacrimation. and (D) paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.. Of the answer choices above, answer (D) is the",best,0,anatomy,"[-1.8473587036132812, -1.0716133117675781, -0.8421363830566406, -1.3593292236328125, -1.0832500457763672, -2.251779556274414, -1.6080360412597656, -1.2346611022949219, -1.8419551849365234, -1.2727336883544922, -1.5220394134521484, -11.472206115722656, -1.5310497283935547, -1.143331527709961, -1.4751873016357422, -1.4822750091552734, -1.6562480926513672, -1.3576316833496094, -1.0232582092285156, -2.321533203125, -0.7783966064453125, -1.030771255493164, -2.145587921142578, -1.8242721557617188, -1.9930000305175781, -1.550588607788086, -1.5339126586914062, -2.295368194580078, -1.9178314208984375, -1.8575477600097656, -0.7571544647216797, -1.449361801147461, -2.5711402893066406, -1.5997085571289062, -1.2606620788574219, -2.1559009552001953, -1.7470703125, -0.9046802520751953, -1.4670143127441406, -1.5664138793945312, -1.077413558959961, -0.5003089904785156, -2.450471878051758, -1.7306861877441406, -1.3636951446533203, -1.672698974609375, -1.5301094055175781, -0.5864906311035156, -1.4161014556884766, -1.1105270385742188]"
"A ""dished face"" profile is often associated with (A) a protruding mandible due to reactivation of the condylar cartilage by acromegaly. (B) a recessive maxilla due to failure of elongation of the cranial base. (C) an enlarged frontal bone due to hydrocephaly. and (D) defective development of the maxillary air sinus.. Of the answer choices above, answer (A) is the",best,0,anatomy,"[-1.2480297088623047, -1.355356216430664, -1.0674724578857422, -2.6145401000976562, -0.7727928161621094, -0.9118156433105469, -1.5733909606933594, -0.7334861755371094, -1.6797847747802734, -2.0731449127197266, -2.50498104095459, -0.8007907867431641, -0.4404468536376953, -1.1611690521240234, -2.229400634765625, -1.6348285675048828, -1.6846141815185547, -1.1574630737304688, -1.9386272430419922, -2.3133277893066406, -2.0785255432128906, -2.088613510131836, -2.012289047241211, -1.7810440063476562, -1.2055816650390625, -1.2797393798828125, -1.8923816680908203, -1.5407123565673828, -2.354778289794922, -0.8827018737792969, -0.9751205444335938, -1.0957317352294922, -1.671823501586914, -2.600627899169922, -1.7541980743408203, -1.6033496856689453, -1.0471916198730469, -1.4847640991210938, -1.2599525451660156, -1.247344970703125, -1.631317138671875, -1.852975845336914, -1.2834510803222656, -1.3381729125976562, -1.2296276092529297, -2.117807388305664, -1.0927295684814453, -1.4348678588867188, -1.6470279693603516, -1.7173385620117188]"
"A ""dished face"" profile is often associated with (A) a protruding mandible due to reactivation of the condylar cartilage by acromegaly. (B) a recessive maxilla due to failure of elongation of the cranial base. (C) an enlarged frontal bone due to hydrocephaly. and (D) defective development of the maxillary air sinus.. Of the answer choices above, answer (B) is the",best,1,anatomy,"[-1.1048507690429688, -1.4477500915527344, -1.2848587036132812, -1.4833965301513672, -2.0215015411376953, -1.4712066650390625, -0.9691276550292969, -0.7712135314941406, -1.2321815490722656, -1.4491596221923828, -0.5906181335449219, -1.3999443054199219, -0.8865222930908203, -2.4585132598876953, -1.9541168212890625, -1.5384025573730469, -1.0915050506591797, -1.4012126922607422, -0.9287776947021484, -1.9995098114013672, -0.9239730834960938, -1.4872627258300781, -1.2408447265625, -2.1939964294433594, -0.9567985534667969, -1.7035160064697266, -2.0546302795410156, -1.0202999114990234, -1.924509048461914, -1.387481689453125, -0.9478893280029297, -1.3810367584228516, -2.1426734924316406, -1.9674186706542969, -1.8021392822265625, -0.9455738067626953, -1.7355327606201172, -1.3853588104248047, -1.4776229858398438, -1.8331489562988281, -1.0680732727050781, -0.9017181396484375, -1.6399803161621094, -0.9505805969238281, -1.7857589721679688, -0.7708148956298828, -1.4593696594238281, -0.6310100555419922, -1.2438621520996094, -0.6961097717285156]"
"A ""dished face"" profile is often associated with (A) a protruding mandible due to reactivation of the condylar cartilage by acromegaly. (B) a recessive maxilla due to failure of elongation of the cranial base. (C) an enlarged frontal bone due to hydrocephaly. and (D) defective development of the maxillary air sinus.. Of the answer choices above, answer (C) is the",best,0,anatomy,"[-0.5942630767822266, -1.8293933868408203, -1.7202262878417969, -1.132089614868164, -1.468099594116211, -1.4250679016113281, -1.8073768615722656, -1.7814826965332031, -1.322225570678711, -2.0981674194335938, -1.66455078125, -1.6609210968017578, -2.7263145446777344, -2.067647933959961, -0.9164314270019531, -1.0251293182373047, -1.4402446746826172, -1.3157024383544922, -1.2660636901855469, -1.7950553894042969, -1.8909893035888672, -0.7976932525634766, -0.9134635925292969, -1.1023521423339844, -2.4274845123291016, -1.0171241760253906, -0.8638210296630859, -1.3342094421386719, -1.447286605834961, -0.9809055328369141, -1.890228271484375, -1.5011882781982422, -1.591775894165039, -1.4468097686767578, -1.9666938781738281, -0.851959228515625, -1.20361328125, -1.1932220458984375, -0.7401161193847656, -1.5015602111816406, -1.7627372741699219, -1.3148117065429688, -1.5685806274414062, -1.8800182342529297, -1.3493194580078125, -1.4782466888427734, -1.4102802276611328, -1.1253032684326172, -1.7882137298583984, -1.639944076538086]"
"A ""dished face"" profile is often associated with (A) a protruding mandible due to reactivation of the condylar cartilage by acromegaly. (B) a recessive maxilla due to failure of elongation of the cranial base. (C) an enlarged frontal bone due to hydrocephaly. and (D) defective development of the maxillary air sinus.. Of the answer choices above, answer (D) is the",best,0,anatomy,"[-0.7587261199951172, -1.5551280975341797, -1.2234687805175781, -0.5917339324951172, -1.4081993103027344, -1.754913330078125, -1.1623725891113281, -1.1131210327148438, -1.607168197631836, -1.2524032592773438, -1.0505256652832031, -2.0359039306640625, -2.020580291748047, -1.003875732421875, -2.1568641662597656, -2.1055564880371094, -1.0780563354492188, -1.4354476928710938, -1.7226581573486328, -1.5073680877685547, -1.3015556335449219, -1.7023239135742188, -3.1791000366210938, -1.7533817291259766, -2.311779022216797, -1.7006721496582031, -1.9053516387939453, -1.5966053009033203, -2.055543899536133, -1.700876235961914, -1.3481159210205078, -1.5364971160888672, -0.9485359191894531, -1.2319755554199219, -1.084909439086914, -1.5092754364013672, -1.2493438720703125, -2.5953636169433594, -1.1809272766113281, -2.363922119140625, -0.8370628356933594, -1.4274406433105469, -1.46728515625, -2.472879409790039, -1.6008434295654297, -0.8619747161865234, -1.079050064086914, -1.6001434326171875, -2.0088672637939453, -2.416034698486328]"
"Which of the following best describes the structure that collects urine in the body? (A) Bladder (B) Kidney (C) Ureter and (D) Urethra. Of the answer choices above, answer (A) is the",best,1,anatomy,"[-1.5695552825927734, -2.1547718048095703, -1.5298576354980469, -0.4901390075683594, -1.3967876434326172, -1.084573745727539, -2.187837600708008, -2.1032161712646484, -0.6880264282226562, -1.3361454010009766, -2.2673511505126953, -1.6334800720214844, -2.1256465911865234, -1.8719501495361328, -1.3887901306152344, -0.3597850799560547, -2.364133834838867, -0.8257350921630859, -1.347696304321289, -1.2791080474853516, -1.6305046081542969, -0.9940338134765625, -1.0021381378173828, -0.9396514892578125, -1.859395980834961, -0.8391265869140625, -0.6943378448486328, -2.6551761627197266, -0.9401912689208984, -0.9840469360351562, -1.054880142211914, -1.7772293090820312, -2.591968536376953, -0.9579429626464844, -1.6335277557373047, -1.1213111877441406, -0.5961704254150391, -1.2743606567382812, -0.6394863128662109, -1.4467124938964844, -0.9475860595703125, -1.3741779327392578, -0.8449974060058594, -0.9725189208984375, -0.8233127593994141, -2.588634490966797, -1.3984050750732422, -0.9987583160400391, -0.8288841247558594, -1.9591350555419922]"
"Which of the following best describes the structure that collects urine in the body? (A) Bladder (B) Kidney (C) Ureter and (D) Urethra. Of the answer choices above, answer (B) is the",best,0,anatomy,"[-1.2232418060302734, -0.5684490203857422, -0.9997043609619141, -1.3977546691894531, -1.124908447265625, -2.0414180755615234, -1.470163345336914, -1.1353473663330078, -2.3913516998291016, -0.5881443023681641, -0.5101222991943359, -0.7294235229492188, -1.0340023040771484, -1.2866458892822266, -1.1427860260009766, -2.466167449951172, -1.611917495727539, -2.229635238647461, -1.2938880920410156, -1.8080730438232422, -1.1973552703857422, -1.9486446380615234, -1.0971813201904297, -2.5557117462158203, -0.9982700347900391, -1.8009567260742188, -1.3606014251708984, -1.9551277160644531, -0.8362503051757812, -0.8099231719970703, -1.0009098052978516, -2.070608139038086, -0.7316608428955078, -0.9021186828613281, -1.7001914978027344, -1.4990863800048828, -1.7368698120117188, -0.771881103515625, -1.1755905151367188, -1.9268798828125, -0.8528175354003906, -0.6404209136962891, -1.8150615692138672, -0.9070224761962891, -0.6758270263671875, -12.57841682434082, -2.0567264556884766, -0.4971351623535156, -1.7051830291748047, -1.0644721984863281]"
