preamble,stimulus,is_correct,subject,stimulus_prob
"What is true for a type-Ia (""type one-a"") supernova? (A) This type occurs in binary systems. (B) This type occurs in young galaxies. (C) This type produces gamma-ray bursts. and (D) This type produces high amounts of X-rays.. Of the answer choices above, answer (A) is the",best,1,astronomy,"[-1.8550128936767578, -1.8075714111328125, -1.2715320587158203, -1.2278213500976562, -2.3306140899658203, -1.7079582214355469, -1.168081283569336, -1.123067855834961, -1.0520858764648438, -1.1985397338867188, -1.2217521667480469, -1.5135669708251953, -2.439535140991211, -0.8995418548583984, -1.0400028228759766, -1.6590728759765625, -2.284006118774414, -1.153921127319336, -0.9279422760009766, -1.4166851043701172, -1.5291900634765625, -0.8874740600585938, -1.0784988403320312, -1.040109634399414, -2.272167205810547, -1.5480937957763672, -1.4561481475830078, -0.7470188140869141, -1.5024261474609375, -2.019287109375, -1.3695831298828125, -1.430450439453125, -1.7654228210449219, -2.0966796875, -2.2164249420166016, -1.8338279724121094, -2.3575668334960938, -1.10809326171875, -2.0629730224609375, -1.8807640075683594, -1.42724609375, -0.8094463348388672, -0.9865436553955078, -1.1375770568847656, -0.7350692749023438, -0.8670005798339844, -2.382412910461426, -1.7727489471435547, -2.005899429321289, -1.5797805786132812]"
"What is true for a type-Ia (""type one-a"") supernova? (A) This type occurs in binary systems. (B) This type occurs in young galaxies. (C) This type produces gamma-ray bursts. and (D) This type produces high amounts of X-rays.. Of the answer choices above, answer (B) is the",best,0,astronomy,"[-1.004974365234375, -1.616790771484375, -2.068571090698242, -1.0178546905517578, -2.0441112518310547, -0.7724704742431641, -1.3468132019042969, -0.7880592346191406, -1.8251800537109375, -2.3033294677734375, -0.9643878936767578, -1.362051010131836, -1.1552543640136719, nan, -1.4771728515625, -1.907369613647461, -1.6136016845703125, -1.9488849639892578, -1.2527580261230469, -0.9280433654785156, -1.9088096618652344, -2.1074752807617188, -0.9241561889648438, -1.307107925415039, -1.6276607513427734, -0.9473609924316406, -1.1403255462646484, -1.6996192932128906, -1.0887012481689453, -1.0279903411865234, -0.8434009552001953, -1.6352272033691406, -1.6443901062011719, -0.9822406768798828, -1.5225791931152344, -1.311370849609375, -1.41876220703125, -1.5152587890625, -2.040621757507324, -1.4240493774414062, nan, -1.8476085662841797, -1.0577831268310547, -1.4001502990722656, -2.3969860076904297, -1.8245201110839844, -1.030679702758789, -1.3913326263427734, -1.0810546875, -0.88671875]"
"What is true for a type-Ia (""type one-a"") supernova? (A) This type occurs in binary systems. (B) This type occurs in young galaxies. (C) This type produces gamma-ray bursts. and (D) This type produces high amounts of X-rays.. Of the answer choices above, answer (C) is the",best,0,astronomy,"[-1.9681663513183594, -1.0061588287353516, -1.2490272521972656, -1.9421100616455078, -1.1842327117919922, -1.3028697967529297, -1.8153514862060547, -0.7467937469482422, -2.165874481201172, -0.6459102630615234, -1.6161918640136719, -2.278411865234375, -0.6116600036621094, -2.5136375427246094, -1.2552909851074219, -2.7093887329101562, -1.3686695098876953, -1.204498291015625, -1.6246147155761719, -1.594778060913086, -2.579533576965332, -1.3662853240966797, -1.5898876190185547, -1.126424789428711, -1.3435020446777344, -2.0568275451660156, -1.03643798828125, -1.0380687713623047, -0.9791755676269531, -2.473752975463867, -1.8932323455810547, -1.5775413513183594, -1.312967300415039, -1.830662727355957, -1.3268308639526367, -1.974574089050293, -2.4845657348632812, -1.6624259948730469, -1.0287609100341797, -1.3703174591064453, -1.389129638671875, -1.5321483612060547, -1.3241405487060547, -1.5680656433105469, -1.388101577758789, -0.9089756011962891, -1.5383014678955078, -1.6361818313598633, -2.318690299987793, -1.9095897674560547]"
"What is true for a type-Ia (""type one-a"") supernova? (A) This type occurs in binary systems. (B) This type occurs in young galaxies. (C) This type produces gamma-ray bursts. and (D) This type produces high amounts of X-rays.. Of the answer choices above, answer (D) is the",best,0,astronomy,"[-2.4369983673095703, -1.9638633728027344, -1.8341655731201172, -1.2127513885498047, -1.6953887939453125, -1.5468406677246094, -1.0400009155273438, -1.2487144470214844, -1.1715202331542969, -1.5898284912109375, -1.260894775390625, -1.0071182250976562, -2.3130111694335938, -2.0458507537841797, -1.4940109252929688, -1.6274776458740234, -1.8742752075195312, -1.7459545135498047, -1.4047088623046875, -2.467447280883789, -1.947347640991211, -1.9442691802978516, -2.595296859741211, -1.5721912384033203, -1.4299278259277344, -2.125223159790039, -2.0183792114257812, -1.8104248046875, -0.9276275634765625, -1.9083499908447266, -2.393967628479004, -1.7079429626464844, -2.031370162963867, -1.7537212371826172, -2.3641204833984375, -2.5737714767456055, -1.9974288940429688, -1.321432113647461, -2.613255500793457, -0.6606006622314453, -1.4963760375976562, -2.044370651245117, -1.6343021392822266, -1.1001472473144531, -0.815582275390625, -1.6198501586914062, -1.654317855834961, -2.802164077758789, -0.912017822265625, -2.9555740356445312]"
"If you know both the actual brightness of an object and its apparent brightness from your location then with no other information you can estimate: (A) Its speed relative to you (B) Its composition (C) Its size and (D) Its distance from you. Of the answer choices above, answer (A) is the",best,0,astronomy,"[-3.2956600189208984, -2.942150115966797, -2.6966171264648438, -3.696004867553711, -3.1365299224853516, -3.4287471771240234, -3.7333831787109375, -3.2412490844726562, -3.629467010498047, -2.9626922607421875, -3.6458358764648438, -3.088489532470703, -2.4835071563720703, -2.9321117401123047, -3.658214569091797, -3.451152801513672, -2.8540287017822266, -2.351388931274414, -4.879674911499023, -3.630581855773926, -2.673227310180664, -3.2396297454833984, -3.185302734375, -3.605548858642578, -3.282146453857422, -2.832608222961426, -2.3873138427734375, -4.275508880615234, nan, -3.89178466796875, -3.4995040893554688, -3.602447509765625, -2.6805057525634766, -2.938169479370117, -2.229421615600586, -3.790729522705078, -3.028989791870117, -4.042734146118164, -4.094745635986328, -3.1379432678222656, -3.540843963623047, -2.578310966491699, nan, -2.0636768341064453, -3.7394886016845703, -3.3717613220214844, -2.603109359741211, -2.9188613891601562, -2.8175048828125, -3.3393001556396484]"
"If you know both the actual brightness of an object and its apparent brightness from your location then with no other information you can estimate: (A) Its speed relative to you (B) Its composition (C) Its size and (D) Its distance from you. Of the answer choices above, answer (B) is the",best,0,astronomy,"[-2.3527870178222656, -2.718639373779297, -3.021587371826172, -2.9771862030029297, -2.8422412872314453, -2.553647994995117, -3.0699119567871094, -2.0249176025390625, -3.1540184020996094, -3.1702747344970703, -3.0207290649414062, -3.448444366455078, -3.4893531799316406, -2.6514015197753906, -2.9999399185180664, -2.543233871459961, -2.8778324127197266, -3.8476457595825195, -3.350168228149414, nan, -2.678926467895508, -3.7290802001953125, -2.8396968841552734, -3.0908031463623047, -3.3642234802246094, -3.397235870361328, -3.015625, -3.1676692962646484, -3.9927539825439453, -3.4837703704833984, -3.5176258087158203, -3.3133468627929688, -3.0616016387939453, -2.1040000915527344, -3.3605880737304688, -3.503183364868164, -3.1256847381591797, -3.547281265258789, -2.895059585571289, -2.4371414184570312, -3.215860366821289, -2.383554458618164, -2.791095733642578, -3.280538558959961, -3.8483200073242188, -2.768800735473633, -3.9824905395507812, -3.025186538696289, -3.4086761474609375, -2.8637924194335938]"
"If you know both the actual brightness of an object and its apparent brightness from your location then with no other information you can estimate: (A) Its speed relative to you (B) Its composition (C) Its size and (D) Its distance from you. Of the answer choices above, answer (C) is the",best,0,astronomy,"[-3.320056915283203, -3.1006908416748047, -3.748682975769043, -2.8362464904785156, -2.7953243255615234, -3.4717559814453125, -3.0852127075195312, -2.855426788330078, -3.991109848022461, -3.8125219345092773, -2.729900360107422, -2.8026046752929688, -2.212985038757324, -2.6773977279663086, -2.7707653045654297, -3.384685516357422, -3.162515640258789, -2.5975189208984375, -2.912839889526367, -4.079839706420898, -2.522587776184082, -3.3021488189697266, -4.582794189453125, -3.7625904083251953, -3.280977249145508, -2.910551071166992, -2.9420461654663086, -3.7998008728027344, -2.814332962036133, -3.7349815368652344, -2.306004524230957, -2.5696353912353516, -3.8551998138427734, -3.0667591094970703, -3.489630699157715, -3.505311965942383, -3.4288387298583984, -3.6470184326171875, -4.144802093505859, -2.5999412536621094, -3.637866973876953, -3.464191436767578, -2.878141403198242, -3.172426223754883, -2.8265151977539062, -2.8018722534179688, -3.851491928100586, -3.0927734375, -2.295330047607422, -3.451702117919922]"
"If you know both the actual brightness of an object and its apparent brightness from your location then with no other information you can estimate: (A) Its speed relative to you (B) Its composition (C) Its size and (D) Its distance from you. Of the answer choices above, answer (D) is the",best,1,astronomy,"[-3.515700340270996, -3.4618873596191406, -3.386615753173828, -2.740324020385742, -3.1235227584838867, -3.4621009826660156, -3.1896896362304688, -3.6110401153564453, -3.327930450439453, -3.4049072265625, -3.587566375732422, -2.3559579849243164, -3.1091480255126953, -2.458047866821289, -3.9109134674072266, -3.0681591033935547, -4.417633056640625, -2.8763809204101562, -4.099920272827148, -3.4103994369506836, -3.161500930786133, -3.4743213653564453, -3.828472137451172, -4.395740509033203, -2.5004329681396484, -3.2481212615966797, -3.8492774963378906, -3.373544692993164, -2.895404815673828, -3.149251937866211, -3.410177230834961, -3.655527114868164, -3.066141128540039, -2.793529510498047, -3.3063316345214844, -3.6065855026245117, -3.977182388305664, -3.274433135986328, -2.2097625732421875, -3.612865447998047, -3.1985549926757812, -3.0061893463134766, -3.152202606201172, -3.2699413299560547, -4.064750671386719, -4.297296524047852, -2.3711090087890625, -4.438444137573242, -4.047634124755859, -3.1620521545410156]"
"Why is the sky blue? (A) Because the molecules that compose the Earth's atmosphere have a blue-ish color. (B) Because the sky reflects the color of the Earth's oceans. (C) Because the atmosphere preferentially scatters short wavelengths. and (D) Because the Earth's atmosphere preferentially absorbs all other colors.. Of the answer choices above, answer (A) is the",best,0,astronomy,"[-0.8876056671142578, -1.1289482116699219, -2.5471935272216797, -1.5815315246582031, -1.192190170288086, -1.9758358001708984, -1.0866985321044922, -1.0019187927246094, -0.9495334625244141, -1.2600183486938477, -0.9048995971679688, -0.7729244232177734, -1.323720932006836, -1.4678630828857422, -1.6676654815673828, -1.0005073547363281, -1.4735145568847656, -1.4781951904296875, -0.8948593139648438, -1.040700912475586, -1.0955314636230469, -0.4378070831298828, -1.2553977966308594, -1.3520355224609375, -1.6867198944091797, -0.7062644958496094, -1.1132755279541016, -1.1869430541992188, -0.4104175567626953, -1.012044906616211, -1.5722007751464844, -1.237478256225586, -1.5406036376953125, -1.4106597900390625, -1.0217933654785156, -0.2182140350341797, -1.068572998046875, -1.0144309997558594, -1.3725528717041016, -0.3371868133544922, -1.1244983673095703, -1.8868408203125, -0.8487873077392578, -2.4415149688720703, -1.0935077667236328, -1.4340953826904297, -2.3399429321289062, -1.3015727996826172, -1.491373062133789, -1.1971321105957031]"
"Why is the sky blue? (A) Because the molecules that compose the Earth's atmosphere have a blue-ish color. (B) Because the sky reflects the color of the Earth's oceans. (C) Because the atmosphere preferentially scatters short wavelengths. and (D) Because the Earth's atmosphere preferentially absorbs all other colors.. Of the answer choices above, answer (B) is the",best,0,astronomy,"[-1.63250732421875, -1.1951751708984375, -1.7085800170898438, -1.1162662506103516, -1.9762401580810547, -1.0299663543701172, -1.6968669891357422, -3.1930770874023438, -1.2589473724365234, -1.4385795593261719, -0.8604049682617188, -0.6105461120605469, -0.8553676605224609, -1.2071094512939453, -1.9174041748046875, -1.7037391662597656, -0.9696426391601562, -1.2559337615966797, -1.5015621185302734, -1.4696941375732422, -0.1614818572998047, -1.251058578491211, -1.5196800231933594, -0.8407058715820312, -2.3676090240478516, -0.4327983856201172, -2.283334732055664, -1.6494312286376953, -1.0362892150878906, -1.2955169677734375, -0.7531299591064453, -1.7036762237548828, -1.1247329711914062, -1.8554878234863281, -1.2752609252929688, -0.3096942901611328, -1.6286544799804688, -0.8447856903076172, -1.0279350280761719, -2.1640357971191406, -0.2667827606201172, -1.6589641571044922, -1.4902210235595703, -1.0528736114501953, -0.8299045562744141, -0.9828033447265625, -1.6377735137939453, -1.6479911804199219, -1.84747314453125, -1.8403511047363281]"
"Why is the sky blue? (A) Because the molecules that compose the Earth's atmosphere have a blue-ish color. (B) Because the sky reflects the color of the Earth's oceans. (C) Because the atmosphere preferentially scatters short wavelengths. and (D) Because the Earth's atmosphere preferentially absorbs all other colors.. Of the answer choices above, answer (C) is the",best,1,astronomy,"[-0.9048213958740234, -1.0464801788330078, -0.787139892578125, -1.2610950469970703, -1.3543052673339844, -1.74835205078125, -1.6116981506347656, -1.6387481689453125, -1.1846981048583984, -1.2774085998535156, -1.0303001403808594, -0.8974781036376953, -0.8204059600830078, -2.0041751861572266, -0.4485321044921875, -0.8234004974365234, nan, -0.39699745178222656, nan, -3.3021202087402344, -2.2515621185302734, -1.0892314910888672, -1.458547592163086, -1.5292949676513672, -0.6030445098876953, -1.7772674560546875, -1.2101707458496094, -1.3902950286865234, nan, -1.89202880859375, -0.9605865478515625, -1.3979644775390625, -0.5131340026855469, -1.1814537048339844, -1.2852554321289062, -0.8076210021972656, -1.5970802307128906, -0.5140819549560547, -1.5057544708251953, -1.1529006958007812, -0.6439857482910156, -1.246368408203125, -0.7802200317382812, -0.799652099609375, -1.1269073486328125, -1.064493179321289, -1.226409912109375, -1.5988578796386719, -1.2533111572265625, -0.3903636932373047]"
"Why is the sky blue? (A) Because the molecules that compose the Earth's atmosphere have a blue-ish color. (B) Because the sky reflects the color of the Earth's oceans. (C) Because the atmosphere preferentially scatters short wavelengths. and (D) Because the Earth's atmosphere preferentially absorbs all other colors.. Of the answer choices above, answer (D) is the",best,0,astronomy,"[-1.1418743133544922, -1.2236404418945312, -1.093862533569336, -2.9371185302734375, -1.6480426788330078, -0.8873996734619141, -0.6276168823242188, -1.650857925415039, -1.7175674438476562, -1.1230716705322266, -1.5321769714355469, -1.3725032806396484, -1.9162254333496094, -1.941183090209961, -1.228109359741211, -1.6799945831298828, -0.9707145690917969, -1.1632080078125, -1.6460342407226562, -0.7993412017822266, -1.7350692749023438, -2.41400146484375, -1.7907047271728516, -1.3598766326904297, -1.1392669677734375, -0.8721828460693359, -1.1143207550048828, -1.5812740325927734, -2.3704967498779297, -1.532644271850586, -1.4723148345947266, -0.8577098846435547, -2.2722434997558594, -1.4709186553955078, -2.068492889404297, -1.5502376556396484, -1.4448909759521484, -1.071939468383789, -1.1642074584960938, -1.917205810546875, -1.1967048645019531, -1.6845474243164062, -0.9664306640625, -1.566488265991211, -0.3024883270263672, -2.4601497650146484, -0.9319648742675781, -1.7962703704833984, -1.3166847229003906, -1.973714828491211]"
"You’ve made a scientific theory that there is an attractive force between all objects. When will your theory be proven to be correct? (A) The first time you drop a bowling ball and it falls to the ground proving your hypothesis. (B) After you’ve repeated your experiment many times. (C) You can never prove your theory to be correct only “yet to be proven wrong”. and (D) When you and many others have tested the hypothesis.. Of the answer choices above, answer (A) is the",best,0,astronomy,"[-0.8486824035644531, -2.187053680419922, -1.30670166015625, -2.0671157836914062, -1.5983562469482422, -1.0999279022216797, -1.2095718383789062, -2.4202308654785156, -1.4249000549316406, -1.3139019012451172, -0.9075241088867188, -1.0799713134765625, -1.3748245239257812, -1.4822463989257812, -1.040679931640625, -1.2431659698486328, -0.6439380645751953, -2.011831283569336, -1.2150859832763672, -0.7441387176513672, -1.554494857788086, -1.1976566314697266, -3.039766311645508, -1.4911727905273438, -2.2678165435791016, -0.5249824523925781, -1.4819869995117188, -1.2355365753173828, -0.5864028930664062, -1.0212974548339844, -1.2826900482177734, -0.9814071655273438, -2.0588912963867188, -2.2923831939697266, -1.2398643493652344, -1.063547134399414, -1.8121185302734375, -1.4339866638183594, -1.4334907531738281, -0.7739181518554688, -0.9032974243164062, -1.1199874877929688, -0.7719211578369141, -1.4625225067138672, -0.49797630310058594, -2.499601364135742, -0.9341812133789062, -2.1902923583984375, -1.930257797241211, -1.1323280334472656]"
