preamble,stimulus,is_correct,subject,stimulus_prob
"_______ such as bitcoin are becoming increasingly mainstream and have a whole host of associated ethical implications, for example, they are______ and more ______. However, they have also been used to engage in _______. (A) Cryptocurrencies, Expensive, Secure, Financial Crime (B) Traditional currency, Cheap, Unsecure, Charitable giving (C) Cryptocurrencies, Cheap, Secure, Financial crime and (D) Traditional currency, Expensive, Unsecure, Charitable giving. Of the answer choices above, answer (A) is the",best,0,business_ethics,"[-9.433155059814453, -1.631622314453125, -9.994840621948242, -8.453475952148438, -1.7725934982299805, -2.1727991104125977, -2.7117319107055664, -2.143721580505371, -2.1539554595947266, -1.5241289138793945, -2.3617191314697266, -1.6756620407104492, -1.09197998046875, -1.9437637329101562, -1.8174381256103516, -2.1898813247680664, -2.3708410263061523, -2.0869293212890625, -1.6961889266967773, -1.4496116638183594, -1.7956123352050781, -2.7722654342651367, -1.858017921447754, -1.7693748474121094, -2.2627010345458984, -1.4499378204345703, -1.3526725769042969, -2.376946449279785, -1.0577983856201172, -1.837235450744629, -10.016519546508789, -1.8665380477905273, -1.5977296829223633, -1.4252986907958984, -1.9505729675292969, -1.3696012496948242, -1.3427200317382812, -2.583804130554199, -1.2396421432495117, -1.6549444198608398, -7.604190826416016, -1.9998292922973633, -2.100020408630371, -1.8456697463989258, -1.5637264251708984, -1.7271757125854492, -1.1245460510253906, -2.1212759017944336, -1.703592300415039, -1.817535400390625]"
"_______ such as bitcoin are becoming increasingly mainstream and have a whole host of associated ethical implications, for example, they are______ and more ______. However, they have also been used to engage in _______. (A) Cryptocurrencies, Expensive, Secure, Financial Crime (B) Traditional currency, Cheap, Unsecure, Charitable giving (C) Cryptocurrencies, Cheap, Secure, Financial crime and (D) Traditional currency, Expensive, Unsecure, Charitable giving. Of the answer choices above, answer (B) is the",best,0,business_ethics,"[-1.9448652267456055, -9.321565628051758, -10.88548469543457, -1.5215520858764648, -2.0061731338500977, -1.7567005157470703, -8.795398712158203, -2.5702552795410156, -1.8233642578125, -2.0053157806396484, -1.765228271484375, -1.6246252059936523, -2.22725772857666, -1.940037727355957, -1.7938690185546875, -0.9545402526855469, -2.43503475189209, -8.2881498336792, -2.055638313293457, -7.882957458496094, -2.4544801712036133, -2.303628921508789, -1.6528358459472656, -1.8742866516113281, -1.9234914779663086, -1.9619159698486328, -2.172647476196289, -1.8838624954223633, -2.2783498764038086, -2.335287094116211, -2.2065696716308594, -1.5967512130737305, -1.071183204650879, -1.900731086730957, -1.7051324844360352, -2.6376190185546875, -1.6060543060302734, -9.265981674194336, -1.5296850204467773, -7.3987884521484375, -2.424640655517578, -1.8400936126708984, -1.44720458984375, -2.279916763305664, -2.334488868713379, -1.5648212432861328, -2.2702770233154297, -1.8001289367675781, -1.5868616104125977, -2.169675827026367]"
"_______ such as bitcoin are becoming increasingly mainstream and have a whole host of associated ethical implications, for example, they are______ and more ______. However, they have also been used to engage in _______. (A) Cryptocurrencies, Expensive, Secure, Financial Crime (B) Traditional currency, Cheap, Unsecure, Charitable giving (C) Cryptocurrencies, Cheap, Secure, Financial crime and (D) Traditional currency, Expensive, Unsecure, Charitable giving. Of the answer choices above, answer (C) is the",best,1,business_ethics,"[-2.3860483169555664, -1.5701398849487305, -0.9516181945800781, -1.5422191619873047, -1.9948797225952148, -2.446377754211426, -1.7500429153442383, -1.1134376525878906, -1.9570198059082031, -1.482717514038086, -1.6233510971069336, -1.845128059387207, -0.9778966903686523, -9.986785888671875, -1.5950822830200195, -1.398270606994629, -1.4579153060913086, -1.8478364944458008, -1.878335952758789, -1.8389091491699219, -1.2520666122436523, -1.0559501647949219, -2.1801509857177734, -6.5452728271484375, -1.5113086700439453, -1.715907096862793, -2.0183582305908203, -2.017547607421875, -1.3740043640136719, -1.4915456771850586, -2.613734245300293, -2.4871692657470703, -1.8643074035644531, -1.6221017837524414, -1.9304637908935547, -1.1048660278320312, -1.7086095809936523, -1.237295150756836, -1.659799575805664, -0.9479951858520508, -1.6967248916625977, -1.5032281875610352, -1.374049186706543, -1.190821647644043, -1.8240737915039062, -2.3027124404907227, -7.280372619628906, -1.1346893310546875, -1.4005193710327148, -1.4270811080932617]"
"_______ such as bitcoin are becoming increasingly mainstream and have a whole host of associated ethical implications, for example, they are______ and more ______. However, they have also been used to engage in _______. (A) Cryptocurrencies, Expensive, Secure, Financial Crime (B) Traditional currency, Cheap, Unsecure, Charitable giving (C) Cryptocurrencies, Cheap, Secure, Financial crime and (D) Traditional currency, Expensive, Unsecure, Charitable giving. Of the answer choices above, answer (D) is the",best,0,business_ethics,"[-1.6003990173339844, -1.9389066696166992, -1.6969881057739258, -2.0027894973754883, -7.1424360275268555, -1.9395084381103516, -1.9092702865600586, -1.4637231826782227, -1.2719964981079102, -2.3511438369750977, -2.0924272537231445, -1.6336231231689453, -2.4994335174560547, -1.2314081192016602, -2.0213546752929688, -1.1708097457885742, -1.2268753051757812, -2.178619384765625, -2.4235048294067383, -1.7908687591552734, -3.334935188293457, -2.506601333618164, -1.4539871215820312, -1.8410120010375977, -1.8304071426391602, -1.5607738494873047, -2.130537986755371, -1.769113540649414, -1.3850860595703125, -1.6261005401611328, -1.99603271484375, -1.776956558227539, -2.265535354614258, -1.577310562133789, -1.8918285369873047, -2.1482973098754883, -2.1655616760253906, -1.795170783996582, -2.967700958251953, -1.9761524200439453, -2.7680397033691406, -1.8986845016479492, -2.076017379760742, -1.8864078521728516, -7.994834899902344, -2.0515594482421875, -2.2555789947509766, -2.119548797607422, -1.6414241790771484, -7.785824775695801]"
"Typical advertising regulatory bodies suggest, for example that adverts must not: encourage _________, cause unnecessary ________ or _____, and must not cause _______ offence. (A) Unsafe practices, Wants, Fear, Trivial (B) Unsafe practices, Distress, Fear, Serious (C) Safe practices, Wants, Jealousy, Trivial and (D) Safe practices, Distress, Jealousy, Serious. Of the answer choices above, answer (A) is the",best,0,business_ethics,"[-2.2927379608154297, -1.9910659790039062, -1.8788795471191406, -1.4939537048339844, -7.765585899353027, -1.4606266021728516, -1.4299087524414062, -2.531850814819336, -1.7759618759155273, -1.5638847351074219, -2.031813621520996, -9.242314338684082, -1.4861106872558594, -1.4853830337524414, -1.8812885284423828, -9.037364959716797, -1.360518455505371, -1.5876340866088867, -2.057785987854004, -1.355149269104004, -1.8237152099609375, -1.5114803314208984, -2.127992630004883, -1.7150096893310547, -1.3482990264892578, -2.201531410217285, -1.704960823059082, -1.6372203826904297, -1.6236772537231445, -1.6174907684326172, -1.8240280151367188, -7.75865364074707, -1.1530828475952148, -2.317350387573242, -10.504520416259766, -1.8338708877563477, -9.76051139831543, -1.6679420471191406, -1.9312610626220703, -8.951715469360352, -9.096196174621582, -1.811117172241211, -1.5512542724609375, -1.1050186157226562, -1.9914932250976562, -2.308699607849121, -2.689042091369629, -1.7642745971679688, -1.9114627838134766, -2.038494110107422]"
"Typical advertising regulatory bodies suggest, for example that adverts must not: encourage _________, cause unnecessary ________ or _____, and must not cause _______ offence. (A) Unsafe practices, Wants, Fear, Trivial (B) Unsafe practices, Distress, Fear, Serious (C) Safe practices, Wants, Jealousy, Trivial and (D) Safe practices, Distress, Jealousy, Serious. Of the answer choices above, answer (B) is the",best,1,business_ethics,"[-1.4578361511230469, -1.6343517303466797, -2.0868425369262695, -1.5135536193847656, -1.6791725158691406, -1.647873878479004, -2.1374874114990234, -1.8783798217773438, -1.8169174194335938, -1.9949207305908203, -2.0520143508911133, -10.510842323303223, -1.7031946182250977, -1.9548406600952148, -8.903267860412598, -2.4451675415039062, -9.768941879272461, -1.7025651931762695, -1.2628116607666016, -1.9103527069091797, -1.3324670791625977, -1.1559553146362305, -2.1124019622802734, -1.5755586624145508, -1.4338340759277344, -1.1389188766479492, -1.5349245071411133, -2.35659122467041, -1.9487028121948242, -2.1154937744140625, -1.5150489807128906, -9.174863815307617, -1.8248586654663086, -2.3116464614868164, -10.160881996154785, -1.4942169189453125, -1.7315101623535156, -1.4846830368041992, -2.3158693313598633, -1.5356359481811523, -1.8510608673095703, -1.4268779754638672, -1.4850902557373047, -1.4199600219726562, -1.5577917098999023, -1.6416263580322266, -1.8459911346435547, -2.224811553955078, -1.7731285095214844, -2.1884536743164062]"
"Typical advertising regulatory bodies suggest, for example that adverts must not: encourage _________, cause unnecessary ________ or _____, and must not cause _______ offence. (A) Unsafe practices, Wants, Fear, Trivial (B) Unsafe practices, Distress, Fear, Serious (C) Safe practices, Wants, Jealousy, Trivial and (D) Safe practices, Distress, Jealousy, Serious. Of the answer choices above, answer (C) is the",best,0,business_ethics,"[-1.4715690612792969, -1.9824657440185547, -1.8460350036621094, -1.946162223815918, -1.3827037811279297, -1.8820762634277344, -8.615629196166992, -1.507908821105957, -1.7376947402954102, -1.3828039169311523, -2.137502670288086, -1.7553720474243164, -1.6582365036010742, -2.1445140838623047, -1.978668212890625, -1.8563470840454102, -2.1658153533935547, -1.911677360534668, -1.8947381973266602, -2.149168014526367, -1.3830184936523438, -1.4791202545166016, -1.5934648513793945, -2.5071401596069336, -1.229970932006836, -8.996875762939453, -1.3310070037841797, -1.6296043395996094, -2.1703615188598633, -1.4612655639648438, -1.8609628677368164, -1.780552864074707, -2.312835693359375, -1.6951837539672852, -1.9170379638671875, -2.103179931640625, -1.945347785949707, -1.759866714477539, -1.5281009674072266, -2.084016799926758, -1.444005012512207, -1.6483879089355469, -1.8845548629760742, -2.247683525085449, -1.7061424255371094, -1.5118303298950195, -1.228144645690918, -1.7406911849975586, -2.0105342864990234, -2.4753780364990234]"
"Typical advertising regulatory bodies suggest, for example that adverts must not: encourage _________, cause unnecessary ________ or _____, and must not cause _______ offence. (A) Unsafe practices, Wants, Fear, Trivial (B) Unsafe practices, Distress, Fear, Serious (C) Safe practices, Wants, Jealousy, Trivial and (D) Safe practices, Distress, Jealousy, Serious. Of the answer choices above, answer (D) is the",best,0,business_ethics,"[-1.7089014053344727, -1.1478729248046875, -2.1277713775634766, -2.0444717407226562, -1.7818355560302734, -2.145829200744629, -2.343524932861328, -2.1085643768310547, -1.6819896697998047, -1.9719772338867188, -1.993520736694336, -2.926433563232422, -1.9902982711791992, -2.139349937438965, -2.77756404876709, -1.622842788696289, -2.3749475479125977, -1.3468866348266602, -9.153763771057129, -1.6346168518066406, -1.9079627990722656, -2.3252201080322266, -11.122621536254883, -1.3194923400878906, -2.0169429779052734, -2.2822751998901367, -7.996309280395508, -2.0203542709350586, -1.7186126708984375, -2.316957473754883, -1.1324491500854492, -1.8900127410888672, -2.1814889907836914, -1.6906509399414062, -1.7952690124511719, -2.12569522857666, -2.5463790893554688, -2.2663373947143555, -2.344097137451172, -2.2285900115966797, -1.3692913055419922, -2.0457592010498047, -2.004542350769043, -2.5612621307373047, -1.9904365539550781, -2.4302730560302734, -9.939708709716797, -2.076253890991211, -10.05540943145752, -1.7825345993041992]"
"______ are the obligations of workers towards their employer, based on individual contracts and wider employment laws. (A) Employee rights (B) Employee rights (C) Employer duties and (D) Employee duties. Of the answer choices above, answer (A) is the",best,0,business_ethics,"[-2.119229316711426, -1.9272375106811523, -1.7551212310791016, -1.9769697189331055, -1.6809825897216797, -2.421353340148926, -2.1473636627197266, -1.8110733032226562, -1.899404525756836, -1.493729591369629, -1.5650663375854492, -2.073253631591797, -2.2110776901245117, -2.217954635620117, -1.5724639892578125, -1.5782318115234375, -2.092681884765625, -10.61900520324707, -1.835911750793457, -1.8237247467041016, -1.1354904174804688, -2.3416242599487305, -2.375737190246582, -1.8819971084594727, -1.4307966232299805, -1.9457416534423828, -0.995762825012207, -1.8483219146728516, -9.135139465332031, -9.850173950195312, -1.6430530548095703, -1.7020998001098633, -1.3504762649536133, -1.4597845077514648, -6.56689453125, -1.8437576293945312, -2.4207725524902344, -1.2266130447387695, -2.294497489929199, -1.7525806427001953, -1.9123106002807617, -1.6875152587890625, -1.4916191101074219, -2.019451141357422, -1.8369770050048828, -1.9712963104248047, -2.452892303466797, -2.290353775024414, -1.8087501525878906, -2.628687858581543]"
"______ are the obligations of workers towards their employer, based on individual contracts and wider employment laws. (A) Employee rights (B) Employee rights (C) Employer duties and (D) Employee duties. Of the answer choices above, answer (B) is the",best,0,business_ethics,"[-1.9728212356567383, -1.9262809753417969, -2.0450525283813477, -1.7081127166748047, -12.144990921020508, -1.7097148895263672, -2.3743162155151367, -1.8789434432983398, -2.1526670455932617, -2.3011531829833984, -1.7086057662963867, -1.7086944580078125, -1.553182601928711, -1.7498912811279297, -1.443960189819336, -2.2947845458984375, -2.5981807708740234, -2.0519323348999023, -2.0427799224853516, -2.0862293243408203, -2.022258758544922, -1.8045148849487305, -1.7544174194335938, -1.7639408111572266, -7.583797454833984, -9.022635459899902, -9.676679611206055, -1.3095760345458984, -1.1056299209594727, -1.9525108337402344, -1.9102888107299805, -1.904541015625, -1.3660545349121094, -2.039299964904785, -1.9395818710327148, -1.8964347839355469, -8.031681060791016, -1.8621673583984375, -1.8418769836425781, -1.893228530883789, -8.565019607543945, -2.4354238510131836, -2.4167308807373047, -2.278249740600586, -8.884575843811035, -1.5195140838623047, -1.2088508605957031, -1.3149805068969727, -8.924241065979004, -10.254413604736328]"
