preamble,stimulus,is_correct,subject,stimulus_prob
"_______ such as bitcoin are becoming increasingly mainstream and have a whole host of associated ethical implications, for example, they are______ and more ______. However, they have also been used to engage in _______. (A) Cryptocurrencies, Expensive, Secure, Financial Crime (B) Traditional currency, Cheap, Unsecure, Charitable giving (C) Cryptocurrencies, Cheap, Secure, Financial crime and (D) Traditional currency, Expensive, Unsecure, Charitable giving. Of the answer choices above, answer (A) is the",best,0,business_ethics,"[-1.347677230834961, -1.6133594512939453, -0.9287405014038086, -1.5138912200927734, -1.613175392150879, -17.023181915283203, -1.6576404571533203, -1.653824806213379, -1.6411972045898438, -1.6046142578125, -0.79095458984375, -1.1598224639892578, -1.4277877807617188, -1.1973247528076172, -1.8211536407470703, -13.433050155639648, -14.265496253967285, -1.546584129333496, -1.2550535202026367, -1.9373931884765625, -1.638803482055664, -1.5047187805175781, -1.8692378997802734, -2.0933780670166016, -1.699202537536621, -1.6274595260620117, -1.0107545852661133, -1.8111200332641602, -1.4332866668701172, -0.9785852432250977, -1.7494926452636719, -1.5175399780273438, -1.509622573852539, -1.5321111679077148, -1.933974266052246, -1.3890810012817383, -1.3588571548461914, -1.321563720703125, -1.5015735626220703, -1.6254501342773438, -1.411330223083496, -1.6365423202514648, -1.6713485717773438, -1.3088207244873047, -1.8186540603637695, -1.514474868774414, -2.2024364471435547, -1.3210039138793945, -1.2842073440551758, -1.3659191131591797]"
"_______ such as bitcoin are becoming increasingly mainstream and have a whole host of associated ethical implications, for example, they are______ and more ______. However, they have also been used to engage in _______. (A) Cryptocurrencies, Expensive, Secure, Financial Crime (B) Traditional currency, Cheap, Unsecure, Charitable giving (C) Cryptocurrencies, Cheap, Secure, Financial crime and (D) Traditional currency, Expensive, Unsecure, Charitable giving. Of the answer choices above, answer (B) is the",best,0,business_ethics,"[-1.6542625427246094, -2.086005210876465, -1.6675024032592773, -1.8863153457641602, -1.5425357818603516, -1.4201984405517578, -2.2808284759521484, -2.1375036239624023, -1.7260265350341797, -1.125044822692871, -2.31134033203125, -0.978515625, -2.091360092163086, -1.822819709777832, -1.7666206359863281, -1.572819709777832, -14.838094711303711, -1.7351818084716797, -1.9779386520385742, -1.929509162902832, -1.7992782592773438, -1.2416715621948242, -1.642160415649414, -1.9202394485473633, -2.5308074951171875, -1.7380914688110352, -1.460099220275879, -1.846440315246582, -1.5840816497802734, -1.9302473068237305, -1.8579216003417969, -1.4768695831298828, -1.711298942565918, -1.234114646911621, -2.2802743911743164, -1.6222867965698242, -2.21274471282959, -1.5227680206298828, -2.145571708679199, -1.9371004104614258, -15.487421035766602, -1.9882316589355469, -1.0338325500488281, -2.0406112670898438, -1.3835906982421875, -1.4801197052001953, -1.792825698852539, -1.8454608917236328, -1.5490131378173828, -1.7944059371948242]"
"_______ such as bitcoin are becoming increasingly mainstream and have a whole host of associated ethical implications, for example, they are______ and more ______. However, they have also been used to engage in _______. (A) Cryptocurrencies, Expensive, Secure, Financial Crime (B) Traditional currency, Cheap, Unsecure, Charitable giving (C) Cryptocurrencies, Cheap, Secure, Financial crime and (D) Traditional currency, Expensive, Unsecure, Charitable giving. Of the answer choices above, answer (C) is the",best,1,business_ethics,"[-1.2575130462646484, -1.4502382278442383, -1.0270586013793945, -1.4448213577270508, -1.2917652130126953, -1.5906181335449219, -1.3701972961425781, -1.5214452743530273, -2.123265266418457, -1.578526496887207, -2.075765609741211, -1.6912193298339844, -1.2566461563110352, -1.5053443908691406, -2.0424108505249023, -2.171074867248535, -1.3978404998779297, -1.8651933670043945, -1.5040044784545898, -1.6132736206054688, -1.6103439331054688, -1.8749198913574219, -1.611745834350586, -1.226588249206543, -1.9125423431396484, -2.382918357849121, -1.6075992584228516, -1.587310791015625, -1.4544410705566406, -19.3312931060791, -1.7643976211547852, -15.320830345153809, -1.2764701843261719, -1.0375738143920898, -1.2037544250488281, -1.5485162734985352, -14.853158950805664, -12.96278190612793, -1.7511138916015625, -1.496002197265625, -1.3072404861450195, -1.3196258544921875, -1.4517326354980469, -1.9402656555175781, -14.612509727478027, -1.7231369018554688, -1.7474231719970703, -1.4380598068237305, -1.5817489624023438, -1.2631263732910156]"
"_______ such as bitcoin are becoming increasingly mainstream and have a whole host of associated ethical implications, for example, they are______ and more ______. However, they have also been used to engage in _______. (A) Cryptocurrencies, Expensive, Secure, Financial Crime (B) Traditional currency, Cheap, Unsecure, Charitable giving (C) Cryptocurrencies, Cheap, Secure, Financial crime and (D) Traditional currency, Expensive, Unsecure, Charitable giving. Of the answer choices above, answer (D) is the",best,0,business_ethics,"[-14.04983901977539, -2.0712413787841797, -1.9308834075927734, -2.3446006774902344, -1.7922334671020508, -0.9898643493652344, -1.5210533142089844, -1.3832502365112305, -1.654038429260254, -13.963062286376953, -1.6871728897094727, -2.3609161376953125, -1.3045234680175781, -1.5283355712890625, -1.3144655227661133, -1.9367427825927734, -1.8375520706176758, -1.8230924606323242, -1.3717069625854492, -1.709916114807129, -1.5080327987670898, -1.9390335083007812, -1.3443269729614258, -1.3255729675292969, -1.6992568969726562, -16.3813419342041, -1.2532539367675781, -1.7528858184814453, -1.3827199935913086, -1.393845558166504, -14.328251838684082, -13.791571617126465, -1.5315113067626953, -1.7212390899658203, -1.2894983291625977, -1.7642669677734375, -1.7857036590576172, -1.3397464752197266, -2.1962890625, -1.6817359924316406, -1.588261604309082, -1.4128780364990234, -1.3676633834838867, -1.337174415588379, -1.8179969787597656, -1.8546972274780273, -1.8918256759643555, -1.1177291870117188, -1.8831462860107422, -1.4401016235351562]"
"Typical advertising regulatory bodies suggest, for example that adverts must not: encourage _________, cause unnecessary ________ or _____, and must not cause _______ offence. (A) Unsafe practices, Wants, Fear, Trivial (B) Unsafe practices, Distress, Fear, Serious (C) Safe practices, Wants, Jealousy, Trivial and (D) Safe practices, Distress, Jealousy, Serious. Of the answer choices above, answer (A) is the",best,0,business_ethics,"[-2.2090320587158203, -1.875412940979004, -16.114707946777344, -19.065340042114258, -1.7302865982055664, -1.6374492645263672, -15.805582046508789, -14.391761779785156, -1.9630088806152344, -1.3642759323120117, -1.3561553955078125, -13.179641723632812, -14.187614440917969, -1.7407360076904297, -1.3271808624267578, -1.6364936828613281, -1.765005111694336, -2.188732147216797, -1.914921760559082, -1.978499412536621, -1.9217615127563477, -1.8897838592529297, -1.5951271057128906, -1.9994840621948242, -1.9475994110107422, -1.9292221069335938, -2.4969005584716797, -3.1559982299804688, -1.3997879028320312, -1.466257095336914, -2.2502260208129883, -1.843027114868164, -1.6259641647338867, -1.6771869659423828, -1.3740558624267578, -2.892496109008789, -1.1804351806640625, -2.1989803314208984, -1.7784061431884766, -1.8189506530761719, -1.9309091567993164, -1.3153705596923828, -13.656818389892578, -2.183225631713867, -2.053727149963379, -1.1825618743896484, -1.8436470031738281, -2.0654735565185547, -2.1384572982788086, -1.9090547561645508]"
"Typical advertising regulatory bodies suggest, for example that adverts must not: encourage _________, cause unnecessary ________ or _____, and must not cause _______ offence. (A) Unsafe practices, Wants, Fear, Trivial (B) Unsafe practices, Distress, Fear, Serious (C) Safe practices, Wants, Jealousy, Trivial and (D) Safe practices, Distress, Jealousy, Serious. Of the answer choices above, answer (B) is the",best,1,business_ethics,"[-1.7959041595458984, -1.8129186630249023, -1.0292320251464844, -2.0948381423950195, -1.3372688293457031, -1.199812889099121, -2.476353645324707, -2.1282949447631836, -14.613677978515625, -2.312809944152832, -2.1660537719726562, -0.9488105773925781, -1.3213424682617188, -1.2306060791015625, -1.2490291595458984, -2.668058395385742, -1.8790035247802734, -1.1835708618164062, -1.7392187118530273, -1.2221031188964844, -2.0029468536376953, -14.443994522094727, -1.516158103942871, -1.9604406356811523, -1.91864013671875, -1.6792449951171875, -2.2776412963867188, -1.7769832611083984, -2.1266908645629883, -2.381955146789551, -2.3311643600463867, -15.475824356079102, -1.957052230834961, -13.86642074584961, -1.8223648071289062, -2.1142492294311523, -1.703995704650879, -1.6906318664550781, -15.551958084106445, -2.288240432739258, -1.864140510559082, -1.4558944702148438, -2.7166662216186523, -1.435988426208496, -15.899860382080078, -1.7313642501831055, -1.4409170150756836, -2.2331390380859375, -0.9092254638671875, -2.350539207458496]"
"Typical advertising regulatory bodies suggest, for example that adverts must not: encourage _________, cause unnecessary ________ or _____, and must not cause _______ offence. (A) Unsafe practices, Wants, Fear, Trivial (B) Unsafe practices, Distress, Fear, Serious (C) Safe practices, Wants, Jealousy, Trivial and (D) Safe practices, Distress, Jealousy, Serious. Of the answer choices above, answer (C) is the",best,0,business_ethics,"[-2.2763280868530273, -1.886077880859375, -1.489354133605957, -1.261526107788086, -1.8976564407348633, -2.0816307067871094, -14.410174369812012, -2.1655101776123047, -2.3216609954833984, -2.142592430114746, -2.3474178314208984, -1.9235343933105469, -2.1685657501220703, -2.0336532592773438, -2.140798568725586, -2.483072280883789, -1.511754035949707, -1.962132453918457, -14.592126846313477, -1.5266046524047852, -1.850520133972168, -1.9587831497192383, -1.9869356155395508, -1.4744014739990234, -1.9790725708007812, -1.3873968124389648, -1.1928701400756836, -1.789362907409668, -2.0922060012817383, -1.782292366027832, -1.2711219787597656, -0.9578094482421875, -1.5381011962890625, -1.5996379852294922, -1.5741004943847656, -1.6873321533203125, -16.907302856445312, -14.884406089782715, -1.627741813659668, -1.8128585815429688, -2.2692928314208984, -1.8266630172729492, -14.923335075378418, -1.6853885650634766, -1.6089859008789062, -1.5999994277954102, -12.753395080566406, -1.6908197402954102, -1.599146842956543, -1.5947723388671875]"
"Typical advertising regulatory bodies suggest, for example that adverts must not: encourage _________, cause unnecessary ________ or _____, and must not cause _______ offence. (A) Unsafe practices, Wants, Fear, Trivial (B) Unsafe practices, Distress, Fear, Serious (C) Safe practices, Wants, Jealousy, Trivial and (D) Safe practices, Distress, Jealousy, Serious. Of the answer choices above, answer (D) is the",best,0,business_ethics,"[-1.5508975982666016, -0.8535375595092773, -2.405731201171875, -2.3510913848876953, -1.4523553848266602, -2.008254051208496, -1.5509662628173828, -1.5695209503173828, -1.6869125366210938, -1.8217639923095703, -0.902165412902832, -2.0370311737060547, -1.7420463562011719, -1.5822086334228516, -1.5151500701904297, -1.8234577178955078, -18.31363868713379, -1.7252893447875977, -1.986130714416504, -15.610197067260742, -1.8697710037231445, -15.462444305419922, -1.9718475341796875, -1.7260322570800781, -1.7560796737670898, -1.8972358703613281, -2.412652015686035, -1.9086723327636719, -1.3479032516479492, -1.7957792282104492, -1.619903564453125, -1.958608627319336, -2.3506603240966797, -2.0190229415893555, -1.5797977447509766, -2.9604368209838867, -1.8986120223999023, -2.0928049087524414, -2.1327266693115234, -2.222166061401367, -2.1697654724121094, -1.7081518173217773, -1.5310020446777344, -1.5819950103759766, -1.75341796875, -1.7303524017333984, -1.7839584350585938, -14.465205192565918, -1.8161697387695312, -1.4516773223876953]"
"______ are the obligations of workers towards their employer, based on individual contracts and wider employment laws. (A) Employee rights (B) Employee rights (C) Employer duties and (D) Employee duties. Of the answer choices above, answer (A) is the",best,0,business_ethics,"[-0.9756202697753906, -0.8014698028564453, -1.279520034790039, -14.570975303649902, -1.1884984970092773, -0.6458835601806641, -1.1025676727294922, -1.135986328125, -1.9938716888427734, -2.1948814392089844, -0.9503059387207031, -0.8812084197998047, -1.510000228881836, -1.2278251647949219, -1.7895393371582031, -1.0919570922851562, -1.45123291015625, -1.6906204223632812, -1.8091392517089844, -1.3393583297729492, -1.2202205657958984, -1.4309062957763672, -14.915396690368652, -13.966190338134766, -0.9543771743774414, -1.4613103866577148, -1.3872995376586914, -1.0570640563964844, -14.393709182739258, -18.663068771362305, -1.202254295349121, -1.4479913711547852, -1.0887250900268555, -13.305164337158203, -1.1740446090698242, -1.1425228118896484, -2.006441116333008, -1.1694908142089844, -1.1098031997680664, -1.7495737075805664, -1.2817878723144531, -1.6951732635498047, -14.967674255371094, -1.711623191833496, -12.593246459960938, -1.9809646606445312, -1.3670711517333984, -1.5306224822998047, -1.6803369522094727, -0.9528627395629883]"
"______ are the obligations of workers towards their employer, based on individual contracts and wider employment laws. (A) Employee rights (B) Employee rights (C) Employer duties and (D) Employee duties. Of the answer choices above, answer (B) is the",best,0,business_ethics,"[-1.5267963409423828, -1.4262466430664062, -0.7763652801513672, -1.673440933227539, -1.6003170013427734, -1.2252531051635742, -1.8472051620483398, -0.7907142639160156, -1.9568061828613281, -1.2235221862792969, -12.349333763122559, -1.2130956649780273, -0.8579502105712891, -14.428796768188477, -1.710343360900879, -1.4799976348876953, -1.3223161697387695, -1.8005123138427734, -1.5868797302246094, -0.7721014022827148, -2.223966598510742, -1.7692575454711914, -1.7923030853271484, -0.70513916015625, -1.3631772994995117, -13.92534065246582, -15.468612670898438, -1.4955558776855469, -1.3529834747314453, -1.5102910995483398, -14.084738731384277, -1.2822599411010742, -1.5520238876342773, -1.535614013671875, -1.9004783630371094, -1.8271522521972656, -1.898162841796875, -1.1558895111083984, -1.4435596466064453, -1.335693359375, -1.3247833251953125, -1.2042760848999023, -1.4115896224975586, -1.084061622619629, -1.8662214279174805, -1.6913928985595703, -1.303487777709961, -2.087390899658203, -1.5611610412597656, -18.108354568481445]"
