preamble,stimulus,is_correct,subject,stimulus_prob
"What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)? (A) 18 gauge. (B) 20 gauge. (C) 22 gauge. and (D) 24 gauge.. Of the answer choices above, answer (A) is the",best,1,clinical_knowledge,[-2.3211116790771484]
"What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)? (A) 18 gauge. (B) 20 gauge. (C) 22 gauge. and (D) 24 gauge.. Of the answer choices above, answer (B) is the",best,0,clinical_knowledge,[-2.0988006591796875]
"What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)? (A) 18 gauge. (B) 20 gauge. (C) 22 gauge. and (D) 24 gauge.. Of the answer choices above, answer (C) is the",best,0,clinical_knowledge,[-2.047382354736328]
"What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)? (A) 18 gauge. (B) 20 gauge. (C) 22 gauge. and (D) 24 gauge.. Of the answer choices above, answer (D) is the",best,0,clinical_knowledge,[-2.32550048828125]
"The key attribute in successful marathon running is: (A) strength. (B) power. (C) stride length. and (D) stamina.. Of the answer choices above, answer (A) is the",best,0,clinical_knowledge,[-1.69329833984375]
"The key attribute in successful marathon running is: (A) strength. (B) power. (C) stride length. and (D) stamina.. Of the answer choices above, answer (B) is the",best,0,clinical_knowledge,[-1.5160903930664062]
"The key attribute in successful marathon running is: (A) strength. (B) power. (C) stride length. and (D) stamina.. Of the answer choices above, answer (C) is the",best,0,clinical_knowledge,[-1.3996353149414062]
"The key attribute in successful marathon running is: (A) strength. (B) power. (C) stride length. and (D) stamina.. Of the answer choices above, answer (D) is the",best,1,clinical_knowledge,[-1.4447174072265625]
"Which of the following is the commonest cause of dementia in the UK? (A) Alzheimer's disease. (B) Cerebrovascular (stroke) disease. (C) Lewy body dementia. and (D) HIV infection.. Of the answer choices above, answer (A) is the",best,1,clinical_knowledge,[-3.38641357421875]
"Which of the following is the commonest cause of dementia in the UK? (A) Alzheimer's disease. (B) Cerebrovascular (stroke) disease. (C) Lewy body dementia. and (D) HIV infection.. Of the answer choices above, answer (B) is the",best,0,clinical_knowledge,[-3.49261474609375]
"Which of the following is the commonest cause of dementia in the UK? (A) Alzheimer's disease. (B) Cerebrovascular (stroke) disease. (C) Lewy body dementia. and (D) HIV infection.. Of the answer choices above, answer (C) is the",best,0,clinical_knowledge,[-3.25372314453125]
"Which of the following is the commonest cause of dementia in the UK? (A) Alzheimer's disease. (B) Cerebrovascular (stroke) disease. (C) Lewy body dementia. and (D) HIV infection.. Of the answer choices above, answer (D) is the",best,0,clinical_knowledge,[-3.6265869140625]
"Which of the following is NOT a symptom of anaphylaxis? (A) Stridor. (B) Bradycardia. (C) Severe wheeze. and (D) Rash.. Of the answer choices above, answer (A) is the",best,0,clinical_knowledge,[-3.8964834213256836]
