preamble,stimulus,is_correct,subject,stimulus_prob
"What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)? (A) 18 gauge. (B) 20 gauge. (C) 22 gauge. and (D) 24 gauge.. Of the answer choices above, answer (A) is the",best,1,clinical_knowledge,"[-1.7508983612060547, -2.4151506423950195, -2.0483970642089844, -2.051154136657715, -2.4128732681274414, -1.3597192764282227, -2.0739049911499023, -1.2787551879882812, -1.0280218124389648, -1.8925256729125977, -1.3907203674316406, -1.6614570617675781, -1.7820978164672852, -1.6056699752807617, -1.6570682525634766, -1.8695440292358398, -1.7208003997802734, -1.3497276306152344, -1.3549747467041016, -1.8086471557617188, -1.4714069366455078, -9.398090362548828, -2.1625471115112305, -1.817439079284668, -1.2694473266601562, -9.03607177734375, -1.535919189453125, -1.4232053756713867, -2.091432571411133, -1.4861392974853516, -1.7908000946044922, -2.3931331634521484, -1.3781003952026367, -1.7103328704833984, -2.0510482788085938, -1.7653675079345703, -1.829667091369629, -10.403566360473633, -1.5962305068969727, -8.964481353759766, -1.8036975860595703, -1.8261775970458984, -1.7706279754638672, -2.418245315551758, -2.064434051513672, -1.5278987884521484, -1.765838623046875, -1.540323257446289, -2.2386245727539062, -2.0988054275512695]"
"What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)? (A) 18 gauge. (B) 20 gauge. (C) 22 gauge. and (D) 24 gauge.. Of the answer choices above, answer (B) is the",best,0,clinical_knowledge,"[-1.6961994171142578, -1.4457826614379883, -10.604057312011719, -2.092775344848633, -1.855966567993164, -1.9675674438476562, -1.6344404220581055, -1.3353605270385742, -1.651350975036621, -1.6291828155517578, -1.4188241958618164, -2.402742385864258, -1.50311279296875, -2.203023910522461, -1.9989089965820312, -1.9533042907714844, -1.5192489624023438, -1.8113689422607422, -1.8550519943237305, -1.3693313598632812, -1.6097917556762695, -1.7513580322265625, -1.7138395309448242, -1.6492919921875, -1.7449312210083008, -2.3950719833374023, -1.2472858428955078, -1.7305841445922852, -1.9065923690795898, -1.3775606155395508, -1.6401987075805664, -1.1387224197387695, -1.3354377746582031, -1.7463512420654297, -1.486039161682129, -1.6548500061035156, -2.0339670181274414, -1.5980243682861328, -1.4693880081176758, -2.016636848449707, -1.4226617813110352, -2.054501533508301, -2.4043169021606445, -1.8086729049682617, -2.177614212036133, -1.6142339706420898, -1.796198844909668, -2.1908016204833984, -2.170431137084961, -1.844161033630371]"
"What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)? (A) 18 gauge. (B) 20 gauge. (C) 22 gauge. and (D) 24 gauge.. Of the answer choices above, answer (C) is the",best,0,clinical_knowledge,"[-8.041889190673828, -2.000241279602051, -1.5753793716430664, -1.6255292892456055, -1.6227588653564453, -1.9385948181152344, -2.178121566772461, -1.7094764709472656, -2.245480537414551, -1.924910545349121, -1.6655082702636719, -1.953871726989746, -1.7297029495239258, -2.200582504272461, -2.160769462585449, -1.1813268661499023, -1.8548059463500977, -2.2191200256347656, -9.83604907989502, -1.4413442611694336, -1.3252029418945312, -9.24648666381836, -1.7983131408691406, -1.5190601348876953, -2.040827751159668, -1.4740142822265625, -1.9862041473388672, -2.0191688537597656, -9.159281730651855, -1.393702507019043, -1.7707576751708984, -1.7608070373535156, -2.520059585571289, -1.9157686233520508, -1.3912429809570312, -2.257600784301758, -1.4695930480957031, -1.658677101135254, -2.0643701553344727, -1.8663749694824219, -1.537886619567871, -1.5491828918457031, -7.950654029846191, -1.7664098739624023, -1.3840036392211914, -1.6741256713867188, -1.5527772903442383, -2.2365360260009766, -1.5583877563476562, -2.097362518310547]"
"What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)? (A) 18 gauge. (B) 20 gauge. (C) 22 gauge. and (D) 24 gauge.. Of the answer choices above, answer (D) is the",best,0,clinical_knowledge,"[-2.2371511459350586, -1.9686040878295898, -2.316678047180176, -1.9424514770507812, -2.4621477127075195, -2.027401924133301, -8.970108032226562, -1.832280158996582, -1.8494110107421875, -7.949029922485352, -2.061455726623535, -2.0482311248779297, -2.085226058959961, -1.3554754257202148, -1.5089006423950195, -2.5949182510375977, -1.660670280456543, -2.0187759399414062, -2.021437644958496, -1.9167795181274414, -2.2641725540161133, -2.00423526763916, -1.5110740661621094, -1.5297937393188477, -1.5699958801269531, -2.174544334411621, -1.763864517211914, -2.2400379180908203, -2.3774967193603516, -2.204653739929199, -2.229795455932617, -7.751613616943359, -9.401934623718262, -2.26416015625, -2.442819595336914, -1.6064634323120117, -1.163802146911621, -1.8519163131713867, -1.6389093399047852, -8.512475967407227, -2.0599212646484375, -1.6484613418579102, -1.9553489685058594, -1.9905881881713867, -1.918614387512207, -2.164036750793457, -1.7626781463623047, -1.641592025756836, -1.3671808242797852, -1.8903627395629883]"
"The key attribute in successful marathon running is: (A) strength. (B) power. (C) stride length. and (D) stamina.. Of the answer choices above, answer (A) is the",best,0,clinical_knowledge,"[-1.7049388885498047, -2.0124950408935547, -1.6652355194091797, -1.4176197052001953, -1.500406265258789, -2.2380943298339844, -8.699472427368164, -1.8805952072143555, -1.4372215270996094, -2.444578170776367, -1.889089584350586, -1.5019454956054688, -1.6255741119384766, -1.6794147491455078, -1.6086950302124023, -1.9122552871704102, -2.1005258560180664, -1.7774925231933594, -8.853748321533203, -1.1950082778930664, -1.666163444519043, -2.3429183959960938, -2.0558204650878906, -1.5938043594360352, -2.1463804244995117, -1.8385543823242188, -2.084109306335449, -1.428370475769043, -2.0160160064697266, -2.019123077392578, -1.9942131042480469, -2.2119150161743164, -9.442204475402832, -1.3352394104003906, -1.6324090957641602, -2.1190719604492188, -1.4918460845947266, -1.8579835891723633, -2.270599365234375, -1.729379653930664, -1.5399160385131836, -1.6995458602905273, -2.1437692642211914, -1.6923713684082031, -1.0484533309936523, -2.1203508377075195, -1.8489751815795898, -10.120523452758789, -8.266725540161133, -1.6928529739379883]"
"The key attribute in successful marathon running is: (A) strength. (B) power. (C) stride length. and (D) stamina.. Of the answer choices above, answer (B) is the",best,0,clinical_knowledge,"[-1.5445423126220703, -1.7869062423706055, -2.1812610626220703, -1.7888679504394531, -1.9635200500488281, -1.588252067565918, -1.9029083251953125, -7.852633476257324, -9.927451133728027, -2.4018898010253906, -1.4235334396362305, -1.6782169342041016, -1.926565170288086, -1.376255989074707, -7.5344696044921875, -9.141441345214844, -1.7238941192626953, -1.7234363555908203, -1.5894784927368164, -1.7289352416992188, -1.2704715728759766, -1.3436384201049805, -8.607319831848145, -2.0061826705932617, -3.0843420028686523, -1.614882469177246, -1.9065475463867188, -1.6763830184936523, -9.19832992553711, -2.1021642684936523, -1.3971195220947266, -9.727502822875977, -1.1228160858154297, -1.6221504211425781, -8.289642333984375, -1.8180274963378906, -1.3744220733642578, -6.857375144958496, -1.9199409484863281, -1.6905126571655273, -2.1980514526367188, -1.8851518630981445, -2.504152297973633, -2.345669746398926, -1.7420053482055664, -2.0484561920166016, -2.25173282623291, -2.1949729919433594, -1.9361352920532227, -2.0166549682617188]"
"The key attribute in successful marathon running is: (A) strength. (B) power. (C) stride length. and (D) stamina.. Of the answer choices above, answer (C) is the",best,0,clinical_knowledge,"[-2.2435503005981445, -10.469695091247559, -1.578566551208496, -1.5478172302246094, -1.8055572509765625, -1.5804805755615234, -1.531158447265625, -8.712737083435059, -1.4569740295410156, -1.7983531951904297, -2.190505027770996, -10.051076889038086, -1.7580499649047852, -1.3926143646240234, -8.220853805541992, -1.752303123474121, -1.5678319931030273, -1.3135900497436523, -1.8824996948242188, -1.6249589920043945, -1.4569759368896484, -1.5124855041503906, -1.7180547714233398, -1.8253059387207031, -2.0259180068969727, -1.566929817199707, -2.1926660537719727, -2.213144302368164, -10.863922119140625, -1.7858667373657227, -1.7936162948608398, -2.0950775146484375, -1.4983396530151367, -1.941420555114746, -9.509886741638184, -2.106968879699707, -1.5124540328979492, -2.382327079772949, -1.7917003631591797, -1.474822998046875, -1.228835105895996, -1.6304969787597656, -7.591197967529297, -1.6888208389282227, -1.3896856307983398, -1.8570775985717773, -1.3372764587402344, -1.9755020141601562, -1.6665277481079102, -1.5243358612060547]"
"The key attribute in successful marathon running is: (A) strength. (B) power. (C) stride length. and (D) stamina.. Of the answer choices above, answer (D) is the",best,1,clinical_knowledge,"[-1.7257509231567383, -1.3741779327392578, -2.3105297088623047, -2.2805938720703125, -2.195357322692871, -1.598017692565918, -2.5534610748291016, -1.9425230026245117, -1.9307870864868164, -1.9223852157592773, -1.5853404998779297, -2.0036563873291016, -1.7711105346679688, -1.4946956634521484, -1.9820842742919922, -1.7220592498779297, -2.2332868576049805, -1.8653593063354492, -2.2229080200195312, -1.7626361846923828, -1.7847270965576172, -1.8618049621582031, -2.1779909133911133, -2.363409996032715, -2.1314401626586914, -1.9713144302368164, -1.4988737106323242, -1.9912710189819336, -9.220748901367188, -1.3905878067016602, -2.0248966217041016, -8.871070861816406, -2.235340118408203, -1.6732654571533203, -2.3108997344970703, -1.7474441528320312, -2.070262908935547, -2.2010726928710938, -2.019163131713867, -1.3515071868896484, -2.4752140045166016, -1.908085823059082, -1.9066581726074219, -1.355687141418457, -2.1255178451538086, -1.3691349029541016, -2.9073333740234375, -1.3808650970458984, -2.224416732788086, -2.0863075256347656]"
"Which of the following is the commonest cause of dementia in the UK? (A) Alzheimer's disease. (B) Cerebrovascular (stroke) disease. (C) Lewy body dementia. and (D) HIV infection.. Of the answer choices above, answer (A) is the",best,1,clinical_knowledge,"[-2.7085819244384766, -2.9565649032592773, -2.0501346588134766, -3.7214717864990234, -9.110910415649414, -1.6951894760131836, -3.001005172729492, -2.9732818603515625, -2.9426403045654297, -2.693009376525879, -3.4678354263305664, -2.682143211364746, -3.810379981994629, -2.5119857788085938, -2.6033716201782227, -3.4299240112304688, -11.801197052001953, -2.717902183532715, -10.121335983276367, -3.056023597717285, -2.4709224700927734, -3.5668745040893555, -2.980536460876465, -3.068807601928711, -2.439615249633789, -3.349233627319336, -3.026866912841797, -2.905580520629883, -2.8013429641723633, -4.139887809753418, -3.1948862075805664, -3.3769607543945312, -2.8398618698120117, -2.381885528564453, -3.1595678329467773, -2.872921943664551, -2.866854667663574, -3.2961883544921875, -3.101506233215332, -2.8850059509277344, -2.9143142700195312, -2.7513322830200195, -2.793893814086914, -3.4269046783447266, -2.5062828063964844, -3.9007701873779297, -3.7705869674682617, -2.706240653991699, -3.7061986923217773, -2.6415634155273438]"
"Which of the following is the commonest cause of dementia in the UK? (A) Alzheimer's disease. (B) Cerebrovascular (stroke) disease. (C) Lewy body dementia. and (D) HIV infection.. Of the answer choices above, answer (B) is the",best,0,clinical_knowledge,"[-11.536867141723633, -2.7147960662841797, -2.0462770462036133, -6.804313659667969, -3.460927963256836, -3.415346145629883, -3.7443275451660156, -3.1310081481933594, -2.468869209289551, -9.721054077148438, -2.5169878005981445, -3.386739730834961, -3.647043228149414, -3.288266181945801, -3.845979690551758, -2.8798017501831055, -2.587625503540039, -3.2415313720703125, -3.0391111373901367, -9.85850715637207, -2.6532459259033203, -2.642491340637207, -3.8791513442993164, -3.2512693405151367, -3.0865230560302734, -2.890925407409668, -3.745760917663574, -2.4857540130615234, -2.415768623352051, -2.4281368255615234, -3.065169334411621, -3.1388235092163086, -3.070056915283203, -3.3967361450195312, -3.053743362426758, -3.3286209106445312, -2.4239253997802734, -2.6901960372924805, -3.5839452743530273, -2.9202747344970703, -2.800564765930176, -2.704160690307617, -2.88407039642334, -2.2577409744262695, -2.5575246810913086, -2.4589595794677734, -3.1621389389038086, -2.1978893280029297, -2.58109188079834, -2.7398948669433594]"
