preamble,stimulus,is_correct,subject,stimulus_prob
"Based on the characteristic population curves that result from plotting population growth of a species, the most effective means of controlling the mosquito population is to (A) maintain the population at a point corresponding to the midpoint of its logistic curve (B) opt for zero population control once the K value of the curve has been reached (C) reduce the carrying capacity cif the environment to lower the K value and (D) increase the mortality rate. Of the answer choices above, answer (A) is the",best,0,college_biology,"[-0.6974163055419922, -1.0544509887695312, -1.0748291015625, -1.3607902526855469, -2.6564674377441406, -1.0205841064453125, -1.2459564208984375, -0.8068332672119141, -1.0040855407714844, -1.280282974243164, -1.5822429656982422, -1.7081832885742188, -1.850534439086914, -1.6687068939208984, -1.8521347045898438, -1.2265758514404297, -1.8914852142333984, -1.250274658203125, -1.7778644561767578, -1.0551671981811523, -1.3578987121582031, -0.9008350372314453, -1.570343017578125, -1.04559326171875, -1.602095603942871, -1.3561573028564453, -1.3234367370605469, -1.4699077606201172, -1.471731185913086, -2.3441972732543945, -0.6636333465576172, -1.6627616882324219, nan, -0.8869400024414062, -0.9138565063476562, -1.5908317565917969, -0.9825267791748047, -1.2379207611083984, -0.9376411437988281, -1.3766555786132812, -0.9915351867675781, -1.2929191589355469, -0.8488235473632812, -1.284646987915039, -1.6737117767333984, -2.0132293701171875, -0.9358787536621094, -0.5987033843994141, -0.8654861450195312, -1.0366153717041016]"
"Based on the characteristic population curves that result from plotting population growth of a species, the most effective means of controlling the mosquito population is to (A) maintain the population at a point corresponding to the midpoint of its logistic curve (B) opt for zero population control once the K value of the curve has been reached (C) reduce the carrying capacity cif the environment to lower the K value and (D) increase the mortality rate. Of the answer choices above, answer (B) is the",best,0,college_biology,"[-1.285879135131836, -1.6267852783203125, -1.6326789855957031, -1.6029644012451172, -1.5669193267822266, -1.7140979766845703, -2.618544578552246, -1.9943504333496094, -1.4972782135009766, -1.7011680603027344, -1.1549491882324219, -2.207479476928711, -0.8375301361083984, -1.0710468292236328, -1.7095155715942383, -1.1592082977294922, -1.6340007781982422, -1.19732666015625, -1.9531021118164062, -2.0713768005371094, -1.8814430236816406, -0.7935657501220703, -1.8071784973144531, -1.092050552368164, -1.5154914855957031, -0.9252243041992188, -1.2450428009033203, -1.4338359832763672, -1.5244503021240234, -1.250894546508789, -1.7581901550292969, -1.3284034729003906, -1.3361396789550781, -1.2936668395996094, -0.7610816955566406, -1.2457809448242188, -1.3565425872802734, -1.3624114990234375, -1.3830375671386719, -2.000335693359375, -1.5123252868652344, -1.3201122283935547, -1.3276023864746094, -1.0302658081054688, -1.6680965423583984, -1.7683067321777344, -1.5424766540527344, -1.894399642944336, -0.7909088134765625, -1.3473625183105469]"
"Based on the characteristic population curves that result from plotting population growth of a species, the most effective means of controlling the mosquito population is to (A) maintain the population at a point corresponding to the midpoint of its logistic curve (B) opt for zero population control once the K value of the curve has been reached (C) reduce the carrying capacity cif the environment to lower the K value and (D) increase the mortality rate. Of the answer choices above, answer (C) is the",best,1,college_biology,"[-0.8691940307617188, -1.5832443237304688, -0.5947723388671875, -1.9132575988769531, -1.8569927215576172, -1.4143028259277344, -1.3115558624267578, -0.6350479125976562, -1.2978649139404297, -1.1420269012451172, -0.8396987915039062, -1.6174697875976562, -1.246063232421875, -1.7682437896728516, -1.5018768310546875, -1.105539321899414, -1.06158447265625, -1.0343894958496094, -1.0463104248046875, -1.408620834350586, -1.8453388214111328, -3.0263185501098633, -1.4650135040283203, -1.3817729949951172, -1.0443973541259766, -1.0973682403564453, -1.559743881225586, -1.3247318267822266, -2.362852096557617, -1.0275421142578125, -1.7726383209228516, -1.3152103424072266, -0.7224349975585938, -1.7899627685546875, -1.1173515319824219, -1.3067607879638672, -2.141389846801758, -0.7522411346435547, -1.8331718444824219, -1.589426040649414, -1.3371334075927734, -1.2799320220947266, -1.4657306671142578, -1.2766399383544922, -1.0592098236083984, -0.9336948394775391, -1.3740768432617188, -1.123678207397461, -1.2735252380371094, -1.3422489166259766]"
"Based on the characteristic population curves that result from plotting population growth of a species, the most effective means of controlling the mosquito population is to (A) maintain the population at a point corresponding to the midpoint of its logistic curve (B) opt for zero population control once the K value of the curve has been reached (C) reduce the carrying capacity cif the environment to lower the K value and (D) increase the mortality rate. Of the answer choices above, answer (D) is the",best,0,college_biology,"[-1.7400531768798828, -1.2322139739990234, -0.9860172271728516, -0.5088081359863281, -0.8888816833496094, -1.1453590393066406, -1.2947559356689453, -0.6424560546875, -1.8105354309082031, -0.9277801513671875, -1.6391677856445312, -1.5875682830810547, -0.6594963073730469, -1.1363201141357422, -2.532672882080078, -1.5117111206054688, -0.9315929412841797, -1.1015911102294922, -0.7968406677246094, nan, -1.3121089935302734, -1.6254940032958984, -1.6660041809082031, -0.7435379028320312, -1.8105506896972656, -1.2243232727050781, -1.6195430755615234, -1.3458805084228516, -1.2807331085205078, -0.7895774841308594, -1.8678417205810547, -1.2858333587646484, -0.99969482421875, -1.3583946228027344, -1.836862564086914, -1.065338134765625, -3.0594072341918945, -1.0174751281738281, -1.1820068359375, -1.0870285034179688, -1.5039825439453125, -1.1467828750610352, -1.3315086364746094, -1.3063068389892578, -1.8299388885498047, -1.065652847290039, -1.0606880187988281, -1.3650741577148438, -0.6996974945068359, -1.77606201171875]"
"A frameshift mutation is created when (A) telomeric sequences are removed from DNA (B) a codon's nucleotide sequence changes so that it calls for production of a different amino acid than the original one (C) a base pair is either inserted or deleted in a gene and (D) a codon's nucleotide sequence is changed so that instead of coding for a given amino acid it acts to terminate translation. Of the answer choices above, answer (A) is the",best,0,college_biology,"[-1.8497562408447266, -1.9006061553955078, -2.484914779663086, -3.3492660522460938, -2.4325923919677734, -3.050609588623047, -2.2625579833984375, -2.061918258666992, -2.6285400390625, -2.100008010864258, -1.9528617858886719, -2.3854846954345703, -2.4206714630126953, -2.7447738647460938, -2.37066650390625, -2.605052947998047, -2.7188758850097656, -2.330078125, -2.035236358642578, -3.3363895416259766, -2.952789306640625, -2.0420970916748047, -2.2259159088134766, -3.1968164443969727, -4.027381896972656, -2.4858016967773438, -2.127992630004883, -1.4698867797851562, -2.0408782958984375, nan, -2.799243927001953, -1.6621074676513672, -2.301443099975586, -3.4061527252197266, nan, -2.2903881072998047, -3.9243621826171875, -2.473550796508789, -2.7769336700439453, -3.017068862915039, -1.4436569213867188, -3.1118946075439453, -2.6348609924316406, -1.9568042755126953, -2.436573028564453, -1.821725845336914, -1.9949817657470703, -2.88692569732666, -2.3944950103759766, -2.890530586242676]"
"A frameshift mutation is created when (A) telomeric sequences are removed from DNA (B) a codon's nucleotide sequence changes so that it calls for production of a different amino acid than the original one (C) a base pair is either inserted or deleted in a gene and (D) a codon's nucleotide sequence is changed so that instead of coding for a given amino acid it acts to terminate translation. Of the answer choices above, answer (B) is the",best,0,college_biology,"[-2.85809326171875, -1.8375377655029297, -2.0372180938720703, -2.2174434661865234, -2.8509788513183594, -1.725738525390625, -2.7597599029541016, -2.0364198684692383, -1.7187614440917969, -1.4192333221435547, -2.6379318237304688, -1.9193706512451172, -3.6711082458496094, -2.2709274291992188, -2.874479293823242, -2.159942626953125, -1.9056224822998047, -2.0002870559692383, -2.174510955810547, -3.158966064453125, -2.131654739379883, -2.421720504760742, -2.608518600463867, -1.1558341979980469, -2.490375518798828, -1.9769668579101562, -1.9985942840576172, -1.8007469177246094, -2.141664505004883, -1.6920623779296875, -1.6293601989746094, -1.5112857818603516, -2.4188270568847656, -1.9010963439941406, -2.766559600830078, -2.79693603515625, -2.6861572265625, nan, -2.236875534057617, -3.4189891815185547, -2.076356887817383, -2.1981201171875, -2.2381534576416016, -2.1483116149902344, -3.0784950256347656, -2.5212059020996094, -1.8661117553710938, nan, -2.8949966430664062, -1.660623550415039]"
"A frameshift mutation is created when (A) telomeric sequences are removed from DNA (B) a codon's nucleotide sequence changes so that it calls for production of a different amino acid than the original one (C) a base pair is either inserted or deleted in a gene and (D) a codon's nucleotide sequence is changed so that instead of coding for a given amino acid it acts to terminate translation. Of the answer choices above, answer (C) is the",best,1,college_biology,"[-1.3910102844238281, -2.282928466796875, -1.594003677368164, -2.1364593505859375, -1.7059459686279297, -2.804363250732422, -1.401371955871582, -2.1144447326660156, -1.874654769897461, -3.2491188049316406, -2.23388671875, -2.463420867919922, -2.4438037872314453, -2.1764278411865234, -2.9167613983154297, -1.857614517211914, -2.146503448486328, -1.5594749450683594, -2.3240604400634766, -2.1803455352783203, -2.0743865966796875, -1.806570053100586, -2.8191165924072266, -3.2219295501708984, -2.4475746154785156, -2.7341365814208984, -1.3237743377685547, -3.4132080078125, -2.3792762756347656, -2.355022430419922, -2.0768985748291016, -3.054943084716797, -2.1564292907714844, -2.241819381713867, -1.9342174530029297, -2.32916259765625, -2.0126571655273438, -1.8717021942138672, -2.795492172241211, -2.89569091796875, -1.1896038055419922, -2.4178695678710938, -1.7563953399658203, -3.4006710052490234, -2.478839874267578, -2.756704330444336, -2.408956527709961, -2.7296714782714844, -2.5907764434814453, -2.2993125915527344]"
"A frameshift mutation is created when (A) telomeric sequences are removed from DNA (B) a codon's nucleotide sequence changes so that it calls for production of a different amino acid than the original one (C) a base pair is either inserted or deleted in a gene and (D) a codon's nucleotide sequence is changed so that instead of coding for a given amino acid it acts to terminate translation. Of the answer choices above, answer (D) is the",best,0,college_biology,"[-2.8062896728515625, -2.315767288208008, -2.468107223510742, -2.446216583251953, -2.4422378540039062, -2.147073745727539, -3.364034652709961, -2.515054702758789, -3.171733856201172, -2.507699966430664, -2.379190444946289, -2.4946441650390625, -1.8258285522460938, -2.277830123901367, -2.0793819427490234, -2.9793243408203125, -1.923879623413086, -2.4677200317382812, -1.6940841674804688, -1.9302558898925781, -4.409833908081055, -2.6987361907958984, -2.0385913848876953, -2.6628799438476562, -1.7656364440917969, -2.8506736755371094, -1.9285354614257812, -2.1886444091796875, -2.284465789794922, -0.6423826217651367, -1.721435546875, -3.3973007202148438, -2.4478206634521484, -1.582845687866211, -2.994405746459961, -3.4278945922851562, -1.8290443420410156, -2.6177310943603516, -2.2148704528808594, -2.181947708129883, -2.8699111938476562, -3.0687332153320312, -2.296724319458008, -2.249725341796875, -1.9354515075683594, nan, -2.877645492553711, -2.30792236328125, -1.472860336303711, -2.5719985961914062]"
"To prevent desiccation and injury, the embryos of terrestrial vertebrates are encased within a fluid secreted by the (A) amnion (B) chorion (C) allantois and (D) yolk sac. Of the answer choices above, answer (A) is the",best,1,college_biology,"[-2.899102210998535, -1.606419563293457, -2.0860233306884766, -1.9702606201171875, -3.279116630554199, -2.6732053756713867, -2.212890625, -2.4115676879882812, -2.3985595703125, -4.013166427612305, -2.138613700866699, -3.3727760314941406, -1.9722423553466797, -2.525197982788086, -2.6571044921875, nan, -2.567829132080078, -2.7098922729492188, -2.8611297607421875, -2.264678955078125, -2.217540740966797, -3.026500701904297, -2.8281803131103516, -2.275850296020508, -2.220853805541992, -1.5084800720214844, -2.1098899841308594, -2.353809356689453, -3.554934501647949, -1.9768085479736328, -2.4785327911376953, -2.6259536743164062, -2.594266891479492, -1.6583290100097656, -1.7438583374023438, -1.5750274658203125, -3.285125732421875, -1.8399715423583984, -1.6476402282714844, -2.7866649627685547, -1.5870113372802734, -1.9597492218017578, -2.838107109069824, -2.6666927337646484, -2.374800682067871, -3.708282470703125, -3.0768966674804688, -1.9024429321289062, -3.069636344909668, -2.940582275390625]"
"To prevent desiccation and injury, the embryos of terrestrial vertebrates are encased within a fluid secreted by the (A) amnion (B) chorion (C) allantois and (D) yolk sac. Of the answer choices above, answer (B) is the",best,0,college_biology,"[-2.615957260131836, -2.803070068359375, -2.423025131225586, -2.3251733779907227, -1.7738838195800781, -2.305837631225586, -1.7004165649414062, -1.5220184326171875, -3.958977699279785, -2.730191230773926, -2.2356414794921875, -1.4388961791992188, -1.3742313385009766, -1.950510025024414, -2.090404510498047, -2.711397171020508, -1.5160045623779297, -2.1016616821289062, -3.1334266662597656, -1.8975601196289062, -2.9247894287109375, -1.326333999633789, -1.6565227508544922, -2.0286617279052734, -3.420806884765625, -3.090947151184082, -2.253734588623047, -2.3051395416259766, -2.7664966583251953, -2.012690544128418, -1.7425355911254883, -2.4960412979125977, -2.748537063598633, -1.7807903289794922, -1.829660415649414, -1.6449089050292969, -2.9971389770507812, -2.630990982055664, -2.4499759674072266, -3.0882110595703125, -1.7656879425048828, -2.4818992614746094, -2.3481712341308594, -2.7317066192626953, -2.343812942504883, -1.9538402557373047, -1.964761734008789, -3.0055999755859375, -3.2822399139404297, -1.8846969604492188]"
