preamble,stimulus,is_correct,subject,stimulus_prob
"A 10-N force at an angle 45° above the horizontal has a horizontal component of about (A) 7 N (B) 5 N (C) 10 N and (D) 12 N. Of the answer choices above, answer (A) is the",best,1,conceptual_physics,[-1.7620296478271484]
"A 10-N force at an angle 45° above the horizontal has a horizontal component of about (A) 7 N (B) 5 N (C) 10 N and (D) 12 N. Of the answer choices above, answer (B) is the",best,0,conceptual_physics,[-1.7520275115966797]
"A 10-N force at an angle 45° above the horizontal has a horizontal component of about (A) 7 N (B) 5 N (C) 10 N and (D) 12 N. Of the answer choices above, answer (C) is the",best,0,conceptual_physics,[-1.8154830932617188]
"A 10-N force at an angle 45° above the horizontal has a horizontal component of about (A) 7 N (B) 5 N (C) 10 N and (D) 12 N. Of the answer choices above, answer (D) is the",best,0,conceptual_physics,[-2.04085636138916]
"A completely submerged object always displaces its own (A) weight of fluid. (B) volume of fluid. (C) density of fluid. and (D) All of these.. Of the answer choices above, answer (A) is the",best,0,conceptual_physics,[-1.9377479553222656]
"A completely submerged object always displaces its own (A) weight of fluid. (B) volume of fluid. (C) density of fluid. and (D) All of these.. Of the answer choices above, answer (B) is the",best,1,conceptual_physics,[-1.9461870193481445]
"A completely submerged object always displaces its own (A) weight of fluid. (B) volume of fluid. (C) density of fluid. and (D) All of these.. Of the answer choices above, answer (C) is the",best,0,conceptual_physics,[-1.9027338027954102]
"A completely submerged object always displaces its own (A) weight of fluid. (B) volume of fluid. (C) density of fluid. and (D) All of these.. Of the answer choices above, answer (D) is the",best,0,conceptual_physics,[-1.8194446563720703]
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light (A) totally internally reflects (B) passes into the air above (C) is absorbed and (D) None of these. Of the answer choices above, answer (A) is the",best,0,conceptual_physics,[-1.6777515411376953]
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light (A) totally internally reflects (B) passes into the air above (C) is absorbed and (D) None of these. Of the answer choices above, answer (B) is the",best,1,conceptual_physics,[-1.7871065139770508]
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light (A) totally internally reflects (B) passes into the air above (C) is absorbed and (D) None of these. Of the answer choices above, answer (C) is the",best,0,conceptual_physics,[-1.8256311416625977]
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light (A) totally internally reflects (B) passes into the air above (C) is absorbed and (D) None of these. Of the answer choices above, answer (D) is the",best,0,conceptual_physics,[-2.0173654556274414]
"According to four-dimensional geometry, the angles of a triangle add to 180° (A) always. (B) sometimes. (C) never. and (D) on planet Earth only.. Of the answer choices above, answer (A) is the",best,0,conceptual_physics,[-1.533956527709961]
"According to four-dimensional geometry, the angles of a triangle add to 180° (A) always. (B) sometimes. (C) never. and (D) on planet Earth only.. Of the answer choices above, answer (B) is the",best,1,conceptual_physics,[-1.5141534805297852]
"According to four-dimensional geometry, the angles of a triangle add to 180° (A) always. (B) sometimes. (C) never. and (D) on planet Earth only.. Of the answer choices above, answer (C) is the",best,0,conceptual_physics,[-1.6785755157470703]
"According to four-dimensional geometry, the angles of a triangle add to 180° (A) always. (B) sometimes. (C) never. and (D) on planet Earth only.. Of the answer choices above, answer (D) is the",best,0,conceptual_physics,[-1.957230567932129]
"A voltage will be induced in a wire loop when the magnetic field within that loop (A) changes (B) aligns with the electric field (C) is at right angles to the electric field and (D) converts to magnetic energy. Of the answer choices above, answer (A) is the",best,1,conceptual_physics,[-1.8522071838378906]
"A voltage will be induced in a wire loop when the magnetic field within that loop (A) changes (B) aligns with the electric field (C) is at right angles to the electric field and (D) converts to magnetic energy. Of the answer choices above, answer (B) is the",best,0,conceptual_physics,[-1.7575139999389648]
"A voltage will be induced in a wire loop when the magnetic field within that loop (A) changes (B) aligns with the electric field (C) is at right angles to the electric field and (D) converts to magnetic energy. Of the answer choices above, answer (C) is the",best,0,conceptual_physics,[-1.9309072494506836]
"A voltage will be induced in a wire loop when the magnetic field within that loop (A) changes (B) aligns with the electric field (C) is at right angles to the electric field and (D) converts to magnetic energy. Of the answer choices above, answer (D) is the",best,0,conceptual_physics,[-1.9029979705810547]
"Among these colors, the one that has the most energy per photon is (A) red (B) yellow-green (C) blue and (D) violet. Of the answer choices above, answer (A) is the",best,0,conceptual_physics,[-1.8989276885986328]
"Among these colors, the one that has the most energy per photon is (A) red (B) yellow-green (C) blue and (D) violet. Of the answer choices above, answer (B) is the",best,0,conceptual_physics,[-1.6423454284667969]
"Among these colors, the one that has the most energy per photon is (A) red (B) yellow-green (C) blue and (D) violet. Of the answer choices above, answer (C) is the",best,0,conceptual_physics,[-1.7407550811767578]
"Among these colors, the one that has the most energy per photon is (A) red (B) yellow-green (C) blue and (D) violet. Of the answer choices above, answer (D) is the",best,1,conceptual_physics,[-1.788844108581543]
"According to general relativity, (A) mass distorts spacetime. (B) gravity affects clocks. (C) light can’t escape from a black hole. and (D) All of these.. Of the answer choices above, answer (A) is the",best,0,conceptual_physics,[-1.47802734375]
"According to general relativity, (A) mass distorts spacetime. (B) gravity affects clocks. (C) light can’t escape from a black hole. and (D) All of these.. Of the answer choices above, answer (B) is the",best,0,conceptual_physics,[-1.5058717727661133]
"According to general relativity, (A) mass distorts spacetime. (B) gravity affects clocks. (C) light can’t escape from a black hole. and (D) All of these.. Of the answer choices above, answer (C) is the",best,0,conceptual_physics,[-1.8063783645629883]
"According to general relativity, (A) mass distorts spacetime. (B) gravity affects clocks. (C) light can’t escape from a black hole. and (D) All of these.. Of the answer choices above, answer (D) is the",best,1,conceptual_physics,[-1.494943618774414]
"A step-up transformer in an electric circuit can step up (A) voltage (B) energy (C) Both of these and (D) Neither of these. Of the answer choices above, answer (A) is the",best,1,conceptual_physics,[-1.6290597915649414]
"A step-up transformer in an electric circuit can step up (A) voltage (B) energy (C) Both of these and (D) Neither of these. Of the answer choices above, answer (B) is the",best,0,conceptual_physics,[-1.6685714721679688]
"A step-up transformer in an electric circuit can step up (A) voltage (B) energy (C) Both of these and (D) Neither of these. Of the answer choices above, answer (C) is the",best,0,conceptual_physics,[-1.6487960815429688]
"A step-up transformer in an electric circuit can step up (A) voltage (B) energy (C) Both of these and (D) Neither of these. Of the answer choices above, answer (D) is the",best,0,conceptual_physics,[-1.9248638153076172]
"Spectral lines of the elements are (A) chaotic (B) ordered (C) positioned by amplitude and (D) in phase. Of the answer choices above, answer (A) is the",best,0,conceptual_physics,[-1.6731891632080078]
"Spectral lines of the elements are (A) chaotic (B) ordered (C) positioned by amplitude and (D) in phase. Of the answer choices above, answer (B) is the",best,1,conceptual_physics,[-1.5320158004760742]
"Spectral lines of the elements are (A) chaotic (B) ordered (C) positioned by amplitude and (D) in phase. Of the answer choices above, answer (C) is the",best,0,conceptual_physics,[-1.6467657089233398]
"Spectral lines of the elements are (A) chaotic (B) ordered (C) positioned by amplitude and (D) in phase. Of the answer choices above, answer (D) is the",best,0,conceptual_physics,[-1.8148632049560547]
"A wave transfers (A) amplitude (B) wavelength (C) frequency and (D) energy. Of the answer choices above, answer (A) is the",best,0,conceptual_physics,[-1.6592817306518555]
"A wave transfers (A) amplitude (B) wavelength (C) frequency and (D) energy. Of the answer choices above, answer (B) is the",best,0,conceptual_physics,[-1.7010984420776367]
