preamble,stimulus,is_correct,subject,stimulus_prob
"The main factor preventing subsistence economies from advancing economically is the lack of (A) a currency. (B) a well-connected transportation infrastructure. (C) government activity. and (D) a banking service.. Of the answer choices above, answer (A) is the",best,0,high_school_geography,"[-0.9107666015625, -1.4565582275390625, -1.6730670928955078, -1.7346153259277344, -1.302541732788086, -1.1258792877197266, -1.6464519500732422, -2.060750961303711, -0.9812221527099609, -1.5434894561767578, -1.942220687866211, -0.9945755004882812, -1.646902084350586, -1.9742622375488281, -1.9201335906982422, -0.9580478668212891, -1.5008220672607422, -1.1960830688476562, -0.816009521484375, -1.0977935791015625, -0.6944561004638672, -1.514984130859375, -1.2002525329589844, -2.0317230224609375, -1.7461566925048828, -2.2383460998535156, -1.1351604461669922, -1.707998275756836, -1.4600658416748047, -1.2788467407226562, -1.4607486724853516, -1.8204975128173828, -1.9149150848388672, -0.7990283966064453, -1.2004661560058594, -0.7107048034667969, -1.699117660522461, -1.5141525268554688, -1.7655582427978516, -1.0559940338134766, -1.4329719543457031, -1.8047523498535156, -1.3228206634521484, -0.8799152374267578, -0.7667751312255859, -0.9479331970214844, -1.3776206970214844, -1.6222305297851562, -1.5222835540771484, -1.49609375]"
"The main factor preventing subsistence economies from advancing economically is the lack of (A) a currency. (B) a well-connected transportation infrastructure. (C) government activity. and (D) a banking service.. Of the answer choices above, answer (B) is the",best,1,high_school_geography,"[-1.8736686706542969, -1.8304214477539062, -1.2764739990234375, -1.471811294555664, -1.5671501159667969, -1.5182991027832031, -1.7126998901367188, -2.3853511810302734, -2.6661624908447266, -1.2183761596679688, -1.4256210327148438, -1.1232128143310547, -1.1327552795410156, -0.7710609436035156, -0.9473304748535156, -1.5537643432617188, -0.6814994812011719, -0.719085693359375, -0.9655303955078125, -1.173532485961914, -1.9007797241210938, -0.8982505798339844, -0.76837158203125, -1.6856098175048828, -0.9620647430419922, -1.1339225769042969, -0.6909523010253906, -1.2138614654541016, -0.6991691589355469, -2.2185897827148438, -0.6748638153076172, -1.3377513885498047, -1.2092952728271484, -0.9489021301269531, -1.4367618560791016, -0.5675601959228516, -1.1802291870117188, -1.6677227020263672, -1.8058109283447266, -1.0679702758789062, -2.4136734008789062, -1.9002647399902344, -0.9912624359130859, -0.9639453887939453, -2.341043472290039, -1.5612144470214844, -1.3404254913330078, -1.312896728515625, -1.3939781188964844, -2.556385040283203]"
"The main factor preventing subsistence economies from advancing economically is the lack of (A) a currency. (B) a well-connected transportation infrastructure. (C) government activity. and (D) a banking service.. Of the answer choices above, answer (C) is the",best,0,high_school_geography,"[-1.0078868865966797, -1.9775619506835938, -0.8181266784667969, -1.6307830810546875, -1.2870864868164062, -1.4605026245117188, -0.9543304443359375, -1.6124706268310547, -1.7287044525146484, -1.4036884307861328, -1.5988311767578125, -1.5198097229003906, -1.6720714569091797, -1.6814498901367188, -0.7319526672363281, -1.2710113525390625, -1.162017822265625, -1.5428123474121094, -1.043661117553711, -1.2186088562011719, -1.3422565460205078, -1.3406867980957031, -1.4616031646728516, -0.6598224639892578, -1.4463539123535156, -2.1686630249023438, -1.9298763275146484, -1.1030712127685547, -0.7046470642089844, -1.4028129577636719, -0.903839111328125, -1.8157978057861328, -1.5728130340576172, -1.6284236907958984, -1.4467086791992188, -1.2720470428466797, -2.1098995208740234, -0.9094142913818359, -0.7329311370849609, -1.3086376190185547, -1.8735980987548828, -2.0948410034179688, -1.2347335815429688, -2.000415802001953, -2.3033199310302734, -1.6328392028808594, -2.229940414428711, -1.7839431762695312, -1.1337432861328125, -1.5548667907714844]"
"The main factor preventing subsistence economies from advancing economically is the lack of (A) a currency. (B) a well-connected transportation infrastructure. (C) government activity. and (D) a banking service.. Of the answer choices above, answer (D) is the",best,0,high_school_geography,"[-2.0580081939697266, -1.5860309600830078, -0.6856460571289062, -1.603738784790039, -1.5823020935058594, -1.5540199279785156, -1.8836994171142578, -1.4798297882080078, -1.2812919616699219, -2.399564743041992, -1.141317367553711, -1.6274909973144531, -1.0438823699951172, -1.2353172302246094, -0.8303928375244141, -1.3360824584960938, -2.0465431213378906, -1.3063392639160156, -3.3209228515625, -1.7996463775634766, -1.7549571990966797, -1.3661842346191406, -1.407827377319336, -1.4654884338378906, -1.3190574645996094, -1.311126708984375, -1.721649169921875, -1.370615005493164, -1.2616119384765625, -0.853485107421875, -0.7728404998779297, -2.344207763671875, -1.528839111328125, -1.2931442260742188, -1.7102088928222656, -1.5048770904541016, -1.4241962432861328, -1.7129364013671875, -1.68939208984375, -2.1451168060302734, -2.402973175048828, -1.7509193420410156, -1.5771064758300781, -1.7414608001708984, -1.110391616821289, -2.3374710083007812, -1.4489002227783203, -0.8588638305664062, -2.3849754333496094, -1.5186634063720703]"
"The tendency for a population to continue to grow long after replacement fertility has been achieved is called (A) zero population growth. (B) rapid growth rate. (C) homeostatic plateau. and (D) demographic momentum.. Of the answer choices above, answer (A) is the",best,0,high_school_geography,"[-1.185750961303711, -0.5461215972900391, -1.0948219299316406, -1.6270160675048828, -3.875547409057617, -0.7160243988037109, -1.3099174499511719, -0.8894500732421875, -1.8031940460205078, -1.033426284790039, -1.8221778869628906, -1.1497955322265625, -0.9867038726806641, -1.9817790985107422, -1.6570854187011719, -1.1873645782470703, -1.2495269775390625, -1.69146728515625, -1.170358657836914, -1.6324653625488281, -1.8601951599121094, -1.6573219299316406, -1.1182212829589844, -0.9246959686279297, -1.801645278930664, -1.4401378631591797, -1.854513168334961, -0.9848709106445312, -1.792337417602539, -1.306589126586914, -1.9247055053710938, -1.3593769073486328, -1.1115188598632812, -0.8816032409667969, -1.1036434173583984, -2.2000770568847656, -1.7338085174560547, -1.1211776733398438, -2.570230484008789, -1.327178955078125, -3.555339813232422, -0.7089309692382812, -0.6106281280517578, -2.3789501190185547, -0.4374408721923828, -0.9611129760742188, -2.080709457397461, -1.6622543334960938, -0.9862880706787109, -1.158365249633789]"
"The tendency for a population to continue to grow long after replacement fertility has been achieved is called (A) zero population growth. (B) rapid growth rate. (C) homeostatic plateau. and (D) demographic momentum.. Of the answer choices above, answer (B) is the",best,0,high_school_geography,"[-1.8803386688232422, -1.3736324310302734, -2.299541473388672, -1.3991928100585938, -1.406747817993164, -0.771209716796875, -1.7000865936279297, -1.9777793884277344, -1.6199569702148438, -2.212278366088867, -1.2918567657470703, -0.8859004974365234, -1.162841796875, -1.379629135131836, -1.3325634002685547, -1.472890853881836, -1.1120872497558594, -1.0402183532714844, -0.9698696136474609, -2.1449546813964844, -1.2579574584960938, -2.300945281982422, -1.4183292388916016, -2.009798049926758, -0.8255882263183594, -1.1243648529052734, -1.4190540313720703, -1.6165218353271484, -1.1022377014160156, -1.6790828704833984, -1.6881389617919922, -2.0607357025146484, -1.6758365631103516, -2.000089645385742, -0.8138771057128906, -1.0770034790039062, -0.9686336517333984, -2.24652099609375, -1.0345439910888672, -1.4532451629638672, -1.3558521270751953, -1.2473220825195312, -1.7301006317138672, -1.4877738952636719, -1.4663276672363281, -2.1937999725341797, -1.6033897399902344, -1.2185783386230469, -1.1371326446533203, -1.8309803009033203]"
"The tendency for a population to continue to grow long after replacement fertility has been achieved is called (A) zero population growth. (B) rapid growth rate. (C) homeostatic plateau. and (D) demographic momentum.. Of the answer choices above, answer (C) is the",best,0,high_school_geography,"[-1.8489933013916016, -1.6090564727783203, -0.8517627716064453, -2.072315216064453, -0.8228816986083984, -1.4162921905517578, -2.1136112213134766, -1.2075653076171875, -0.9871883392333984, -0.9434299468994141, -1.1604499816894531, -2.2122745513916016, -2.3590545654296875, -1.1600341796875, -1.6183910369873047, -0.5634365081787109, -0.886688232421875, -1.1329383850097656, -0.8232669830322266, -1.0443153381347656, -1.199270248413086, -1.6484012603759766, -1.5803794860839844, -1.9082260131835938, -1.9827919006347656, -2.786937713623047, -1.619974136352539, -1.7279586791992188, -1.2023239135742188, -1.4362163543701172, -1.3716812133789062, -1.4490470886230469, -1.0203800201416016, -0.8567619323730469, -1.5859527587890625, -1.737783432006836, -1.675821304321289, -1.157297134399414, -0.8485145568847656, -0.8651866912841797, -1.7146835327148438, -1.425100326538086, -1.217508316040039, -1.510519027709961, -0.6601943969726562, -1.0313835144042969, -1.248046875, -1.4854927062988281, -1.1585216522216797, -1.2252998352050781]"
"The tendency for a population to continue to grow long after replacement fertility has been achieved is called (A) zero population growth. (B) rapid growth rate. (C) homeostatic plateau. and (D) demographic momentum.. Of the answer choices above, answer (D) is the",best,1,high_school_geography,"[-1.2569026947021484, -0.8902473449707031, -0.9319343566894531, -0.7406749725341797, -1.4130001068115234, -0.9130153656005859, -1.1455745697021484, -1.6615886688232422, -1.3412094116210938, -1.0926342010498047, -1.5166988372802734, -1.734354019165039, -1.212930679321289, -1.8254547119140625, -0.9285469055175781, -0.9115009307861328, -1.726705551147461, -2.2755699157714844, -1.5642662048339844, -1.268463134765625, -1.474142074584961, -0.9761142730712891, -0.4354667663574219, -1.5043869018554688, -1.7415618896484375, -0.9354419708251953, -2.2674026489257812, -1.1070213317871094, -1.6999340057373047, -1.6126632690429688, -1.0793495178222656, -1.1825313568115234, -0.7438583374023438, -2.4963626861572266, -1.6470146179199219, -1.0429096221923828, -1.4092845916748047, -1.7302894592285156, -1.4881267547607422, -1.794809341430664, -2.283285140991211, -1.1495590209960938, -2.93963623046875, -2.4644088745117188, -2.33905029296875, -1.2772064208984375, -1.8077945709228516, -2.518218994140625, -0.8248996734619141, -1.5255165100097656]"
"The tendency for migration to decrease with distance is called (A) push factors. (B) pull factors. (C) distance decay. and (D) migration selectivity.. Of the answer choices above, answer (A) is the",best,0,high_school_geography,"[-0.869415283203125, -1.9167060852050781, -1.8361072540283203, -1.5013294219970703, -2.309751510620117, -1.0963401794433594, -0.8892345428466797, -0.7479934692382812, -0.6374759674072266, -1.2879657745361328, -0.9839572906494141, -2.0247726440429688, -1.3061065673828125, -0.6819972991943359, -1.4540691375732422, -0.9758739471435547, -1.3869876861572266, -1.3172836303710938, -0.4537010192871094, -0.6989631652832031, -1.1532096862792969, -1.8842658996582031, -0.5797920227050781, -2.4746036529541016, -1.5180835723876953, -1.8451118469238281, -0.6113719940185547, -1.6424674987792969, -0.874359130859375, -1.1341609954833984, -2.1330642700195312, -2.2491111755371094, -1.1897106170654297, -1.8954086303710938, -1.1495609283447266, -2.5414047241210938, -1.8813114166259766, -1.3201713562011719, -0.6893367767333984, -1.7849807739257812, -1.5201530456542969, -1.690774917602539, -1.0954360961914062, -2.721342086791992, -1.3082504272460938, -2.348264694213867, -1.7806777954101562, -0.7585105895996094, -1.4433765411376953, -1.3752517700195312]"
"The tendency for migration to decrease with distance is called (A) push factors. (B) pull factors. (C) distance decay. and (D) migration selectivity.. Of the answer choices above, answer (B) is the",best,0,high_school_geography,"[-1.8223419189453125, -1.0068283081054688, -1.0259513854980469, -1.531332015991211, -1.0488147735595703, -1.384164810180664, -1.6979293823242188, -1.4082450866699219, -1.0100650787353516, -0.7334499359130859, -1.5790634155273438, -1.68890380859375, -1.851959228515625, -1.2549629211425781, -1.7574176788330078, -0.9490089416503906, -1.2454566955566406, -1.4767398834228516, -1.3179569244384766, -1.2627182006835938, -0.6278400421142578, -0.7380084991455078, -1.3420085906982422, -1.1847763061523438, -1.722879409790039, -1.0189495086669922, -1.3182086944580078, -0.8753147125244141, -2.509092330932617, -1.9973506927490234, -0.8754234313964844, -1.2169933319091797, -0.7446098327636719, -2.2725296020507812, -0.9812088012695312, -1.2340354919433594, -1.3921241760253906, -2.3474349975585938, -1.0151958465576172, -1.0351638793945312, -2.0466861724853516, -0.8296127319335938, -1.2555789947509766, -1.0270156860351562, -1.1011543273925781, -1.4215564727783203, -1.6401901245117188, -1.689535140991211, -1.9104194641113281, -0.793609619140625]"
