preamble,stimulus,is_correct,subject,stimulus_prob
"The main factor preventing subsistence economies from advancing economically is the lack of (A) a currency. (B) a well-connected transportation infrastructure. (C) government activity. and (D) a banking service.. Of the answer choices above, answer (A) is the",best,0,high_school_geography,"[-1.0112972259521484, -1.4293994903564453, -14.628121376037598, -1.6579904556274414, -1.3027095794677734, -1.6403446197509766, -1.7061271667480469, -1.2123184204101562, -14.848854064941406, -17.721935272216797, -1.1450271606445312, -1.0020809173583984, -1.918055534362793, -1.5597267150878906, -1.5128631591796875, -1.1662139892578125, -1.144394874572754, -1.1624774932861328, -2.207390785217285, -1.4333114624023438, -1.2560129165649414, -1.3955955505371094, -1.0631532669067383, -0.8335456848144531, -12.80530834197998, -1.7726755142211914, -1.592362403869629, -1.3780221939086914, -1.587493896484375, -1.1589441299438477, -1.3768577575683594, -1.4506797790527344, -1.4902019500732422, -1.2463550567626953, -1.1499691009521484, -0.9314413070678711, -1.3941164016723633, -1.4909429550170898, -1.6514339447021484, -0.9631986618041992, -1.3889141082763672, -1.4638957977294922, -2.0615434646606445, -15.428990364074707, -0.9804344177246094, -2.1099185943603516, -1.8161258697509766, -1.0984830856323242, -1.241403579711914, -1.539250373840332]"
"The main factor preventing subsistence economies from advancing economically is the lack of (A) a currency. (B) a well-connected transportation infrastructure. (C) government activity. and (D) a banking service.. Of the answer choices above, answer (B) is the",best,1,high_school_geography,"[-1.2763442993164062, -1.5375328063964844, -1.7360267639160156, -1.2840595245361328, -2.0957765579223633, -13.445978164672852, -1.004404067993164, -1.2578544616699219, -0.8667058944702148, -0.9791679382324219, -1.61614990234375, -1.0250263214111328, -1.4928112030029297, -1.3655281066894531, -0.9470415115356445, -1.0018997192382812, -1.5151968002319336, -1.7888755798339844, -1.8582687377929688, -1.1148557662963867, -1.107564926147461, -1.282851219177246, -0.6726541519165039, -1.5282583236694336, -1.9403324127197266, -1.1452751159667969, -1.3096237182617188, -0.9502782821655273, -0.9993314743041992, -1.680485725402832, -0.9303388595581055, -1.4678716659545898, -14.166345596313477, -1.5207347869873047, -0.9707374572753906, -1.1892547607421875, -1.1616334915161133, -0.9465532302856445, -1.8975048065185547, -0.8779087066650391, -14.208457946777344, -1.0849313735961914, -0.8013896942138672, -0.8568992614746094, -0.9227619171142578, -1.955892562866211, -1.1889429092407227, -0.9561929702758789, -0.9950771331787109, -0.9650659561157227]"
"The main factor preventing subsistence economies from advancing economically is the lack of (A) a currency. (B) a well-connected transportation infrastructure. (C) government activity. and (D) a banking service.. Of the answer choices above, answer (C) is the",best,0,high_school_geography,"[-13.742918014526367, -1.2916145324707031, -11.755796432495117, -15.102442741394043, -1.1246099472045898, -1.6782217025756836, -1.0400848388671875, -1.2193412780761719, -1.7141399383544922, -1.466583251953125, -1.2528657913208008, -1.9191665649414062, -1.3945960998535156, -0.6829919815063477, -13.848369598388672, -1.1848020553588867, -1.0019607543945312, -1.1467742919921875, -14.870079040527344, -1.5667362213134766, -1.1672658920288086, -1.1214628219604492, -1.1813592910766602, -1.8258590698242188, -1.0802698135375977, -0.8102426528930664, -1.6584491729736328, -1.2066879272460938, -1.0874996185302734, -1.2391576766967773, -1.321671485900879, -12.661966323852539, -13.400272369384766, -2.140848159790039, -1.6561708450317383, -1.0061616897583008, -1.5810508728027344, -1.2928848266601562, -1.6656608581542969, -0.5927572250366211, -2.0861024856567383, -14.640680313110352, -1.7452278137207031, -1.1965055465698242, -1.364537239074707, -1.1521339416503906, -1.0732097625732422, -1.773076057434082, -1.0059661865234375, -1.236435890197754]"
"The main factor preventing subsistence economies from advancing economically is the lack of (A) a currency. (B) a well-connected transportation infrastructure. (C) government activity. and (D) a banking service.. Of the answer choices above, answer (D) is the",best,0,high_school_geography,"[-1.9482040405273438, -1.2229490280151367, -0.8447093963623047, -1.2824277877807617, -1.1848077774047852, -1.177220344543457, -0.9752483367919922, -1.6427841186523438, -1.1329259872436523, -1.0832252502441406, -1.359548568725586, -1.6160144805908203, -14.911189079284668, -1.8532238006591797, -1.6165790557861328, -1.4445133209228516, -1.4000492095947266, -1.684229850769043, -1.4770584106445312, -0.8786535263061523, -0.8768644332885742, -1.0574359893798828, -1.2902259826660156, -0.9827136993408203, -1.3996047973632812, -2.0446462631225586, -1.1797962188720703, -1.5580253601074219, -1.4973716735839844, -1.799530029296875, -1.2982902526855469, -1.4659299850463867, -1.3025541305541992, -1.348994255065918, -0.9657306671142578, -1.2945852279663086, -1.3889093399047852, -0.823359489440918, -1.2031974792480469, -1.0955333709716797, -1.5635566711425781, -1.2562389373779297, -1.3443384170532227, -1.1871519088745117, -0.8470687866210938, -1.7642908096313477, -1.1865224838256836, -0.8394804000854492, -0.8679704666137695, -14.395439147949219]"
"The tendency for a population to continue to grow long after replacement fertility has been achieved is called (A) zero population growth. (B) rapid growth rate. (C) homeostatic plateau. and (D) demographic momentum.. Of the answer choices above, answer (A) is the",best,0,high_school_geography,"[-1.483595848083496, -1.2341527938842773, -14.28491497039795, -1.130615234375, -1.1236419677734375, -1.9073619842529297, -1.3698225021362305, -0.6537952423095703, -1.163076400756836, -1.1979856491088867, -0.6812973022460938, -1.195115089416504, -1.1519956588745117, -1.467890739440918, -1.4476795196533203, -1.2538938522338867, -1.5659713745117188, -1.5649728775024414, -1.7327947616577148, -1.2470502853393555, -1.0792274475097656, -1.6431493759155273, -1.4278764724731445, -1.5992774963378906, -0.6772174835205078, -1.276799201965332, -1.6237373352050781, -1.3000421524047852, -0.8327093124389648, -16.0113525390625, -1.183553695678711, -1.085092544555664, -0.9504203796386719, -2.2792816162109375, -1.3378410339355469, -2.069563865661621, -1.2224140167236328, -1.0283098220825195, -14.586991310119629, -0.8144721984863281, -1.0798873901367188, -1.2176094055175781, -1.5325870513916016, -1.9048490524291992, -1.5906085968017578, -1.9169588088989258, -1.5371999740600586, -1.0174312591552734, -1.5302324295043945, -1.7430381774902344]"
"The tendency for a population to continue to grow long after replacement fertility has been achieved is called (A) zero population growth. (B) rapid growth rate. (C) homeostatic plateau. and (D) demographic momentum.. Of the answer choices above, answer (B) is the",best,0,high_school_geography,"[-1.0241193771362305, -1.169112205505371, -1.1480255126953125, -1.895608901977539, -13.31960678100586, -16.39674949645996, -14.207392692565918, -1.6924800872802734, -1.2931938171386719, -1.2419157028198242, -0.8622989654541016, -2.433426856994629, -1.4812211990356445, -1.5802860260009766, -1.8019943237304688, -1.287337303161621, -0.9415159225463867, -1.6958904266357422, -1.7492084503173828, -1.6489992141723633, -1.1790685653686523, -1.6884469985961914, -1.9965381622314453, -1.5153217315673828, -1.5021591186523438, -1.141922950744629, -1.307779312133789, -1.8186922073364258, -1.873499870300293, -1.0565223693847656, -1.4217348098754883, -1.3550891876220703, -1.5735340118408203, -1.3609867095947266, -2.1412296295166016, -12.083617210388184, -1.2082633972167969, -1.4180583953857422, -1.230133056640625, -15.018373489379883, -1.4057483673095703, -1.1341609954833984, -1.2108287811279297, -16.41392707824707, -1.4636058807373047, -1.990818977355957, -0.7745447158813477, -1.3760347366333008, -1.3334770202636719, -2.2920360565185547]"
"The tendency for a population to continue to grow long after replacement fertility has been achieved is called (A) zero population growth. (B) rapid growth rate. (C) homeostatic plateau. and (D) demographic momentum.. Of the answer choices above, answer (C) is the",best,0,high_school_geography,"[-1.1228752136230469, -1.2249069213867188, -1.5544891357421875, -1.0237188339233398, -1.3159542083740234, -0.9218301773071289, -1.5257291793823242, -1.8607902526855469, -1.269968032836914, -1.4229545593261719, -1.150465965270996, -1.5654916763305664, -1.5659847259521484, -1.7117881774902344, -1.7161827087402344, -1.9121284484863281, -1.5785541534423828, -1.18560791015625, -1.519144058227539, -1.3689746856689453, -1.1642284393310547, -1.9619998931884766, -0.9439096450805664, -1.7105064392089844, -1.575636863708496, -1.1417179107666016, -1.5971183776855469, -1.398223876953125, -1.0794601440429688, -1.1186914443969727, -0.920405387878418, -1.1165084838867188, -1.4272308349609375, -1.851618766784668, -13.313286781311035, -1.8482904434204102, -2.2045669555664062, -1.0189838409423828, -11.355667114257812, -1.1381034851074219, -1.4224185943603516, -0.990509033203125, -2.2185869216918945, -0.9778976440429688, -1.6687746047973633, -0.7333803176879883, -1.0729560852050781, -1.9312124252319336, -1.490281105041504, -1.222834587097168]"
"The tendency for a population to continue to grow long after replacement fertility has been achieved is called (A) zero population growth. (B) rapid growth rate. (C) homeostatic plateau. and (D) demographic momentum.. Of the answer choices above, answer (D) is the",best,1,high_school_geography,"[-1.9368581771850586, -1.0540580749511719, -1.56829833984375, -0.8053493499755859, -16.386810302734375, -0.8796577453613281, -1.9094934463500977, -1.3053245544433594, -1.715433120727539, -1.1508808135986328, -0.9947948455810547, -1.5891952514648438, -1.9533557891845703, -0.9763498306274414, -1.7500743865966797, -1.2513742446899414, -1.3506126403808594, -14.305617332458496, -1.2749509811401367, -1.9921255111694336, -0.9379196166992188, -1.859466552734375, -1.3919181823730469, -1.6992521286010742, -1.102147102355957, -1.8328371047973633, -1.0114164352416992, -1.5399770736694336, -1.1198978424072266, -1.0641260147094727, -0.9199018478393555, -1.354781150817871, -13.714449882507324, -1.0301322937011719, -1.052811622619629, -1.201822280883789, -1.9939994812011719, -1.4656896591186523, -1.2533512115478516, -1.9546394348144531, -1.0110244750976562, -15.719106674194336, -0.5752487182617188, -1.2188453674316406, -1.0036582946777344, -1.8455934524536133, -1.3309307098388672, -14.257950782775879, -1.7039613723754883, -2.108509063720703]"
"The tendency for migration to decrease with distance is called (A) push factors. (B) pull factors. (C) distance decay. and (D) migration selectivity.. Of the answer choices above, answer (A) is the",best,0,high_school_geography,"[-17.118925094604492, -1.2304248809814453, -1.0517158508300781, -1.4426155090332031, -1.9293899536132812, -13.393856048583984, -1.4740962982177734, -1.046255111694336, -1.1450119018554688, -2.154343605041504, -1.1810226440429688, -2.068326950073242, -1.1657352447509766, -1.553823471069336, -2.3523263931274414, -1.5133113861083984, -1.2918195724487305, -1.4225740432739258, -14.494023323059082, -1.1698713302612305, -1.7518386840820312, -1.7082281112670898, -1.8591041564941406, -1.627558708190918, -1.9417610168457031, -0.9816064834594727, -1.1322689056396484, -15.352293968200684, -1.2046070098876953, -1.7941627502441406, -1.8017206192016602, -1.970254898071289, -1.1057462692260742, -1.2499666213989258, -1.1765966415405273, -0.47371387481689453, -1.0527191162109375, -1.7363910675048828, -0.9877233505249023, -1.5154352188110352, -0.7447786331176758, -2.0988082885742188, -1.8429040908813477, -1.007589340209961, -1.24810791015625, -1.1481761932373047, -1.3033714294433594, -1.4328126907348633, -1.433298110961914, -1.1923294067382812]"
"The tendency for migration to decrease with distance is called (A) push factors. (B) pull factors. (C) distance decay. and (D) migration selectivity.. Of the answer choices above, answer (B) is the",best,0,high_school_geography,"[-0.9629335403442383, -1.4440193176269531, -2.072861671447754, -11.840350151062012, -0.8520298004150391, -0.9733829498291016, -1.0339946746826172, -1.7814788818359375, -0.9353971481323242, -1.3845577239990234, -1.3141403198242188, -1.830862045288086, -1.906412124633789, -2.2681360244750977, -1.2543678283691406, -1.9911956787109375, -1.3661746978759766, -1.3134660720825195, -1.7090415954589844, -1.5698204040527344, -1.0394487380981445, -1.5459260940551758, -1.0009746551513672, -1.1849451065063477, -1.1208209991455078, -1.201120376586914, -1.3183813095092773, -1.7199974060058594, -1.1958894729614258, -0.9601678848266602, -1.0170726776123047, -2.1696577072143555, -0.914154052734375, -0.8140220642089844, -1.5126962661743164, -1.2925329208374023, -0.8782739639282227, -1.621870994567871, -1.7724494934082031, -1.1778373718261719, -15.376091003417969, -0.8160371780395508, -1.5664873123168945, -0.9614286422729492, -1.2428779602050781, -1.4760427474975586, -13.534093856811523, -1.4772710800170898, -1.3312149047851562, -0.9245567321777344]"
