preamble,stimulus,is_correct,subject,stimulus_prob
"Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that (A) inflation had already impacted the economy before the fiscal stimulus. (B) the economy initially had some unemployed resources. (C) aggregate supply decreased. and (D) aggregate demand is steeply sloped.. Of the answer choices above, answer (A) is the",best,0,high_school_macroeconomics,"[-0.8750286102294922, -1.0128974914550781, -0.9784774780273438, -1.6444587707519531, -1.6673393249511719, -1.789175033569336, -1.145853042602539, -1.7026901245117188, -1.5481185913085938, -2.2073612213134766, -0.7567081451416016, -2.517353057861328, -1.4054718017578125, -1.2171363830566406, -1.4575977325439453, -0.936767578125, -1.7708797454833984, -0.7105503082275391, -0.8379974365234375, -0.9405784606933594, -1.3896560668945312, -1.3994083404541016, -1.8375835418701172, -1.0154151916503906, -1.2648239135742188, -0.8578605651855469, -1.4222965240478516, -1.7379341125488281, -1.8002243041992188, -2.0331077575683594, -1.1193294525146484, -1.2392311096191406, -0.6778087615966797, -1.0104866027832031, -1.9133033752441406, -1.2705974578857422, -1.5294551849365234, -1.5241432189941406, -2.1131114959716797, -1.3416461944580078, -1.8257255554199219, -2.4991302490234375, -1.5908775329589844, nan, -1.2870235443115234, -1.3597946166992188, -1.0755901336669922, -1.0632991790771484, -0.94677734375, -1.706716537475586]"
"Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that (A) inflation had already impacted the economy before the fiscal stimulus. (B) the economy initially had some unemployed resources. (C) aggregate supply decreased. and (D) aggregate demand is steeply sloped.. Of the answer choices above, answer (B) is the",best,1,high_school_macroeconomics,"[-2.318553924560547, -1.33563232421875, -1.2959709167480469, -2.0005245208740234, -1.4288997650146484, -0.8049850463867188, -1.2004165649414062, -0.8827381134033203, -1.292928695678711, -1.076751708984375, -1.071023941040039, -1.3769664764404297, -1.8654155731201172, -1.099954605102539, -1.5524921417236328, -1.6801223754882812, -1.0093994140625, -1.5875778198242188, -1.1546707153320312, -0.6467933654785156, -1.7667961120605469, -0.9225749969482422, -1.9345436096191406, -1.4857158660888672, -1.5801029205322266, -0.44818115234375, -1.2389240264892578, -0.8884811401367188, -1.6654205322265625, -1.7865924835205078, -1.8526630401611328, -1.0658435821533203, -1.413522720336914, -0.92327880859375, -1.6807918548583984, -1.0200176239013672, -0.7359733581542969, -1.2119007110595703, -1.9948158264160156, -1.8104915618896484, -1.7994575500488281, -1.2263221740722656, -1.9812545776367188, -1.3896484375, -0.9501075744628906, -1.6600818634033203, -1.440938949584961, -1.7365036010742188, -1.9057273864746094, -0.8647994995117188]"
"Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that (A) inflation had already impacted the economy before the fiscal stimulus. (B) the economy initially had some unemployed resources. (C) aggregate supply decreased. and (D) aggregate demand is steeply sloped.. Of the answer choices above, answer (C) is the",best,0,high_school_macroeconomics,"[-1.0619525909423828, -1.4418487548828125, -1.5396709442138672, -1.0622081756591797, -1.5659713745117188, -1.489471435546875, -2.3987560272216797, -2.5840282440185547, -2.0833282470703125, -1.7758235931396484, -0.5286788940429688, -0.6959095001220703, -1.486135482788086, -2.5815467834472656, -1.074554443359375, -1.4437904357910156, -1.4505558013916016, -1.8074226379394531, -1.1142807006835938, -1.8190231323242188, -0.9074554443359375, -1.695648193359375, -1.1020088195800781, -1.9298553466796875, -1.7852706909179688, -1.7903194427490234, -1.5502490997314453, -1.5773963928222656, -0.8305778503417969, -1.9836006164550781, -1.4943008422851562, -1.5867042541503906, -1.5962066650390625, -1.626962661743164, -0.9791107177734375, -1.1664543151855469, -1.6879119873046875, -1.505819320678711, -0.6550579071044922, -2.285043716430664, -0.6576461791992188, -2.1639041900634766, -0.8349075317382812, -1.6805095672607422, -1.7139053344726562, -1.3809623718261719, -1.3439483642578125, -1.4955978393554688, -1.3869438171386719, -1.7246894836425781]"
"Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that (A) inflation had already impacted the economy before the fiscal stimulus. (B) the economy initially had some unemployed resources. (C) aggregate supply decreased. and (D) aggregate demand is steeply sloped.. Of the answer choices above, answer (D) is the",best,0,high_school_macroeconomics,"[-1.2923364639282227, -1.3179359436035156, -1.9640083312988281, -1.9443111419677734, -3.250814437866211, -1.5796833038330078, -1.4449901580810547, -0.46251869201660156, -1.131032943725586, -1.6640148162841797, -1.861276626586914, -2.0460033416748047, -1.8644256591796875, -2.1323509216308594, -1.1893882751464844, nan, -1.4039592742919922, -1.4389991760253906, -1.8475608825683594, -1.1151580810546875, -2.9453048706054688, -1.856964111328125, -2.343006134033203, -1.0364131927490234, -1.1812610626220703, -3.130268096923828, -1.3537330627441406, -1.4973888397216797, -2.0542373657226562, -2.1658592224121094, -1.4401664733886719, -1.378194808959961, -1.5354652404785156, -2.126497268676758, -1.5518112182617188, -2.0934715270996094, -2.2316761016845703, -1.4595870971679688, -1.6687355041503906, -2.1524505615234375, -1.8189029693603516, -1.6299400329589844, -2.0657997131347656, -1.1501026153564453, -0.9246788024902344, -1.045400619506836, -1.663034439086914, -1.1569576263427734, -2.645854949951172, -1.2683277130126953]"
"Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens (A) II III and IV only (B) I and III only (C) II and IV only and (D) III and IV only. Of the answer choices above, answer (A) is the",best,0,high_school_macroeconomics,"[-2.3936758041381836, -1.0068397521972656, -0.7574195861816406, -0.8341064453125, -1.3101959228515625, -0.5475730895996094, -0.5884304046630859, -4.170175552368164, -0.5067100524902344, -0.6376266479492188, -1.4603347778320312, -0.7483081817626953, -0.5755195617675781, -1.2318134307861328, -2.2209548950195312, -2.03033447265625, -0.9488277435302734, -0.5825557708740234, -0.7876873016357422, -0.6971759796142578, -1.5580272674560547, -1.4261894226074219, -0.720367431640625, -0.6055164337158203, -0.275726318359375, -0.6969223022460938, -1.8466167449951172, -1.367300033569336, -0.2677173614501953, -1.1876964569091797, -3.596930503845215, -1.682546615600586, -0.6576747894287109, -0.7865028381347656, -0.6725616455078125, -1.6714344024658203, -0.7055015563964844, -0.6051826477050781, nan, -0.5732326507568359, -0.9550647735595703, -0.6148147583007812, -0.7275218963623047, -0.9919452667236328, -0.5419673919677734, -0.28191184997558594, -0.8542976379394531, -0.9899311065673828, -1.5197219848632812, -0.8415870666503906]"
"Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens (A) II III and IV only (B) I and III only (C) II and IV only and (D) III and IV only. Of the answer choices above, answer (B) is the",best,0,high_school_macroeconomics,"[-0.9408130645751953, -1.5010833740234375, -0.20518112182617188, -1.21417236328125, -1.0865821838378906, -0.8795070648193359, -1.8845062255859375, -0.6083183288574219, -0.7973308563232422, -0.5882568359375, -0.2088909149169922, -0.47570037841796875, -0.8941059112548828, -1.1416358947753906, -0.9860248565673828, -0.9157733917236328, -0.24492454528808594, -0.8964424133300781, -0.46109771728515625, -0.8911418914794922, -0.8387107849121094, -0.2517871856689453, -0.307098388671875, -0.8997611999511719, -0.7363300323486328, nan, -0.7113552093505859, -0.5646514892578125, -0.7125568389892578, -0.43950462341308594, -0.6096286773681641, -0.24829864501953125, -1.5505084991455078, -1.1107749938964844, -0.8839778900146484, -1.21734619140625, -1.0402050018310547, -1.0329780578613281, -0.3206806182861328, -1.309469223022461, -0.7481670379638672, -0.7921371459960938, -1.3921546936035156, -0.9923553466796875, -0.7369022369384766, -1.2295055389404297, -0.7658500671386719, -0.3254966735839844, -1.2243881225585938, -1.3316574096679688]"
"Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens (A) II III and IV only (B) I and III only (C) II and IV only and (D) III and IV only. Of the answer choices above, answer (C) is the",best,0,high_school_macroeconomics,"[-1.5018138885498047, -0.49733924865722656, -0.5123672485351562, -0.8881778717041016, -1.1896095275878906, -0.8072547912597656, -0.2051715850830078, -1.0795707702636719, -0.6949977874755859, -1.9505538940429688, -0.3297557830810547, -1.0830707550048828, -1.2458515167236328, -0.5910625457763672, -0.4548835754394531, -0.7082443237304688, -0.6678619384765625, -0.70489501953125, -2.507396697998047, -1.142578125, -0.8700351715087891, -0.5646572113037109, -1.4500503540039062, -0.9316043853759766, -2.385904312133789, -1.3898239135742188, -1.5026741027832031, -0.28357696533203125, -1.458810806274414, -1.3155384063720703, -0.723785400390625, -0.2733898162841797, -1.0883140563964844, -0.6695938110351562, -0.31052398681640625, -2.2040328979492188, -0.9162101745605469, -0.5756683349609375, -1.5142154693603516, -0.7386512756347656, -0.37059974670410156, -0.30907630920410156, -0.9498500823974609, -0.9377899169921875, -1.5751056671142578, -0.7533626556396484, -1.4757843017578125, -0.6615791320800781, -0.9620609283447266, -1.6604957580566406]"
"Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens (A) II III and IV only (B) I and III only (C) II and IV only and (D) III and IV only. Of the answer choices above, answer (D) is the",best,1,high_school_macroeconomics,"[-1.504159927368164, -1.2504463195800781, -1.3358802795410156, -1.3007736206054688, -0.8909168243408203, -1.2971267700195312, -1.1206626892089844, -0.5670890808105469, -0.8711299896240234, -1.105743408203125, -1.1711158752441406, -1.8334522247314453, -1.0504894256591797, -1.2957534790039062, -1.0124588012695312, -1.0641593933105469, -0.35488319396972656, -1.3357658386230469, -1.0316352844238281, -0.2166290283203125, -0.8133583068847656, -1.6551132202148438, -2.0967063903808594, -0.41262245178222656, -1.1860828399658203, -0.5556144714355469, -0.972900390625, -1.3045330047607422, -1.0365734100341797, -0.9521141052246094, -0.8083400726318359, -1.833597183227539, -1.1045417785644531, -0.9640293121337891, -1.4139575958251953, nan, -0.9930992126464844, -1.4352149963378906, -1.429147720336914, -1.2144031524658203, -0.8531055450439453, -1.2651481628417969, -1.4978866577148438, -1.9909124374389648, -1.6536808013916016, -1.2343673706054688, -1.7673873901367188, -0.5549545288085938, -0.9976119995117188, -2.223421096801758]"
"When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain? (A) The price level rises but real GDP falls. (B) Both the price level and real GDP rise. (C) The price level rises but the change in real GDP is uncertain. and (D) Real GDP rises but the change in the price level is uncertain.. Of the answer choices above, answer (A) is the",best,0,high_school_macroeconomics,"[-1.378662109375, -1.6967201232910156, -1.0812950134277344, -1.0684566497802734, -1.5027999877929688, -0.9796371459960938, -2.820892333984375, -2.546476364135742, -2.6136226654052734, -1.3840465545654297, -0.49349403381347656, -1.3245353698730469, -1.627187728881836, -0.6427669525146484, -1.1413555145263672, -1.5201282501220703, -1.5847148895263672, -1.63818359375, -1.9517059326171875, -2.894026756286621, -0.9577865600585938, -1.1688575744628906, -1.442138671875, -1.1262731552124023, -1.405294418334961, -1.8049201965332031, -0.6230316162109375, -1.7144794464111328, -0.9018707275390625, -2.6278018951416016, -1.1222858428955078, -1.4608383178710938, -0.9213447570800781, -1.6001529693603516, -1.7260398864746094, -1.4091815948486328, -2.788166046142578, -1.4553337097167969, -1.3132915496826172, -0.6146469116210938, -0.8742084503173828, -0.9412174224853516, nan, -0.9370269775390625, -1.4720516204833984, -1.4509735107421875, -1.9215812683105469, -1.746774673461914, -1.8155460357666016, -1.8260478973388672]"
"When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain? (A) The price level rises but real GDP falls. (B) Both the price level and real GDP rise. (C) The price level rises but the change in real GDP is uncertain. and (D) Real GDP rises but the change in the price level is uncertain.. Of the answer choices above, answer (B) is the",best,0,high_school_macroeconomics,"[-0.9263629913330078, -1.026580810546875, -1.7091732025146484, -1.7211227416992188, -0.7603416442871094, -1.296060562133789, -1.6241207122802734, -1.3508491516113281, -1.9005088806152344, -1.7259788513183594, -1.3457832336425781, -0.8669395446777344, -1.4626579284667969, -2.2573795318603516, -2.2425403594970703, -2.2473526000976562, -1.3686561584472656, -0.8704013824462891, -2.2290916442871094, -1.3721275329589844, -0.5560131072998047, -1.8568191528320312, -0.8733234405517578, -1.9898204803466797, -1.5043907165527344, -1.9897441864013672, -1.6122570037841797, -2.4314727783203125, -0.6409816741943359, -1.0851764678955078, -1.1817283630371094, -1.0785942077636719, -1.7089824676513672, -1.6885337829589844, -1.291543960571289, -1.862086296081543, -1.3902702331542969, -1.0604877471923828, -1.3674659729003906, -1.6334152221679688, -1.3014240264892578, -1.0248851776123047, -1.6814594268798828, -1.2753639221191406, -1.2095890045166016, -2.6806468963623047, -1.283529281616211, -1.432474136352539, -0.9536609649658203, -1.157867431640625]"
