preamble,stimulus,is_correct,subject,stimulus_prob
"Marginal revenue equals marginal cost at the point where (A) total revenue is greater than total cost at its greatest distance (B) total revenue is equal to total cost (C) marginal product is at its highest point and (D) total product is at its highest point. Of the answer choices above, answer (A) is the",best,1,high_school_microeconomics,"[-2.703125, -1.9375, -1.96875, -0.9765625, -2.484375, -1.1796875, -3.0625, -2.25, -1.1015625, -2.9921875, -2.1328125, -2.0546875, -2.125, -2.4609375, -1.0, -1.4609375, -0.703125, -2.2421875, -1.7734375, -3.390625, -1.78125, -1.9765625, -1.8984375, -1.953125, -2.390625, -2.125, -1.5390625, -2.4765625, -1.703125, -2.171875, -1.7421875, -2.671875, -1.953125, -2.2890625, -1.78125, -2.5546875, -3.6796875, -1.75, -3.125, -1.96875, -2.2109375, -2.1328125, -1.9375, -2.21875, -2.1953125, -2.0625, -1.6953125, -1.9453125, -2.3046875, -2.78125]"
"Marginal revenue equals marginal cost at the point where (A) total revenue is greater than total cost at its greatest distance (B) total revenue is equal to total cost (C) marginal product is at its highest point and (D) total product is at its highest point. Of the answer choices above, answer (B) is the",best,0,high_school_microeconomics,"[-1.8671875, -2.84375, -1.9140625, -1.421875, -2.375, -2.9296875, -1.4765625, -2.984375, -2.359375, -3.078125, -3.2109375, -2.953125, -2.3984375, -2.9609375, -2.109375, -2.7890625, -3.140625, -2.1640625, -2.375, -1.4609375, -1.21875, -1.875, -2.0390625, -2.828125, -2.7109375, -2.0390625, -3.765625, -1.7890625, -2.25, -2.2109375, -1.828125, -2.1171875, -3.171875, -1.328125, -2.3203125, -1.9453125, -1.65625, -1.625, -2.6640625, -2.7578125, -2.03125, -1.875, -1.6796875, -1.4765625, -3.171875, -1.3984375, -1.5859375, -2.0234375, -2.2421875, -2.1484375]"
"Marginal revenue equals marginal cost at the point where (A) total revenue is greater than total cost at its greatest distance (B) total revenue is equal to total cost (C) marginal product is at its highest point and (D) total product is at its highest point. Of the answer choices above, answer (C) is the",best,0,high_school_microeconomics,"[-2.171875, -1.4921875, -2.71875, -2.2265625, -2.2578125, -2.515625, -1.8984375, -2.4296875, -2.078125, -2.4375, -2.8828125, -2.203125, -0.8984375, -2.0078125, -3.796875, -1.5546875, -2.8046875, -1.9921875, -1.9609375, -1.8671875, -2.546875, -2.0703125, -2.1015625, -2.9609375, -1.8515625, -2.296875, -2.0703125, -2.96875, -1.796875, -1.84375, -1.296875, -1.8828125, -2.6328125, -3.6953125, -2.1796875, -2.1328125, -1.3984375, -2.28125, -2.3828125, -2.6015625, -1.7109375, -1.8203125, -1.5546875, -1.4921875, -1.7109375, -1.9296875, -3.25, -2.4375, -1.9609375, -3.0]"
"Marginal revenue equals marginal cost at the point where (A) total revenue is greater than total cost at its greatest distance (B) total revenue is equal to total cost (C) marginal product is at its highest point and (D) total product is at its highest point. Of the answer choices above, answer (D) is the",best,0,high_school_microeconomics,"[-1.8203125, -2.3671875, -1.921875, -1.265625, -2.0, -1.421875, -1.203125, -1.953125, -2.1875, -2.34375, -2.7890625, -2.2265625, -1.609375, -1.703125, -1.3515625, -2.9375, -2.265625, -2.296875, -1.7421875, -3.125, -2.015625, -2.3515625, -1.9140625, -3.3359375, -2.0703125, -1.6796875, -2.0078125, -2.6953125, -2.8125, -3.359375, -1.328125, -2.6328125, -1.5546875, -1.2734375, -1.703125, -2.1484375, -2.375, -1.8515625, -1.3671875, -2.8125, -2.28125, -2.0546875, -1.5234375, -1.234375, -2.328125, -1.21875, -1.59375, -2.484375, -2.0625, -2.0078125]"
"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do? (A) Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises. (B) Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls. (C) Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls. and (D) Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises.. Of the answer choices above, answer (A) is the",best,0,high_school_microeconomics,"[-1.9453125, -2.0859375, -2.9453125, -1.578125, -2.0, -1.96875, -1.7734375, -2.9765625, -2.921875, -1.6875, -2.015625, -2.4296875, -2.5703125, -2.8046875, -1.65625, -3.9609375, -1.875, -2.1015625, -4.5078125, -2.3359375, -3.2109375, -2.4375, -1.671875, -3.3828125, -2.8671875, -3.390625, -2.1171875, -3.7578125, -4.1796875, -1.78125, -4.1640625, -1.59375, -2.4296875, -2.5390625, -2.6875, -3.375, -4.6796875, -4.8203125, -3.328125, -2.4296875, -3.8828125, -4.5625, -3.53125, -3.1796875, -3.0859375, -3.7109375, -3.234375, -4.578125, -1.5, -2.6484375]"
"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do? (A) Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises. (B) Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls. (C) Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls. and (D) Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises.. Of the answer choices above, answer (B) is the",best,0,high_school_microeconomics,"[-2.4140625, -1.8359375, -2.40625, -3.2421875, -2.1015625, -2.5859375, -2.328125, -1.4609375, -3.4609375, -2.5703125, -1.9375, -3.671875, -2.5390625, -2.984375, -2.1328125, -2.6796875, -2.8515625, -3.5234375, -3.1328125, -3.0078125, -1.734375, -1.5234375, -3.09375, -3.1171875, -2.359375, -2.7265625, -1.9375, -1.15625, -2.3203125, -2.453125, -2.25, -2.375, -2.4609375, -2.734375, -2.2265625, -3.7265625, -3.5, -3.2109375, -2.8125, -4.53125, -2.828125, -2.8984375, -2.7578125, -3.265625, -1.96875, -1.2890625, -1.984375, -2.1015625, -2.453125, -4.4765625]"
"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do? (A) Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises. (B) Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls. (C) Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls. and (D) Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises.. Of the answer choices above, answer (C) is the",best,1,high_school_microeconomics,"[-1.25, -3.0078125, -3.203125, -1.9375, -2.234375, -1.53125, -2.203125, -2.5390625, -3.828125, -3.4296875, -2.5859375, -4.28125, -2.6015625, -2.3515625, -2.8515625, -2.4609375, -2.4921875, -1.5859375, -2.34375, -1.65625, -2.703125, -2.234375, -2.5234375, -3.9609375, -2.609375, -1.4453125, -3.3515625, -3.390625, -4.234375, -2.6953125, -2.890625, -1.546875, -4.0078125, -1.9375, -3.640625, -2.3671875, -2.3125, -3.9609375, -2.609375, -3.7109375, -2.3828125, -2.375, -5.609375, -2.8203125, -3.421875, -2.8828125, -2.953125, -1.96875, -2.4140625, -3.0078125]"
"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do? (A) Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises. (B) Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls. (C) Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls. and (D) Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises.. Of the answer choices above, answer (D) is the",best,0,high_school_microeconomics,"[-3.90625, -2.703125, -3.1875, -2.78125, -4.015625, -2.2109375, -2.515625, -4.203125, -3.5, -2.109375, -3.421875, -4.609375, -2.984375, -2.46875, -1.859375, -2.875, -2.8984375, -2.6875, -1.8203125, -1.2890625, -2.9140625, -2.3515625, -2.703125, -2.453125, -2.828125, -3.109375, -2.796875, -2.421875, -2.90625, -2.8984375, -2.453125, -1.5390625, -1.53125, -3.3125, -1.75, -3.2734375, -3.125, -1.3515625, -2.3515625, -2.4609375, -3.25, -2.203125, -2.5703125, -1.7578125, -3.375, -3.03125, -1.6796875, -2.078125, -4.0859375, -3.3359375]"
"At a Nash equilibrium, (A) the supply curve intersects the demand curve (B) neither party has an incentive to deviate from his or her strategy (C) the marginal revenue curve intersects the marginal cost curve and (D) the equilibrium is unstable and each party would like to switch strategies. Of the answer choices above, answer (A) is the",best,0,high_school_microeconomics,"[-2.1484375, -2.375, -2.453125, -3.7265625, -2.0234375, -2.015625, -2.1015625, -3.5390625, -1.3359375, -2.21875, -2.671875, -1.828125, -2.828125, -2.1171875, -1.296875, -1.5, -3.171875, -2.734375, -2.4296875, -3.7421875, -2.390625, -3.390625, -2.2890625, -1.3984375, -3.4765625, -2.1640625, -2.3515625, -1.5859375, -3.5859375, -3.5546875, -2.03125, -1.9765625, -5.28125, -1.7421875, -5.1953125, -1.5859375, -2.9921875, -4.25, -2.7890625, -1.9921875, -2.515625, -3.890625, -4.6328125, -2.3515625, -3.5625, -1.9296875, -1.59375, -3.890625, -2.7265625, -2.7421875]"
"At a Nash equilibrium, (A) the supply curve intersects the demand curve (B) neither party has an incentive to deviate from his or her strategy (C) the marginal revenue curve intersects the marginal cost curve and (D) the equilibrium is unstable and each party would like to switch strategies. Of the answer choices above, answer (B) is the",best,1,high_school_microeconomics,"[-3.1640625, -1.5, -2.28125, -2.1328125, -1.578125, -2.375, -3.2109375, -3.046875, -2.171875, -2.6328125, -2.390625, -1.9140625, -2.5703125, -2.5, -2.3984375, -2.03125, -2.6328125, -2.65625, -2.109375, -2.0703125, -2.4921875, -2.8046875, -1.28125, -2.4296875, -1.953125, -1.8828125, -1.953125, -3.7734375, -1.9609375, -1.90625, -1.859375, -2.3515625, -2.21875, -2.7578125, -1.703125, -2.6015625, -3.46875, -2.0390625, -2.8671875, -1.4140625, -3.640625, -3.4609375, -2.578125, -3.96875, -1.7265625, -2.7109375, -3.265625, -2.421875, -2.21875, -2.5]"
