preamble,stimulus,is_correct,subject,stimulus_prob
"Which of the following methods of detecting breast cancer involves exposure to radiation? (A) Needle aspiration (B) Mammography (C) Mastectomy and (D) Lumpectomy. Of the answer choices above, answer (A) is the",best,0,human_sexuality,"[-0.9028034210205078, -2.2035675048828125, -2.0878753662109375, -2.3270530700683594, -1.3296546936035156, -1.6148090362548828, -2.0389976501464844, -1.4630069732666016, -2.7247581481933594, -1.8986454010009766, -1.5885009765625, -2.339078903198242, -1.8156547546386719, -1.6088848114013672, -2.3760910034179688, -1.7287139892578125, -1.780660629272461, -2.0261058807373047, -1.8445587158203125, -1.566385269165039, -0.9468059539794922, -2.5079479217529297, -1.834259033203125, -1.8313865661621094, -1.7136268615722656, -1.4429950714111328, -1.225250244140625, -1.1794300079345703, -2.927906036376953, -2.4045143127441406, -2.456472396850586, -1.4100151062011719, -2.3658809661865234, -1.5793113708496094, -1.538106918334961, -1.5235729217529297, -1.465188980102539, -1.5859355926513672, -1.7527523040771484, -1.2064056396484375, -1.9407577514648438, -1.7288761138916016, -1.4962654113769531, -2.027223587036133, -2.000162124633789, -2.9255599975585938, -1.2419662475585938, -2.028606414794922, -1.8305988311767578, -2.3076305389404297]"
"Which of the following methods of detecting breast cancer involves exposure to radiation? (A) Needle aspiration (B) Mammography (C) Mastectomy and (D) Lumpectomy. Of the answer choices above, answer (B) is the",best,1,human_sexuality,"[-2.7060317993164062, -1.8141899108886719, -1.966684341430664, -1.8026580810546875, -1.7816905975341797, -1.410858154296875, -1.9444732666015625, -2.1094970703125, -2.800922393798828, -2.641256332397461, -1.8060054779052734, -1.798574447631836, -1.5433425903320312, -2.593179702758789, -1.3526782989501953, -1.4922046661376953, -2.229684829711914, -1.6944618225097656, -2.3152027130126953, -2.5560264587402344, -2.240304946899414, -2.205219268798828, -0.996490478515625, -2.8758296966552734, -2.022867202758789, -2.770130157470703, -1.3818130493164062, -2.480724334716797, -1.8370513916015625, -1.6004638671875, -2.1991100311279297, -1.4697017669677734, -1.205301284790039, -1.9761199951171875, -4.47198486328125, -1.7165584564208984, -2.243532180786133, -1.5299549102783203, -2.2527542114257812, -1.5025043487548828, -1.6396522521972656, -2.5418567657470703, -2.3157711029052734, -1.268585205078125, -2.6547374725341797, -2.7068424224853516, -2.7602005004882812, -1.611968994140625, -1.6266422271728516, -1.9686546325683594]"
"Which of the following methods of detecting breast cancer involves exposure to radiation? (A) Needle aspiration (B) Mammography (C) Mastectomy and (D) Lumpectomy. Of the answer choices above, answer (C) is the",best,0,human_sexuality,"[-2.292764663696289, -1.9529285430908203, -1.7902851104736328, -2.4216880798339844, -1.7197914123535156, -2.4022254943847656, -1.0635643005371094, -0.9373722076416016, -1.0683727264404297, -2.4022159576416016, -2.3886146545410156, -2.675830841064453, -3.023183822631836, -2.027923583984375, -1.9418354034423828, -2.5333919525146484, -2.676359176635742, -1.3247261047363281, -2.538787841796875, -0.9389667510986328, -2.5914459228515625, -2.3905811309814453, -2.508573532104492, -1.7369499206542969, -3.239227294921875, -1.5511589050292969, -2.0804061889648438, -1.712209701538086, -2.0666275024414062, -2.1668701171875, -2.111377716064453, -1.765615463256836, -1.7888832092285156, -2.904123306274414, -2.4117488861083984, -1.8688926696777344, -2.049947738647461, -1.722463607788086, -1.9048309326171875, -2.0960445404052734, -1.8497314453125, -2.344636917114258, -2.7685813903808594, -1.9323806762695312, -2.075990676879883, -1.252969741821289, -1.9292640686035156, -2.310445785522461, -3.34710693359375, -1.9036731719970703]"
"Which of the following methods of detecting breast cancer involves exposure to radiation? (A) Needle aspiration (B) Mammography (C) Mastectomy and (D) Lumpectomy. Of the answer choices above, answer (D) is the",best,0,human_sexuality,"[-1.9326038360595703, -2.9271621704101562, -2.0342788696289062, -1.7772579193115234, -1.7189064025878906, -2.6554012298583984, -2.9599647521972656, -2.159231185913086, -2.517332077026367, -2.060405731201172, -2.0886917114257812, -2.3161888122558594, -1.841787338256836, -2.048257827758789, -0.9051284790039062, -1.4684257507324219, -2.3012313842773438, -1.9602432250976562, -0.7155418395996094, -1.865713119506836, -1.1362667083740234, -1.9324989318847656, -2.8519744873046875, -1.9668121337890625, -2.750761032104492, -3.4950084686279297, -1.1830806732177734, -1.6967964172363281, -2.4352493286132812, -2.7367477416992188, -1.8260459899902344, -2.1729736328125, -1.4824752807617188, -1.7280216217041016, -2.565114974975586, -1.8607120513916016, -2.541675567626953, -1.4420204162597656, -1.5030155181884766, -1.684213638305664, -1.1764450073242188, -2.076883316040039, -2.1532840728759766, -3.477022171020508, -2.1317596435546875, -1.4963817596435547, -2.6553878784179688, -2.4190025329589844, -1.2389678955078125, -1.4020748138427734]"
"The regions of the body that, when touched, are sexually exciting: (A) vary from person to person (B) vary for women depending on the phases of the menstrual cycle (C) are mainly on the lower portion of the body and (D) all of the above. Of the answer choices above, answer (A) is the",best,0,human_sexuality,"[-1.5722427368164062, -0.7055377960205078, -1.4200325012207031, -1.850738525390625, -1.5637035369873047, -1.590188980102539, -1.7194652557373047, -0.6208133697509766, -1.6839866638183594, -1.1539688110351562, -1.7743587493896484, -1.2213287353515625, -1.2316722869873047, -0.4993267059326172, -1.1034603118896484, -0.7996253967285156, -0.7082328796386719, -1.2089004516601562, -1.3217658996582031, -2.1980209350585938, -1.3683490753173828, -1.9309425354003906, -0.8444995880126953, -0.5664844512939453, -1.5949230194091797, -2.193096160888672, -1.3107643127441406, -0.9732398986816406, -1.405996322631836, -1.3640270233154297, -1.332876205444336, -1.437307357788086, -1.1536922454833984, -1.2310047149658203, -0.6834754943847656, -1.3192768096923828, -1.4457206726074219, -0.7127590179443359, -0.8757534027099609, -1.2208595275878906, -2.131498336791992, -1.3635730743408203, -1.5734672546386719, -0.6517314910888672, -1.0420818328857422, -2.0273494720458984, -1.1811485290527344, -0.9078292846679688, -0.9166698455810547, -1.600698471069336]"
"The regions of the body that, when touched, are sexually exciting: (A) vary from person to person (B) vary for women depending on the phases of the menstrual cycle (C) are mainly on the lower portion of the body and (D) all of the above. Of the answer choices above, answer (B) is the",best,0,human_sexuality,"[-2.1623363494873047, -1.0078010559082031, -1.2050724029541016, -2.341350555419922, -1.6385879516601562, -1.029855728149414, -0.9607200622558594, -2.028593063354492, -2.1605873107910156, -1.1334457397460938, -2.616159439086914, -0.9428062438964844, -2.1764087677001953, -1.7272357940673828, -1.1969184875488281, -1.4342422485351562, -1.3897075653076172, -2.2981090545654297, -1.0586585998535156, -2.7151565551757812, -2.3688087463378906, -1.6483039855957031, -1.021749496459961, -1.036428451538086, -1.4806652069091797, -1.3358535766601562, -0.6894416809082031, -1.8638954162597656, -1.1990127563476562, -1.1163921356201172, -1.3269691467285156, -1.611959457397461, -1.4540081024169922, -1.4817390441894531, -0.9650363922119141, -1.2269420623779297, -2.047788619995117, -1.4340801239013672, -0.9150485992431641, -1.8014793395996094, -1.6974830627441406, -1.1261253356933594, -1.3275814056396484, -2.3697052001953125, -1.3868770599365234, -1.5814590454101562, -1.7626457214355469, -0.9048213958740234, -1.2972755432128906, -1.9094352722167969]"
"The regions of the body that, when touched, are sexually exciting: (A) vary from person to person (B) vary for women depending on the phases of the menstrual cycle (C) are mainly on the lower portion of the body and (D) all of the above. Of the answer choices above, answer (C) is the",best,0,human_sexuality,"[-2.347503662109375, -1.2523536682128906, -1.1657066345214844, -0.3451042175292969, -1.0079593658447266, -2.27032470703125, -1.700582504272461, -1.4701690673828125, -1.6455230712890625, -1.9629955291748047, -1.3146209716796875, -1.5936145782470703, -1.5638999938964844, -1.249685287475586, -1.2789554595947266, -1.2117366790771484, -1.459066390991211, -1.6545124053955078, -1.6333770751953125, -1.5013465881347656, -0.8916740417480469, -2.509176254272461, -1.5144672393798828, -0.9608268737792969, -2.4055614471435547, -2.451559066772461, -0.7284221649169922, -1.4473075866699219, -1.1998958587646484, -0.6284370422363281, -2.032613754272461, -2.347179412841797, -1.3798770904541016, -1.075958251953125, -1.63323974609375, -1.3938941955566406, -1.4669647216796875, -1.12518310546875, -0.8082656860351562, -0.8414649963378906, -2.0599002838134766, -1.073028564453125, -1.4981365203857422, -0.9766864776611328, -1.4501266479492188, -0.6249790191650391, -1.7261772155761719, -1.8769760131835938, -1.4894771575927734, -1.5070323944091797]"
"The regions of the body that, when touched, are sexually exciting: (A) vary from person to person (B) vary for women depending on the phases of the menstrual cycle (C) are mainly on the lower portion of the body and (D) all of the above. Of the answer choices above, answer (D) is the",best,1,human_sexuality,"[-0.9843463897705078, -1.4014511108398438, -1.8078880310058594, -1.0386619567871094, -1.11114501953125, -1.0537872314453125, -0.7755661010742188, -2.011861801147461, -1.852518081665039, -1.6604290008544922, -0.8617095947265625, -1.1504974365234375, -1.4843196868896484, -1.8088798522949219, -1.4476261138916016, -0.6738471984863281, -0.6835212707519531, -1.6997909545898438, -1.5043449401855469, -1.4164161682128906, -0.8993587493896484, -1.5068855285644531, -0.81890869140625, -0.768707275390625, -2.5730457305908203, -1.9674091339111328, -0.7526226043701172, -1.3804130554199219, -1.1472644805908203, -1.1510906219482422, -1.1581859588623047, -1.4125537872314453, -1.2401256561279297, -0.9210624694824219, -0.5876426696777344, -1.9753246307373047, -0.7393379211425781, -2.686389923095703, -0.9059963226318359, -1.2143440246582031, -2.316579818725586, -0.7516880035400391, -1.1602649688720703, -1.195535659790039, -1.0368824005126953, -2.2546424865722656, -0.8576431274414062, -1.2752094268798828, -0.6759567260742188, -2.002880096435547]"
"Which of the following is/are true of gonorrhea? (A) can be treated with antibiotics (B) has a high risk of infection with a single exposure (C) is asymptomatic (without symptoms) in only a small percentage of those infected and (D) infections are limited to genital areas. Of the answer choices above, answer (A) is the",best,1,human_sexuality,"[-2.377256393432617, -2.2754688262939453, -2.5217456817626953, -1.623849868774414, -1.2856063842773438, -2.3100147247314453, -3.0938720703125, -2.332836151123047, -1.8889484405517578, -2.3545665740966797, -1.4850425720214844, -2.722728729248047, -2.061361312866211, -2.6385326385498047, -1.9687385559082031, -1.708517074584961, -1.8808269500732422, -1.5993919372558594, -2.838796615600586, -3.3220748901367188, -1.946329116821289, -1.5124397277832031, -1.3789749145507812, -1.8135948181152344, -1.8497772216796875, -1.0625476837158203, -1.7597846984863281, -2.857227325439453, -1.4783210754394531, -2.916563034057617, -2.0039291381835938, -1.3962745666503906, -1.4807453155517578, -1.446462631225586, -1.474945068359375, -2.4516353607177734, -1.4254398345947266, -1.3475914001464844, -2.106355667114258, -3.1360950469970703, -1.833404541015625, -2.806478500366211, -1.6975059509277344, -2.0323314666748047, -1.123910903930664, -2.6018619537353516, -3.202432632446289, -1.270334243774414, -1.6224918365478516, -1.526214599609375]"
"Which of the following is/are true of gonorrhea? (A) can be treated with antibiotics (B) has a high risk of infection with a single exposure (C) is asymptomatic (without symptoms) in only a small percentage of those infected and (D) infections are limited to genital areas. Of the answer choices above, answer (B) is the",best,0,human_sexuality,"[-2.087533950805664, -2.021371841430664, -1.9053936004638672, -2.422636032104492, -1.2984676361083984, -1.1186809539794922, -2.572925567626953, -3.17730712890625, -2.2864818572998047, -2.0809860229492188, -3.0282211303710938, -1.8999004364013672, -1.398101806640625, -1.53753662109375, -1.8582820892333984, -1.965444564819336, -1.7518882751464844, -1.4411811828613281, -4.033407211303711, -1.768960952758789, -1.1090011596679688, -1.8714542388916016, -2.7037410736083984, -2.6912174224853516, -0.9005126953125, -1.5453567504882812, -1.9002742767333984, -1.4058074951171875, -1.4191455841064453, -2.074605941772461, -2.4269561767578125, -1.260406494140625, -2.7432498931884766, -1.1429290771484375, -1.4392223358154297, -2.3184986114501953, -1.92071533203125, -2.2869815826416016, -1.4685554504394531, -2.2479705810546875, -1.9734535217285156, -1.9486618041992188, -2.6115894317626953, -1.7489013671875, -1.8350715637207031, -1.356801986694336, -2.9908447265625, -1.5831031799316406, -3.234172821044922, -2.8531246185302734]"
