preamble,stimulus,is_correct,subject,stimulus_prob
"Which of the following methods of detecting breast cancer involves exposure to radiation? (A) Needle aspiration (B) Mammography (C) Mastectomy and (D) Lumpectomy. Of the answer choices above, answer (A) is the",best,0,human_sexuality,"[-2.375, -2.7890625, -3.6640625, -3.6328125, -3.0625, -1.703125, -1.90625, -1.828125, -3.6640625, -2.1171875, -2.7109375, -1.8828125, -1.703125, -4.0625, -1.609375, -2.890625, -4.640625, -3.0546875, -1.765625, -2.359375, -1.3359375, -2.7421875, -1.6171875, -2.2890625, -3.6875, -2.109375, -2.4140625, -1.53125, -3.6484375, -2.0078125, -2.2265625, -2.890625, -2.7421875, -2.5234375, -2.203125, -3.3671875, -2.0078125, -1.1484375, -2.4140625, -2.9140625, -2.1015625, -1.6328125, -1.53125, -2.34375, -2.6015625, -3.2265625, -1.796875, -2.1953125, -2.328125, -2.9375]"
"Which of the following methods of detecting breast cancer involves exposure to radiation? (A) Needle aspiration (B) Mammography (C) Mastectomy and (D) Lumpectomy. Of the answer choices above, answer (B) is the",best,1,human_sexuality,"[-2.0546875, -2.09375, -2.7890625, -1.2734375, -0.7109375, -1.90625, -2.34375, -1.75, -2.875, -3.0859375, -1.7265625, -2.1953125, -3.734375, -2.1484375, -3.5390625, -2.3671875, -1.875, -2.2109375, -2.625, -1.875, -1.7734375, -3.71875, -2.7265625, -1.6953125, -1.7109375, -1.7109375, -1.3984375, -2.6640625, -2.4296875, -2.1328125, -2.578125, -1.8671875, -1.703125, -2.9921875, -2.234375, -2.7109375, -0.9921875, -2.0234375, -2.0546875, -2.5546875, -1.8671875, -2.8515625, -1.7109375, -1.4609375, -1.484375, -2.0, -2.3828125, -1.9453125, -3.46875, -1.25]"
"Which of the following methods of detecting breast cancer involves exposure to radiation? (A) Needle aspiration (B) Mammography (C) Mastectomy and (D) Lumpectomy. Of the answer choices above, answer (C) is the",best,0,human_sexuality,"[-2.25, -1.875, -2.5234375, -2.96875, -3.3828125, -1.71875, -1.8984375, -1.703125, -2.2109375, -2.4921875, -2.421875, -2.0078125, -1.734375, -2.7578125, -4.3046875, -1.4296875, -3.4375, -3.65625, -3.0, -4.765625, -3.1171875, -1.65625, -2.2421875, -5.0, -2.8984375, -1.796875, -2.4375, -2.5078125, -1.5859375, -1.09375, -2.8984375, -2.6953125, -2.859375, -2.5625, -2.3984375, -2.3125, -2.0078125, -2.046875, -3.28125, -3.21875, -2.0390625, -1.703125, -2.9765625, -1.921875, -3.09375, -3.265625, -2.90625, -2.3203125, -2.6015625, -1.765625]"
"Which of the following methods of detecting breast cancer involves exposure to radiation? (A) Needle aspiration (B) Mammography (C) Mastectomy and (D) Lumpectomy. Of the answer choices above, answer (D) is the",best,0,human_sexuality,"[-2.0390625, -1.5859375, -3.03125, -2.640625, -1.4453125, -1.703125, -1.921875, -0.8046875, -1.765625, -1.5703125, -1.265625, -2.78125, -2.765625, -2.265625, -1.390625, -2.0, -1.40625, -1.9609375, -2.125, -1.7265625, -2.6484375, -1.765625, -1.6875, -1.53125, -1.84375, -3.1328125, -1.8046875, -3.234375, -2.484375, -1.9453125, -1.5859375, -1.9609375, -1.359375, -1.4140625, -1.5234375, -1.6875, -0.984375, -1.5078125, -2.0859375, -2.71875, -1.9453125, -3.140625, -2.171875, -2.1484375, -2.5078125, -2.46875, -1.9765625, -2.9140625, -2.4921875, -3.1640625]"
"The regions of the body that, when touched, are sexually exciting: (A) vary from person to person (B) vary for women depending on the phases of the menstrual cycle (C) are mainly on the lower portion of the body and (D) all of the above. Of the answer choices above, answer (A) is the",best,0,human_sexuality,"[-2.546875, -3.3046875, -2.1875, -2.0859375, -2.0390625, -4.375, -3.2421875, -5.4453125, -2.5390625, -1.734375, -3.9140625, -3.234375, -4.578125, -2.5546875, -2.5390625, -2.890625, -2.140625, -2.203125, -3.375, -3.3984375, -3.0390625, -2.453125, -3.4453125, -3.40625, -2.453125, -2.484375, -2.4921875, -3.1328125, -1.984375, -3.265625, -1.703125, -3.1171875, -2.921875, -2.2734375, -3.265625, -3.734375, -3.2890625, -3.0078125, -2.328125, -3.359375, -2.4375, -2.8359375, -3.375, -2.5234375, -3.421875, -1.796875, -3.6875, -2.578125, -3.0625, -3.1171875]"
"The regions of the body that, when touched, are sexually exciting: (A) vary from person to person (B) vary for women depending on the phases of the menstrual cycle (C) are mainly on the lower portion of the body and (D) all of the above. Of the answer choices above, answer (B) is the",best,0,human_sexuality,"[-2.8515625, -3.796875, -3.0859375, -5.703125, -2.4296875, -2.953125, -3.53125, -2.0703125, -2.5703125, -2.6328125, -1.734375, -3.703125, -2.0703125, -2.8984375, -3.140625, -3.765625, -2.15625, -3.5859375, -3.328125, -3.8515625, -2.78125, -2.6015625, -2.703125, -3.640625, -3.8359375, -2.765625, -2.546875, -1.78125, -3.1796875, -2.4921875, -2.546875, -2.046875, -2.5, -2.65625, -2.6015625, -2.3671875, -4.390625, -3.46875, -2.8359375, -2.8359375, -1.765625, -4.0, -1.6484375, -3.515625, -2.9765625, -1.6875, -3.9140625, -2.4609375, -2.71875, -2.109375]"
"The regions of the body that, when touched, are sexually exciting: (A) vary from person to person (B) vary for women depending on the phases of the menstrual cycle (C) are mainly on the lower portion of the body and (D) all of the above. Of the answer choices above, answer (C) is the",best,0,human_sexuality,"[-2.3046875, -3.3203125, -3.921875, -2.5234375, -1.8203125, -2.8046875, -2.3984375, -3.25, -4.375, -4.109375, -1.671875, -3.3515625, -2.015625, -2.1640625, -4.95703125, -1.8828125, -2.4296875, -3.1171875, -3.2734375, -3.484375, -2.8125, -2.265625, -2.90625, -3.2734375, -3.640625, -2.796875, -3.2421875, -2.4765625, -3.0859375, -3.265625, -5.4375, -3.1875, -2.828125, -3.3984375, -3.8984375, -2.484375, -2.796875, -3.3125, -2.1328125, -2.6796875, -3.671875, -3.0390625, -3.296875, -3.7265625, -3.2421875, -2.1953125, -3.59375, -3.2109375, -3.1171875, -3.421875]"
"The regions of the body that, when touched, are sexually exciting: (A) vary from person to person (B) vary for women depending on the phases of the menstrual cycle (C) are mainly on the lower portion of the body and (D) all of the above. Of the answer choices above, answer (D) is the",best,1,human_sexuality,"[-3.1484375, -2.40625, -1.6796875, -1.8671875, -4.0390625, -2.4609375, -1.859375, -5.875, -3.1640625, -2.2421875, -1.703125, -2.5859375, -4.1484375, -2.4453125, -3.03125, -2.3828125, -4.1640625, -3.1953125, -2.203125, -2.8828125, -3.0234375, -2.53125, -3.078125, -1.625, -1.78125, -2.6796875, -1.859375, -2.2890625, -1.953125, -1.9140625, -2.953125, -2.4609375, -3.796875, -3.328125, -3.8203125, -2.5390625, -2.3125, -3.625, -2.8984375, -1.9765625, -2.3125, -2.484375, -3.0078125, -3.078125, -4.296875, -3.0234375, -2.390625, -2.53125, -2.6015625, -2.3046875]"
"Which of the following is/are true of gonorrhea? (A) can be treated with antibiotics (B) has a high risk of infection with a single exposure (C) is asymptomatic (without symptoms) in only a small percentage of those infected and (D) infections are limited to genital areas. Of the answer choices above, answer (A) is the",best,1,human_sexuality,"[-3.140625, -1.7734375, -1.6171875, -2.5078125, -1.4453125, -2.515625, -2.265625, -2.7734375, -2.4765625, -2.3125, -2.296875, -2.5, -2.625, -3.2109375, -1.9609375, -2.953125, -2.5390625, -1.78125, -2.234375, -2.546875, -3.3515625, -2.5, -2.71875, -2.8359375, -2.8359375, -2.1015625, -1.3984375, -2.4453125, -2.3046875, -2.53125, -2.296875, -3.453125, -1.6484375, -3.578125, -2.03125, -3.34375, -2.3515625, -1.8359375, -2.7109375, -2.1875, -3.3359375, -2.6171875, -2.71875, -2.2109375, -2.8984375, -3.46875, -3.1953125, -1.8828125, -2.2109375, -2.3203125]"
"Which of the following is/are true of gonorrhea? (A) can be treated with antibiotics (B) has a high risk of infection with a single exposure (C) is asymptomatic (without symptoms) in only a small percentage of those infected and (D) infections are limited to genital areas. Of the answer choices above, answer (B) is the",best,0,human_sexuality,"[-4.6875, -2.84375, -2.3671875, -2.3359375, -2.7890625, -2.6796875, -2.40625, -2.078125, -2.703125, -1.7265625, -1.7109375, -3.09375, -2.7421875, -3.84375, -1.8828125, -3.6171875, -2.5625, -1.8515625, -2.4140625, -3.90625, -2.3671875, -1.5546875, -3.8125, -2.8984375, -2.1953125, -1.984375, -1.296875, -1.2578125, -2.3515625, -2.28125, -1.7578125, -2.9453125, -3.1171875, -3.5625, -2.1484375, -2.7109375, -3.1015625, -2.375, -1.1640625, -2.7578125, -3.1875, -2.625, -2.6953125, -1.28125, -3.484375, -1.7421875, -2.3984375, -3.0625, -3.234375, -3.609375]"
