preamble,stimulus,is_correct,subject,stimulus_prob
"Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels? (A) The coastal State (B) The flag State (C) All States enjoy such jurisdiction and (D) The International Tribunal for the Law of the Sea. Of the answer choices above, answer (A) is the",best,0,international_law,[-2.00039005279541]
"Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels? (A) The coastal State (B) The flag State (C) All States enjoy such jurisdiction and (D) The International Tribunal for the Law of the Sea. Of the answer choices above, answer (B) is the",best,1,international_law,[-2.042255401611328]
"Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels? (A) The coastal State (B) The flag State (C) All States enjoy such jurisdiction and (D) The International Tribunal for the Law of the Sea. Of the answer choices above, answer (C) is the",best,0,international_law,[-1.9202337265014648]
"Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels? (A) The coastal State (B) The flag State (C) All States enjoy such jurisdiction and (D) The International Tribunal for the Law of the Sea. Of the answer choices above, answer (D) is the",best,0,international_law,[-2.2542076110839844]
"What is the meaning of justiciability? (A) Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders (B) Justiciability refers to the just nature or cause of a particular right (C) Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice and (D) Justiciability refers to the obligation of a State to enforce a particular Right. Of the answer choices above, answer (A) is the",best,1,international_law,[-1.8445720672607422]
"What is the meaning of justiciability? (A) Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders (B) Justiciability refers to the just nature or cause of a particular right (C) Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice and (D) Justiciability refers to the obligation of a State to enforce a particular Right. Of the answer choices above, answer (B) is the",best,0,international_law,[-2.1441755294799805]
"What is the meaning of justiciability? (A) Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders (B) Justiciability refers to the just nature or cause of a particular right (C) Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice and (D) Justiciability refers to the obligation of a State to enforce a particular Right. Of the answer choices above, answer (C) is the",best,0,international_law,[-1.848057746887207]
"What is the meaning of justiciability? (A) Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders (B) Justiciability refers to the just nature or cause of a particular right (C) Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice and (D) Justiciability refers to the obligation of a State to enforce a particular Right. Of the answer choices above, answer (D) is the",best,0,international_law,[-2.060685157775879]
"In what way is Responsibility to Protect (R2P) different from humanitarian intervention? (A) R2P is essentially the same as humanitarian intervention (B) R2P requires a call for assistance by the State in distress (C) R2P is less arbitrary because it requires some UNSC input and its primary objective is to avert a humanitarian crisis and (D) R2P always involves armed force, whereas humanitarian intervention does not. Of the answer choices above, answer (A) is the",best,0,international_law,[-1.7900009155273438]
"In what way is Responsibility to Protect (R2P) different from humanitarian intervention? (A) R2P is essentially the same as humanitarian intervention (B) R2P requires a call for assistance by the State in distress (C) R2P is less arbitrary because it requires some UNSC input and its primary objective is to avert a humanitarian crisis and (D) R2P always involves armed force, whereas humanitarian intervention does not. Of the answer choices above, answer (B) is the",best,0,international_law,[-1.849679946899414]
"In what way is Responsibility to Protect (R2P) different from humanitarian intervention? (A) R2P is essentially the same as humanitarian intervention (B) R2P requires a call for assistance by the State in distress (C) R2P is less arbitrary because it requires some UNSC input and its primary objective is to avert a humanitarian crisis and (D) R2P always involves armed force, whereas humanitarian intervention does not. Of the answer choices above, answer (C) is the",best,1,international_law,[-1.4893875122070312]
"In what way is Responsibility to Protect (R2P) different from humanitarian intervention? (A) R2P is essentially the same as humanitarian intervention (B) R2P requires a call for assistance by the State in distress (C) R2P is less arbitrary because it requires some UNSC input and its primary objective is to avert a humanitarian crisis and (D) R2P always involves armed force, whereas humanitarian intervention does not. Of the answer choices above, answer (D) is the",best,0,international_law,[-1.9725866317749023]
"What is the 'Lotus principle'? (A) The so-called Lotus principle is that 'restrictions upon the independence of States cannot therefore be presumed', or, as it has been construed, 'whatever is not prohibited is permitted in international law' (B) The so-called Lotus principle is that States are free to choose the Court that they will submit their disputes (C) The so-called Lotus principle is that States are not prohibited to assert their enforcement jurisdiction on the high seas and (D) The so-called Lotus principle is that customary law derives from the combination of State practice and opinio juris. Of the answer choices above, answer (A) is the",best,1,international_law,[-2.643437385559082]
"What is the 'Lotus principle'? (A) The so-called Lotus principle is that 'restrictions upon the independence of States cannot therefore be presumed', or, as it has been construed, 'whatever is not prohibited is permitted in international law' (B) The so-called Lotus principle is that States are free to choose the Court that they will submit their disputes (C) The so-called Lotus principle is that States are not prohibited to assert their enforcement jurisdiction on the high seas and (D) The so-called Lotus principle is that customary law derives from the combination of State practice and opinio juris. Of the answer choices above, answer (B) is the",best,0,international_law,[-2.714336395263672]
"What is the 'Lotus principle'? (A) The so-called Lotus principle is that 'restrictions upon the independence of States cannot therefore be presumed', or, as it has been construed, 'whatever is not prohibited is permitted in international law' (B) The so-called Lotus principle is that States are free to choose the Court that they will submit their disputes (C) The so-called Lotus principle is that States are not prohibited to assert their enforcement jurisdiction on the high seas and (D) The so-called Lotus principle is that customary law derives from the combination of State practice and opinio juris. Of the answer choices above, answer (C) is the",best,0,international_law,[-2.512086868286133]
"What is the 'Lotus principle'? (A) The so-called Lotus principle is that 'restrictions upon the independence of States cannot therefore be presumed', or, as it has been construed, 'whatever is not prohibited is permitted in international law' (B) The so-called Lotus principle is that States are free to choose the Court that they will submit their disputes (C) The so-called Lotus principle is that States are not prohibited to assert their enforcement jurisdiction on the high seas and (D) The so-called Lotus principle is that customary law derives from the combination of State practice and opinio juris. Of the answer choices above, answer (D) is the",best,0,international_law,[-2.76926326751709]
"Which of these statements best describes the UK Constitution? (A) The UK Constitution's only source of power is that of the sovereign (B) The UK Constitution gives the judiciary the power to overturn acts of parliament (C) The UK Constitution is uncodified and can be found in a number of sources and (D) The UK Constitution is based on a Bill of Rights. Of the answer choices above, answer (A) is the",best,0,international_law,[-1.3348588943481445]
