preamble,stimulus,is_correct,subject,stimulus_prob
"Which statement best explains the purpose of Hart's distinction between 'being obliged' and 'having an obligation'? (A) It demonstrates the difference between the internal and the external aspect of a rule. (B) It refutes the natural lawyer' view of the role of morality in law. (C) It explains the nature of power-conferring rules. and (D) It illuminates the concept of a rule.. Of the answer choices above, answer (A) is the",best,0,jurisprudence,"[-0.8661518096923828, -0.7833786010742188, -0.7161102294921875, -0.7519454956054688, -0.6585750579833984, -0.5900611877441406, -1.1652050018310547, -0.7132434844970703, -0.40317535400390625, -0.8839187622070312, -0.9597511291503906, -0.8476943969726562, -0.72650146484375, -0.49010467529296875, -0.7322673797607422, -0.9369926452636719, -0.4787712097167969, -1.187002182006836, -16.22046661376953, -1.074554443359375, -0.7614116668701172, -0.40450096130371094, -0.4277381896972656, -1.2348461151123047, -0.44277191162109375, -0.33600807189941406, -0.8049736022949219, -1.3892993927001953, -0.7276325225830078, -0.40760231018066406, -0.3571643829345703, -0.6566276550292969, -0.6917266845703125, -0.7755947113037109, -0.3463153839111328, -0.26373863220214844, -1.9691791534423828, -0.8304100036621094, -1.9125652313232422, -1.4602279663085938, -0.8359432220458984, -0.7113399505615234, -0.43164634704589844, -0.7965927124023438, -0.8005809783935547, -1.1428298950195312, -1.3758716583251953, -1.6500110626220703, -0.6832656860351562, -0.3219432830810547]"
"Which statement best explains the purpose of Hart's distinction between 'being obliged' and 'having an obligation'? (A) It demonstrates the difference between the internal and the external aspect of a rule. (B) It refutes the natural lawyer' view of the role of morality in law. (C) It explains the nature of power-conferring rules. and (D) It illuminates the concept of a rule.. Of the answer choices above, answer (B) is the",best,0,jurisprudence,"[-0.9360084533691406, -0.2530689239501953, -0.7021026611328125, -1.3812141418457031, -0.49700164794921875, -1.2028160095214844, -0.684539794921875, -0.24063873291015625, -0.775665283203125, -0.6048240661621094, -0.38468170166015625, -0.6724567413330078, -1.5286026000976562, -0.875274658203125, -0.34102439880371094, -0.5685577392578125, -0.7626533508300781, -0.7587165832519531, -0.6875152587890625, -0.7624721527099609, -0.8360595703125, -12.588703155517578, -0.839813232421875, -0.7627658843994141, -0.9368057250976562, -1.2608318328857422, -1.1775531768798828, -0.9712314605712891, -0.5650482177734375, -0.5203628540039062, -0.581146240234375, -0.5272560119628906, -1.0819587707519531, -0.5223884582519531, -1.2184696197509766, -0.9375133514404297, -1.083597183227539, -0.7358837127685547, -0.5456142425537109, -0.9647655487060547, -0.8996925354003906, -0.6722850799560547, -0.6803607940673828, -0.39258384704589844, -0.8476791381835938, -0.8281478881835938, -0.5982208251953125, -0.5313224792480469, -1.0599441528320312, -1.0186519622802734]"
"Which statement best explains the purpose of Hart's distinction between 'being obliged' and 'having an obligation'? (A) It demonstrates the difference between the internal and the external aspect of a rule. (B) It refutes the natural lawyer' view of the role of morality in law. (C) It explains the nature of power-conferring rules. and (D) It illuminates the concept of a rule.. Of the answer choices above, answer (C) is the",best,0,jurisprudence,"[-0.5468101501464844, -1.41778564453125, -0.6544513702392578, -1.4644889831542969, -1.2410717010498047, -1.1606769561767578, -0.4634971618652344, -1.893362045288086, -0.7428016662597656, -0.47064971923828125, -0.28483009338378906, -0.6768321990966797, -0.446746826171875, -0.7773704528808594, -0.9833164215087891, -0.6339626312255859, -2.3292236328125, -1.582571029663086, -0.6907997131347656, -1.090383529663086, -0.6737308502197266, -0.5665493011474609, -0.38079261779785156, -0.6145763397216797, -0.6346244812011719, -1.0861339569091797, -0.5580940246582031, -0.6601028442382812, -1.1252670288085938, -0.4774627685546875, -0.6209545135498047, -1.4036235809326172, -1.3305835723876953, -0.43804359436035156, -1.6463661193847656, -0.7555942535400391, -0.8494739532470703, -0.7128753662109375, -0.9835281372070312, -0.7129440307617188, -0.6755294799804688, -1.5679740905761719, -0.5444087982177734, -0.49071502685546875, -0.643707275390625, -0.5298309326171875, -0.5015316009521484, -0.8575611114501953, -1.084005355834961, -0.8120555877685547]"
"Which statement best explains the purpose of Hart's distinction between 'being obliged' and 'having an obligation'? (A) It demonstrates the difference between the internal and the external aspect of a rule. (B) It refutes the natural lawyer' view of the role of morality in law. (C) It explains the nature of power-conferring rules. and (D) It illuminates the concept of a rule.. Of the answer choices above, answer (D) is the",best,1,jurisprudence,"[-1.0094337463378906, -0.8955764770507812, -1.1910266876220703, -0.8675804138183594, -0.6299896240234375, -0.234222412109375, -0.7317123413085938, -1.1220359802246094, -0.2961235046386719, -0.5595703125, -0.5893230438232422, -1.0002784729003906, -0.8486766815185547, -1.5213947296142578, -0.6665191650390625, -0.8139495849609375, -0.5161972045898438, -0.9821071624755859, -1.0743026733398438, -0.8317508697509766, -0.8986778259277344, -0.6888236999511719, -0.7837905883789062, -0.9188709259033203, -0.5774154663085938, -0.9709434509277344, -0.5559558868408203, -1.2105579376220703, -1.0939502716064453, -0.996978759765625, -0.7363548278808594, -0.9799423217773438, -0.3146648406982422, -0.3960285186767578, -1.4642219543457031, -1.5445976257324219, -0.42224884033203125, -0.5655288696289062, -0.6484794616699219, -0.8614749908447266, -0.8997650146484375, -1.1399860382080078, -0.8696346282958984, -1.264902114868164, -0.4710674285888672, -2.1468982696533203, -1.1139907836914062, -1.2024955749511719, -0.5842742919921875, -0.8649253845214844]"
"Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way? (A) It is misinterpreted as a prediction. (B) His concept of status is misrepresented. (C) It is taken literally. and (D) His idea is considered inapplicable to Western legal systems.. Of the answer choices above, answer (A) is the",best,1,jurisprudence,"[-2.548107147216797, -1.3405532836914062, -1.0378131866455078, -0.5722923278808594, -1.2221546173095703, -1.284067153930664, -1.2209033966064453, -1.3992557525634766, -1.8682613372802734, -1.0182380676269531, -1.0335063934326172, -0.8359565734863281, -0.7569046020507812, -1.1525135040283203, -1.5260639190673828, -1.549692153930664, -0.6673355102539062, -0.9336013793945312, -0.82568359375, -1.4949398040771484, -1.7763252258300781, -1.1558666229248047, -1.0557327270507812, -1.3037471771240234, -1.618307113647461, -1.8051013946533203, -0.9869251251220703, -1.4994964599609375, -1.3558616638183594, -0.7698650360107422, -1.4294567108154297, -2.2056808471679688, -0.3888969421386719, -0.8163585662841797, -1.7625732421875, -1.1769657135009766, -0.8691959381103516, -1.6315727233886719, -1.1574974060058594, -1.5304145812988281, -1.208841323852539, -1.4728240966796875, -0.9720249176025391, -0.8218975067138672, -1.1174430847167969, -1.6699657440185547, -1.8644523620605469, -1.2500572204589844, -1.1671276092529297, -1.207611083984375]"
"Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way? (A) It is misinterpreted as a prediction. (B) His concept of status is misrepresented. (C) It is taken literally. and (D) His idea is considered inapplicable to Western legal systems.. Of the answer choices above, answer (B) is the",best,0,jurisprudence,"[-1.2925548553466797, -1.3604907989501953, -0.949462890625, -1.376129150390625, -0.8906669616699219, -1.0956287384033203, -1.2206401824951172, -1.2648735046386719, -0.9629020690917969, -1.1299972534179688, -1.8542823791503906, -1.7707977294921875, -1.1317768096923828, -0.8265304565429688, -1.6869964599609375, -1.0418014526367188, -2.86273193359375, -1.9216461181640625, -0.66278076171875, -1.1130867004394531, -1.4998054504394531, -1.02789306640625, -1.371999740600586, -0.9504947662353516, -1.9573068618774414, -1.2724857330322266, -1.8618278503417969, -1.4815788269042969, -2.187173843383789, -1.2026958465576172, -1.376241683959961, -1.2247486114501953, -1.466949462890625, -1.9007720947265625, -1.4915390014648438, -1.296091079711914, -1.5576839447021484, -1.0104103088378906, -1.9436454772949219, -0.6159858703613281, -1.2831077575683594, -1.6449813842773438, -1.8090858459472656, -1.2220821380615234, -1.289113998413086, -1.5770149230957031, -1.9647998809814453, -1.5757427215576172, -1.6341514587402344, -1.9292144775390625]"
"Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way? (A) It is misinterpreted as a prediction. (B) His concept of status is misrepresented. (C) It is taken literally. and (D) His idea is considered inapplicable to Western legal systems.. Of the answer choices above, answer (C) is the",best,0,jurisprudence,"[-1.9124565124511719, -0.8389301300048828, -1.1345691680908203, -1.1253032684326172, -1.1032142639160156, -1.2403030395507812, -1.5111083984375, -1.3800697326660156, -1.1421623229980469, -1.2015628814697266, -1.6668930053710938, -1.517190933227539, -0.42827796936035156, -0.7115116119384766, -0.9105720520019531, -1.253570556640625, -1.5213050842285156, -1.0333595275878906, -1.0967350006103516, -1.2046089172363281, -1.348867416381836, -1.4719581604003906, -1.0973949432373047, -1.5028057098388672, -1.546518325805664, -0.6333789825439453, -1.3964996337890625, -2.1838836669921875, -1.7334918975830078, -1.4356327056884766, -0.7566795349121094, -2.3230857849121094, -1.2543411254882812, -0.8222217559814453, -0.8012886047363281, -1.3426895141601562, -2.6239013671875, -1.232177734375, -1.6506481170654297, -0.7135219573974609, -1.4632301330566406, -0.9590644836425781, -0.7861118316650391, -1.2745304107666016, -1.340118408203125, -1.4736709594726562, -0.9574375152587891, -1.360952377319336, -3.293498992919922, -1.438711166381836]"
"Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way? (A) It is misinterpreted as a prediction. (B) His concept of status is misrepresented. (C) It is taken literally. and (D) His idea is considered inapplicable to Western legal systems.. Of the answer choices above, answer (D) is the",best,0,jurisprudence,"[-1.3343143463134766, -1.5134811401367188, -2.297300338745117, -1.0373592376708984, -2.5641727447509766, -2.4723358154296875, -0.8634490966796875, -1.7542152404785156, -2.012197494506836, -2.319448471069336, -1.372314453125, -1.5359172821044922, -1.042245864868164, -1.4231319427490234, -0.7653770446777344, -1.8202285766601562, -0.6890029907226562, -1.2116889953613281, -0.9650840759277344, -0.6928462982177734, -1.526571273803711, -1.7151260375976562, -3.137115478515625, -0.9151248931884766, -1.2594833374023438, -1.5854129791259766, -1.181375503540039, -1.6563758850097656, -0.6348552703857422, -0.8364982604980469, -1.2136459350585938, -2.2995243072509766, -2.313783645629883, -2.003213882446289, -1.5994205474853516, -1.8266448974609375, -1.3393268585205078, -2.2528934478759766, -2.0613842010498047, -1.8559207916259766, -0.7282600402832031, -1.472982406616211, -0.6797142028808594, -2.177692413330078, -1.4475173950195312, -1.3386955261230469, -0.7570133209228516, -0.9924545288085938, -1.6385726928710938, -1.5395183563232422]"
"Which of the following factors contributed significantly to the revival of natural law in the 20th century? (A) Depression of the 1930 (B) The rise of Fascism (C) The international recognition of human rights after World War II and (D) The Bolshevik Revolution. Of the answer choices above, answer (A) is the",best,0,jurisprudence,"[-2.094837188720703, -0.5448265075683594, -1.3128890991210938, -0.75177001953125, -1.5193042755126953, -1.328268051147461, -1.2092247009277344, -0.5811996459960938, -1.759622573852539, -1.724313735961914, -1.4807415008544922, -1.5889034271240234, -1.2634220123291016, -1.0117511749267578, -0.9357376098632812, -2.201885223388672, -2.392210006713867, -1.4777278900146484, -1.3122119903564453, -2.337434768676758, -1.8705368041992188, -1.041839599609375, -1.8309593200683594, -1.2488536834716797, -2.185710906982422, -1.6616802215576172, -1.4666004180908203, -0.7771377563476562, -2.344268798828125, -1.3895149230957031, -1.9412364959716797, -1.0830860137939453, -1.4738044738769531, -1.4505252838134766, -0.9666042327880859, -1.0765666961669922, -1.3346099853515625, -0.7819538116455078, -0.8883438110351562, -1.15277099609375, -1.933156967163086, -2.1508541107177734, -1.0607032775878906, -0.905303955078125, -0.9799900054931641, -1.7112960815429688, -1.8227214813232422, -0.7849597930908203, -0.9880561828613281, -1.311136245727539]"
"Which of the following factors contributed significantly to the revival of natural law in the 20th century? (A) Depression of the 1930 (B) The rise of Fascism (C) The international recognition of human rights after World War II and (D) The Bolshevik Revolution. Of the answer choices above, answer (B) is the",best,0,jurisprudence,"[-1.3840866088867188, -0.9967098236083984, -1.2332572937011719, -1.7580528259277344, -0.8675460815429688, -0.6960163116455078, -0.5744419097900391, -0.7300052642822266, -0.9294872283935547, -3.206806182861328, -1.3519573211669922, -1.8207511901855469, -0.7622833251953125, -1.4779891967773438, -0.47234535217285156, -0.6716823577880859, -1.025522232055664, -2.0036354064941406, -1.494110107421875, -1.8721370697021484, -2.049785614013672, -1.7203865051269531, -0.9610500335693359, -0.6378631591796875, -1.319540023803711, -1.2497844696044922, -1.5564746856689453, -1.7640380859375, -1.0942974090576172, -1.3118782043457031, -2.2872257232666016, -1.0133953094482422, -0.9465827941894531, -1.4576263427734375, -1.2890682220458984, -1.2392921447753906, -0.7483634948730469, -1.6972980499267578, -2.2377891540527344, -0.8035430908203125, -1.180511474609375, -1.3819847106933594, -1.6281051635742188, -0.8533821105957031, -1.3408145904541016, -2.0515594482421875, -1.2750511169433594, -0.9023609161376953, -1.0615062713623047, -1.9029197692871094]"
"Which of the following factors contributed significantly to the revival of natural law in the 20th century? (A) Depression of the 1930 (B) The rise of Fascism (C) The international recognition of human rights after World War II and (D) The Bolshevik Revolution. Of the answer choices above, answer (C) is the",best,1,jurisprudence,"[-1.4692878723144531, -1.0326499938964844, -1.7509307861328125, -1.1545791625976562, -0.5768413543701172, -0.6962909698486328, -1.0656394958496094, -1.1724014282226562, -2.1514854431152344, -1.3127250671386719, -1.0261573791503906, -2.0161495208740234, -1.651895523071289, -0.9026126861572266, -0.499267578125, -0.8054866790771484, -0.8831806182861328, -1.6847496032714844, -1.6624889373779297, -1.8264312744140625, -1.4379463195800781, -1.0085620880126953, -1.1172771453857422, -18.51711082458496, -1.3915538787841797, -0.6639595031738281, -2.1449737548828125, -0.931793212890625, -0.623321533203125, -1.1644058227539062, -1.8477973937988281, -1.2308158874511719, -1.2427921295166016, -0.7940177917480469, -0.7696743011474609, -1.5805892944335938, -1.887603759765625, -1.582876205444336, -1.346658706665039, -1.5786914825439453, -1.4749164581298828, -1.0222148895263672, -1.2044601440429688, -1.9099884033203125, -1.5502700805664062, -1.353902816772461, -0.6326923370361328, -0.5944099426269531, -0.8724880218505859, -0.9578056335449219]"
"Which of the following factors contributed significantly to the revival of natural law in the 20th century? (A) Depression of the 1930 (B) The rise of Fascism (C) The international recognition of human rights after World War II and (D) The Bolshevik Revolution. Of the answer choices above, answer (D) is the",best,0,jurisprudence,"[-1.4403438568115234, -1.253683090209961, -2.0278892517089844, -2.425579071044922, -2.441415786743164, -1.5201244354248047, -0.8816719055175781, -1.1218814849853516, -2.4140453338623047, -1.060495376586914, -1.4895076751708984, -0.6715850830078125, -1.864725112915039, -1.2786445617675781, -1.4843826293945312, -1.291921615600586, -1.064809799194336, -1.303792953491211, -1.182394027709961, -1.6639423370361328, -1.6019153594970703, -1.6624832153320312, -1.3033084869384766, -0.8669586181640625, -1.2072029113769531, -1.2918071746826172, -0.9999904632568359, -1.9194679260253906, -1.746847152709961, -1.420248031616211, -1.0282821655273438, -1.0305862426757812, -1.7403945922851562, -1.5266284942626953, -1.2674407958984375, -1.9314441680908203, -1.7004451751708984, -1.4925861358642578, -1.4262447357177734, -1.345855712890625, -1.1464271545410156, -1.7077560424804688, -1.287069320678711, -1.4683685302734375, -2.6681175231933594, -1.4725151062011719, -1.1956825256347656, -1.895284652709961, -1.7670154571533203, -1.7619972229003906]"
"Which of the following criticisms of Llewellyn's distinction between the grand and formal styles of legal reasoning is the most compelling? (A) There is no distinction between the two forms of legal reasoning. (B) Judges are appointed to interpret the law, not to make it. (C) It is misleading to pigeon-hole judges in this way. and (D) Judicial reasoning is always formal.. Of the answer choices above, answer (A) is the",best,0,jurisprudence,"[-1.0404415130615234, -1.8779468536376953, -1.239389419555664, -1.8278522491455078, -1.5582408905029297, -2.2193126678466797, -1.2232208251953125, -2.5048179626464844, -0.6473884582519531, -1.7836189270019531, -0.8502235412597656, -1.1160831451416016, -1.0828113555908203, -1.6768035888671875, -2.4822235107421875, -1.9323043823242188, -1.6437702178955078, -1.0103588104248047, -2.731006622314453, -1.7933464050292969, -1.8111381530761719, -1.5753726959228516, -0.8984260559082031, -2.645160675048828, -1.3341598510742188, -2.522533416748047, -1.9297504425048828, -1.0905265808105469, -1.7160911560058594, -1.6873950958251953, -2.3853378295898438, -1.6338882446289062, -1.225667953491211, -1.3375282287597656, -1.3268585205078125, -1.9374847412109375, -0.8834476470947266, -2.231130599975586, -1.0028343200683594, -1.7261390686035156, -2.0608062744140625, -2.3027267456054688, -1.8719539642333984, -1.3068199157714844, -1.9556617736816406, -1.4881095886230469, -1.8207321166992188, -1.8154468536376953, -1.218057632446289, -2.2145252227783203]"
"Which of the following criticisms of Llewellyn's distinction between the grand and formal styles of legal reasoning is the most compelling? (A) There is no distinction between the two forms of legal reasoning. (B) Judges are appointed to interpret the law, not to make it. (C) It is misleading to pigeon-hole judges in this way. and (D) Judicial reasoning is always formal.. Of the answer choices above, answer (B) is the",best,0,jurisprudence,"[-1.8020343780517578, -2.4758758544921875, -1.743764877319336, -1.4764518737792969, -2.048015594482422, -3.2331104278564453, -1.1952438354492188, -0.9303150177001953, -0.9967842102050781, -1.3415641784667969, -2.800783157348633, -1.3093395233154297, -1.51165771484375, -1.7855854034423828, -2.692455291748047, -0.9619140625, -1.419189453125, -2.0918197631835938, -1.440399169921875, -1.425912857055664, -1.7197685241699219, -1.6899242401123047, -1.9626884460449219, -1.9695262908935547, -2.1578598022460938, -2.8278465270996094, -2.1367530822753906, -1.435220718383789, -2.931741714477539, -1.8966293334960938, -1.8056049346923828, -0.92626953125, -1.6863517761230469, -1.288614273071289, -0.6669979095458984, -1.75189208984375, -1.5373783111572266, -1.3369274139404297, -1.3576393127441406, -0.9406471252441406, -2.1619510650634766, -1.1897964477539062, -1.510030746459961, -1.5288219451904297, -2.948915481567383, -2.137035369873047, -2.0468101501464844, -2.437345504760742, -2.2357025146484375, -2.6972408294677734]"
