preamble,stimulus,is_correct,subject,stimulus_prob
"Which statement best explains the purpose of Hart's distinction between 'being obliged' and 'having an obligation'? (A) It demonstrates the difference between the internal and the external aspect of a rule. (B) It refutes the natural lawyer' view of the role of morality in law. (C) It explains the nature of power-conferring rules. and (D) It illuminates the concept of a rule.. Of the answer choices above, answer (A) is the",best,0,jurisprudence,[-0.7313251495361328]
"Which statement best explains the purpose of Hart's distinction between 'being obliged' and 'having an obligation'? (A) It demonstrates the difference between the internal and the external aspect of a rule. (B) It refutes the natural lawyer' view of the role of morality in law. (C) It explains the nature of power-conferring rules. and (D) It illuminates the concept of a rule.. Of the answer choices above, answer (B) is the",best,0,jurisprudence,[-0.7308855056762695]
"Which statement best explains the purpose of Hart's distinction between 'being obliged' and 'having an obligation'? (A) It demonstrates the difference between the internal and the external aspect of a rule. (B) It refutes the natural lawyer' view of the role of morality in law. (C) It explains the nature of power-conferring rules. and (D) It illuminates the concept of a rule.. Of the answer choices above, answer (C) is the",best,0,jurisprudence,[-0.7601165771484375]
"Which statement best explains the purpose of Hart's distinction between 'being obliged' and 'having an obligation'? (A) It demonstrates the difference between the internal and the external aspect of a rule. (B) It refutes the natural lawyer' view of the role of morality in law. (C) It explains the nature of power-conferring rules. and (D) It illuminates the concept of a rule.. Of the answer choices above, answer (D) is the",best,1,jurisprudence,[-0.7788639068603516]
"Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way? (A) It is misinterpreted as a prediction. (B) His concept of status is misrepresented. (C) It is taken literally. and (D) His idea is considered inapplicable to Western legal systems.. Of the answer choices above, answer (A) is the",best,1,jurisprudence,[-1.350738525390625]
"Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way? (A) It is misinterpreted as a prediction. (B) His concept of status is misrepresented. (C) It is taken literally. and (D) His idea is considered inapplicable to Western legal systems.. Of the answer choices above, answer (B) is the",best,0,jurisprudence,[-1.3535594940185547]
"Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way? (A) It is misinterpreted as a prediction. (B) His concept of status is misrepresented. (C) It is taken literally. and (D) His idea is considered inapplicable to Western legal systems.. Of the answer choices above, answer (C) is the",best,0,jurisprudence,[-1.2705974578857422]
"Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way? (A) It is misinterpreted as a prediction. (B) His concept of status is misrepresented. (C) It is taken literally. and (D) His idea is considered inapplicable to Western legal systems.. Of the answer choices above, answer (D) is the",best,0,jurisprudence,[-1.3987512588500977]
"Which of the following factors contributed significantly to the revival of natural law in the 20th century? (A) Depression of the 1930 (B) The rise of Fascism (C) The international recognition of human rights after World War II and (D) The Bolshevik Revolution. Of the answer choices above, answer (A) is the",best,0,jurisprudence,[-1.4781055450439453]
"Which of the following factors contributed significantly to the revival of natural law in the 20th century? (A) Depression of the 1930 (B) The rise of Fascism (C) The international recognition of human rights after World War II and (D) The Bolshevik Revolution. Of the answer choices above, answer (B) is the",best,0,jurisprudence,[-1.4182672500610352]
