preamble,stimulus,is_correct,subject,stimulus_prob
"Statement 1| Linear regression estimator has the smallest variance among all unbiased estimators. Statement 2| The coefficients α assigned to the classifiers assembled by AdaBoost are always non-negative. (A) True, True (B) False, False (C) True, False and (D) False, True. Of the answer choices above, answer (A) is the",best,0,machine_learning,"[-2.149974822998047, -1.5122489929199219, -2.1962718963623047, -1.6477947235107422, -2.3498992919921875, -2.087902069091797, -1.6638469696044922, -2.778749465942383, -3.1553211212158203, -2.437957763671875, -2.239114761352539, -1.417947769165039, -2.317829132080078, -1.394784927368164, -3.0425682067871094, -3.237018585205078, -2.2311573028564453, -2.7498607635498047, -3.2252426147460938, -2.105173110961914, -1.8800811767578125, -1.8917064666748047, -1.3642654418945312, -2.514972686767578, -2.6601486206054688, -1.0562248229980469, -2.5337867736816406, -1.9218940734863281, -1.1945247650146484, -2.908069610595703, -2.500986099243164, -2.5813770294189453, -2.653411865234375, -1.9328365325927734, -1.1839523315429688, -2.2190284729003906, -1.836709976196289, -1.09039306640625, -1.6104660034179688, -2.1352901458740234, -2.6355228424072266, -3.1331729888916016, -2.4841079711914062, -3.1270713806152344, -1.8879108428955078, -1.931488037109375, -2.6089839935302734, -2.4690685272216797, -3.390350341796875, -1.5076007843017578]"
"Statement 1| Linear regression estimator has the smallest variance among all unbiased estimators. Statement 2| The coefficients α assigned to the classifiers assembled by AdaBoost are always non-negative. (A) True, True (B) False, False (C) True, False and (D) False, True. Of the answer choices above, answer (B) is the",best,0,machine_learning,"[-1.8672351837158203, -1.9388465881347656, -3.201080322265625, -1.913381576538086, -1.399566650390625, -2.4092254638671875, -3.3325767517089844, -2.2885913848876953, -1.6738262176513672, -1.720022201538086, -2.3764705657958984, -1.507467269897461, -2.839792251586914, -2.358053207397461, -1.9612770080566406, -3.364927291870117, -1.5041122436523438, -2.281463623046875, -2.9206180572509766, -2.5858898162841797, -2.3148021697998047, -2.5078983306884766, -1.9866104125976562, -2.9099960327148438, -1.600198745727539, -2.785787582397461, -2.644430160522461, -1.5791339874267578, -3.292858123779297, -2.7914085388183594, -1.2808551788330078, -2.6709213256835938, -1.9735050201416016, -2.142271041870117, -3.1595821380615234, -1.4048328399658203, -2.4761829376220703, -1.8397369384765625, -3.5324363708496094, -4.009796142578125, -1.1830253601074219, -2.2894515991210938, -1.5075550079345703, -1.4703311920166016, -1.6098804473876953, -1.9734382629394531, -2.7515087127685547, -2.6631507873535156, -2.714599609375, -1.5142555236816406]"
"Statement 1| Linear regression estimator has the smallest variance among all unbiased estimators. Statement 2| The coefficients α assigned to the classifiers assembled by AdaBoost are always non-negative. (A) True, True (B) False, False (C) True, False and (D) False, True. Of the answer choices above, answer (C) is the",best,0,machine_learning,"[-1.68572998046875, -1.9494495391845703, -1.9467086791992188, -3.4905338287353516, -2.0764846801757812, -1.5418262481689453, -2.4271926879882812, -1.380899429321289, -1.8999862670898438, -3.045869827270508, -1.8842334747314453, -1.1216011047363281, -2.412109375, -1.7270164489746094, -1.6352367401123047, -1.9845829010009766, -2.0171966552734375, -1.4265995025634766, -3.1833724975585938, -1.8953971862792969, -2.720001220703125, -1.5832595825195312, -2.3504714965820312, -1.7791671752929688, -3.0953140258789062, -1.668039321899414, -3.367464065551758, -1.3764572143554688, -2.2950382232666016, -1.7510032653808594, -2.117197036743164, -2.0987167358398438, -1.8816089630126953, -2.4686126708984375, -2.476663589477539, -1.9238052368164062, -1.9673786163330078, -2.1630706787109375, -1.6729621887207031, -3.2411880493164062, -2.5335960388183594, -0.8913402557373047, -3.0095157623291016, -1.0627822875976562, -1.9058609008789062, -1.8199081420898438, -2.8439407348632812, -3.828763961791992, -3.643238067626953, -1.019063949584961]"
"Statement 1| Linear regression estimator has the smallest variance among all unbiased estimators. Statement 2| The coefficients α assigned to the classifiers assembled by AdaBoost are always non-negative. (A) True, True (B) False, False (C) True, False and (D) False, True. Of the answer choices above, answer (D) is the",best,1,machine_learning,"[-2.6963329315185547, -2.405050277709961, -3.297147750854492, -2.974151611328125, -1.7163314819335938, -1.908670425415039, -2.1095333099365234, -1.9213027954101562, -2.0770702362060547, -2.355623245239258, -3.399738311767578, -1.9954051971435547, -1.8576507568359375, -2.1637439727783203, -2.2296695709228516, -2.444429397583008, -3.0068397521972656, -1.932525634765625, -1.5675735473632812, -2.0663833618164062, -2.087850570678711, -2.4955711364746094, -2.541677474975586, -2.140779495239258, -1.8954925537109375, -3.406085968017578, -2.4367313385009766, -1.4981918334960938, -1.444204330444336, -1.9593982696533203, -2.0867061614990234, -1.6561870574951172, -2.356290817260742, -3.3056488037109375, -1.2992229461669922, -2.0026283264160156, -3.035951614379883, -3.26239013671875, -1.7698421478271484, -2.8444080352783203, -2.141031265258789, -3.0965232849121094, -2.481222152709961, -2.757059097290039, -1.5515785217285156, -3.049968719482422, -1.335092544555664, -2.1068687438964844, -4.072294235229492, -1.8003273010253906]"
"Statement 1| RoBERTa pretrains on a corpus that is approximate 10x larger than the corpus BERT pretrained on. Statement 2| ResNeXts in 2018 usually used tanh activation functions. (A) True, True (B) False, False (C) True, False and (D) False, True. Of the answer choices above, answer (A) is the",best,0,machine_learning,"[-2.6709060668945312, -1.2740917205810547, -1.5000534057617188, -2.194795608520508, -2.6684017181396484, -2.067707061767578, -0.9926052093505859, -1.8145828247070312, -2.1919307708740234, -2.0031375885009766, -1.991140365600586, -2.5609264373779297, -1.8507614135742188, -1.7592506408691406, -2.726469039916992, -2.516794204711914, -2.756916046142578, -2.4578723907470703, -1.2201042175292969, -3.6462554931640625, -2.4666213989257812, -3.360095977783203, -1.6057682037353516, -4.180318832397461, -2.100116729736328, -1.7311515808105469, -1.668996810913086, -2.215057373046875, -1.2541999816894531, -2.8100929260253906, -2.288442611694336, -2.4605369567871094, -2.835926055908203, -2.558004379272461, -2.197202682495117, -1.6326770782470703, -2.329801559448242, -1.4039115905761719, -1.9420967102050781, -1.5319576263427734, -1.3607616424560547, -2.5021419525146484, -2.2989139556884766, -1.878631591796875, -2.6481380462646484, -2.454803466796875, -2.213726043701172, -2.7344112396240234, -3.2021923065185547, -2.8514633178710938]"
"Statement 1| RoBERTa pretrains on a corpus that is approximate 10x larger than the corpus BERT pretrained on. Statement 2| ResNeXts in 2018 usually used tanh activation functions. (A) True, True (B) False, False (C) True, False and (D) False, True. Of the answer choices above, answer (B) is the",best,0,machine_learning,"[-2.340841293334961, -1.5164985656738281, -3.043691635131836, -2.8736133575439453, -1.8651046752929688, -2.8681716918945312, -1.8109512329101562, -1.483907699584961, -2.594217300415039, -3.430866241455078, -2.3135318756103516, -2.1055545806884766, -1.673715591430664, -1.3348655700683594, -2.4425010681152344, -2.752065658569336, -1.8291912078857422, -2.371044158935547, -1.9831581115722656, -1.9576473236083984, -1.1394634246826172, -2.190275192260742, -2.4748592376708984, -2.184661865234375, -2.915498733520508, -3.2541847229003906, -2.7916793823242188, -1.4520721435546875, -1.6537208557128906, -2.8973045349121094, -1.2384872436523438, -2.827188491821289, -2.912057876586914, -2.2106475830078125, -2.8144149780273438, -2.569866180419922, -2.7290172576904297, -2.928640365600586, -2.1721363067626953, -2.260648727416992, -2.4071712493896484, -3.047405242919922, -2.0162315368652344, -2.343629837036133, -1.966806411743164, -2.217601776123047, -2.6270999908447266, -2.0268726348876953, -2.424114227294922, -2.8266944885253906]"
"Statement 1| RoBERTa pretrains on a corpus that is approximate 10x larger than the corpus BERT pretrained on. Statement 2| ResNeXts in 2018 usually used tanh activation functions. (A) True, True (B) False, False (C) True, False and (D) False, True. Of the answer choices above, answer (C) is the",best,1,machine_learning,"[-1.530679702758789, -1.6949234008789062, -2.268918991088867, -3.414121627807617, -1.3706474304199219, -0.738006591796875, -2.311767578125, -2.1961288452148438, -1.5176868438720703, -1.3359699249267578, -2.0135536193847656, -2.085407257080078, -1.7925910949707031, -1.9598312377929688, -2.054555892944336, -1.5418205261230469, -2.2705650329589844, -1.5198421478271484, -1.6302204132080078, -2.1948471069335938, -2.1296615600585938, -2.049386978149414, -2.9112062454223633, -1.8715496063232422, -1.3307456970214844, -1.2544822692871094, -2.075887680053711, -2.228059768676758, -1.8332481384277344, -1.8176307678222656, -2.016286849975586, -1.7556495666503906, -2.513233184814453, -2.2396812438964844, -2.188854217529297, -3.4957027435302734, -1.3137454986572266, -2.531230926513672, -2.0174732208251953, -1.646169662475586, -2.9753246307373047, -1.920217514038086, -3.254659652709961, -0.9577064514160156, -1.8734264373779297, -1.8314933776855469, -1.7376708984375, -2.5763378143310547, -1.6290264129638672, -2.147247314453125]"
"Statement 1| RoBERTa pretrains on a corpus that is approximate 10x larger than the corpus BERT pretrained on. Statement 2| ResNeXts in 2018 usually used tanh activation functions. (A) True, True (B) False, False (C) True, False and (D) False, True. Of the answer choices above, answer (D) is the",best,0,machine_learning,"[-2.715181350708008, -1.0016727447509766, -1.827707290649414, -2.418407440185547, -1.9610881805419922, -2.5076446533203125, -2.5527915954589844, -2.6058425903320312, -1.6776256561279297, -1.804361343383789, -2.1742172241210938, -3.9239120483398438, -0.8506374359130859, -1.2963848114013672, -2.8391571044921875, -1.182851791381836, -2.0849990844726562, -1.7293052673339844, -2.153383255004883, -1.6258716583251953, -1.525686264038086, -2.4130420684814453, -3.4121227264404297, -2.5718421936035156, -2.454263687133789, -1.0834007263183594, -1.70489501953125, -3.0623950958251953, -2.5653152465820312, -2.4847488403320312, -1.9607391357421875, -2.2051963806152344, -2.771648406982422, -2.94427490234375, -1.9303016662597656, -1.9625072479248047, -2.9516143798828125, -2.540576934814453, -1.365060806274414, -2.189167022705078, -2.027669906616211, -2.4502410888671875, -1.7421836853027344, -1.6337966918945312, -2.3842906951904297, -1.0615520477294922, -2.3971118927001953, -1.2090873718261719, -2.245687484741211, -2.3811817169189453]"
"Statement 1| Support vector machines, like logistic regression models, give a probability distribution over the possible labels given an input example. Statement 2| We would expect the support vectors to remain the same in general as we move from a linear kernel to higher order polynomial kernels. (A) True, True (B) False, False (C) True, False and (D) False, True. Of the answer choices above, answer (A) is the",best,0,machine_learning,"[-2.520771026611328, -2.123218536376953, -2.7889957427978516, -2.5192832946777344, -1.8009376525878906, -2.141958236694336, -2.7074546813964844, -1.72149658203125, -2.064542770385742, -1.9150199890136719, -2.070180892944336, -1.435537338256836, -1.3053970336914062, -2.9785232543945312, -1.58563232421875, -3.602224349975586, -2.2679271697998047, -1.5082855224609375, -2.6610660552978516, -1.5241775512695312, -1.9398441314697266, -1.9863090515136719, -1.9845523834228516, -1.6867103576660156, -1.6163368225097656, -1.2969818115234375, -2.690807342529297, -1.758819580078125, -1.7352104187011719, -1.5754318237304688, -1.3771743774414062, -1.9134349822998047, -3.267993927001953, -2.6846790313720703, -2.8275585174560547, -3.1107330322265625, -1.457681655883789, -2.4706687927246094, -2.5073623657226562, -2.423124313354492, -2.607013702392578, -3.2783470153808594, -3.5659523010253906, -1.5941905975341797, -2.7206459045410156, -3.1397762298583984, -1.7250995635986328, -2.5262203216552734, -2.0588951110839844, -1.946685791015625]"
"Statement 1| Support vector machines, like logistic regression models, give a probability distribution over the possible labels given an input example. Statement 2| We would expect the support vectors to remain the same in general as we move from a linear kernel to higher order polynomial kernels. (A) True, True (B) False, False (C) True, False and (D) False, True. Of the answer choices above, answer (B) is the",best,1,machine_learning,"[-3.0654373168945312, -2.8030147552490234, -1.6785049438476562, -1.994110107421875, -1.8547286987304688, -1.8875274658203125, -2.1506214141845703, -2.3856067657470703, -2.6417465209960938, -2.149332046508789, -1.4308509826660156, -1.3569755554199219, -1.622222900390625, -3.279682159423828, -1.1523475646972656, -1.2464237213134766, -1.9561214447021484, -2.284322738647461, -3.2364025115966797, -2.04620361328125, -1.2052898406982422, -1.7530555725097656, -0.9875049591064453, -2.8097877502441406, -1.8850364685058594, -3.2248802185058594, -1.6339244842529297, -3.2444210052490234, -1.8405017852783203, -0.9281063079833984, -2.170106887817383, -2.9737930297851562, -2.3208656311035156, -2.2981796264648438, -2.2682933807373047, -2.317831039428711, -1.8512630462646484, -1.7898941040039062, -1.8200626373291016, -1.8500537872314453, -1.680074691772461, -1.8731689453125, -1.5784435272216797, -2.5497360229492188, -1.7469959259033203, -3.031494140625, -1.88946533203125, -2.2977466583251953, -2.0587615966796875, -1.7140636444091797]"
