preamble,stimulus,is_correct,subject,stimulus_prob
"Which foods tend to be consumed in lower quantities in Wales and Scotland (as of 2020)?  (A) Meat (B) Confectionary (C) Fruits and vegetables and (D) Potatoes. Of the answer choices above, answer (A) is the",best,0,nutrition,"[-1.9993419647216797, -1.2717876434326172, -1.6554679870605469, -1.1487712860107422, -0.8838043212890625, -2.5010833740234375, -1.2274856567382812, -1.9312572479248047, -2.1509227752685547, -0.9607715606689453, -2.2946414947509766, -2.4319591522216797, -2.37451171875, -1.1191139221191406, -3.4904632568359375, -2.4873523712158203, -0.8973789215087891, -1.0027389526367188, -0.8644638061523438, -1.7388076782226562, -1.1836700439453125, -2.4962711334228516, -2.302600860595703, -1.7818183898925781, -1.0774154663085938, -1.5867176055908203, -1.8808403015136719, -2.0018386840820312, -2.6354751586914062, -2.3997955322265625, -1.8639450073242188, -2.341869354248047, -1.3381643295288086, -0.96026611328125, -2.4853267669677734, -2.195516586303711, -2.641641616821289, -1.6655387878417969, -1.382547378540039, -1.1173076629638672, -2.59747314453125, -1.9754352569580078, -2.0700817108154297, -1.4414138793945312, -14.287212371826172, -0.9758720397949219, -1.8106842041015625, -1.208963394165039, -1.3681659698486328, -1.8446197509765625]"
"Which foods tend to be consumed in lower quantities in Wales and Scotland (as of 2020)?  (A) Meat (B) Confectionary (C) Fruits and vegetables and (D) Potatoes. Of the answer choices above, answer (B) is the",best,0,nutrition,"[-2.1539993286132812, -2.6775360107421875, -1.3874588012695312, -2.503936767578125, -3.814769744873047, -1.3663368225097656, -2.538212776184082, -1.4358997344970703, -2.810394287109375, -1.7476921081542969, -2.049409866333008, -2.8706626892089844, -1.4296035766601562, -1.8291969299316406, -1.3266124725341797, -0.9973602294921875, -2.632047653198242, -1.2591075897216797, -1.680746078491211, -0.8815536499023438, -3.8756046295166016, -0.7392768859863281, -1.7241153717041016, -1.99334716796875, -1.4337654113769531, -2.209505081176758, -2.442556381225586, -1.3276004791259766, -1.976531982421875, -1.3890037536621094, -2.7275638580322266, -2.196859359741211, -1.7432918548583984, -2.2061920166015625, -3.0473060607910156, -1.282073974609375, -2.4714889526367188, -1.873504638671875, -1.2302379608154297, -2.0856857299804688, -0.9574508666992188, -2.2262496948242188, -1.4322147369384766, -2.712564468383789, -1.830953598022461, -2.738300323486328, -1.915262222290039, -1.1548633575439453, -0.7719326019287109, -2.525320053100586]"
"Which foods tend to be consumed in lower quantities in Wales and Scotland (as of 2020)?  (A) Meat (B) Confectionary (C) Fruits and vegetables and (D) Potatoes. Of the answer choices above, answer (C) is the",best,1,nutrition,"[-1.6767730712890625, -2.3138980865478516, -1.4954299926757812, -2.5841007232666016, -1.4457588195800781, -1.4247722625732422, -1.3817062377929688, -1.8211536407470703, -1.4481849670410156, -1.700246810913086, -2.162809371948242, -2.383230209350586, -1.9899368286132812, -0.895599365234375, -1.3852005004882812, -1.8510932922363281, -2.1465415954589844, -0.8534755706787109, -2.2596874237060547, -2.0004005432128906, -1.800048828125, -1.8691864013671875, -1.294057846069336, -1.7414417266845703, -2.1509056091308594, -1.9241809844970703, -2.1541900634765625, -1.9204044342041016, -1.5813846588134766, -2.678628921508789, -1.3695182800292969, -1.3040695190429688, -1.2618255615234375, -1.795440673828125, -0.8219699859619141, -1.0094757080078125, -1.5042533874511719, -2.1957836151123047, -2.7994861602783203, -1.1906318664550781, -2.3966236114501953, -1.4316425323486328, -1.4692001342773438, -1.7907752990722656, -3.7049522399902344, -3.018047332763672, -2.7013912200927734, -1.5547237396240234, -1.6281089782714844, -2.3943405151367188]"
"Which foods tend to be consumed in lower quantities in Wales and Scotland (as of 2020)?  (A) Meat (B) Confectionary (C) Fruits and vegetables and (D) Potatoes. Of the answer choices above, answer (D) is the",best,0,nutrition,"[-1.3045425415039062, -0.7599887847900391, -1.032236099243164, -2.3231124877929688, -2.1265182495117188, -1.9481449127197266, -2.076509475708008, -2.112445831298828, -1.9356937408447266, -1.5591239929199219, -1.9864864349365234, -1.7758445739746094, -2.415712356567383, -1.7460689544677734, -2.2418670654296875, -2.4858016967773438, -3.045095443725586, -1.7958602905273438, -1.2509918212890625, -2.754884719848633, -2.494464874267578, -3.943239212036133, -1.9935951232910156, -2.427366256713867, -1.4410228729248047, -2.6784420013427734, -1.995962142944336, -1.9761428833007812, -1.7331275939941406, -1.2087230682373047, -1.514944076538086, -2.226266860961914, -1.3109474182128906, -2.458740234375, -1.95770263671875, -1.1160392761230469, -2.2875308990478516, -3.3938846588134766, -1.7396526336669922, -1.2738838195800781, -1.59393310546875, -2.3952407836914062, -2.525737762451172, -1.8260688781738281, -2.5713119506835938, -0.7881145477294922, -1.6440715789794922, -2.2680015563964844, -3.609189987182617, -2.308107376098633]"
"In which one of the following circumstances will the prevalence of a disease in the population increase, all else being constant?  (A) If the incidence rate of the disease falls. (B) If survival time with the disease increases. (C) If recovery of the disease is faster. and (D) If the population in which the disease is measured increases.. Of the answer choices above, answer (A) is the",best,0,nutrition,"[-2.692209243774414, -1.7071609497070312, -3.423044204711914, -1.8784866333007812, -0.8781375885009766, -1.8921585083007812, -1.6073837280273438, -2.1029319763183594, -2.13555908203125, -2.655933380126953, -1.1414241790771484, -1.4766731262207031, -1.5798320770263672, -1.6517925262451172, -1.998178482055664, -0.8417606353759766, -2.171489715576172, -1.8860626220703125, -2.178377151489258, -1.5836830139160156, -1.044525146484375, -3.0572032928466797, -2.275125503540039, -2.561197280883789, -2.8546581268310547, -2.0276432037353516, -0.9502429962158203, -1.1173744201660156, -2.090269088745117, -1.60400390625, -1.4111652374267578, -1.728017807006836, -1.8612823486328125, -3.7447147369384766, -1.7309856414794922, -1.4190902709960938, -2.028757095336914, -2.135354995727539, -2.0955429077148438, -2.6030216217041016, -1.5177459716796875, -2.6871681213378906, -2.1981353759765625, -2.8760509490966797, -2.5617427825927734, -1.2320404052734375, -1.1594600677490234, -1.8483638763427734, -3.2640228271484375, -2.369647979736328]"
"In which one of the following circumstances will the prevalence of a disease in the population increase, all else being constant?  (A) If the incidence rate of the disease falls. (B) If survival time with the disease increases. (C) If recovery of the disease is faster. and (D) If the population in which the disease is measured increases.. Of the answer choices above, answer (B) is the",best,1,nutrition,"[-2.2225189208984375, -2.547452926635742, -2.067493438720703, -2.2133255004882812, -1.8875656127929688, -1.3033428192138672, -2.506641387939453, -1.0294113159179688, -2.4343948364257812, -2.1292495727539062, -1.5742073059082031, -3.686338424682617, -1.3867130279541016, -0.9328861236572266, -1.3540611267089844, -1.9128894805908203, -1.5824222564697266, -1.771921157836914, -1.9385128021240234, -0.8763618469238281, -1.4951896667480469, -3.026660919189453, -1.6946735382080078, -1.1613292694091797, -2.0421276092529297, -1.5367794036865234, -1.8076839447021484, -1.9723243713378906, -1.1289558410644531, -2.1236495971679688, -1.649271011352539, -1.6912765502929688, -1.5412425994873047, -1.3257942199707031, -2.741586685180664, -1.925074577331543, -1.5501289367675781, -1.9738636016845703, -2.037019729614258, -1.8668746948242188, -1.2215690612792969, -2.064332962036133, -1.704620361328125, -1.4528579711914062, -1.766998291015625, -1.9761371612548828, -1.221628189086914, -1.2740535736083984, -1.8785343170166016, -1.7181892395019531]"
"In which one of the following circumstances will the prevalence of a disease in the population increase, all else being constant?  (A) If the incidence rate of the disease falls. (B) If survival time with the disease increases. (C) If recovery of the disease is faster. and (D) If the population in which the disease is measured increases.. Of the answer choices above, answer (C) is the",best,0,nutrition,"[-1.9687824249267578, -1.8349761962890625, -1.7469139099121094, -2.125242233276367, -2.4210567474365234, -2.10162353515625, -1.855173110961914, -3.3757476806640625, -1.1527233123779297, -2.2159080505371094, -1.1648445129394531, -1.8501472473144531, -3.0080089569091797, -1.9672679901123047, -2.605754852294922, -2.8206634521484375, -2.2208690643310547, -1.916433334350586, -3.123699188232422, -2.646059036254883, -1.9910888671875, -1.6197891235351562, -1.6784992218017578, -1.6614665985107422, -1.7682247161865234, -1.0969791412353516, -1.9864673614501953, -1.8743534088134766, -2.3485050201416016, -1.5593013763427734, -1.228912353515625, -1.1573638916015625, -1.5820903778076172, -1.1722087860107422, -1.2506752014160156, -0.8070793151855469, -1.6871299743652344, -1.0204715728759766, -2.360034942626953, -1.5559329986572266, -1.6796417236328125, -2.0786590576171875, -1.6252727508544922, -1.9031562805175781, -1.9335956573486328, -1.8930702209472656, -1.183156967163086, -1.2021923065185547, -1.4326057434082031, -2.2006149291992188]"
"In which one of the following circumstances will the prevalence of a disease in the population increase, all else being constant?  (A) If the incidence rate of the disease falls. (B) If survival time with the disease increases. (C) If recovery of the disease is faster. and (D) If the population in which the disease is measured increases.. Of the answer choices above, answer (D) is the",best,0,nutrition,"[-2.3650989532470703, -2.2514915466308594, -1.4286727905273438, -1.3309650421142578, -1.939117431640625, -1.561117172241211, -2.336793899536133, -1.5363235473632812, -2.1278457641601562, -2.2292041778564453, -1.785146713256836, -2.62762451171875, -1.2179832458496094, -1.4463768005371094, -2.431417465209961, -1.8253211975097656, -1.8257980346679688, -2.078744888305664, -1.7881507873535156, -1.1279773712158203, -2.436880111694336, -2.196165084838867, -1.7556934356689453, -1.374673843383789, -2.4234142303466797, -1.4534530639648438, -1.3862953186035156, -1.4846248626708984, -1.887613296508789, -0.9710216522216797, -1.2371082305908203, -2.3308486938476562, -1.2398967742919922, -2.3221092224121094, -1.4366073608398438, -1.4465827941894531, -1.6424140930175781, -1.2096176147460938, -2.1954612731933594, -2.6279964447021484, -1.0368022918701172, -3.2298927307128906, -1.8403491973876953, -2.7107200622558594, -2.690706253051758, -1.0899066925048828, -2.209482192993164, -2.0570926666259766, -1.1728935241699219, -1.5792961120605469]"
"Which of the following statements is correct?  (A) The flavonoid class comprises flavonoids and isoflavonoids. (B) The digestibility and bioavailability of isoflavones in soya food products are not changed by processing. (C) ß-Carotene and lycopene can both act as provitamin A. and (D) Carotenoids and flavonoids both belong to the polyphenol class.. Of the answer choices above, answer (A) is the",best,1,nutrition,"[-1.9670791625976562, -1.1505489349365234, -2.670106887817383, -2.5238685607910156, -1.3744010925292969, -1.9886112213134766, -2.755514144897461, -1.5579032897949219, -1.2939109802246094, -1.1280250549316406, -1.5441246032714844, -2.540983200073242, -2.0137367248535156, -2.785520553588867, -1.8100624084472656, -0.7902717590332031, -1.4981269836425781, -2.67205810546875, -2.2538604736328125, -1.8110542297363281, -1.6919479370117188, -0.9217605590820312, -1.7271270751953125, -1.7392902374267578, -1.3396739959716797, -1.8837337493896484, -1.9951858520507812, -2.4310131072998047, -2.072690963745117, -0.9378833770751953, -1.9528007507324219, -2.021137237548828, -3.2271289825439453, -1.40838623046875, -1.5658035278320312, -2.3055038452148438, -2.4342803955078125, -1.0477924346923828, -1.5013980865478516, -3.0444183349609375, -1.1277484893798828, -1.82452392578125, -1.5990219116210938, -1.6665229797363281, -1.9239215850830078, -2.058565139770508, -2.4720802307128906, -2.1609935760498047, -0.6569061279296875, -1.3528976440429688]"
"Which of the following statements is correct?  (A) The flavonoid class comprises flavonoids and isoflavonoids. (B) The digestibility and bioavailability of isoflavones in soya food products are not changed by processing. (C) ß-Carotene and lycopene can both act as provitamin A. and (D) Carotenoids and flavonoids both belong to the polyphenol class.. Of the answer choices above, answer (B) is the",best,0,nutrition,"[-2.261014938354492, -1.8266010284423828, -2.490232467651367, -1.763998031616211, -1.4406547546386719, -2.4945507049560547, -1.2896690368652344, -2.8524932861328125, -1.563100814819336, -1.7795753479003906, -2.4023170471191406, -2.386343002319336, -2.895366668701172, -1.5016517639160156, -2.371519088745117, -2.340381622314453, -3.0303611755371094, -2.555339813232422, -2.185811996459961, -1.5899486541748047, -1.7763385772705078, -1.6054153442382812, -3.4971752166748047, -1.002359390258789, -2.693948745727539, -2.3885574340820312, -2.7883968353271484, -1.9521102905273438, -1.1971511840820312, -2.3430519104003906, -1.1904716491699219, -1.5050125122070312, -2.217529296875, -1.7215805053710938, -1.8345775604248047, -1.6106891632080078, -1.8680458068847656, -2.3717002868652344, -2.086822509765625, -1.5829181671142578, -1.1753692626953125, -1.2244300842285156, -1.537649154663086, -1.4081707000732422, -2.610361099243164, -1.8281993865966797, -1.6619338989257812, -1.1108131408691406, -2.466062545776367, -2.2264842987060547]"
