preamble,stimulus,is_correct,subject,stimulus_prob
"Aesthetics deals with objects that are_____. (A) essential to our existence (B) unimportant to most people (C) not essential to our existence and (D) rarely viewed. Of the answer choices above, answer (A) is the",best,0,philosophy,[-1.5999374389648438]
"Aesthetics deals with objects that are_____. (A) essential to our existence (B) unimportant to most people (C) not essential to our existence and (D) rarely viewed. Of the answer choices above, answer (B) is the",best,0,philosophy,[-1.4790124893188477]
"Aesthetics deals with objects that are_____. (A) essential to our existence (B) unimportant to most people (C) not essential to our existence and (D) rarely viewed. Of the answer choices above, answer (C) is the",best,1,philosophy,[-1.3883857727050781]
"Aesthetics deals with objects that are_____. (A) essential to our existence (B) unimportant to most people (C) not essential to our existence and (D) rarely viewed. Of the answer choices above, answer (D) is the",best,0,philosophy,[-1.394561767578125]
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____. (A) the state (B) the justice system (C) the body and (D) the soul. Of the answer choices above, answer (A) is the",best,0,philosophy,[-1.8089418411254883]
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____. (A) the state (B) the justice system (C) the body and (D) the soul. Of the answer choices above, answer (B) is the",best,0,philosophy,[-1.9264888763427734]
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____. (A) the state (B) the justice system (C) the body and (D) the soul. Of the answer choices above, answer (C) is the",best,0,philosophy,[-1.7740249633789062]
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____. (A) the state (B) the justice system (C) the body and (D) the soul. Of the answer choices above, answer (D) is the",best,1,philosophy,[-1.7692956924438477]
"According to Kant, nothing can be called “good” without qualification except _____. (A) right action (B) good consequences (C) happiness and (D) a good will. Of the answer choices above, answer (A) is the",best,0,philosophy,[-1.9584894180297852]
"According to Kant, nothing can be called “good” without qualification except _____. (A) right action (B) good consequences (C) happiness and (D) a good will. Of the answer choices above, answer (B) is the",best,0,philosophy,[-2.3551273345947266]
"According to Kant, nothing can be called “good” without qualification except _____. (A) right action (B) good consequences (C) happiness and (D) a good will. Of the answer choices above, answer (C) is the",best,0,philosophy,[-2.365690231323242]
"According to Kant, nothing can be called “good” without qualification except _____. (A) right action (B) good consequences (C) happiness and (D) a good will. Of the answer choices above, answer (D) is the",best,1,philosophy,[-2.1072425842285156]
"Plato's view is that true beauty is _____. (A) found in everyday objects (B) nonexistent (C) everywhere in the natural world and (D) not of this world. Of the answer choices above, answer (A) is the",best,0,philosophy,[-2.0356922149658203]
"Plato's view is that true beauty is _____. (A) found in everyday objects (B) nonexistent (C) everywhere in the natural world and (D) not of this world. Of the answer choices above, answer (B) is the",best,0,philosophy,[-1.9129915237426758]
"Plato's view is that true beauty is _____. (A) found in everyday objects (B) nonexistent (C) everywhere in the natural world and (D) not of this world. Of the answer choices above, answer (C) is the",best,0,philosophy,[-1.6579570770263672]
"Plato's view is that true beauty is _____. (A) found in everyday objects (B) nonexistent (C) everywhere in the natural world and (D) not of this world. Of the answer choices above, answer (D) is the",best,1,philosophy,[-1.7547540664672852]
"In Aristotle’s terminology, incontinence is when: (A) one does not know that one’s actions are wrong. (B) one knows that one’s actions are wrong, but does them anyway. (C) one knows that one’s feelings are inappropriate, and does not act on them. and (D) one does the right action, but for the wrong reason.. Of the answer choices above, answer (A) is the",best,0,philosophy,[-0.8597955703735352]
"In Aristotle’s terminology, incontinence is when: (A) one does not know that one’s actions are wrong. (B) one knows that one’s actions are wrong, but does them anyway. (C) one knows that one’s feelings are inappropriate, and does not act on them. and (D) one does the right action, but for the wrong reason.. Of the answer choices above, answer (B) is the",best,1,philosophy,[-0.8189840316772461]
"In Aristotle’s terminology, incontinence is when: (A) one does not know that one’s actions are wrong. (B) one knows that one’s actions are wrong, but does them anyway. (C) one knows that one’s feelings are inappropriate, and does not act on them. and (D) one does the right action, but for the wrong reason.. Of the answer choices above, answer (C) is the",best,0,philosophy,[-0.8434104919433594]
