preamble,stimulus,is_correct,subject,stimulus_prob
"Aesthetics deals with objects that are_____. (A) essential to our existence (B) unimportant to most people (C) not essential to our existence and (D) rarely viewed. Of the answer choices above, answer (A) is the",best,0,philosophy,"[-1.3612041473388672, -1.4288272857666016, -1.5499334335327148, -1.9351863861083984, -14.684993743896484, -1.328704833984375, -1.3988018035888672, -14.959403038024902, -13.632699966430664, -1.026754379272461, -1.4931306838989258, -1.2414770126342773, -1.2615242004394531, -1.5039472579956055, -1.7060003280639648, -1.649087905883789, -1.777440071105957, -1.9056758880615234, -1.779496192932129, -1.431966781616211, -1.300323486328125, -1.3099708557128906, -1.8295211791992188, -1.4431419372558594, -1.3641138076782227, -0.9111309051513672, -1.3757514953613281, -1.5205698013305664, -1.0445947647094727, -1.1191034317016602, -1.7854595184326172, -1.4940509796142578, -1.7207393646240234, -11.663437843322754, -1.2649669647216797, -14.194306373596191, -1.2687568664550781, -1.4232711791992188, -1.2289085388183594, -1.7193622589111328, -1.643101692199707, -1.698481559753418, -1.3265533447265625, -1.554098129272461, -1.8174324035644531, -13.656417846679688, -1.7674751281738281, -0.9498624801635742, -15.440934181213379, -1.772141456604004]"
"Aesthetics deals with objects that are_____. (A) essential to our existence (B) unimportant to most people (C) not essential to our existence and (D) rarely viewed. Of the answer choices above, answer (B) is the",best,0,philosophy,"[-1.7801933288574219, -1.8115320205688477, -1.6544952392578125, -0.6619129180908203, -1.582859992980957, -1.2894096374511719, -1.237898826599121, -1.5379772186279297, -1.3429813385009766, -0.9894790649414062, -1.8988933563232422, -15.91091537475586, -1.653141975402832, -1.4680156707763672, -16.949390411376953, -1.7975444793701172, -2.1283931732177734, -1.444045066833496, -1.4009599685668945, -1.9380550384521484, -1.6975736618041992, -1.4476280212402344, -1.3468284606933594, -1.546152114868164, -1.5019912719726562, -1.6041030883789062, -1.7528753280639648, -14.590428352355957, -1.5625715255737305, -1.6407785415649414, -1.621232032775879, -1.7392702102661133, -1.5830564498901367, -1.3380556106567383, -1.7394218444824219, -1.8934240341186523, -1.725916862487793, -1.3842582702636719, -1.4614410400390625, -1.1649112701416016, -1.902761459350586, -1.640716552734375, -1.3447151184082031, -1.3519973754882812, -1.6666622161865234, -1.9147262573242188, -2.1457605361938477, -1.5085372924804688, -1.6008806228637695, -0.8859386444091797]"
"Aesthetics deals with objects that are_____. (A) essential to our existence (B) unimportant to most people (C) not essential to our existence and (D) rarely viewed. Of the answer choices above, answer (C) is the",best,1,philosophy,"[-1.7173681259155273, -1.1641759872436523, -1.3495492935180664, -1.4375457763671875, -1.2067022323608398, -1.4041976928710938, -1.427083969116211, -1.5845232009887695, -1.4868459701538086, -1.3763494491577148, -1.6892194747924805, -1.5707015991210938, -12.306255340576172, -11.486398696899414, -1.075861930847168, -1.0367183685302734, -1.2961540222167969, -1.323328971862793, -1.1546354293823242, -0.9232501983642578, -1.20416259765625, -14.930704116821289, -1.3287487030029297, -1.0510997772216797, -0.8807563781738281, -0.9524345397949219, -2.0806617736816406, -1.795781135559082, -1.7779808044433594, -1.5837812423706055, -1.4857730865478516, -1.1428565979003906, -1.392500877380371, -1.6124267578125, -1.1665639877319336, -1.1781206130981445, -1.5525379180908203, -1.5082769393920898, -1.7739543914794922, -1.2773122787475586, -1.5217981338500977, -0.9829816818237305, -1.0891389846801758, -1.1838274002075195, -1.5725717544555664, -1.1443424224853516, -1.299942970275879, -1.4429512023925781, -1.6702613830566406, -0.8006439208984375]"
"Aesthetics deals with objects that are_____. (A) essential to our existence (B) unimportant to most people (C) not essential to our existence and (D) rarely viewed. Of the answer choices above, answer (D) is the",best,0,philosophy,"[-1.3383989334106445, -1.4210529327392578, -1.4706153869628906, -1.5843439102172852, -16.257110595703125, -1.5411968231201172, -1.3350305557250977, -1.4478034973144531, -1.3984479904174805, -1.5210342407226562, -1.3978242874145508, -1.1261367797851562, -1.786458969116211, -1.370279312133789, -1.5571651458740234, -1.0961017608642578, -1.826700210571289, -1.2174177169799805, -1.1787595748901367, -16.021820068359375, -1.2858362197875977, -1.8144235610961914, -1.2026453018188477, -1.3617229461669922, -1.6258974075317383, -1.2989110946655273, -1.8028945922851562, -1.6292181015014648, -1.5615997314453125, -1.2043209075927734, -1.2682600021362305, -1.2243804931640625, -1.5389862060546875, -1.4509506225585938, -1.5377140045166016, -1.5043220520019531, -1.5589189529418945, -1.2077436447143555, -15.518914222717285, -1.361053466796875, -1.5255966186523438, -1.418696403503418, -13.506637573242188, -1.4285526275634766, -1.3311100006103516, -1.4701662063598633, -1.6658515930175781, -1.3161163330078125, -0.9531106948852539, -1.367532730102539]"
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____. (A) the state (B) the justice system (C) the body and (D) the soul. Of the answer choices above, answer (A) is the",best,0,philosophy,"[-11.006336212158203, -1.8369636535644531, -1.850203514099121, -1.675276756286621, -1.5647544860839844, -2.057666778564453, -13.969813346862793, -1.4030723571777344, -1.4112205505371094, -1.1150760650634766, -1.749471664428711, -13.343677520751953, -1.5526313781738281, -1.6093502044677734, -1.7469902038574219, -1.8535032272338867, -1.4944000244140625, -1.4346809387207031, -1.7828989028930664, -1.4946355819702148, -1.9751815795898438, -1.8083620071411133, -2.0089359283447266, -1.9324731826782227, -1.7077627182006836, -1.949570655822754, -1.443007469177246, -1.670720100402832, -1.402292251586914, -1.6397619247436523, -2.0858192443847656, -1.9795246124267578, -14.530641555786133, -1.8069076538085938, -14.316290855407715, -1.4861412048339844, -1.6422996520996094, -1.3271598815917969, -1.5204200744628906, -1.3202953338623047, -1.5429983139038086, -2.429096221923828, -1.478022575378418, -1.9436216354370117, -2.2127866744995117, -2.12229061126709, -2.1227293014526367, -1.5161142349243164, -1.7062149047851562, -1.7724733352661133]"
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____. (A) the state (B) the justice system (C) the body and (D) the soul. Of the answer choices above, answer (B) is the",best,0,philosophy,"[-1.994150161743164, -1.86151123046875, -1.7282085418701172, -1.5017471313476562, -2.4635610580444336, -1.6208505630493164, -15.364770889282227, -1.6618633270263672, -2.1800270080566406, -1.8680830001831055, -2.1176462173461914, -1.5585517883300781, -2.5380725860595703, -1.6088075637817383, -2.048931121826172, -2.4201440811157227, -1.864126205444336, -1.658599853515625, -1.8769588470458984, -1.9235219955444336, -1.6580047607421875, -1.7040519714355469, -1.824488639831543, -1.776498794555664, -2.5865345001220703, -2.1434078216552734, -1.9647750854492188, -1.5552234649658203, -2.220065116882324, -1.941274642944336, -1.6084671020507812, -1.7658805847167969, -18.227388381958008, -1.795149803161621, -1.9858503341674805, -1.5682449340820312, -1.7259960174560547, -1.5497760772705078, -1.8924789428710938, -1.5146980285644531, -1.6807804107666016, -1.8143510818481445, -1.6636791229248047, -8.749207496643066, -14.080294609069824, -1.8878154754638672, -1.6288480758666992, -2.1669273376464844, -1.886373519897461, -14.343585968017578]"
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____. (A) the state (B) the justice system (C) the body and (D) the soul. Of the answer choices above, answer (C) is the",best,0,philosophy,"[-1.667799949645996, -14.839138984680176, -1.743173599243164, -1.5910053253173828, -1.980712890625, -1.1680469512939453, -1.4990158081054688, -2.2232284545898438, -1.9212827682495117, -1.629384994506836, -2.068211555480957, -1.5406436920166016, -1.6155195236206055, -2.0391178131103516, -1.6190557479858398, -1.9384775161743164, -1.744405746459961, -2.1238269805908203, -1.8242969512939453, -15.016300201416016, -1.7194080352783203, -1.2779779434204102, -1.7244176864624023, -1.7191295623779297, -1.473006248474121, -1.7243328094482422, -1.5711488723754883, -14.574682235717773, -1.7775468826293945, -1.3309688568115234, -2.0641536712646484, -1.8117313385009766, -1.938267707824707, -1.6334190368652344, -1.5980443954467773, -1.1604690551757812, -1.6507244110107422, -1.8762493133544922, -13.141200065612793, -1.5880203247070312, -2.0880136489868164, -1.3707942962646484, -1.5241384506225586, -1.517683982849121, -1.5478191375732422, -1.4974641799926758, -14.441839218139648, -1.4216079711914062, -1.375885009765625, -2.220277786254883]"
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____. (A) the state (B) the justice system (C) the body and (D) the soul. Of the answer choices above, answer (D) is the",best,1,philosophy,"[-2.0196266174316406, -1.954141616821289, -2.234975814819336, -2.0128116607666016, -2.4314422607421875, -1.5292863845825195, -1.5689516067504883, -1.9493217468261719, -2.161168098449707, -1.6737298965454102, -1.5691308975219727, -1.6887073516845703, -1.296717643737793, -1.1417522430419922, -1.597315788269043, -1.7552499771118164, -1.9445562362670898, -2.163825035095215, -2.070241928100586, -2.0762109756469727, -1.449477195739746, -1.9496784210205078, -1.781510353088379, -1.8117685317993164, -2.2949371337890625, -1.7446489334106445, -1.705434799194336, -1.6813249588012695, -1.433694839477539, -13.586592674255371, -1.8104982376098633, -1.8622665405273438, -1.4054508209228516, -2.171299934387207, -2.1921825408935547, -1.6694412231445312, -1.376124382019043, -1.6033649444580078, -2.006145477294922, -1.9854516983032227, -2.624277114868164, -1.8896303176879883, -14.730565071105957, -1.2676734924316406, -14.570322036743164, -2.005377769470215, -1.8906478881835938, -1.9047412872314453, -1.768798828125, -1.370016098022461]"
"According to Kant, nothing can be called “good” without qualification except _____. (A) right action (B) good consequences (C) happiness and (D) a good will. Of the answer choices above, answer (A) is the",best,0,philosophy,"[-2.463932991027832, -1.7754287719726562, -1.7694482803344727, -1.7114505767822266, -1.8135900497436523, -11.962821960449219, -2.8358592987060547, -1.8418083190917969, -2.1569433212280273, -1.8744916915893555, -1.704789161682129, -2.0216617584228516, -1.4600715637207031, -13.122275352478027, -2.273021697998047, -1.807785987854004, -2.9435291290283203, -2.518498420715332, -2.0821380615234375, -1.5524578094482422, -1.7716026306152344, -1.1751937866210938, -1.876479148864746, -1.7112503051757812, -1.7299280166625977, -1.620753288269043, -2.19146728515625, -1.2591848373413086, -1.441411018371582, -1.6461725234985352, -0.9742555618286133, -1.800929069519043, -2.049283027648926, -2.4121131896972656, -1.0665740966796875, -1.1739301681518555, -1.7229537963867188, -1.9857873916625977, -1.736398696899414, -2.659454345703125, -1.6563224792480469, -2.022432327270508, -15.489765167236328, -2.335094451904297, -1.9984703063964844, -2.09574031829834, -2.214801788330078, -1.7063121795654297, -1.7252473831176758, -2.4734363555908203]"
"According to Kant, nothing can be called “good” without qualification except _____. (A) right action (B) good consequences (C) happiness and (D) a good will. Of the answer choices above, answer (B) is the",best,0,philosophy,"[-1.624490737915039, -17.359603881835938, -1.3336849212646484, -2.743311882019043, -2.3945236206054688, -1.8825349807739258, -2.088589668273926, -1.7966728210449219, -2.327676773071289, -2.291807174682617, -2.7005491256713867, -2.0719547271728516, -2.0400142669677734, -1.0622329711914062, -14.34411907196045, -1.2268743515014648, -2.2244415283203125, -1.9074668884277344, -1.5038032531738281, -1.9517717361450195, -1.992039680480957, -2.586703300476074, -1.445840835571289, -15.998543739318848, -2.5028457641601562, -1.5299758911132812, -2.549746513366699, -2.031402587890625, -2.2217159271240234, -2.121957778930664, -1.5888786315917969, -2.247828483581543, -1.9308948516845703, -2.1044015884399414, -2.142653465270996, -2.7191162109375, -1.6955747604370117, -2.892772674560547, -1.6464300155639648, -13.87597942352295, -2.821056365966797, -1.4698925018310547, -2.6610946655273438, -2.5903749465942383, -2.7888965606689453, -2.7998275756835938, -1.9944791793823242, -2.348860740661621, -2.116903305053711, -2.1256771087646484]"
