preamble,stimulus,is_correct,subject,stimulus_prob
"Unlike most other early civilizations, Minoan culture shows little evidence of: (A) trade. (B) warfare. (C) the development of a common religion. and (D) conspicuous consumption by elites.. Of the answer choices above, answer (A) is the",best,0,prehistory,"[-0.7922859191894531, -1.334573745727539, -1.8602619171142578, -2.3120269775390625, -0.9421615600585938, -1.610910415649414, -1.4721088409423828, -2.0781707763671875, -1.28814697265625, -0.8753108978271484, -1.1042289733886719, -2.3422298431396484, -1.5150394439697266, -1.1078548431396484, -2.0677566528320312, -2.605649948120117, -2.811680793762207, -1.1977710723876953, -2.2160396575927734, -1.172994613647461, -2.2063369750976562, -1.9992103576660156, -2.0731163024902344, -1.5771636962890625, -1.5828685760498047, -1.2292118072509766, -2.74027156829834, -1.671224594116211, -1.9577617645263672, -2.0769920349121094, -2.160623550415039, -0.6472396850585938, -1.9199600219726562, -1.1107501983642578, -1.8547248840332031, -1.812551498413086, -0.7644901275634766, -1.0743274688720703, -1.1006793975830078, -1.465200424194336, -1.2609615325927734, -0.7988109588623047, -2.720611572265625, nan, -1.5499591827392578, -1.710927963256836, -1.1738948822021484, -1.7999343872070312, -1.181222915649414, -1.3305187225341797]"
"Unlike most other early civilizations, Minoan culture shows little evidence of: (A) trade. (B) warfare. (C) the development of a common religion. and (D) conspicuous consumption by elites.. Of the answer choices above, answer (B) is the",best,0,prehistory,"[-1.4635429382324219, -1.9939308166503906, -1.7364959716796875, -1.8521652221679688, -2.230792999267578, -1.8690261840820312, -1.3663368225097656, -2.067575454711914, -0.9806900024414062, -1.1921844482421875, -2.110372543334961, -1.5573291778564453, -1.3160552978515625, -1.5900592803955078, -1.3197021484375, -1.3744049072265625, -2.102508544921875, -1.6554813385009766, -1.2538566589355469, -1.5871944427490234, -1.0459632873535156, -1.6148529052734375, -1.0824451446533203, -1.0813560485839844, -1.58868408203125, -2.3396224975585938, -1.830963134765625, -1.6134052276611328, -1.4300308227539062, -1.7798805236816406, -1.2234573364257812, -2.2578020095825195, -0.9794826507568359, -1.3199176788330078, -1.47723388671875, -1.6715240478515625, -0.9920215606689453, -2.5480403900146484, -1.1514625549316406, -1.2007369995117188, -1.8343544006347656, -1.4439659118652344, -2.049379348754883, -2.012247085571289, -1.993753433227539, -2.769742965698242, -1.9146385192871094, -1.187540054321289, -1.211029052734375, -0.6895694732666016]"
"Unlike most other early civilizations, Minoan culture shows little evidence of: (A) trade. (B) warfare. (C) the development of a common religion. and (D) conspicuous consumption by elites.. Of the answer choices above, answer (C) is the",best,0,prehistory,"[-3.4181251525878906, -2.130146026611328, -1.7865562438964844, -3.4026145935058594, -1.7798175811767578, -2.0545616149902344, -1.5972175598144531, -1.1924762725830078, nan, -1.2917919158935547, nan, -1.4910888671875, -2.1544017791748047, -1.7351112365722656, -1.4554939270019531, -1.4967727661132812, -1.5575180053710938, -1.257863998413086, -1.6568889617919922, -1.6804084777832031, -1.8839492797851562, -1.5420913696289062, -1.7777938842773438, -1.748551368713379, -2.224008560180664, -2.420133590698242, -1.231252670288086, -1.88751220703125, -1.2645435333251953, -1.1743583679199219, -0.9152202606201172, -1.5639896392822266, -0.7472267150878906, -1.4436836242675781, -1.9848213195800781, -1.6141033172607422, -1.992238998413086, -2.007345199584961, -1.6057300567626953, -1.22161865234375, -1.6971664428710938, -1.4439926147460938, -1.8970184326171875, -2.163654327392578, -2.951770782470703, -4.368844985961914, -1.7839832305908203, -1.8248615264892578, -1.2421092987060547, -2.103078842163086]"
"Unlike most other early civilizations, Minoan culture shows little evidence of: (A) trade. (B) warfare. (C) the development of a common religion. and (D) conspicuous consumption by elites.. Of the answer choices above, answer (D) is the",best,1,prehistory,"[-2.453655242919922, -1.6053657531738281, -1.0361881256103516, -2.737420082092285, -1.7050037384033203, -1.4357013702392578, -1.5418434143066406, -1.250732421875, -2.2874507904052734, -1.4841880798339844, -2.0354957580566406, -1.4384346008300781, -1.8297710418701172, -1.8053340911865234, -2.323232650756836, -2.1344032287597656, -2.635650634765625, -1.3000679016113281, -1.7113513946533203, -2.300037384033203, -1.869607925415039, -1.2887039184570312, -1.7723274230957031, -2.261749267578125, -1.6181468963623047, -2.6287899017333984, -2.4068126678466797, -1.6483268737792969, -1.9033699035644531, -1.6316547393798828, -2.4714832305908203, -1.9829254150390625, -1.1509952545166016, -1.4643135070800781, -2.0211830139160156, -1.1565475463867188, -1.5769672393798828, -3.0598487854003906, -1.877716064453125, -1.9049491882324219, -1.3403091430664062, -1.5158348083496094, -1.2263240814208984, -2.1330509185791016, -1.6804924011230469, -2.9830150604248047, -2.491537094116211, -1.9741630554199219, -2.807514190673828, -3.460824966430664]"
"The greatest Egyptian pyramids at Giza were built: (A) as burial monuments for the pharaoh Khufu, Khufu's son Khafre, and Khufu's grandson Menkaure. (B) by slaves who were coerced and worked under the threat of death, as described in the book of Exodus of the Old Testament. (C) in the construction frenzy of the 6th dynasty. and (D) all of the above.. Of the answer choices above, answer (A) is the",best,1,prehistory,"[-2.439168930053711, -1.3638381958007812, -1.6793270111083984, -2.252849578857422, -2.036813735961914, -2.0163230895996094, -1.9296112060546875, -1.1907844543457031, nan, -2.1330413818359375, -0.9516754150390625, -1.8479557037353516, -2.0265865325927734, -2.0636024475097656, -2.1725807189941406, -1.5438861846923828, -3.4533653259277344, -2.168426513671875, -2.4485816955566406, -1.5485458374023438, -2.1881370544433594, -2.041654586791992, -1.1696014404296875, -1.9708328247070312, -1.9148273468017578, -2.1591110229492188, -2.405803680419922, -2.4803199768066406, -2.1916580200195312, -2.0729026794433594, -2.467315673828125, -1.6343135833740234, -1.2986907958984375, -1.64056396484375, -2.773667335510254, nan, -1.4076976776123047, nan, -1.4058971405029297, -1.6752128601074219, -1.89105224609375, -1.2667045593261719, -2.773815155029297, -1.3720417022705078, -1.8834228515625, -1.2079811096191406, -1.4719886779785156, -1.861525535583496, -2.7513561248779297, -1.5746593475341797]"
"The greatest Egyptian pyramids at Giza were built: (A) as burial monuments for the pharaoh Khufu, Khufu's son Khafre, and Khufu's grandson Menkaure. (B) by slaves who were coerced and worked under the threat of death, as described in the book of Exodus of the Old Testament. (C) in the construction frenzy of the 6th dynasty. and (D) all of the above.. Of the answer choices above, answer (B) is the",best,0,prehistory,"[-1.2692279815673828, -1.563344955444336, -1.4955291748046875, -1.9165477752685547, -2.050657272338867, -2.2320919036865234, -2.028806686401367, -1.8310432434082031, -1.8966484069824219, -2.282672882080078, nan, -2.805461883544922, -1.302389144897461, -2.3631534576416016, -1.4154720306396484, -1.4123573303222656, -1.9784164428710938, -2.6687965393066406, -2.319345474243164, -1.6891517639160156, -1.7650299072265625, -2.402944564819336, -1.7374267578125, -2.3588790893554688, -2.45858097076416, -2.011119842529297, -1.3139667510986328, -2.5203590393066406, -1.774496078491211, -1.6729564666748047, -2.2834701538085938, -1.0947952270507812, -1.4681072235107422, -2.160430908203125, -1.6394538879394531, -2.2830810546875, -1.2025928497314453, -2.3786888122558594, -2.48138427734375, -1.900766372680664, -1.7297019958496094, -2.354490280151367, -1.8421630859375, -1.9663848876953125, -2.633054733276367, -1.6014995574951172, -1.6117897033691406, -2.9659576416015625, -1.4175758361816406, -2.5345497131347656]"
"The greatest Egyptian pyramids at Giza were built: (A) as burial monuments for the pharaoh Khufu, Khufu's son Khafre, and Khufu's grandson Menkaure. (B) by slaves who were coerced and worked under the threat of death, as described in the book of Exodus of the Old Testament. (C) in the construction frenzy of the 6th dynasty. and (D) all of the above.. Of the answer choices above, answer (C) is the",best,0,prehistory,"[-1.8697452545166016, -2.2652206420898438, -2.3687925338745117, -2.050128936767578, -1.65234375, -2.415644645690918, -2.6350860595703125, -2.4300193786621094, -2.282073974609375, -1.8320903778076172, -1.5942344665527344, -1.913320541381836, -1.4764328002929688, -2.0004138946533203, -2.092794418334961, -1.965353012084961, -2.4770278930664062, -1.9676189422607422, -1.9749460220336914, -2.4258670806884766, -1.3232307434082031, -1.2653045654296875, -2.0259437561035156, -2.2688331604003906, -2.1897315979003906, -2.0240020751953125, -2.0688209533691406, -1.4576492309570312, -1.762411117553711, -1.5139331817626953, -1.9610729217529297, -1.9620838165283203, -2.6197166442871094, -0.918609619140625, -1.3887157440185547, -2.6699180603027344, -3.0903549194335938, -1.9647846221923828, -2.0956268310546875, -2.561441421508789, -2.469602584838867, -2.528675079345703, -2.0225601196289062, -1.6991958618164062, -1.2106246948242188, -2.197157859802246, -2.6837024688720703, -1.7603797912597656, -1.7195358276367188, -2.4818592071533203]"
"The greatest Egyptian pyramids at Giza were built: (A) as burial monuments for the pharaoh Khufu, Khufu's son Khafre, and Khufu's grandson Menkaure. (B) by slaves who were coerced and worked under the threat of death, as described in the book of Exodus of the Old Testament. (C) in the construction frenzy of the 6th dynasty. and (D) all of the above.. Of the answer choices above, answer (D) is the",best,0,prehistory,"[-1.0067977905273438, -2.8523359298706055, -1.7382240295410156, -2.589059829711914, -1.9776687622070312, -1.0582904815673828, -2.6525306701660156, -1.8505077362060547, -1.693145751953125, -1.5813980102539062, -1.8645801544189453, -2.490509033203125, -1.898590087890625, -1.8498401641845703, -1.8898429870605469, -2.0256080627441406, -2.486072540283203, -1.7452869415283203, -2.1596603393554688, -1.7914237976074219, -1.3960857391357422, -1.4081153869628906, -1.8995323181152344, -3.087320327758789, -2.2278575897216797, -2.5190305709838867, -2.00274658203125, -2.125478744506836, -1.8037433624267578, -1.6382312774658203, -1.7115459442138672, -1.5882377624511719, -1.7127399444580078, -3.0664806365966797, -1.6871395111083984, -1.2937088012695312, -1.7502937316894531, -2.15435791015625, nan, -2.2558364868164062, -1.7847709655761719, -1.3813743591308594, -2.3323917388916016, -1.2392158508300781, -2.3401756286621094, -0.960418701171875, -3.012051582336426, nan, -2.012228012084961, -1.4249954223632812]"
"When anatomically modern humans first arrived in the Middle East, who did they encounter? (A) Neandertals, the evolutionary descendants of the premodern human inhabitants of Europe and Asia (B) Homo erectus, the evolutionary descendants of the premodern human inhabitants of Europe and Asia (C) Homo sapiens, who had evolved independently in Asia and arrived there by 200,000 years ago and (D) All of the above. Of the answer choices above, answer (A) is the",best,1,prehistory,"[-1.8869800567626953, -2.178821563720703, -1.1466636657714844, -1.5255966186523438, -1.6685981750488281, -1.3600196838378906, -0.8466434478759766, -2.2526817321777344, -1.9764785766601562, -1.1411094665527344, -1.2376270294189453, -2.116180419921875, -1.3099441528320312, -1.9583511352539062, nan, -1.1658077239990234, -2.6113414764404297, -2.0315074920654297, -1.5991554260253906, -2.1587142944335938, -1.018667221069336, -2.812093734741211, -3.313932418823242, -1.91644287109375, -2.8051271438598633, -1.4005546569824219, -0.8105964660644531, -0.6440448760986328, -1.1184978485107422, -1.332183837890625, -1.0628643035888672, -0.9794044494628906, -0.6940879821777344, -1.3099403381347656, nan, -2.3256473541259766, -2.3770294189453125, -1.6938838958740234, -3.175079345703125, -0.908782958984375, -1.0012702941894531, -0.7222232818603516, -0.2570972442626953, -0.8022613525390625, -1.0482139587402344, -2.187366485595703, -1.7851448059082031, -2.4705944061279297, -1.165609359741211, -0.8994235992431641]"
"When anatomically modern humans first arrived in the Middle East, who did they encounter? (A) Neandertals, the evolutionary descendants of the premodern human inhabitants of Europe and Asia (B) Homo erectus, the evolutionary descendants of the premodern human inhabitants of Europe and Asia (C) Homo sapiens, who had evolved independently in Asia and arrived there by 200,000 years ago and (D) All of the above. Of the answer choices above, answer (B) is the",best,0,prehistory,"[-1.78680419921875, -1.2274284362792969, -1.1901187896728516, -2.0272483825683594, -1.0080795288085938, -1.7799701690673828, -3.4306259155273438, -1.8552780151367188, -0.6131172180175781, -1.32806396484375, -1.788003921508789, -2.0165367126464844, -0.5011081695556641, -0.8157997131347656, -1.002685546875, -2.0528717041015625, -2.4082584381103516, -0.9884166717529297, -1.5763683319091797, -2.0033645629882812, -1.365121841430664, -2.3595504760742188, -1.6256599426269531, -1.2070026397705078, -1.6836185455322266, -2.022817611694336, -1.6170578002929688, -0.5690231323242188, -0.5597629547119141, -2.2223567962646484, -1.6881370544433594, -1.457376480102539, -2.1500072479248047, -1.4472808837890625, -1.253021240234375, -2.5113611221313477, -1.5022315979003906, -1.1499404907226562, -1.0656089782714844, -1.2969608306884766, -2.156618118286133, -0.8947925567626953, -1.9493598937988281, -2.2300148010253906, -1.101419448852539, -1.9635334014892578, -1.3876934051513672, -2.7230138778686523, -3.3026018142700195, -2.8204574584960938]"
