preamble,stimulus,is_correct,subject,stimulus_prob
"Which common public relations tactic involves sending journalists on visits to appropriate locations? (A) Media release (B) Media tour (C) Press room and (D) Promotional days/weeks. Of the answer choices above, answer (A) is the",best,0,public_relations,"[-2.5957765579223633, -9.363616943359375, -3.0211944580078125, -1.9019050598144531, -1.7765722274780273, -2.7254133224487305, -2.714177131652832, -2.7535629272460938, -1.9961652755737305, -1.7344121932983398, -2.657872200012207, -1.8178491592407227, -2.576763153076172, -2.3486576080322266, -2.297734260559082, -1.9429759979248047, -2.302440643310547, -2.5817604064941406, -1.9586257934570312, -1.6380977630615234, -1.7162132263183594, -2.725705146789551, -2.349715232849121, -2.0006179809570312, -8.393771171569824, -1.8715324401855469, -2.5122547149658203, -2.055060386657715, -10.020929336547852, -10.108907699584961, -1.7207841873168945, -2.2546424865722656, -2.036728858947754, -1.8309917449951172, -2.4722585678100586, -2.505488395690918, -9.610779762268066, -8.151325225830078, -1.9986562728881836, -8.872970581054688, -2.241445541381836, -9.901615142822266, -2.2938947677612305, -1.9298419952392578, -1.616769790649414, -2.0387086868286133, -8.962055206298828, -2.5704345703125, -9.132913589477539, -2.3191375732421875]"
"Which common public relations tactic involves sending journalists on visits to appropriate locations? (A) Media release (B) Media tour (C) Press room and (D) Promotional days/weeks. Of the answer choices above, answer (B) is the",best,1,public_relations,"[-2.1067514419555664, -2.194986343383789, -2.6913108825683594, -1.5274848937988281, -9.426334381103516, -1.7970342636108398, -1.4172439575195312, -2.214689254760742, -2.0427656173706055, -1.7624197006225586, -1.6063213348388672, -2.048386573791504, -2.062474250793457, -2.178359031677246, -2.414541244506836, -2.1527976989746094, -2.012192726135254, -9.078407287597656, -2.999953269958496, -1.8009662628173828, -1.5942516326904297, -2.383991241455078, -8.944950103759766, -2.373471260070801, -2.183908462524414, -1.97491455078125, -2.053302764892578, -1.6649713516235352, -2.5083999633789062, -2.034665107727051, -2.3996047973632812, -2.1607532501220703, -1.7708282470703125, -2.2987918853759766, -1.9955635070800781, -2.02646541595459, -9.364067077636719, -2.5453386306762695, -1.9047164916992188, -3.103665351867676, -2.0931243896484375, -2.595513343811035, -1.7767419815063477, -1.8893213272094727, -3.051828384399414, -2.554370880126953, -2.593876838684082, -2.425975799560547, -8.886263847351074, -2.3719396591186523]"
"Which common public relations tactic involves sending journalists on visits to appropriate locations? (A) Media release (B) Media tour (C) Press room and (D) Promotional days/weeks. Of the answer choices above, answer (C) is the",best,0,public_relations,"[-2.4574432373046875, -2.2497711181640625, -1.9624500274658203, -2.672494888305664, -1.7479515075683594, -2.211644172668457, -11.041996002197266, -8.500600814819336, -2.0757837295532227, -2.256627082824707, -2.9109420776367188, -3.077930450439453, -1.8509645462036133, -3.0694990158081055, -1.9225893020629883, -2.4806909561157227, -2.36228084564209, -2.3308773040771484, -2.692119598388672, -2.9335031509399414, -3.2869691848754883, -2.569014549255371, -2.627716064453125, -2.9053211212158203, -1.8841753005981445, -9.865999221801758, -1.700033187866211, -1.613199234008789, -1.9452323913574219, -10.58975601196289, -1.7621116638183594, -1.325291633605957, -9.040592193603516, -1.5790138244628906, -2.51175594329834, -2.155241012573242, -2.485841751098633, -1.8753890991210938, -1.5755329132080078, -2.499861717224121, -2.19498348236084, -1.6488008499145508, -2.02227783203125, -1.5162887573242188, -1.762176513671875, -2.0296525955200195, -1.643524169921875, -2.6223106384277344, -2.105264663696289, -2.243546485900879]"
"Which common public relations tactic involves sending journalists on visits to appropriate locations? (A) Media release (B) Media tour (C) Press room and (D) Promotional days/weeks. Of the answer choices above, answer (D) is the",best,0,public_relations,"[-1.954030990600586, -2.408360481262207, -1.78399658203125, -8.625176429748535, -1.9145145416259766, -2.5331039428710938, -2.0270137786865234, -3.0706329345703125, -1.9326181411743164, -1.3651275634765625, -2.24798583984375, -2.1096973419189453, -1.636087417602539, -2.8155136108398438, -1.6717424392700195, -2.7144737243652344, -1.2961463928222656, -1.9261894226074219, -2.397308349609375, -1.9623680114746094, -2.4452686309814453, -2.2244701385498047, -2.4884557723999023, -1.7462348937988281, -1.7888097763061523, -2.4535646438598633, -2.0664615631103516, -2.43105411529541, -1.658416748046875, -1.849710464477539, -2.603269577026367, -1.5409278869628906, -1.340585708618164, -2.401531219482422, -1.8175172805786133, -2.2945356369018555, -2.0188961029052734, -1.1941413879394531, -1.858656883239746, -8.407049179077148, -1.7285900115966797, -2.3158273696899414, -1.9990196228027344, -2.035198211669922, -2.5209341049194336, -2.463709831237793, -2.102123260498047, -2.2751102447509766, -1.4807929992675781, -2.983351707458496]"
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend? (A) Quickly investigate to make certain your product is definitely the cause of the illness. (B) Stop all sales of the product throughout the nation and issue a recall for that product. (C) Stop sales of the product in the Albany, New York, market and issue a recall for that product. and (D) Issue a press release to the Albany, New York, market explaining how to treat the symptoms.. Of the answer choices above, answer (A) is the",best,0,public_relations,"[-1.0844955444335938, -1.1735706329345703, -0.9855661392211914, -1.0063838958740234, -0.8627471923828125, -0.9513492584228516, -0.8470687866210938, -0.7802724838256836, -1.271677017211914, -1.3423919677734375, -1.1510391235351562, -1.0781002044677734, -0.9862155914306641, -0.8978271484375, -1.1158876419067383, -0.8524885177612305, -0.810272216796875, -0.8318862915039062, -0.7346839904785156, -1.063680648803711, -0.9398336410522461, -0.8692293167114258, -1.2707548141479492, -1.3063774108886719, -1.0575475692749023, -0.9814796447753906, -1.020228385925293, -0.9772701263427734, -0.9939794540405273, -1.6345148086547852, -0.8627071380615234, -0.9987297058105469, -0.7005195617675781, -1.0947751998901367, -1.4647102355957031, -1.0448846817016602, -1.2403926849365234, -0.8126049041748047, -0.7621402740478516, -0.9176597595214844, -0.7703342437744141, -1.2715234756469727, -0.8338413238525391, -1.0270280838012695, -11.087745666503906, -0.9620237350463867, -1.304417610168457, -0.8233919143676758, -0.7186498641967773, -1.1100778579711914]"
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend? (A) Quickly investigate to make certain your product is definitely the cause of the illness. (B) Stop all sales of the product throughout the nation and issue a recall for that product. (C) Stop sales of the product in the Albany, New York, market and issue a recall for that product. and (D) Issue a press release to the Albany, New York, market explaining how to treat the symptoms.. Of the answer choices above, answer (B) is the",best,1,public_relations,"[-1.1215152740478516, -1.0727157592773438, -0.8383369445800781, -0.6216745376586914, -9.467012405395508, -1.0523405075073242, -1.3086528778076172, -0.7293672561645508, -0.9745712280273438, -0.8913803100585938, -1.2404117584228516, -0.7919807434082031, -0.8787631988525391, -1.1667509078979492, -0.8327875137329102, -0.9418706893920898, -0.8867511749267578, -0.8834209442138672, -0.797734260559082, -0.66552734375, -0.8615865707397461, -0.8449783325195312, -5.66801643371582, -1.0454845428466797, -1.0191240310668945, -8.722557067871094, -9.074459075927734, -0.9454288482666016, -5.824103355407715, -1.0896215438842773, -1.6168012619018555, -1.1397457122802734, -0.8827629089355469, -0.8820314407348633, -8.067201614379883, -1.0642480850219727, -1.1443061828613281, -0.8091449737548828, -1.1968517303466797, -1.1872987747192383, -8.7253999710083, -9.403390884399414, -9.105140686035156, -1.3354206085205078, -1.4758825302124023, -1.0974369049072266, -7.296220779418945, -0.5728082656860352, -0.693389892578125, -8.446357727050781]"
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend? (A) Quickly investigate to make certain your product is definitely the cause of the illness. (B) Stop all sales of the product throughout the nation and issue a recall for that product. (C) Stop sales of the product in the Albany, New York, market and issue a recall for that product. and (D) Issue a press release to the Albany, New York, market explaining how to treat the symptoms.. Of the answer choices above, answer (C) is the",best,0,public_relations,"[-0.9364051818847656, -7.262914657592773, -0.8886928558349609, -1.3659296035766602, -1.1120681762695312, -1.0578279495239258, -1.1918010711669922, -0.9911832809448242, -0.7967844009399414, -0.781829833984375, -0.9779205322265625, -1.0577049255371094, -1.5488615036010742, -0.8591814041137695, -1.7385969161987305, -0.8828554153442383, -0.8547544479370117, -0.9255790710449219, -0.8120021820068359, -1.019683837890625, -1.1228199005126953, -0.9651250839233398, -1.1089630126953125, -0.9426164627075195, -0.725062370300293, -1.1197834014892578, -0.8721437454223633, -0.6503076553344727, -0.8147602081298828, -0.5356721878051758, -0.897216796875, -0.8246116638183594, -0.7803440093994141, -1.0970516204833984, -0.6379671096801758, -0.7673788070678711, -0.8929157257080078, -1.5182342529296875, -0.9642543792724609, -1.0099678039550781, -1.1949281692504883, -1.0384092330932617, -0.8079986572265625, -0.643341064453125, -0.5263147354125977, -1.0369033813476562, -1.0697650909423828, -1.0271244049072266, -0.7253532409667969, -0.8479375839233398]"
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend? (A) Quickly investigate to make certain your product is definitely the cause of the illness. (B) Stop all sales of the product throughout the nation and issue a recall for that product. (C) Stop sales of the product in the Albany, New York, market and issue a recall for that product. and (D) Issue a press release to the Albany, New York, market explaining how to treat the symptoms.. Of the answer choices above, answer (D) is the",best,0,public_relations,"[-0.7630681991577148, -0.6284418106079102, -0.8050451278686523, -9.527236938476562, -1.1096115112304688, -1.2281274795532227, -0.8479204177856445, -0.6469306945800781, -0.8112096786499023, -0.9679889678955078, -0.52154541015625, -1.6752891540527344, -0.5563974380493164, -10.302577018737793, -1.0470504760742188, -0.9864234924316406, -0.8593921661376953, -0.9609708786010742, -0.9240589141845703, -0.9421367645263672, -0.9754505157470703, -0.9849119186401367, -0.9795217514038086, -1.279611587524414, -1.041489601135254, -0.6574420928955078, -1.1013498306274414, -1.19610595703125, -1.0015506744384766, -1.142181396484375, -1.0646772384643555, -0.8899688720703125, -0.8585090637207031, -1.3858938217163086, -1.1473236083984375, -1.5375604629516602, -1.338892936706543, -1.1965618133544922, -1.1044483184814453, -1.3619890213012695, -10.1427640914917, -0.9946470260620117, -0.8996915817260742, -1.413665771484375, -0.9313573837280273, -8.47100830078125, -1.2381601333618164, -0.9956951141357422, -1.4998130798339844, -1.1512269973754883]"
"In public relations, ________ deals with an organization's ability to satisfy and create a positive experience for its consumers. (A) community relations (B) consumer relations (C) employee relations and (D) public issues. Of the answer choices above, answer (A) is the",best,0,public_relations,"[-1.5583181381225586, -1.6866521835327148, -1.2508544921875, -1.2632579803466797, -0.9236183166503906, -1.4385805130004883, -2.479435920715332, -8.662116050720215, -1.210341453552246, -1.1690654754638672, -1.4037771224975586, -0.9737033843994141, -1.6214914321899414, -1.1879549026489258, -1.1341638565063477, -2.16024112701416, -1.836747169494629, -1.2045059204101562, -1.140645980834961, -1.5894765853881836, -1.6166973114013672, -10.571117401123047, -1.7500391006469727, -1.5254526138305664, -1.541147232055664, -8.56974983215332, -1.4979782104492188, -1.012359619140625, -8.631458282470703, -1.0182342529296875, -6.147233963012695, -2.0122547149658203, -1.142186164855957, -1.788355827331543, -2.069912910461426, -1.7691421508789062, -2.018336296081543, -1.698807716369629, -1.6728715896606445, -1.1329326629638672, -9.35671329498291, -1.328495979309082, -1.6661796569824219, -0.9473628997802734, -1.2250328063964844, -1.7030620574951172, -1.0000076293945312, -1.2312183380126953, -1.9158077239990234, -1.090372085571289]"
"In public relations, ________ deals with an organization's ability to satisfy and create a positive experience for its consumers. (A) community relations (B) consumer relations (C) employee relations and (D) public issues. Of the answer choices above, answer (B) is the",best,1,public_relations,"[-7.113134384155273, -0.7998027801513672, -1.4304771423339844, -2.1107606887817383, -2.04886531829834, -1.2097339630126953, -1.5796070098876953, -1.4351177215576172, -10.233929634094238, -1.8962278366088867, -1.8997278213500977, -1.2625741958618164, -9.875801086425781, -1.8476629257202148, -1.167496681213379, -1.8977432250976562, -1.2633190155029297, -1.1487159729003906, -1.1842050552368164, -1.2215538024902344, -11.125609397888184, -0.7578763961791992, -1.3385906219482422, -1.4657669067382812, -6.286258697509766, -1.3248558044433594, -2.021700859069824, -1.618952751159668, -1.934305191040039, -1.2468204498291016, -1.8829584121704102, -1.102259635925293, -1.2110214233398438, -1.2873125076293945, -1.3314189910888672, -1.5332555770874023, -1.1037817001342773, -1.719233512878418, -9.684457778930664, -6.98066520690918, -0.987217903137207, -1.539541244506836, -9.15616512298584, -1.7604026794433594, -1.5728702545166016, -1.2994403839111328, -1.7553815841674805, -1.2657756805419922, -1.2469863891601562, -1.472853660583496]"
