preamble,stimulus,is_correct,subject,stimulus_prob
"What is the structure of the United Nations Security Council? (A) 5 permanent members with veto power, 10 rotating members with no veto power (B) 5 permanent members and 10 rotating members, all with veto power (C) 10 permanent members with veto power, and 5 rotating members without veto power and (D) 15 permanent members with veto power. Of the answer choices above, answer (A) is the",best,1,us_foreign_policy,"[-1.6697092056274414, -3.0063562393188477, -2.131114959716797, -7.8278656005859375, -1.9064607620239258, -1.7850236892700195, -2.789705276489258, -2.411233901977539, -2.831488609313965, -2.0994644165039062, -2.484551429748535, -2.0713634490966797, -2.8748655319213867, -1.8352985382080078, -2.6998748779296875, -3.4081811904907227, -2.024456024169922, -1.8151941299438477, -2.3381824493408203, -1.4357585906982422, -2.735248565673828, -8.682408332824707, -2.6023521423339844, -2.4818038940429688, -1.7572412490844727, -1.3940048217773438, -1.035914421081543, -2.4582881927490234, -1.6323518753051758, -2.177279472351074, -2.1850709915161133, -1.9512577056884766, -1.8290042877197266, -2.11411190032959, -2.1334285736083984, -1.891798973083496, -2.3025379180908203, -0.9111204147338867, -2.011007308959961, -2.093165397644043, -2.0904970169067383, -1.5550775527954102, -2.760592460632324, -1.8078184127807617, -10.706550598144531, -2.037468910217285, -1.8734912872314453, -2.395832061767578, -2.4530344009399414, -2.1262283325195312]"
"What is the structure of the United Nations Security Council? (A) 5 permanent members with veto power, 10 rotating members with no veto power (B) 5 permanent members and 10 rotating members, all with veto power (C) 10 permanent members with veto power, and 5 rotating members without veto power and (D) 15 permanent members with veto power. Of the answer choices above, answer (B) is the",best,0,us_foreign_policy,"[-2.1985788345336914, -1.9102964401245117, -1.8380928039550781, -2.270562171936035, -2.6871299743652344, -1.894144058227539, -11.530643463134766, -8.865731239318848, -2.7027902603149414, -2.499518394470215, -1.9895544052124023, -1.5304450988769531, -1.7507038116455078, -2.6707944869995117, -2.0046682357788086, -2.1541824340820312, -2.1695785522460938, -1.9107418060302734, -2.3049869537353516, -10.031036376953125, -2.158156394958496, -2.2447214126586914, -2.508477210998535, -2.6699256896972656, -2.409292221069336, -2.0147714614868164, -8.409736633300781, -2.377349853515625, -1.878331184387207, -1.9190425872802734, -2.0292282104492188, -2.044764518737793, -2.425225257873535, -1.7024431228637695, -2.125210762023926, -2.2316436767578125, -2.046947479248047, -2.000802993774414, -2.407611846923828, -2.219435691833496, -1.7505292892456055, -9.744100570678711, -2.77163028717041, -1.7057476043701172, -2.414041519165039, -2.203115463256836, -1.8391685485839844, -2.5370922088623047, -7.85338020324707, -2.1557960510253906]"
"What is the structure of the United Nations Security Council? (A) 5 permanent members with veto power, 10 rotating members with no veto power (B) 5 permanent members and 10 rotating members, all with veto power (C) 10 permanent members with veto power, and 5 rotating members without veto power and (D) 15 permanent members with veto power. Of the answer choices above, answer (C) is the",best,0,us_foreign_policy,"[-1.973952293395996, -1.5656509399414062, -2.0603599548339844, -3.110004425048828, -1.7261676788330078, -1.9758796691894531, -2.001925468444824, -2.160902976989746, -2.301586151123047, -8.106544494628906, -2.167459487915039, -2.0755653381347656, -1.450714111328125, -2.486721992492676, -2.4577550888061523, -2.086819648742676, -1.6881637573242188, -2.3449039459228516, -1.8420124053955078, -9.791547775268555, -1.899301528930664, -2.5609569549560547, -2.548929214477539, -2.573746681213379, -2.1345958709716797, -2.3444900512695312, -1.5254240036010742, -1.361180305480957, -2.110968589782715, -1.5617876052856445, -2.4024276733398438, -1.9129533767700195, -2.511812210083008, -2.117656707763672, -1.8410539627075195, -1.9977493286132812, -3.04254150390625, -2.176605224609375, -2.864377975463867, -2.1262903213500977, -1.6701736450195312, -1.7175865173339844, -1.941091537475586, -2.4859533309936523, -1.9906988143920898, -1.9012823104858398, -2.433349609375, -2.3603477478027344, -2.2992019653320312, -2.272552490234375]"
"What is the structure of the United Nations Security Council? (A) 5 permanent members with veto power, 10 rotating members with no veto power (B) 5 permanent members and 10 rotating members, all with veto power (C) 10 permanent members with veto power, and 5 rotating members without veto power and (D) 15 permanent members with veto power. Of the answer choices above, answer (D) is the",best,0,us_foreign_policy,"[-1.7339200973510742, -2.7416038513183594, -9.761991500854492, -8.969334602355957, -2.587068557739258, -2.080564498901367, -2.1707639694213867, -2.714914321899414, -2.363337516784668, -2.509392738342285, -2.27663516998291, -1.8524398803710938, -2.357236862182617, -3.402402877807617, -2.566441535949707, -1.8772907257080078, -2.3002452850341797, -2.0683364868164062, -7.64988899230957, -1.9492578506469727, -2.710700035095215, -2.3687973022460938, -1.9176921844482422, -1.9931964874267578, -2.2020606994628906, -2.360531806945801, -1.7382087707519531, -2.396578788757324, -2.3691177368164062, -1.0928030014038086, -8.80073356628418, -2.461379051208496, -8.82056999206543, -2.9461374282836914, -2.5112762451171875, -2.671773910522461, -2.117208480834961, -2.0598344802856445, -2.3203086853027344, -2.38397216796875, -2.5848636627197266, -3.127645492553711, -2.5764379501342773, -8.870912551879883, -2.272859573364258, -9.008146286010742, -2.325592041015625, -2.3871841430664062, -8.393967628479004, -2.1626720428466797]"
"What was the significance of the Gulf of Tonkin resolution? (A) It allowed the US to intensify its involvement in Vietnam (B) It illustrated the influence of public opinion on US foreign policy (C) It enhanced Congressional control over the Vietnam War and (D) It curtailed US involvement in Vietnam. Of the answer choices above, answer (A) is the",best,1,us_foreign_policy,"[-1.1248979568481445, -0.9952878952026367, -1.5747137069702148, -1.155008316040039, -0.8729524612426758, -1.3718738555908203, -1.6199827194213867, -0.9599647521972656, -1.1673688888549805, -1.6862058639526367, -1.4051132202148438, -1.142857551574707, -1.1563348770141602, -1.7449531555175781, -1.2524652481079102, -0.9018020629882812, -0.8855609893798828, -1.7882661819458008, -1.458115577697754, -1.0091266632080078, -1.2994251251220703, -1.0388994216918945, -1.5169506072998047, -0.5284194946289062, -1.4422187805175781, -1.9309711456298828, -1.0813140869140625, -1.4874286651611328, -1.4656095504760742, -1.1394882202148438, -1.0251960754394531, -1.8706483840942383, -9.57992172241211, -1.2244701385498047, -0.7163524627685547, -1.7217884063720703, -1.0130901336669922, -1.424513816833496, -0.6342802047729492, -1.3005390167236328, -1.4603872299194336, -1.7137298583984375, -1.5022144317626953, -0.8142242431640625, -0.9596920013427734, -1.4694137573242188, -1.4024295806884766, -1.1021394729614258, -1.246506690979004, -1.583756446838379]"
"What was the significance of the Gulf of Tonkin resolution? (A) It allowed the US to intensify its involvement in Vietnam (B) It illustrated the influence of public opinion on US foreign policy (C) It enhanced Congressional control over the Vietnam War and (D) It curtailed US involvement in Vietnam. Of the answer choices above, answer (B) is the",best,0,us_foreign_policy,"[-1.968785285949707, -10.442004203796387, -1.6602659225463867, -1.7374677658081055, -1.9901351928710938, -9.49567985534668, -1.6483612060546875, -1.888071060180664, -1.1887626647949219, -1.0893888473510742, -1.4429540634155273, -1.4450874328613281, -1.0588598251342773, -0.9602794647216797, -0.9052972793579102, -1.395538330078125, -1.2859582901000977, -1.166172981262207, -1.0178146362304688, -1.4043588638305664, -1.439345359802246, -1.2395038604736328, -1.2667713165283203, -0.9924068450927734, -1.0737733840942383, -1.5450010299682617, -0.8353490829467773, -1.0291309356689453, -1.4993715286254883, -1.1077260971069336, -8.550846099853516, -0.9255456924438477, -2.0759057998657227, -1.0594854354858398, -1.3807506561279297, -1.4006195068359375, -1.1743812561035156, -1.1737556457519531, -1.6632909774780273, -1.4890289306640625, -1.0161619186401367, -9.4151611328125, -8.976582527160645, -1.0694618225097656, -1.3418865203857422, -0.8657007217407227, -1.058426856994629, -0.9268646240234375, -0.9646787643432617, -2.5692081451416016]"
"What was the significance of the Gulf of Tonkin resolution? (A) It allowed the US to intensify its involvement in Vietnam (B) It illustrated the influence of public opinion on US foreign policy (C) It enhanced Congressional control over the Vietnam War and (D) It curtailed US involvement in Vietnam. Of the answer choices above, answer (C) is the",best,0,us_foreign_policy,"[-2.231717109680176, -1.2401762008666992, -1.4250707626342773, -0.9025325775146484, -0.7469453811645508, -9.612995147705078, -0.8743829727172852, -1.8332595825195312, -10.680391311645508, -1.572953224182129, -0.8415584564208984, -1.253279685974121, -1.5898418426513672, -1.0040416717529297, -0.8076066970825195, -1.0637531280517578, -1.0384140014648438, -2.1602582931518555, -0.505955696105957, -7.204494476318359, -1.397298812866211, -1.0590343475341797, -0.9716281890869141, -1.0842370986938477, -1.5746698379516602, -1.6360254287719727, -1.3535137176513672, -0.8061647415161133, -0.8382778167724609, -0.7273645401000977, -1.5665702819824219, -1.0160036087036133, -1.0328130722045898, -1.1108760833740234, -1.4621553421020508, -1.0098495483398438, -1.4089431762695312, -1.5157651901245117, -9.491955757141113, -1.3589649200439453, -1.083047866821289, -1.2653656005859375, -0.6455745697021484, -1.2637510299682617, -9.687504768371582, -1.5375661849975586, -7.044971466064453, -1.0152559280395508, -0.9787387847900391, -1.3299522399902344]"
"What was the significance of the Gulf of Tonkin resolution? (A) It allowed the US to intensify its involvement in Vietnam (B) It illustrated the influence of public opinion on US foreign policy (C) It enhanced Congressional control over the Vietnam War and (D) It curtailed US involvement in Vietnam. Of the answer choices above, answer (D) is the",best,0,us_foreign_policy,"[-0.9692878723144531, -1.418076515197754, -1.817826271057129, -0.783686637878418, -0.6547183990478516, -1.4390125274658203, -2.579483985900879, -0.9725837707519531, -1.0826787948608398, -1.542409896850586, -2.302699089050293, -0.9828071594238281, -1.61614990234375, -1.628279685974121, -1.2421245574951172, -1.6952190399169922, -1.6646957397460938, -1.6928377151489258, -1.108750343322754, -1.815007209777832, -2.51751708984375, -9.814794540405273, -0.8923187255859375, -1.2344484329223633, -2.2066144943237305, -7.900075912475586, -1.3871545791625977, -1.6221866607666016, -0.8902683258056641, -13.545459747314453, -1.259291648864746, -9.70538330078125, -1.5206546783447266, -0.9752092361450195, -1.6547040939331055, -1.9980792999267578, -2.078268051147461, -2.0015783309936523, -1.5387306213378906, -1.4900684356689453, -1.294754981994629, -1.7603950500488281, -1.6070623397827148, -1.7584562301635742, -1.6225357055664062, -1.2673835754394531, -1.5103626251220703, -1.6576766967773438, -1.7773151397705078, -1.2927751541137695]"
"Which is not a nonstate actor that poses a threat to the United States? (A) Terrorists (B) Organized crime (C) Drug traffickers and (D) China. Of the answer choices above, answer (A) is the",best,0,us_foreign_policy,"[-1.5437850952148438, -2.0251541137695312, -1.8430709838867188, -1.5414056777954102, -2.3670616149902344, -1.7530584335327148, -1.1250619888305664, -1.2312402725219727, -2.066708564758301, -1.4467592239379883, -1.7974109649658203, -1.4006080627441406, -2.0203561782836914, -1.9879541397094727, -1.6753978729248047, -1.6988039016723633, -10.239665031433105, -8.952423095703125, -2.6230592727661133, -11.905001640319824, -1.7808828353881836, -1.9574213027954102, -1.5901918411254883, -2.1134119033813477, -1.652073860168457, -9.425434112548828, -1.6820755004882812, -9.366533279418945, -6.853708267211914, -2.1664581298828125, -1.8904743194580078, -1.8764495849609375, -1.9297561645507812, -1.0394163131713867, -2.2177000045776367, -2.403170585632324, -1.9841032028198242, -1.9450359344482422, -1.2435531616210938, -1.4925003051757812, -1.7239809036254883, -1.642878532409668, -8.816347122192383, -1.8762454986572266, -1.2416439056396484, -7.308706283569336, -2.233981132507324, -2.4091691970825195, -1.8785228729248047, -1.8409652709960938]"
"Which is not a nonstate actor that poses a threat to the United States? (A) Terrorists (B) Organized crime (C) Drug traffickers and (D) China. Of the answer choices above, answer (B) is the",best,0,us_foreign_policy,"[-2.119598388671875, -2.2358827590942383, -1.9628000259399414, -2.246755599975586, -2.097001075744629, -1.918741226196289, -1.2305946350097656, -1.6248340606689453, -1.9215335845947266, -10.368147850036621, -1.8089914321899414, -1.6743221282958984, -1.3153676986694336, -1.8678464889526367, -2.11148738861084, -2.563037872314453, -1.6760568618774414, -1.7265558242797852, -1.6320734024047852, -2.0861682891845703, -2.01995849609375, -1.7648868560791016, -2.4517297744750977, -1.7249927520751953, -1.4052419662475586, -1.3382129669189453, -2.1704540252685547, -1.714010238647461, -2.4223814010620117, -2.277872085571289, -2.5320520401000977, -1.8831024169921875, -2.0811996459960938, -1.7609567642211914, -1.5666465759277344, -1.6092424392700195, -1.8343467712402344, -2.0112009048461914, -1.6950559616088867, -2.0800952911376953, -1.983729362487793, -2.172515869140625, -1.989781379699707, -8.14797592163086, -1.3695335388183594, -1.9934406280517578, -1.9660444259643555, -1.919088363647461, -8.248600959777832, -2.0338077545166016]"
