preamble,stimulus,is_correct,subject,stimulus_prob
"What is the structure of the United Nations Security Council? (A) 5 permanent members with veto power, 10 rotating members with no veto power (B) 5 permanent members and 10 rotating members, all with veto power (C) 10 permanent members with veto power, and 5 rotating members without veto power and (D) 15 permanent members with veto power. Of the answer choices above, answer (A) is the",best,1,us_foreign_policy,"[-2.9623146057128906, -2.735858917236328, -2.838420867919922, -1.4760637283325195, -3.185244560241699, -1.892024040222168, -2.723146438598633, -1.7720394134521484, -2.8410568237304688, -1.4602994918823242, -2.519441604614258, -2.3994522094726562, -1.4468841552734375, -1.8389978408813477, -1.6782970428466797, -3.116758346557617, -2.7228517532348633, -2.186431884765625, -2.7446413040161133, -1.7915277481079102, -1.466841697692871, -9.516265869140625, -13.739224433898926, -2.788541793823242, -2.534343719482422, -1.9929466247558594, -2.7777233123779297, -1.2915639877319336, -1.7104530334472656, -2.6695518493652344, -1.941070556640625, -2.3248844146728516, -2.698606491088867, -1.4404268264770508, -3.019439697265625, -1.7348651885986328, -2.0396909713745117, -2.5859670639038086, -2.4585742950439453, -2.285930633544922, -1.2852668762207031, -2.1856937408447266, -2.2823057174682617, -16.302453994750977, -2.9289722442626953, -16.922937393188477, -2.0434207916259766, -14.68754768371582, -1.929178237915039, -14.841207504272461]"
"What is the structure of the United Nations Security Council? (A) 5 permanent members with veto power, 10 rotating members with no veto power (B) 5 permanent members and 10 rotating members, all with veto power (C) 10 permanent members with veto power, and 5 rotating members without veto power and (D) 15 permanent members with veto power. Of the answer choices above, answer (B) is the",best,0,us_foreign_policy,"[-1.9607248306274414, -1.8794736862182617, -3.3230371475219727, -15.026658058166504, -2.387009620666504, -3.1668319702148438, -1.4968690872192383, -14.34539794921875, -2.8070878982543945, -1.7888526916503906, -15.118270874023438, -17.856149673461914, -2.676875114440918, -2.9742393493652344, -2.4360694885253906, -10.119403839111328, -3.213836669921875, -8.434486389160156, -2.435546875, -1.9164800643920898, -2.2950515747070312, -17.50216293334961, -2.4498977661132812, -15.6145601272583, -2.1224889755249023, -2.703770637512207, -2.676807403564453, -2.1607723236083984, -2.040421485900879, -2.637176513671875, -13.638846397399902, -1.8222551345825195, -16.113136291503906, -3.014651298522949, -1.9086942672729492, -1.2528095245361328, -14.067771911621094, -2.8653316497802734, -2.9847049713134766, -2.605441093444824, -2.335430145263672, -2.776308059692383, -14.604837417602539, -2.5826377868652344, -2.9920291900634766, -1.0144386291503906, -2.7452287673950195, -16.066041946411133, -1.8502769470214844, -1.7149314880371094]"
"What is the structure of the United Nations Security Council? (A) 5 permanent members with veto power, 10 rotating members with no veto power (B) 5 permanent members and 10 rotating members, all with veto power (C) 10 permanent members with veto power, and 5 rotating members without veto power and (D) 15 permanent members with veto power. Of the answer choices above, answer (C) is the",best,0,us_foreign_policy,"[-2.314474105834961, -2.515955924987793, -3.398371696472168, -1.4201173782348633, -2.2459115982055664, -3.382068634033203, -1.4753046035766602, -2.8087873458862305, -2.24899959564209, -2.7093563079833984, -2.170903205871582, -1.2232427597045898, -1.5855216979980469, -3.0616159439086914, -1.6200342178344727, -1.2946662902832031, -2.589040756225586, -1.5982494354248047, -3.3454151153564453, -2.4280786514282227, -2.8971099853515625, -2.1310977935791016, -2.2685203552246094, -3.0029640197753906, -1.1431617736816406, -2.1737403869628906, -1.4761314392089844, -2.8961334228515625, -1.9957275390625, -2.7583093643188477, -2.2262840270996094, -1.934504508972168, -2.060360908508301, -16.683734893798828, -2.747889518737793, -2.6533050537109375, -2.6287527084350586, -1.5758085250854492, -2.174489974975586, -2.468423843383789, -2.076152801513672, -2.5590028762817383, -2.219430923461914, -1.6924171447753906, -2.8899660110473633, -2.5489110946655273, -2.1148548126220703, -2.5426950454711914, -2.532480239868164, -2.957921028137207]"
"What is the structure of the United Nations Security Council? (A) 5 permanent members with veto power, 10 rotating members with no veto power (B) 5 permanent members and 10 rotating members, all with veto power (C) 10 permanent members with veto power, and 5 rotating members without veto power and (D) 15 permanent members with veto power. Of the answer choices above, answer (D) is the",best,0,us_foreign_policy,"[-2.8379745483398438, -3.0747833251953125, -15.098997116088867, -1.9231739044189453, -1.2705373764038086, -2.9993677139282227, -2.4886350631713867, -2.7131261825561523, -2.368624687194824, -2.493762969970703, -2.7305097579956055, -1.597701072692871, -2.3772506713867188, -2.309164047241211, -3.4243240356445312, -2.5798559188842773, -2.2032108306884766, -0.8789148330688477, -1.9001054763793945, -2.638866424560547, -3.09488582611084, -2.296015739440918, -2.552459716796875, -3.161707878112793, -1.2805633544921875, -1.6349124908447266, -1.6397428512573242, -2.817378044128418, -2.299051284790039, -3.22634220123291, -2.9152097702026367, -2.5426740646362305, -2.4802818298339844, -3.0785903930664062, -2.7839717864990234, -11.812161445617676, -3.1393861770629883, -2.895327568054199, -2.465865135192871, -2.930975914001465, -2.912900924682617, -2.6274805068969727, -3.1953248977661133, -2.9786338806152344, -2.338656425476074, -2.0036659240722656, -15.035300254821777, -2.6490955352783203, -2.2439708709716797, -2.599431037902832]"
"What was the significance of the Gulf of Tonkin resolution? (A) It allowed the US to intensify its involvement in Vietnam (B) It illustrated the influence of public opinion on US foreign policy (C) It enhanced Congressional control over the Vietnam War and (D) It curtailed US involvement in Vietnam. Of the answer choices above, answer (A) is the",best,1,us_foreign_policy,"[-1.3495979309082031, -1.5349664688110352, -1.688950538635254, -2.0907630920410156, -1.0934581756591797, -0.9297752380371094, -1.734426498413086, -1.4784393310546875, -1.0765314102172852, -0.9913167953491211, -1.0341978073120117, -1.2080926895141602, -1.0647201538085938, -1.7843685150146484, -1.7744760513305664, -1.1120738983154297, -1.8834228515625, -1.4406356811523438, -1.7621545791625977, -1.050851821899414, -1.3273859024047852, -1.3981399536132812, -1.9784736633300781, -1.136892318725586, -0.9905242919921875, -2.040682792663574, -1.1230144500732422, -1.3963909149169922, -1.5829696655273438, -14.623931884765625, -19.201278686523438, -1.8690595626831055, -1.3044700622558594, -1.0201950073242188, -13.110007286071777, -1.8427886962890625, -1.030421257019043, -1.8860912322998047, -1.5942611694335938, -15.687264442443848, -1.772531509399414, -1.4698190689086914, -1.121194839477539, -1.1468067169189453, -1.5829734802246094, -1.6213111877441406, -2.2012815475463867, -1.668680191040039, -1.605825424194336, -14.69775390625]"
"What was the significance of the Gulf of Tonkin resolution? (A) It allowed the US to intensify its involvement in Vietnam (B) It illustrated the influence of public opinion on US foreign policy (C) It enhanced Congressional control over the Vietnam War and (D) It curtailed US involvement in Vietnam. Of the answer choices above, answer (B) is the",best,0,us_foreign_policy,"[-1.7309942245483398, -1.0308036804199219, -1.2658958435058594, -1.5518264770507812, -1.4285697937011719, -1.2943229675292969, -0.9006519317626953, -1.490652084350586, -1.0595941543579102, -1.0357379913330078, -1.4829492568969727, -1.526956558227539, -1.3223066329956055, -12.198444366455078, -1.6820125579833984, -1.6678152084350586, -1.0605134963989258, -1.158036231994629, -0.9817333221435547, -16.498132705688477, -1.5581426620483398, -1.5223274230957031, -1.5032482147216797, -0.9646892547607422, -1.806227684020996, -1.5203676223754883, -1.0310640335083008, -1.7527294158935547, -1.563852310180664, -2.1993160247802734, -1.8397483825683594, -0.9355363845825195, -1.7292108535766602, -0.9617223739624023, -1.5798234939575195, -0.8018274307250977, -1.234628677368164, -1.1463642120361328, -1.5198450088500977, -1.509110450744629, -1.1665773391723633, -1.7461204528808594, -1.3027238845825195, -1.989823341369629, -1.9887275695800781, -15.119407653808594, -1.2245159149169922, -1.4407777786254883, -15.186777114868164, -1.3504934310913086]"
"What was the significance of the Gulf of Tonkin resolution? (A) It allowed the US to intensify its involvement in Vietnam (B) It illustrated the influence of public opinion on US foreign policy (C) It enhanced Congressional control over the Vietnam War and (D) It curtailed US involvement in Vietnam. Of the answer choices above, answer (C) is the",best,0,us_foreign_policy,"[-1.6821680068969727, -1.4645977020263672, -0.6776132583618164, -1.774165153503418, -1.2697172164916992, -1.0817737579345703, -1.181304931640625, -2.100271224975586, -1.7030630111694336, -1.4470787048339844, -2.32547664642334, -1.0282182693481445, -1.5166664123535156, -1.4920787811279297, -1.7299060821533203, -1.454507827758789, -13.122800827026367, -1.6882543563842773, -1.470839500427246, -0.7386932373046875, -2.0352611541748047, -1.4385251998901367, -1.3868350982666016, -1.6113090515136719, -1.3362712860107422, -1.4570884704589844, -14.698161125183105, -1.5936393737792969, -1.3223018646240234, -1.2870197296142578, -2.0470199584960938, -1.4664669036865234, -1.1036596298217773, -1.962937355041504, -16.02463150024414, -1.0732498168945312, -1.1686210632324219, -1.6111116409301758, -1.2563199996948242, -1.9594764709472656, -1.4069223403930664, -1.0256423950195312, -1.5670948028564453, -19.285099029541016, -1.3767986297607422, -1.7146520614624023, -1.8047494888305664, -1.2086334228515625, -18.417129516601562, -1.695821762084961]"
"What was the significance of the Gulf of Tonkin resolution? (A) It allowed the US to intensify its involvement in Vietnam (B) It illustrated the influence of public opinion on US foreign policy (C) It enhanced Congressional control over the Vietnam War and (D) It curtailed US involvement in Vietnam. Of the answer choices above, answer (D) is the",best,0,us_foreign_policy,"[-1.634939193725586, -1.8255395889282227, -1.9341373443603516, -2.3155527114868164, -2.315140724182129, -2.279012680053711, -13.975656509399414, -1.7659912109375, -2.304340362548828, -1.913818359375, -1.5785026550292969, -1.5731754302978516, -1.9140596389770508, -0.8714675903320312, -1.6427831649780273, -1.5078840255737305, -1.8687000274658203, -1.5574626922607422, -1.4728612899780273, -15.894159317016602, -1.8781490325927734, -0.8570795059204102, -1.905625343322754, -1.2628536224365234, -1.5634088516235352, -1.8324699401855469, -1.8940162658691406, -2.015176773071289, -1.3759288787841797, -1.980097770690918, -2.198838233947754, -1.9965810775756836, -10.406335830688477, -1.6644115447998047, -1.1810693740844727, -1.9621610641479492, -1.4042596817016602, -1.685628890991211, -1.6904287338256836, -1.5437498092651367, -1.905421257019043, -0.9283790588378906, -2.0892934799194336, -1.8428525924682617, -2.4121875762939453, -1.9831905364990234, -2.736639976501465, -1.6765565872192383, -1.7053394317626953, -1.6771478652954102]"
"Which is not a nonstate actor that poses a threat to the United States? (A) Terrorists (B) Organized crime (C) Drug traffickers and (D) China. Of the answer choices above, answer (A) is the",best,0,us_foreign_policy,"[-1.4651432037353516, -1.78350830078125, -0.8956747055053711, -1.7903108596801758, -1.9217948913574219, -2.1814002990722656, -1.9135923385620117, -1.8724336624145508, -1.2577409744262695, -1.6463232040405273, -2.3485050201416016, -1.2680130004882812, -2.200550079345703, -1.8305721282958984, -1.352665901184082, -1.8435392379760742, -2.3247642517089844, -12.276665687561035, -1.6662912368774414, -1.602461814880371, -1.1694164276123047, -12.237653732299805, -2.0070972442626953, -1.465707778930664, -1.5070686340332031, -1.653416633605957, -2.2257566452026367, -1.7971992492675781, -1.111572265625, -1.8920555114746094, -2.332789421081543, -13.819125175476074, -1.5441036224365234, -2.2130050659179688, -2.209378242492676, -1.3008594512939453, -2.2891454696655273, -1.112013816833496, -2.089144706726074, -1.6675786972045898, -1.8614463806152344, -1.927323341369629, -2.348027229309082, -0.9672746658325195, -1.372981071472168, -2.0288124084472656, -15.004870414733887, -2.147235870361328, -1.9390201568603516, -1.1836280822753906]"
"Which is not a nonstate actor that poses a threat to the United States? (A) Terrorists (B) Organized crime (C) Drug traffickers and (D) China. Of the answer choices above, answer (B) is the",best,0,us_foreign_policy,"[-1.5299615859985352, -1.9746274948120117, -2.4673032760620117, -2.4076366424560547, -2.061614990234375, -0.9800682067871094, -1.6502208709716797, -13.985273361206055, -1.5338869094848633, -1.3572187423706055, -2.1343841552734375, -1.6215057373046875, -1.5522470474243164, -1.7388181686401367, -2.481964111328125, -13.226186752319336, -1.1495800018310547, -0.9301156997680664, -1.1615257263183594, -1.3775901794433594, -2.331881523132324, -2.148442268371582, -1.7639122009277344, -15.868722915649414, -1.1086597442626953, -1.3676223754882812, -2.336318016052246, -14.266063690185547, -1.2783079147338867, -1.7720365524291992, -13.31874942779541, -1.3556833267211914, -1.8188858032226562, -1.2047748565673828, -2.2877120971679688, -1.159806251525879, -14.687074661254883, -1.7599010467529297, -1.6198387145996094, -0.8164825439453125, -1.2340221405029297, -1.4455366134643555, -1.7789182662963867, -1.5861701965332031, -1.9613590240478516, -0.9781122207641602, -2.0562124252319336, -2.726803779602051, -1.6169204711914062, -1.3453149795532227]"
