preamble,stimulus,is_correct,subject,stimulus_prob
" What can murtis be translated as? (A) Offerings (B) Prayers (C) Apparitions and (D) Idols. Of the answer choices above, answer (A) is the",best,0,world_religions,"[-1.7743949890136719, -1.8670854568481445, -2.042965888977051, -2.001532554626465, -1.87847900390625, -10.23971939086914, -1.6765308380126953, -2.1602468490600586, -1.6347723007202148, -2.3571672439575195, -1.5673713684082031, -2.2117652893066406, -1.943380355834961, -1.2777166366577148, -2.523538589477539, -1.9718017578125, -2.21163272857666, -8.633684158325195, -1.6808900833129883, -2.2591238021850586, -1.8840608596801758, -2.0036373138427734, -1.6028976440429688, -1.2131776809692383, -1.961313247680664, -1.5832672119140625, -1.9794902801513672, -1.917877197265625, -2.4132652282714844, -2.615001678466797, -1.849299430847168, -2.200000762939453, -1.2402973175048828, -2.001323699951172, -1.8256187438964844, -1.8051424026489258, -1.3739185333251953, -2.039560317993164, -2.03262996673584, -1.5317440032958984, -1.654632568359375, -2.1160430908203125, -2.112529754638672, -1.8908271789550781, -1.8806695938110352, -1.0277290344238281, -1.8626375198364258, -1.8117656707763672, -9.424535751342773, -10.564056396484375]"
" What can murtis be translated as? (A) Offerings (B) Prayers (C) Apparitions and (D) Idols. Of the answer choices above, answer (B) is the",best,0,world_religions,"[-1.7064542770385742, -1.5991954803466797, -1.7931690216064453, -2.183905601501465, -2.5197019577026367, -1.4142169952392578, -1.8360309600830078, -2.353330612182617, -1.5989351272583008, -2.3034143447875977, -2.4840736389160156, -2.2056026458740234, -2.331686019897461, -1.7140960693359375, -2.329507827758789, -2.071047782897949, -1.7998971939086914, -1.951247215270996, -1.502385139465332, -2.9382829666137695, -2.52927303314209, -1.7576637268066406, -1.657944679260254, -2.1485681533813477, -2.2123403549194336, -1.47528076171875, -2.591792106628418, -1.6948728561401367, -2.252255439758301, -1.6676950454711914, -0.8813972473144531, -2.101917266845703, -2.0523176193237305, -2.533938407897949, -1.684957504272461, -1.3813199996948242, -2.443033218383789, -1.936563491821289, -10.261473655700684, -2.01053524017334, -1.5525388717651367, -1.902256965637207, -2.690371513366699, -1.383718490600586, -2.194032669067383, -1.856536865234375, -2.3384532928466797, -3.0329856872558594, -1.9821968078613281, -2.660472869873047]"
" What can murtis be translated as? (A) Offerings (B) Prayers (C) Apparitions and (D) Idols. Of the answer choices above, answer (C) is the",best,0,world_religions,"[-2.157205581665039, -2.1555299758911133, -1.7360095977783203, -2.1036367416381836, -8.606071472167969, -1.9990062713623047, -1.8215150833129883, -2.14129638671875, -2.1816883087158203, -2.645380973815918, -1.2724609375, -2.004467010498047, -2.2540769577026367, -1.6664934158325195, -8.287355422973633, -2.1213197708129883, -1.9917230606079102, -1.932805061340332, -2.3614492416381836, -1.9136905670166016, -1.838984489440918, -1.8414897918701172, -1.5450057983398438, -1.6276187896728516, -1.8098249435424805, -8.935705184936523, -2.281003952026367, -1.4491348266601562, -6.890554428100586, -2.2093639373779297, -1.6777420043945312, -1.7877998352050781, -1.8785648345947266, -10.458473205566406, -1.752751350402832, -9.561113357543945, -1.7050657272338867, -1.8361310958862305, -1.5940265655517578, -2.3585453033447266, -2.707156181335449, -1.9681272506713867, -2.168856620788574, -2.0893898010253906, -1.7933807373046875, -2.1757402420043945, -2.428256034851074, -1.6037578582763672, -1.757049560546875, -1.7758617401123047]"
" What can murtis be translated as? (A) Offerings (B) Prayers (C) Apparitions and (D) Idols. Of the answer choices above, answer (D) is the",best,1,world_religions,"[-1.9273624420166016, -2.5158071517944336, -10.029775619506836, -2.5043554306030273, -2.7385663986206055, -2.0581607818603516, -1.9054412841796875, -9.53335952758789, -1.7099113464355469, -2.2265663146972656, -1.8839330673217773, -7.917729377746582, -2.573786735534668, -1.957712173461914, -2.4307775497436523, -2.636691093444824, -1.8891525268554688, -2.994537353515625, -1.8942127227783203, -2.324225425720215, -2.056621551513672, -3.653439521789551, -1.6337356567382812, -2.2206239700317383, -9.181028366088867, -8.477208137512207, -2.1869049072265625, -7.642548561096191, -2.6830224990844727, -1.4264631271362305, -1.6824874877929688, -2.9766645431518555, -2.010557174682617, -1.8847904205322266, -2.527690887451172, -2.3644847869873047, -2.3115644454956055, -2.2187280654907227, -1.9767656326293945, -2.281892776489258, -2.0058441162109375, -2.2553300857543945, -2.2969274520874023, -2.731222152709961, -2.634786605834961, -2.737628936767578, -1.5902748107910156, -2.385098457336426, -2.109612464904785, -2.1144285202026367]"
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Yin-Yang School (C) Mengzi and (D) Humanistic Buddhism. Of the answer choices above, answer (A) is the",best,0,world_religions,"[-1.9305143356323242, -10.592880249023438, -1.5105552673339844, -1.658614158630371, -1.8450756072998047, -1.34332275390625, -1.2876911163330078, -2.353426933288574, -2.3662214279174805, -1.7678489685058594, -1.2566299438476562, -2.254852294921875, -1.4971466064453125, -1.881861686706543, -1.836221694946289, -2.2217187881469727, -2.5979347229003906, -1.6500930786132812, -2.6664533615112305, -1.9576396942138672, -2.4261207580566406, -2.377838134765625, -1.9489984512329102, -9.065486907958984, -1.9997406005859375, -2.0770177841186523, -2.072103500366211, -1.3831501007080078, -1.482609748840332, -2.4410266876220703, -1.5343999862670898, -1.9385871887207031, -1.5721025466918945, -1.638260841369629, -1.654118537902832, -2.718134880065918, -2.023334503173828, -1.7788467407226562, -1.8735675811767578, -1.5614070892333984, -9.663980484008789, -1.7896366119384766, -2.34063720703125, -3.152496337890625, -1.6392736434936523, -2.3518075942993164, -1.816014289855957, -1.8023786544799805, -9.6800537109375, -1.6345224380493164]"
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Yin-Yang School (C) Mengzi and (D) Humanistic Buddhism. Of the answer choices above, answer (B) is the",best,1,world_religions,"[-1.673344612121582, -1.8114557266235352, -1.5424480438232422, -2.3680038452148438, -1.4787826538085938, -1.4963712692260742, -1.3164501190185547, -1.9782676696777344, -8.77462100982666, -1.776641845703125, -2.0233230590820312, -1.520716667175293, -8.54989242553711, -2.414431571960449, -1.9354305267333984, -2.547515869140625, -1.2054729461669922, -2.147907257080078, -1.4676828384399414, -2.153153419494629, -1.5717134475708008, -2.5779151916503906, -1.875868797302246, -2.0400819778442383, -2.122317314147949, -1.7785253524780273, -1.577897071838379, -1.719344139099121, -1.9528083801269531, -1.8122243881225586, -1.5906000137329102, -1.3482074737548828, -1.4009284973144531, -2.0910282135009766, -1.7533931732177734, -1.7555837631225586, -1.2295331954956055, -1.6688079833984375, -2.128042221069336, -2.148723602294922, -2.0221290588378906, -1.6016416549682617, -2.602571487426758, -1.3965492248535156, -1.6719474792480469, -1.0621299743652344, -1.2862844467163086, -1.7215595245361328, -1.894770622253418, -1.526224136352539]"
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Yin-Yang School (C) Mengzi and (D) Humanistic Buddhism. Of the answer choices above, answer (C) is the",best,0,world_religions,"[-2.1801633834838867, -1.5682182312011719, -1.4284658432006836, -1.9537439346313477, -2.638782501220703, -1.081146240234375, -1.7810935974121094, -1.5430984497070312, -2.022904396057129, -2.2869644165039062, -2.0527591705322266, -1.6325931549072266, -1.2426023483276367, -2.169671058654785, -1.460134506225586, -2.068601608276367, -1.7262344360351562, -2.3109235763549805, -1.529576301574707, -1.9252595901489258, -1.9076862335205078, -8.43828296661377, -9.3272066116333, -1.392862319946289, -1.6706275939941406, -1.5951671600341797, -7.667803764343262, -2.067363739013672, -2.2661685943603516, -2.376903533935547, -2.1638965606689453, -1.9834661483764648, -1.7639760971069336, -1.0448675155639648, -1.8983087539672852, -2.718935966491699, -2.426638603210449, -2.340740203857422, -2.3161706924438477, -1.547780990600586, -10.095928192138672, -1.8185348510742188, -8.138835906982422, -1.2667207717895508, -1.366866111755371, -1.540928840637207, -1.8049850463867188, -8.74276351928711, -1.5865793228149414, -2.130298614501953]"
" Naturalists who concentrated on natural elements and processes are associated with which of the following? (A) Daoism (B) Yin-Yang School (C) Mengzi and (D) Humanistic Buddhism. Of the answer choices above, answer (D) is the",best,0,world_religions,"[-1.3391361236572266, -1.9488525390625, -1.5935392379760742, -2.649538040161133, -2.355558395385742, -2.3663902282714844, -2.0692825317382812, -1.5339851379394531, -1.8530025482177734, -1.9120140075683594, -1.9534645080566406, -1.6197404861450195, -1.8529386520385742, -1.0644168853759766, -2.243494987487793, -1.8648004531860352, -1.634617805480957, -1.7659149169921875, -1.8211612701416016, -2.0979089736938477, -1.6728429794311523, -1.7443599700927734, -2.0973119735717773, -2.280181884765625, -2.0166282653808594, -1.814183235168457, -2.342039108276367, -2.6468963623046875, -8.614604949951172, -1.4819374084472656, -9.242609024047852, -2.078305244445801, -1.7808418273925781, -1.4559412002563477, -2.1600637435913086, -1.9354400634765625, -2.0661258697509766, -1.7235050201416016, -2.3646421432495117, -1.9221878051757812, -1.4005403518676758, -1.9750289916992188, -1.9659252166748047, -1.9245223999023438, -1.877950668334961, -1.8229618072509766, -2.267867088317871, -2.112936019897461, -2.208883285522461, -1.8931360244750977]"
" When was the first Buddhist temple constructed in Japan? (A) 325 CE (B) 119 CE (C) 451 CE and (D) 596 CE. Of the answer choices above, answer (A) is the",best,0,world_religions,"[-2.1680402755737305, -2.4499330520629883, -1.5697193145751953, -2.300586700439453, -1.6585626602172852, -1.8360557556152344, -1.826869010925293, -2.3445377349853516, -2.3817453384399414, -2.509237289428711, -2.4855422973632812, -2.2973642349243164, -2.271986961364746, -2.230879783630371, -2.4875545501708984, -8.884897232055664, -2.7884998321533203, -6.723791122436523, -2.0642929077148438, -2.1052045822143555, -8.077262878417969, -2.529200553894043, -2.1970977783203125, -3.0878686904907227, -2.3724822998046875, -1.543039321899414, -2.2605247497558594, -2.370616912841797, -2.5792789459228516, -2.4194774627685547, -2.4141416549682617, -1.8833551406860352, -2.6752395629882812, -1.9259710311889648, -2.011153221130371, -2.12886905670166, -8.615631103515625, -2.4542198181152344, -1.8965158462524414, -1.1016168594360352, -2.809535026550293, -2.259678840637207, -2.2192764282226562, -2.383453369140625, -2.3416500091552734, -2.95333194732666, -2.7765817642211914, -2.061882972717285, -2.6277379989624023, -2.1625709533691406]"
" When was the first Buddhist temple constructed in Japan? (A) 325 CE (B) 119 CE (C) 451 CE and (D) 596 CE. Of the answer choices above, answer (B) is the",best,0,world_religions,"[-2.2651939392089844, -2.066643714904785, -2.8297576904296875, -2.7441225051879883, -1.3535547256469727, -9.351402282714844, -1.9797868728637695, -2.8958005905151367, -2.464353561401367, -3.3435001373291016, -9.231110572814941, -2.260488510131836, -2.4730472564697266, -9.284637451171875, -2.962512969970703, -2.7133731842041016, -3.5212392807006836, -2.1532182693481445, -2.17356014251709, -2.4781599044799805, -2.6564083099365234, -8.369393348693848, -2.2662010192871094, -2.3127593994140625, -2.644850730895996, -2.1701574325561523, -2.625957489013672, -2.2248458862304688, -2.1064157485961914, -2.285175323486328, -2.0780534744262695, -2.3382701873779297, -7.506827354431152, -1.875075340270996, -2.4118003845214844, -2.7403573989868164, -2.619889259338379, -2.611295700073242, -2.4937257766723633, -2.7372264862060547, -2.525052070617676, -2.13118839263916, -2.0978994369506836, -10.253730773925781, -8.553655624389648, -1.8838043212890625, -2.3857975006103516, -2.579400062561035, -3.098989486694336, -2.513204574584961]"
