preamble,stimulus,is_correct,subject,stimulus_prob
"Which of the following styles of fuzzer is more likely to explore paths covering every line of code in the following program? (A) Generational (B) Blackbox (C) Whitebox and (D) Mutation-based. Of the answer choices above, the best answer choice is (",A,0,computer_security,[-1.0217037200927734]
"Which of the following styles of fuzzer is more likely to explore paths covering every line of code in the following program? (A) Generational (B) Blackbox (C) Whitebox and (D) Mutation-based. Of the answer choices above, the best answer choice is (",B,0,computer_security,[-1.7560787200927734]
"Which of the following styles of fuzzer is more likely to explore paths covering every line of code in the following program? (A) Generational (B) Blackbox (C) Whitebox and (D) Mutation-based. Of the answer choices above, the best answer choice is (",C,1,computer_security,[-1.4592037200927734]
"Which of the following styles of fuzzer is more likely to explore paths covering every line of code in the following program? (A) Generational (B) Blackbox (C) Whitebox and (D) Mutation-based. Of the answer choices above, the best answer choice is (",D,0,computer_security,[-1.4748287200927734]
"Assume that a TLS connection has been established successfully between a client and a server. Establishing the session included checking the server certificate and executing a DiffieHelmann exchange, but the client did not provide a client certificate. Further, assume that the client and server are honest, that the client and server don’t leak their keys, and that the cryptography is good. Which of the following attacks does TLS protect against? 1. An attacker replaying bytes that a client sent earlier. 2. An attacker impersonating the server. (A) True, True (B) False, False (C) True, False and (D) False, True. Of the answer choices above, the best answer choice is (",A,1,computer_security,[-0.967437744140625]
"Assume that a TLS connection has been established successfully between a client and a server. Establishing the session included checking the server certificate and executing a DiffieHelmann exchange, but the client did not provide a client certificate. Further, assume that the client and server are honest, that the client and server don’t leak their keys, and that the cryptography is good. Which of the following attacks does TLS protect against? 1. An attacker replaying bytes that a client sent earlier. 2. An attacker impersonating the server. (A) True, True (B) False, False (C) True, False and (D) False, True. Of the answer choices above, the best answer choice is (",B,0,computer_security,[-1.576812744140625]
"Assume that a TLS connection has been established successfully between a client and a server. Establishing the session included checking the server certificate and executing a DiffieHelmann exchange, but the client did not provide a client certificate. Further, assume that the client and server are honest, that the client and server don’t leak their keys, and that the cryptography is good. Which of the following attacks does TLS protect against? 1. An attacker replaying bytes that a client sent earlier. 2. An attacker impersonating the server. (A) True, True (B) False, False (C) True, False and (D) False, True. Of the answer choices above, the best answer choice is (",C,0,computer_security,[-1.670562744140625]
"Assume that a TLS connection has been established successfully between a client and a server. Establishing the session included checking the server certificate and executing a DiffieHelmann exchange, but the client did not provide a client certificate. Further, assume that the client and server are honest, that the client and server don’t leak their keys, and that the cryptography is good. Which of the following attacks does TLS protect against? 1. An attacker replaying bytes that a client sent earlier. 2. An attacker impersonating the server. (A) True, True (B) False, False (C) True, False and (D) False, True. Of the answer choices above, the best answer choice is (",D,0,computer_security,[-1.529937744140625]
"MIT’s Kerberos KDC server has a maximum ticket lifetime of 24 hours (for most user principals). What ensures that an expired Kerberos ticket can no longer be used? (A) The Kerberos server (KDC) refuses to establish new connections between clients and servers for expired tickets. (B) When a client connects to a server, the server sets a 24-hour timer to terminate the connection, which ensures a client cannot remain connected past the ticket’s maximum lifetime. (C) When a client connects to a server, the server compares the ticket’s expiration time to the server’s current clock, and refuses to authenticate the user if the ticket expiration time is in the past. and (D) When a client connects to a server, the server sends a query to the KDC to check if the ticket is still valid with respect to the KDC’s clock, and refuses to authenticate the user if the KDC reports that the ticket is expired.. Of the answer choices above, the best answer choice is (",A,0,computer_security,[-1.6504993438720703]
"MIT’s Kerberos KDC server has a maximum ticket lifetime of 24 hours (for most user principals). What ensures that an expired Kerberos ticket can no longer be used? (A) The Kerberos server (KDC) refuses to establish new connections between clients and servers for expired tickets. (B) When a client connects to a server, the server sets a 24-hour timer to terminate the connection, which ensures a client cannot remain connected past the ticket’s maximum lifetime. (C) When a client connects to a server, the server compares the ticket’s expiration time to the server’s current clock, and refuses to authenticate the user if the ticket expiration time is in the past. and (D) When a client connects to a server, the server sends a query to the KDC to check if the ticket is still valid with respect to the KDC’s clock, and refuses to authenticate the user if the KDC reports that the ticket is expired.. Of the answer choices above, the best answer choice is (",B,0,computer_security,[-1.4317493438720703]
"MIT’s Kerberos KDC server has a maximum ticket lifetime of 24 hours (for most user principals). What ensures that an expired Kerberos ticket can no longer be used? (A) The Kerberos server (KDC) refuses to establish new connections between clients and servers for expired tickets. (B) When a client connects to a server, the server sets a 24-hour timer to terminate the connection, which ensures a client cannot remain connected past the ticket’s maximum lifetime. (C) When a client connects to a server, the server compares the ticket’s expiration time to the server’s current clock, and refuses to authenticate the user if the ticket expiration time is in the past. and (D) When a client connects to a server, the server sends a query to the KDC to check if the ticket is still valid with respect to the KDC’s clock, and refuses to authenticate the user if the KDC reports that the ticket is expired.. Of the answer choices above, the best answer choice is (",C,1,computer_security,[-1.0567493438720703]
