preamble,stimulus,is_correct,subject,stimulus_prob
"Which one of the following is the most appropriate definition of a 99% confidence interval? (A) 99% of the time in repeated samples, the interval would contain the true value of the parameter (B) 99% of the time in repeated samples, the interval would contain the estimated value of the parameter (C) 99% of the time in repeated samples, the null hypothesis will be rejected and (D) 99% of the time in repeated samples, the null hypothesis will not be rejected when it was false. Of the answer choices above, the best answer choice is (",A,1,econometrics,[-0.4949798583984375]
"Which one of the following is the most appropriate definition of a 99% confidence interval? (A) 99% of the time in repeated samples, the interval would contain the true value of the parameter (B) 99% of the time in repeated samples, the interval would contain the estimated value of the parameter (C) 99% of the time in repeated samples, the null hypothesis will be rejected and (D) 99% of the time in repeated samples, the null hypothesis will not be rejected when it was false. Of the answer choices above, the best answer choice is (",B,0,econometrics,[-2.6199798583984375]
"Which one of the following is the most appropriate definition of a 99% confidence interval? (A) 99% of the time in repeated samples, the interval would contain the true value of the parameter (B) 99% of the time in repeated samples, the interval would contain the estimated value of the parameter (C) 99% of the time in repeated samples, the null hypothesis will be rejected and (D) 99% of the time in repeated samples, the null hypothesis will not be rejected when it was false. Of the answer choices above, the best answer choice is (",C,0,econometrics,[-2.9949798583984375]
"Which one of the following is the most appropriate definition of a 99% confidence interval? (A) 99% of the time in repeated samples, the interval would contain the true value of the parameter (B) 99% of the time in repeated samples, the interval would contain the estimated value of the parameter (C) 99% of the time in repeated samples, the null hypothesis will be rejected and (D) 99% of the time in repeated samples, the null hypothesis will not be rejected when it was false. Of the answer choices above, the best answer choice is (",D,0,econometrics,[-2.7449798583984375]
"What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing? (A) ADF is a single equation approach to unit root testing while PP is a systems approach (B) PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test (C) The PP test incorporates an automatic correction for autocorrelated residuals in the test regression and (D) PP tests have good power in small samples whereas DF tests do not.. Of the answer choices above, the best answer choice is (",A,0,econometrics,[-0.5666961669921875]
"What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing? (A) ADF is a single equation approach to unit root testing while PP is a systems approach (B) PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test (C) The PP test incorporates an automatic correction for autocorrelated residuals in the test regression and (D) PP tests have good power in small samples whereas DF tests do not.. Of the answer choices above, the best answer choice is (",B,0,econometrics,[-2.0666961669921875]
"What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing? (A) ADF is a single equation approach to unit root testing while PP is a systems approach (B) PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test (C) The PP test incorporates an automatic correction for autocorrelated residuals in the test regression and (D) PP tests have good power in small samples whereas DF tests do not.. Of the answer choices above, the best answer choice is (",C,1,econometrics,[-2.6916961669921875]
"What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing? (A) ADF is a single equation approach to unit root testing while PP is a systems approach (B) PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test (C) The PP test incorporates an automatic correction for autocorrelated residuals in the test regression and (D) PP tests have good power in small samples whereas DF tests do not.. Of the answer choices above, the best answer choice is (",D,0,econometrics,[-2.4416961669921875]
"If there were a leverage effect in practice, what would be the shape of the news impact curve for as model that accounted for that leverage? (A) It would rise more quickly for negative disturbances than for positive ones of the same magnitude (B) It would be symmetrical about zero (C) It would rise less quickly for negative disturbances than for positive ones of the same magnitude and (D) It would be zero for all positive disturbances. Of the answer choices above, the best answer choice is (",A,1,econometrics,[-0.432586669921875]
"If there were a leverage effect in practice, what would be the shape of the news impact curve for as model that accounted for that leverage? (A) It would rise more quickly for negative disturbances than for positive ones of the same magnitude (B) It would be symmetrical about zero (C) It would rise less quickly for negative disturbances than for positive ones of the same magnitude and (D) It would be zero for all positive disturbances. Of the answer choices above, the best answer choice is (",B,0,econometrics,[-2.432586669921875]
"If there were a leverage effect in practice, what would be the shape of the news impact curve for as model that accounted for that leverage? (A) It would rise more quickly for negative disturbances than for positive ones of the same magnitude (B) It would be symmetrical about zero (C) It would rise less quickly for negative disturbances than for positive ones of the same magnitude and (D) It would be zero for all positive disturbances. Of the answer choices above, the best answer choice is (",C,0,econometrics,[-2.807586669921875]
"If there were a leverage effect in practice, what would be the shape of the news impact curve for as model that accounted for that leverage? (A) It would rise more quickly for negative disturbances than for positive ones of the same magnitude (B) It would be symmetrical about zero (C) It would rise less quickly for negative disturbances than for positive ones of the same magnitude and (D) It would be zero for all positive disturbances. Of the answer choices above, the best answer choice is (",D,0,econometrics,[-2.557586669921875]
"Which of the following statements is false concerning the linear probability model? (A) There is nothing in the model to ensure that the estimated probabilities lie between zero and one (B) Even if the probabilities are truncated at zero and one, there will probably be many observations for which the probability is either exactly zero or exactly one (C) The error terms will be heteroscedastic and not normally distributed and (D) The model is much harder to estimate than a standard regression model with a continuous dependent variable. Of the answer choices above, the best answer choice is (",A,0,econometrics,[-0.718963623046875]
