preamble,stimulus,is_correct,subject,stimulus_prob
"The main factor preventing subsistence economies from advancing economically is the lack of (A) a currency. (B) a well-connected transportation infrastructure. (C) government activity. and (D) a banking service.. Of the answer choices above, the best answer choice is (",A,0,high_school_geography,[-7.127634048461914]
"The main factor preventing subsistence economies from advancing economically is the lack of (A) a currency. (B) a well-connected transportation infrastructure. (C) government activity. and (D) a banking service.. Of the answer choices above, the best answer choice is (",B,1,high_school_geography,[-7.791696548461914]
"The main factor preventing subsistence economies from advancing economically is the lack of (A) a currency. (B) a well-connected transportation infrastructure. (C) government activity. and (D) a banking service.. Of the answer choices above, the best answer choice is (",C,0,high_school_geography,[-7.502634048461914]
"The main factor preventing subsistence economies from advancing economically is the lack of (A) a currency. (B) a well-connected transportation infrastructure. (C) government activity. and (D) a banking service.. Of the answer choices above, the best answer choice is (",D,0,high_school_geography,[-7.487009048461914]
"The tendency for a population to continue to grow long after replacement fertility has been achieved is called (A) zero population growth. (B) rapid growth rate. (C) homeostatic plateau. and (D) demographic momentum.. Of the answer choices above, the best answer choice is (",A,0,high_school_geography,[-9.710258483886719]
"The tendency for a population to continue to grow long after replacement fertility has been achieved is called (A) zero population growth. (B) rapid growth rate. (C) homeostatic plateau. and (D) demographic momentum.. Of the answer choices above, the best answer choice is (",B,0,high_school_geography,[-10.780570983886719]
"The tendency for a population to continue to grow long after replacement fertility has been achieved is called (A) zero population growth. (B) rapid growth rate. (C) homeostatic plateau. and (D) demographic momentum.. Of the answer choices above, the best answer choice is (",C,0,high_school_geography,[-9.397758483886719]
"The tendency for a population to continue to grow long after replacement fertility has been achieved is called (A) zero population growth. (B) rapid growth rate. (C) homeostatic plateau. and (D) demographic momentum.. Of the answer choices above, the best answer choice is (",D,1,high_school_geography,[-6.999320983886719]
"The tendency for migration to decrease with distance is called (A) push factors. (B) pull factors. (C) distance decay. and (D) migration selectivity.. Of the answer choices above, the best answer choice is (",A,0,high_school_geography,[-9.815834045410156]
"The tendency for migration to decrease with distance is called (A) push factors. (B) pull factors. (C) distance decay. and (D) migration selectivity.. Of the answer choices above, the best answer choice is (",B,0,high_school_geography,[-10.745521545410156]
"The tendency for migration to decrease with distance is called (A) push factors. (B) pull factors. (C) distance decay. and (D) migration selectivity.. Of the answer choices above, the best answer choice is (",C,1,high_school_geography,[-7.042396545410156]
"The tendency for migration to decrease with distance is called (A) push factors. (B) pull factors. (C) distance decay. and (D) migration selectivity.. Of the answer choices above, the best answer choice is (",D,0,high_school_geography,[-8.659584045410156]
"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form? (A) First (B) Second (C) Third and (D) Fourth. Of the answer choices above, the best answer choice is (",A,1,high_school_geography,[-10.260183334350586]
"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form? (A) First (B) Second (C) Third and (D) Fourth. Of the answer choices above, the best answer choice is (",B,0,high_school_geography,[-10.494558334350586]
"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form? (A) First (B) Second (C) Third and (D) Fourth. Of the answer choices above, the best answer choice is (",C,0,high_school_geography,[-8.267995834350586]
"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form? (A) First (B) Second (C) Third and (D) Fourth. Of the answer choices above, the best answer choice is (",D,0,high_school_geography,[-8.721120834350586]
"Which of the following statements is TRUE concerning women in the labor force? (A) Most women work in agriculture (B) The percentage of women economically active in the labor force declined worldwide (C) The percentage of women in the total labor force declined and (D) Women spend more hours per day working than men in all regions except Anglo America and Australia. Of the answer choices above, the best answer choice is (",A,0,high_school_geography,[-8.024604797363281]
"Which of the following statements is TRUE concerning women in the labor force? (A) Most women work in agriculture (B) The percentage of women economically active in the labor force declined worldwide (C) The percentage of women in the total labor force declined and (D) Women spend more hours per day working than men in all regions except Anglo America and Australia. Of the answer choices above, the best answer choice is (",B,0,high_school_geography,[-7.587104797363281]
"Which of the following statements is TRUE concerning women in the labor force? (A) Most women work in agriculture (B) The percentage of women economically active in the labor force declined worldwide (C) The percentage of women in the total labor force declined and (D) Women spend more hours per day working than men in all regions except Anglo America and Australia. Of the answer choices above, the best answer choice is (",C,0,high_school_geography,[-7.532417297363281]
"Which of the following statements is TRUE concerning women in the labor force? (A) Most women work in agriculture (B) The percentage of women economically active in the labor force declined worldwide (C) The percentage of women in the total labor force declined and (D) Women spend more hours per day working than men in all regions except Anglo America and Australia. Of the answer choices above, the best answer choice is (",D,1,high_school_geography,[-7.383979797363281]
"All the following factors can be considered pull factors of migration EXCEPT (A) safety. (B) better climate. (C) better schools. and (D) overcrowding.. Of the answer choices above, the best answer choice is (",A,0,high_school_geography,[-7.102827072143555]
"All the following factors can be considered pull factors of migration EXCEPT (A) safety. (B) better climate. (C) better schools. and (D) overcrowding.. Of the answer choices above, the best answer choice is (",B,0,high_school_geography,[-8.571577072143555]
"All the following factors can be considered pull factors of migration EXCEPT (A) safety. (B) better climate. (C) better schools. and (D) overcrowding.. Of the answer choices above, the best answer choice is (",C,0,high_school_geography,[-8.673139572143555]
"All the following factors can be considered pull factors of migration EXCEPT (A) safety. (B) better climate. (C) better schools. and (D) overcrowding.. Of the answer choices above, the best answer choice is (",D,1,high_school_geography,[-6.923139572143555]
"Which of the following countries does NOT have a well-known example of a relict boundary? (A) Vietnam (B) United Kingdom (C) Germany and (D) Bolivia. Of the answer choices above, the best answer choice is (",A,0,high_school_geography,[-8.019487380981445]
"Which of the following countries does NOT have a well-known example of a relict boundary? (A) Vietnam (B) United Kingdom (C) Germany and (D) Bolivia. Of the answer choices above, the best answer choice is (",B,0,high_school_geography,[-9.175737380981445]
"Which of the following countries does NOT have a well-known example of a relict boundary? (A) Vietnam (B) United Kingdom (C) Germany and (D) Bolivia. Of the answer choices above, the best answer choice is (",C,0,high_school_geography,[-8.636674880981445]
"Which of the following countries does NOT have a well-known example of a relict boundary? (A) Vietnam (B) United Kingdom (C) Germany and (D) Bolivia. Of the answer choices above, the best answer choice is (",D,1,high_school_geography,[-8.121049880981445]
"Which form of migration below are farm workers from another country most likely to be practicing during the year? (A) Chain migration (B) Cluster migration (C) Circular migration and (D) International migration. Of the answer choices above, the best answer choice is (",A,0,high_school_geography,[-9.829216003417969]
"Which form of migration below are farm workers from another country most likely to be practicing during the year? (A) Chain migration (B) Cluster migration (C) Circular migration and (D) International migration. Of the answer choices above, the best answer choice is (",B,0,high_school_geography,[-11.090934753417969]
"Which form of migration below are farm workers from another country most likely to be practicing during the year? (A) Chain migration (B) Cluster migration (C) Circular migration and (D) International migration. Of the answer choices above, the best answer choice is (",C,1,high_school_geography,[-7.055778503417969]
"Which form of migration below are farm workers from another country most likely to be practicing during the year? (A) Chain migration (B) Cluster migration (C) Circular migration and (D) International migration. Of the answer choices above, the best answer choice is (",D,0,high_school_geography,[-7.993278503417969]
"Which of the following is a centrifugal force in a country? (A) Religious differences (B) A national holiday (C) An attack by another country and (D) A charismatic national leader. Of the answer choices above, the best answer choice is (",A,1,high_school_geography,[-7.374578475952148]
"Which of the following is a centrifugal force in a country? (A) Religious differences (B) A national holiday (C) An attack by another country and (D) A charismatic national leader. Of the answer choices above, the best answer choice is (",B,0,high_school_geography,[-9.515203475952148]
"Which of the following is a centrifugal force in a country? (A) Religious differences (B) A national holiday (C) An attack by another country and (D) A charismatic national leader. Of the answer choices above, the best answer choice is (",C,0,high_school_geography,[-7.874578475952148]
"Which of the following is a centrifugal force in a country? (A) Religious differences (B) A national holiday (C) An attack by another country and (D) A charismatic national leader. Of the answer choices above, the best answer choice is (",D,0,high_school_geography,[-7.694890975952148]
"Early settlements and high population density along coastlines and rivers are best attributed to which of the following? (A) Mediterranean climate (B) Limited forest cover (C) Growth of manufacturing and (D) Access to trade routes. Of the answer choices above, the best answer choice is (",A,0,high_school_geography,[-8.873102188110352]
"Early settlements and high population density along coastlines and rivers are best attributed to which of the following? (A) Mediterranean climate (B) Limited forest cover (C) Growth of manufacturing and (D) Access to trade routes. Of the answer choices above, the best answer choice is (",B,0,high_school_geography,[-9.755914688110352]
"Early settlements and high population density along coastlines and rivers are best attributed to which of the following? (A) Mediterranean climate (B) Limited forest cover (C) Growth of manufacturing and (D) Access to trade routes. Of the answer choices above, the best answer choice is (",C,0,high_school_geography,[-9.123102188110352]
"Early settlements and high population density along coastlines and rivers are best attributed to which of the following? (A) Mediterranean climate (B) Limited forest cover (C) Growth of manufacturing and (D) Access to trade routes. Of the answer choices above, the best answer choice is (",D,1,high_school_geography,[-7.279352188110352]
"The first stage of the demographic transition exhibits (A) high birth rates with high but fluctuating death rates. (B) declining birth rates with continuing high death rates. (C) low birth rates with continuing high death rates. and (D) high birth rates with declining death rates.. Of the answer choices above, the best answer choice is (",A,1,high_school_geography,[-6.887739181518555]
"The first stage of the demographic transition exhibits (A) high birth rates with high but fluctuating death rates. (B) declining birth rates with continuing high death rates. (C) low birth rates with continuing high death rates. and (D) high birth rates with declining death rates.. Of the answer choices above, the best answer choice is (",B,0,high_school_geography,[-7.145551681518555]
"The first stage of the demographic transition exhibits (A) high birth rates with high but fluctuating death rates. (B) declining birth rates with continuing high death rates. (C) low birth rates with continuing high death rates. and (D) high birth rates with declining death rates.. Of the answer choices above, the best answer choice is (",C,0,high_school_geography,[-8.161176681518555]
"The first stage of the demographic transition exhibits (A) high birth rates with high but fluctuating death rates. (B) declining birth rates with continuing high death rates. (C) low birth rates with continuing high death rates. and (D) high birth rates with declining death rates.. Of the answer choices above, the best answer choice is (",D,0,high_school_geography,[-7.934614181518555]
"What is the population statistic that tells us the level of fertility at which a population will have just enough births to replace parents and compensate for early deaths? (A) Crude birth rate (B) Replacement level (C) Mortality rate and (D) Total fertility rate. Of the answer choices above, the best answer choice is (",A,0,high_school_geography,[-11.258943557739258]
"What is the population statistic that tells us the level of fertility at which a population will have just enough births to replace parents and compensate for early deaths? (A) Crude birth rate (B) Replacement level (C) Mortality rate and (D) Total fertility rate. Of the answer choices above, the best answer choice is (",B,1,high_school_geography,[-7.540193557739258]
"What is the population statistic that tells us the level of fertility at which a population will have just enough births to replace parents and compensate for early deaths? (A) Crude birth rate (B) Replacement level (C) Mortality rate and (D) Total fertility rate. Of the answer choices above, the best answer choice is (",C,0,high_school_geography,[-11.610506057739258]
"What is the population statistic that tells us the level of fertility at which a population will have just enough births to replace parents and compensate for early deaths? (A) Crude birth rate (B) Replacement level (C) Mortality rate and (D) Total fertility rate. Of the answer choices above, the best answer choice is (",D,0,high_school_geography,[-9.008943557739258]
"What is the most rapidly growing religion in the United States today? (A) Islam (B) Christianity (C) Hinduism and (D) Buddhism. Of the answer choices above, the best answer choice is (",A,1,high_school_geography,[-8.36648941040039]
"What is the most rapidly growing religion in the United States today? (A) Islam (B) Christianity (C) Hinduism and (D) Buddhism. Of the answer choices above, the best answer choice is (",B,0,high_school_geography,[-8.37430191040039]
"What is the most rapidly growing religion in the United States today? (A) Islam (B) Christianity (C) Hinduism and (D) Buddhism. Of the answer choices above, the best answer choice is (",C,0,high_school_geography,[-8.63992691040039]
"What is the most rapidly growing religion in the United States today? (A) Islam (B) Christianity (C) Hinduism and (D) Buddhism. Of the answer choices above, the best answer choice is (",D,0,high_school_geography,[-8.96805191040039]
"The outlying area serviced by a urban center is referred to as a (A) redline area. (B) threshold. (C) range. and (D) hinterland.. Of the answer choices above, the best answer choice is (",A,0,high_school_geography,[-7.867746353149414]
"The outlying area serviced by a urban center is referred to as a (A) redline area. (B) threshold. (C) range. and (D) hinterland.. Of the answer choices above, the best answer choice is (",B,0,high_school_geography,[-8.555246353149414]
"The outlying area serviced by a urban center is referred to as a (A) redline area. (B) threshold. (C) range. and (D) hinterland.. Of the answer choices above, the best answer choice is (",C,0,high_school_geography,[-6.969308853149414]
"The outlying area serviced by a urban center is referred to as a (A) redline area. (B) threshold. (C) range. and (D) hinterland.. Of the answer choices above, the best answer choice is (",D,1,high_school_geography,[-6.773996353149414]
"The best definition of an urban area is (A) the central city and its developed areas. (B) the central city and its surrounding suburbs. (C) the central city and its hinterlands. and (D) the central city and the adjacent counties.. Of the answer choices above, the best answer choice is (",A,0,high_school_geography,[-6.749895095825195]
"The best definition of an urban area is (A) the central city and its developed areas. (B) the central city and its surrounding suburbs. (C) the central city and its hinterlands. and (D) the central city and the adjacent counties.. Of the answer choices above, the best answer choice is (",B,1,high_school_geography,[-6.703020095825195]
"The best definition of an urban area is (A) the central city and its developed areas. (B) the central city and its surrounding suburbs. (C) the central city and its hinterlands. and (D) the central city and the adjacent counties.. Of the answer choices above, the best answer choice is (",C,0,high_school_geography,[-8.367082595825195]
"The best definition of an urban area is (A) the central city and its developed areas. (B) the central city and its surrounding suburbs. (C) the central city and its hinterlands. and (D) the central city and the adjacent counties.. Of the answer choices above, the best answer choice is (",D,0,high_school_geography,[-8.117082595825195]
"Which of the following religions developed first? (A) Buddhism (B) Christianity (C) Islam and (D) Hinduism. Of the answer choices above, the best answer choice is (",A,0,high_school_geography,[-9.306037902832031]
"Which of the following religions developed first? (A) Buddhism (B) Christianity (C) Islam and (D) Hinduism. Of the answer choices above, the best answer choice is (",B,0,high_school_geography,[-10.493537902832031]
"Which of the following religions developed first? (A) Buddhism (B) Christianity (C) Islam and (D) Hinduism. Of the answer choices above, the best answer choice is (",C,0,high_school_geography,[-9.212287902832031]
"Which of the following religions developed first? (A) Buddhism (B) Christianity (C) Islam and (D) Hinduism. Of the answer choices above, the best answer choice is (",D,1,high_school_geography,[-6.891975402832031]
"Which one of the following is NOT a characteristic of world cities? (A) World cities contain the headquarters of many transnational corporations. (B) World cities are well connected to secondary-level world cities. (C) World cities contain many offices of multinational organizations. and (D) World cities are found only in the northern and western hemispheres.. Of the answer choices above, the best answer choice is (",A,0,high_school_geography,[-8.89022445678711]
"Which one of the following is NOT a characteristic of world cities? (A) World cities contain the headquarters of many transnational corporations. (B) World cities are well connected to secondary-level world cities. (C) World cities contain many offices of multinational organizations. and (D) World cities are found only in the northern and western hemispheres.. Of the answer choices above, the best answer choice is (",B,0,high_school_geography,[-9.91366195678711]
"Which one of the following is NOT a characteristic of world cities? (A) World cities contain the headquarters of many transnational corporations. (B) World cities are well connected to secondary-level world cities. (C) World cities contain many offices of multinational organizations. and (D) World cities are found only in the northern and western hemispheres.. Of the answer choices above, the best answer choice is (",C,0,high_school_geography,[-10.03475570678711]
"Which one of the following is NOT a characteristic of world cities? (A) World cities contain the headquarters of many transnational corporations. (B) World cities are well connected to secondary-level world cities. (C) World cities contain many offices of multinational organizations. and (D) World cities are found only in the northern and western hemispheres.. Of the answer choices above, the best answer choice is (",D,1,high_school_geography,[-6.835536956787109]
"Which type of transportation system created the star-shaped city pattern? (A) Highways to airports that link cities (B) Interstate highways that link cities (C) Beltways around cities and (D) Streetcar and trolley lines extending from the CBD. Of the answer choices above, the best answer choice is (",A,0,high_school_geography,[-8.261585235595703]
"Which type of transportation system created the star-shaped city pattern? (A) Highways to airports that link cities (B) Interstate highways that link cities (C) Beltways around cities and (D) Streetcar and trolley lines extending from the CBD. Of the answer choices above, the best answer choice is (",B,0,high_school_geography,[-7.667835235595703]
"Which type of transportation system created the star-shaped city pattern? (A) Highways to airports that link cities (B) Interstate highways that link cities (C) Beltways around cities and (D) Streetcar and trolley lines extending from the CBD. Of the answer choices above, the best answer choice is (",C,0,high_school_geography,[-8.316272735595703]
"Which type of transportation system created the star-shaped city pattern? (A) Highways to airports that link cities (B) Interstate highways that link cities (C) Beltways around cities and (D) Streetcar and trolley lines extending from the CBD. Of the answer choices above, the best answer choice is (",D,1,high_school_geography,[-7.933460235595703]
"In which urban US setting below would you expect to find planned communities? (A) Ghettos (B) Suburbs (C) CBDs and (D) Transition zones. Of the answer choices above, the best answer choice is (",A,0,high_school_geography,[-9.21580696105957]
"In which urban US setting below would you expect to find planned communities? (A) Ghettos (B) Suburbs (C) CBDs and (D) Transition zones. Of the answer choices above, the best answer choice is (",B,1,high_school_geography,[-6.87205696105957]
"In which urban US setting below would you expect to find planned communities? (A) Ghettos (B) Suburbs (C) CBDs and (D) Transition zones. Of the answer choices above, the best answer choice is (",C,0,high_school_geography,[-8.62986946105957]
"In which urban US setting below would you expect to find planned communities? (A) Ghettos (B) Suburbs (C) CBDs and (D) Transition zones. Of the answer choices above, the best answer choice is (",D,0,high_school_geography,[-8.51268196105957]
"The latitude and longitude coordinates of a place are an example of (A) a formal region. (B) a functional region. (C) an absolute location. and (D) a relative location.. Of the answer choices above, the best answer choice is (",A,0,high_school_geography,[-7.671833038330078]
"The latitude and longitude coordinates of a place are an example of (A) a formal region. (B) a functional region. (C) an absolute location. and (D) a relative location.. Of the answer choices above, the best answer choice is (",B,0,high_school_geography,[-9.273395538330078]
"The latitude and longitude coordinates of a place are an example of (A) a formal region. (B) a functional region. (C) an absolute location. and (D) a relative location.. Of the answer choices above, the best answer choice is (",C,1,high_school_geography,[-6.773395538330078]
"The latitude and longitude coordinates of a place are an example of (A) a formal region. (B) a functional region. (C) an absolute location. and (D) a relative location.. Of the answer choices above, the best answer choice is (",D,0,high_school_geography,[-7.492145538330078]
"The voluntary association of three or more countries willing to give up some measure of sovereignty is called (A) nationalism. (B) devolution. (C) supranationalism. and (D) complementarity.. Of the answer choices above, the best answer choice is (",A,0,high_school_geography,[-8.954935073852539]
"The voluntary association of three or more countries willing to give up some measure of sovereignty is called (A) nationalism. (B) devolution. (C) supranationalism. and (D) complementarity.. Of the answer choices above, the best answer choice is (",B,0,high_school_geography,[-9.900247573852539]
"The voluntary association of three or more countries willing to give up some measure of sovereignty is called (A) nationalism. (B) devolution. (C) supranationalism. and (D) complementarity.. Of the answer choices above, the best answer choice is (",C,1,high_school_geography,[-6.533060073852539]
"The voluntary association of three or more countries willing to give up some measure of sovereignty is called (A) nationalism. (B) devolution. (C) supranationalism. and (D) complementarity.. Of the answer choices above, the best answer choice is (",D,0,high_school_geography,[-9.411966323852539]
"The key factor Thomas Malthus failed to recognize in his population theory was (A) population is limited by their means of subsistence. (B) all populations have the potential to increase more than the actual rate of increase. (C) wars and famine inhibit population's reproductive capacity. and (D) technology's ability to raise the Earth's carrying capacity.. Of the answer choices above, the best answer choice is (",A,0,high_school_geography,[-7.599712371826172]
"The key factor Thomas Malthus failed to recognize in his population theory was (A) population is limited by their means of subsistence. (B) all populations have the potential to increase more than the actual rate of increase. (C) wars and famine inhibit population's reproductive capacity. and (D) technology's ability to raise the Earth's carrying capacity.. Of the answer choices above, the best answer choice is (",B,0,high_school_geography,[-7.310649871826172]
"The key factor Thomas Malthus failed to recognize in his population theory was (A) population is limited by their means of subsistence. (B) all populations have the potential to increase more than the actual rate of increase. (C) wars and famine inhibit population's reproductive capacity. and (D) technology's ability to raise the Earth's carrying capacity.. Of the answer choices above, the best answer choice is (",C,0,high_school_geography,[-8.693462371826172]
"The key factor Thomas Malthus failed to recognize in his population theory was (A) population is limited by their means of subsistence. (B) all populations have the potential to increase more than the actual rate of increase. (C) wars and famine inhibit population's reproductive capacity. and (D) technology's ability to raise the Earth's carrying capacity.. Of the answer choices above, the best answer choice is (",D,1,high_school_geography,[-7.763774871826172]
"Which pair of religions are both universalizing religions? (A) Islam and Judaism (B) Judaism and Buddhism (C) Hinduism and Buddhism and (D) Christianity and Buddhism. Of the answer choices above, the best answer choice is (",A,0,high_school_geography,[-8.239994049072266]
