preamble,stimulus,is_correct,subject,stimulus_prob
"If a pentagon P with vertices at (– 2, – 4), (– 4, 1), (–1, 4), (2, 4), and (3, 0) is reflected across the line y = x to get a new pentagon, P’, then one of the vertices of P’ is (A) (0, – 3) (B) (4, 1) (C) (2, 2) and (D) (– 4, –2). Of the answer choices above, the best answer choice is (",A,0,high_school_mathematics,[-6.647310256958008]
"If a pentagon P with vertices at (– 2, – 4), (– 4, 1), (–1, 4), (2, 4), and (3, 0) is reflected across the line y = x to get a new pentagon, P’, then one of the vertices of P’ is (A) (0, – 3) (B) (4, 1) (C) (2, 2) and (D) (– 4, –2). Of the answer choices above, the best answer choice is (",B,0,high_school_mathematics,[-6.717622756958008]
"If a pentagon P with vertices at (– 2, – 4), (– 4, 1), (–1, 4), (2, 4), and (3, 0) is reflected across the line y = x to get a new pentagon, P’, then one of the vertices of P’ is (A) (0, – 3) (B) (4, 1) (C) (2, 2) and (D) (– 4, –2). Of the answer choices above, the best answer choice is (",C,0,high_school_mathematics,[-7.303560256958008]
"If a pentagon P with vertices at (– 2, – 4), (– 4, 1), (–1, 4), (2, 4), and (3, 0) is reflected across the line y = x to get a new pentagon, P’, then one of the vertices of P’ is (A) (0, – 3) (B) (4, 1) (C) (2, 2) and (D) (– 4, –2). Of the answer choices above, the best answer choice is (",D,1,high_school_mathematics,[-7.541841506958008]
"The length of a rectangle is twice its width. Given the length of the diagonal is $5\sqrt{5}$, find the area of the rectangle. (A) 2500 (B) 2 (C) 50 and (D) 25. Of the answer choices above, the best answer choice is (",A,0,high_school_mathematics,[-5.7749128341674805]
"The length of a rectangle is twice its width. Given the length of the diagonal is $5\sqrt{5}$, find the area of the rectangle. (A) 2500 (B) 2 (C) 50 and (D) 25. Of the answer choices above, the best answer choice is (",B,0,high_school_mathematics,[-6.1967878341674805]
"The length of a rectangle is twice its width. Given the length of the diagonal is $5\sqrt{5}$, find the area of the rectangle. (A) 2500 (B) 2 (C) 50 and (D) 25. Of the answer choices above, the best answer choice is (",C,1,high_school_mathematics,[-6.6030378341674805]
"The length of a rectangle is twice its width. Given the length of the diagonal is $5\sqrt{5}$, find the area of the rectangle. (A) 2500 (B) 2 (C) 50 and (D) 25. Of the answer choices above, the best answer choice is (",D,0,high_school_mathematics,[-6.4858503341674805]
"A positive integer n is called “powerful” if, for every prime factor p of n, p^2 is also a factor of n. An example of a powerful number is (A) 392 (B) 336 (C) 300 and (D) 297. Of the answer choices above, the best answer choice is (",A,1,high_school_mathematics,[-7.03204345703125]
"A positive integer n is called “powerful” if, for every prime factor p of n, p^2 is also a factor of n. An example of a powerful number is (A) 392 (B) 336 (C) 300 and (D) 297. Of the answer choices above, the best answer choice is (",B,0,high_school_mathematics,[-7.78204345703125]
