preamble,stimulus,is_correct,subject,stimulus_prob
"Which of the following methods of detecting breast cancer involves exposure to radiation? (A) Needle aspiration (B) Mammography (C) Mastectomy and (D) Lumpectomy. Of the answer choices above, the best answer choice is (",A,0,human_sexuality,[-7.388330459594727]
"Which of the following methods of detecting breast cancer involves exposure to radiation? (A) Needle aspiration (B) Mammography (C) Mastectomy and (D) Lumpectomy. Of the answer choices above, the best answer choice is (",B,1,human_sexuality,[-7.419580459594727]
"Which of the following methods of detecting breast cancer involves exposure to radiation? (A) Needle aspiration (B) Mammography (C) Mastectomy and (D) Lumpectomy. Of the answer choices above, the best answer choice is (",C,0,human_sexuality,[-7.716455459594727]
"Which of the following methods of detecting breast cancer involves exposure to radiation? (A) Needle aspiration (B) Mammography (C) Mastectomy and (D) Lumpectomy. Of the answer choices above, the best answer choice is (",D,0,human_sexuality,[-7.927392959594727]
"The regions of the body that, when touched, are sexually exciting: (A) vary from person to person (B) vary for women depending on the phases of the menstrual cycle (C) are mainly on the lower portion of the body and (D) all of the above. Of the answer choices above, the best answer choice is (",A,0,human_sexuality,[-8.649471282958984]
"The regions of the body that, when touched, are sexually exciting: (A) vary from person to person (B) vary for women depending on the phases of the menstrual cycle (C) are mainly on the lower portion of the body and (D) all of the above. Of the answer choices above, the best answer choice is (",B,0,human_sexuality,[-9.001033782958984]
"The regions of the body that, when touched, are sexually exciting: (A) vary from person to person (B) vary for women depending on the phases of the menstrual cycle (C) are mainly on the lower portion of the body and (D) all of the above. Of the answer choices above, the best answer choice is (",C,0,human_sexuality,[-8.336971282958984]
"The regions of the body that, when touched, are sexually exciting: (A) vary from person to person (B) vary for women depending on the phases of the menstrual cycle (C) are mainly on the lower portion of the body and (D) all of the above. Of the answer choices above, the best answer choice is (",D,1,human_sexuality,[-8.172908782958984]
"Which of the following is/are true of gonorrhea? (A) can be treated with antibiotics (B) has a high risk of infection with a single exposure (C) is asymptomatic (without symptoms) in only a small percentage of those infected and (D) infections are limited to genital areas. Of the answer choices above, the best answer choice is (",A,1,human_sexuality,[-7.898477554321289]
"Which of the following is/are true of gonorrhea? (A) can be treated with antibiotics (B) has a high risk of infection with a single exposure (C) is asymptomatic (without symptoms) in only a small percentage of those infected and (D) infections are limited to genital areas. Of the answer choices above, the best answer choice is (",B,0,human_sexuality,[-8.617227554321289]
"Which of the following is/are true of gonorrhea? (A) can be treated with antibiotics (B) has a high risk of infection with a single exposure (C) is asymptomatic (without symptoms) in only a small percentage of those infected and (D) infections are limited to genital areas. Of the answer choices above, the best answer choice is (",C,0,human_sexuality,[-8.468790054321289]
"Which of the following is/are true of gonorrhea? (A) can be treated with antibiotics (B) has a high risk of infection with a single exposure (C) is asymptomatic (without symptoms) in only a small percentage of those infected and (D) infections are limited to genital areas. Of the answer choices above, the best answer choice is (",D,0,human_sexuality,[-8.234415054321289]
