preamble,stimulus,is_correct,subject,stimulus_prob
"In a Robertsonian translocation fusion occurs at the: (A) telomeres. (B) centromeres. (C) histones. and (D) ends of the long arms.. Of the answer choices above, the best answer choice is (",A,0,medical_genetics,[-1.4586353302001953]
"In a Robertsonian translocation fusion occurs at the: (A) telomeres. (B) centromeres. (C) histones. and (D) ends of the long arms.. Of the answer choices above, the best answer choice is (",B,1,medical_genetics,[-0.9430103302001953]
"In a Robertsonian translocation fusion occurs at the: (A) telomeres. (B) centromeres. (C) histones. and (D) ends of the long arms.. Of the answer choices above, the best answer choice is (",C,0,medical_genetics,[-1.5523853302001953]
"In a Robertsonian translocation fusion occurs at the: (A) telomeres. (B) centromeres. (C) histones. and (D) ends of the long arms.. Of the answer choices above, the best answer choice is (",D,0,medical_genetics,[-1.9273853302001953]
"Zinc finger proteins and helix-turn-helix proteins are (A) types of DNA-binding proteins (B) involved in the control of translation (C) components of ribosomes and (D) part of the hemoglobin in blood cells. Of the answer choices above, the best answer choice is (",A,1,medical_genetics,[-1.3709468841552734]
"Zinc finger proteins and helix-turn-helix proteins are (A) types of DNA-binding proteins (B) involved in the control of translation (C) components of ribosomes and (D) part of the hemoglobin in blood cells. Of the answer choices above, the best answer choice is (",B,0,medical_genetics,[-1.0584468841552734]
"Zinc finger proteins and helix-turn-helix proteins are (A) types of DNA-binding proteins (B) involved in the control of translation (C) components of ribosomes and (D) part of the hemoglobin in blood cells. Of the answer choices above, the best answer choice is (",C,0,medical_genetics,[-1.4021968841552734]
"Zinc finger proteins and helix-turn-helix proteins are (A) types of DNA-binding proteins (B) involved in the control of translation (C) components of ribosomes and (D) part of the hemoglobin in blood cells. Of the answer choices above, the best answer choice is (",D,0,medical_genetics,[-1.9803218841552734]
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females? (A) 0.01 (B) 0.001 (C) 0.02 and (D) 0.0001. Of the answer choices above, the best answer choice is (",A,1,medical_genetics,[-1.7143230438232422]
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females? (A) 0.01 (B) 0.001 (C) 0.02 and (D) 0.0001. Of the answer choices above, the best answer choice is (",B,0,medical_genetics,[-1.0268230438232422]
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females? (A) 0.01 (B) 0.001 (C) 0.02 and (D) 0.0001. Of the answer choices above, the best answer choice is (",C,0,medical_genetics,[-1.6518230438232422]
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females? (A) 0.01 (B) 0.001 (C) 0.02 and (D) 0.0001. Of the answer choices above, the best answer choice is (",D,0,medical_genetics,[-1.3549480438232422]
"In DNA adenine normally pairs with: (A) cytosine. (B) guanine. (C) thymine. and (D) uracil.. Of the answer choices above, the best answer choice is (",A,0,medical_genetics,[-1.4276752471923828]
"In DNA adenine normally pairs with: (A) cytosine. (B) guanine. (C) thymine. and (D) uracil.. Of the answer choices above, the best answer choice is (",B,0,medical_genetics,[-1.2558002471923828]
"In DNA adenine normally pairs with: (A) cytosine. (B) guanine. (C) thymine. and (D) uracil.. Of the answer choices above, the best answer choice is (",C,1,medical_genetics,[-1.2870502471923828]
"In DNA adenine normally pairs with: (A) cytosine. (B) guanine. (C) thymine. and (D) uracil.. Of the answer choices above, the best answer choice is (",D,0,medical_genetics,[-1.6933002471923828]
"The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is: (A) autosomal dominant. (B) autosomal recessive. (C) X-linked dominant. and (D) X-linked recessive.. Of the answer choices above, the best answer choice is (",A,1,medical_genetics,[-1.051788330078125]
"The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is: (A) autosomal dominant. (B) autosomal recessive. (C) X-linked dominant. and (D) X-linked recessive.. Of the answer choices above, the best answer choice is (",B,0,medical_genetics,[-1.270538330078125]
"The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is: (A) autosomal dominant. (B) autosomal recessive. (C) X-linked dominant. and (D) X-linked recessive.. Of the answer choices above, the best answer choice is (",C,0,medical_genetics,[-1.629913330078125]
"The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is: (A) autosomal dominant. (B) autosomal recessive. (C) X-linked dominant. and (D) X-linked recessive.. Of the answer choices above, the best answer choice is (",D,0,medical_genetics,[-1.926788330078125]
