preamble,stimulus,is_correct,subject,stimulus_prob
"An important source of information on the credit rating of retail businesses is (A) the Retail Merchants Association (B) the local chamber of commerce (C) Dun & Bradstreet, Inc. and (D) the United States Retail Credit Association. Of the answer choices above, the best answer choice is (",A,0,miscellaneous,[-8.222522735595703]
"An important source of information on the credit rating of retail businesses is (A) the Retail Merchants Association (B) the local chamber of commerce (C) Dun & Bradstreet, Inc. and (D) the United States Retail Credit Association. Of the answer choices above, the best answer choice is (",B,0,miscellaneous,[-8.378772735595703]
"An important source of information on the credit rating of retail businesses is (A) the Retail Merchants Association (B) the local chamber of commerce (C) Dun & Bradstreet, Inc. and (D) the United States Retail Credit Association. Of the answer choices above, the best answer choice is (",C,1,miscellaneous,[-8.105335235595703]
"An important source of information on the credit rating of retail businesses is (A) the Retail Merchants Association (B) the local chamber of commerce (C) Dun & Bradstreet, Inc. and (D) the United States Retail Credit Association. Of the answer choices above, the best answer choice is (",D,0,miscellaneous,[-8.097522735595703]
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy? (A) Conferencing (B) Discipline-based inquiry (C) Self-Regulated Strategy Development and (D) Introduction-Body-Conclusion strategy. Of the answer choices above, the best answer choice is (",A,0,miscellaneous,[-7.60987663269043]
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy? (A) Conferencing (B) Discipline-based inquiry (C) Self-Regulated Strategy Development and (D) Introduction-Body-Conclusion strategy. Of the answer choices above, the best answer choice is (",B,1,miscellaneous,[-7.61768913269043]
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy? (A) Conferencing (B) Discipline-based inquiry (C) Self-Regulated Strategy Development and (D) Introduction-Body-Conclusion strategy. Of the answer choices above, the best answer choice is (",C,0,miscellaneous,[-7.35987663269043]
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy? (A) Conferencing (B) Discipline-based inquiry (C) Self-Regulated Strategy Development and (D) Introduction-Body-Conclusion strategy. Of the answer choices above, the best answer choice is (",D,0,miscellaneous,[-7.45362663269043]
"Paper will burn at approximately what temperature in Fahrenheit? (A) 986 degrees (B) 2125 degrees (C) 3985 degrees and (D) 451 degrees. Of the answer choices above, the best answer choice is (",A,0,miscellaneous,[-7.654186248779297]
"Paper will burn at approximately what temperature in Fahrenheit? (A) 986 degrees (B) 2125 degrees (C) 3985 degrees and (D) 451 degrees. Of the answer choices above, the best answer choice is (",B,0,miscellaneous,[-7.794811248779297]
"Paper will burn at approximately what temperature in Fahrenheit? (A) 986 degrees (B) 2125 degrees (C) 3985 degrees and (D) 451 degrees. Of the answer choices above, the best answer choice is (",C,0,miscellaneous,[-7.763561248779297]
"Paper will burn at approximately what temperature in Fahrenheit? (A) 986 degrees (B) 2125 degrees (C) 3985 degrees and (D) 451 degrees. Of the answer choices above, the best answer choice is (",D,1,miscellaneous,[-7.951061248779297]
"The Apple iMac computer is available in all of the following colors except which? (A) Tangerine (B) Strawberry (C) Kiwi and (D) Grape. Of the answer choices above, the best answer choice is (",A,0,miscellaneous,[-8.977483749389648]
"The Apple iMac computer is available in all of the following colors except which? (A) Tangerine (B) Strawberry (C) Kiwi and (D) Grape. Of the answer choices above, the best answer choice is (",B,0,miscellaneous,[-9.250921249389648]
"The Apple iMac computer is available in all of the following colors except which? (A) Tangerine (B) Strawberry (C) Kiwi and (D) Grape. Of the answer choices above, the best answer choice is (",C,1,miscellaneous,[-8.914983749389648]
"The Apple iMac computer is available in all of the following colors except which? (A) Tangerine (B) Strawberry (C) Kiwi and (D) Grape. Of the answer choices above, the best answer choice is (",D,0,miscellaneous,[-9.180608749389648]
"What were the first names of the early American explorers Lewisand Clark? (A) Morgan and Mason (B) Meriwether and William (C) Cabot and Joseph and (D) Meredith and George. Of the answer choices above, the best answer choice is (",A,0,miscellaneous,[-7.347135543823242]
"What were the first names of the early American explorers Lewisand Clark? (A) Morgan and Mason (B) Meriwether and William (C) Cabot and Joseph and (D) Meredith and George. Of the answer choices above, the best answer choice is (",B,1,miscellaneous,[-7.284635543823242]
"What were the first names of the early American explorers Lewisand Clark? (A) Morgan and Mason (B) Meriwether and William (C) Cabot and Joseph and (D) Meredith and George. Of the answer choices above, the best answer choice is (",C,0,miscellaneous,[-7.519010543823242]
"What were the first names of the early American explorers Lewisand Clark? (A) Morgan and Mason (B) Meriwether and William (C) Cabot and Joseph and (D) Meredith and George. Of the answer choices above, the best answer choice is (",D,0,miscellaneous,[-7.917448043823242]
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described? (A) Direct instruction (B) Literature circle (C) Guided reading and (D) Read-aloud. Of the answer choices above, the best answer choice is (",A,0,miscellaneous,[-8.203863143920898]
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described? (A) Direct instruction (B) Literature circle (C) Guided reading and (D) Read-aloud. Of the answer choices above, the best answer choice is (",B,0,miscellaneous,[-7.594488143920898]
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described? (A) Direct instruction (B) Literature circle (C) Guided reading and (D) Read-aloud. Of the answer choices above, the best answer choice is (",C,1,miscellaneous,[-7.047613143920898]
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described? (A) Direct instruction (B) Literature circle (C) Guided reading and (D) Read-aloud. Of the answer choices above, the best answer choice is (",D,0,miscellaneous,[-7.399175643920898]
"What is varicella? (A) a fancy pasta (B) a type of opera (C) the chicken pox virus and (D) ancient Roman poetry. Of the answer choices above, the best answer choice is (",A,0,miscellaneous,[-9.032405853271484]
"What is varicella? (A) a fancy pasta (B) a type of opera (C) the chicken pox virus and (D) ancient Roman poetry. Of the answer choices above, the best answer choice is (",B,0,miscellaneous,[-9.626155853271484]
"What is varicella? (A) a fancy pasta (B) a type of opera (C) the chicken pox virus and (D) ancient Roman poetry. Of the answer choices above, the best answer choice is (",C,1,miscellaneous,[-8.680843353271484]
"What is varicella? (A) a fancy pasta (B) a type of opera (C) the chicken pox virus and (D) ancient Roman poetry. Of the answer choices above, the best answer choice is (",D,0,miscellaneous,[-9.063655853271484]
"Which of the following materials has a resistance that is LEAST affected by temperature changes? (A) Copper (B) Carbon (C) Germanium and (D) Silicon. Of the answer choices above, the best answer choice is (",A,1,miscellaneous,[-8.281595230102539]
"Which of the following materials has a resistance that is LEAST affected by temperature changes? (A) Copper (B) Carbon (C) Germanium and (D) Silicon. Of the answer choices above, the best answer choice is (",B,0,miscellaneous,[-8.430032730102539]
"Which of the following materials has a resistance that is LEAST affected by temperature changes? (A) Copper (B) Carbon (C) Germanium and (D) Silicon. Of the answer choices above, the best answer choice is (",C,0,miscellaneous,[-7.758157730102539]
"Which of the following materials has a resistance that is LEAST affected by temperature changes? (A) Copper (B) Carbon (C) Germanium and (D) Silicon. Of the answer choices above, the best answer choice is (",D,0,miscellaneous,[-8.086282730102539]
"A second-year college student is usually called a what? (A) sophomore (B) senior (C) freshman and (D) junior. Of the answer choices above, the best answer choice is (",A,1,miscellaneous,[-8.19133186340332]
"A second-year college student is usually called a what? (A) sophomore (B) senior (C) freshman and (D) junior. Of the answer choices above, the best answer choice is (",B,0,miscellaneous,[-8.54289436340332]
