preamble,stimulus,is_correct,subject,stimulus_prob
"Which of the following statements expresses a relationship between aging and sexual functioning (A) Aging is related to an increase in vaginal lubrication (B) Aging is associated with an increase in the frequency and number of orgasmic contractions in both sexes (C) There is no significant relationship between aging and sexual responses in either sex and (D) Aging is related to some loss of erectile rigidity in the male. Of the answer choices above, the best answer choice is (",A,0,professional_psychology,[-6.479276657104492]
"Which of the following statements expresses a relationship between aging and sexual functioning (A) Aging is related to an increase in vaginal lubrication (B) Aging is associated with an increase in the frequency and number of orgasmic contractions in both sexes (C) There is no significant relationship between aging and sexual responses in either sex and (D) Aging is related to some loss of erectile rigidity in the male. Of the answer choices above, the best answer choice is (",B,0,professional_psychology,[-6.830839157104492]
"Which of the following statements expresses a relationship between aging and sexual functioning (A) Aging is related to an increase in vaginal lubrication (B) Aging is associated with an increase in the frequency and number of orgasmic contractions in both sexes (C) There is no significant relationship between aging and sexual responses in either sex and (D) Aging is related to some loss of erectile rigidity in the male. Of the answer choices above, the best answer choice is (",C,0,professional_psychology,[-7.088651657104492]
"Which of the following statements expresses a relationship between aging and sexual functioning (A) Aging is related to an increase in vaginal lubrication (B) Aging is associated with an increase in the frequency and number of orgasmic contractions in both sexes (C) There is no significant relationship between aging and sexual responses in either sex and (D) Aging is related to some loss of erectile rigidity in the male. Of the answer choices above, the best answer choice is (",D,1,professional_psychology,[-6.627714157104492]
"According to Piaget, children are ___________. (A) “Blank slates” (B) Less intelligent than adults (C) “Little scientists” and (D) Shaped by culture. Of the answer choices above, the best answer choice is (",A,0,professional_psychology,[-7.139505386352539]
"According to Piaget, children are ___________. (A) “Blank slates” (B) Less intelligent than adults (C) “Little scientists” and (D) Shaped by culture. Of the answer choices above, the best answer choice is (",B,0,professional_psychology,[-8.827005386352539]
"According to Piaget, children are ___________. (A) “Blank slates” (B) Less intelligent than adults (C) “Little scientists” and (D) Shaped by culture. Of the answer choices above, the best answer choice is (",C,1,professional_psychology,[-7.772317886352539]
"According to Piaget, children are ___________. (A) “Blank slates” (B) Less intelligent than adults (C) “Little scientists” and (D) Shaped by culture. Of the answer choices above, the best answer choice is (",D,0,professional_psychology,[-8.405130386352539]
"If a test has a standard error of measurement of 15 points, itis correct to conclude that (A) about 68% of the observed scores for the test population lie within 15 points of the mean score (B) about 68% of the individuals with a given cure score will have observed scores within 15 points of the true score (C) about 15% of the scores are in error (i.e., they are not measuring the trait reliably) and (D) differences of up to 30 points represent the same true score. Of the answer choices above, the best answer choice is (",A,0,professional_psychology,[-6.236824989318848]
"If a test has a standard error of measurement of 15 points, itis correct to conclude that (A) about 68% of the observed scores for the test population lie within 15 points of the mean score (B) about 68% of the individuals with a given cure score will have observed scores within 15 points of the true score (C) about 15% of the scores are in error (i.e., they are not measuring the trait reliably) and (D) differences of up to 30 points represent the same true score. Of the answer choices above, the best answer choice is (",B,1,professional_psychology,[-6.689949989318848]
"If a test has a standard error of measurement of 15 points, itis correct to conclude that (A) about 68% of the observed scores for the test population lie within 15 points of the mean score (B) about 68% of the individuals with a given cure score will have observed scores within 15 points of the true score (C) about 15% of the scores are in error (i.e., they are not measuring the trait reliably) and (D) differences of up to 30 points represent the same true score. Of the answer choices above, the best answer choice is (",C,0,professional_psychology,[-8.213387489318848]
"If a test has a standard error of measurement of 15 points, itis correct to conclude that (A) about 68% of the observed scores for the test population lie within 15 points of the mean score (B) about 68% of the individuals with a given cure score will have observed scores within 15 points of the true score (C) about 15% of the scores are in error (i.e., they are not measuring the trait reliably) and (D) differences of up to 30 points represent the same true score. Of the answer choices above, the best answer choice is (",D,0,professional_psychology,[-7.635262489318848]
"Any substance that can have a negative impact on fetal development is ___________. (A) An Apgar (B) A teratogen (C) Only a problem in the first 6 weeks and (D) A controlled substance. Of the answer choices above, the best answer choice is (",A,0,professional_psychology,[-8.545171737670898]
"Any substance that can have a negative impact on fetal development is ___________. (A) An Apgar (B) A teratogen (C) Only a problem in the first 6 weeks and (D) A controlled substance. Of the answer choices above, the best answer choice is (",B,1,professional_psychology,[-7.427984237670898]
"Any substance that can have a negative impact on fetal development is ___________. (A) An Apgar (B) A teratogen (C) Only a problem in the first 6 weeks and (D) A controlled substance. Of the answer choices above, the best answer choice is (",C,0,professional_psychology,[-10.361577987670898]
"Any substance that can have a negative impact on fetal development is ___________. (A) An Apgar (B) A teratogen (C) Only a problem in the first 6 weeks and (D) A controlled substance. Of the answer choices above, the best answer choice is (",D,0,professional_psychology,[-10.920171737670898]
"If you were hired by a large company to develop a new training program, your first step would probably be to conduct a: (A) needs analysis. (B) job evaluation. (C) summative evaluation. and (D) formative evaluation.. Of the answer choices above, the best answer choice is (",A,1,professional_psychology,[-5.891059875488281]
"If you were hired by a large company to develop a new training program, your first step would probably be to conduct a: (A) needs analysis. (B) job evaluation. (C) summative evaluation. and (D) formative evaluation.. Of the answer choices above, the best answer choice is (",B,0,professional_psychology,[-8.387153625488281]
"If you were hired by a large company to develop a new training program, your first step would probably be to conduct a: (A) needs analysis. (B) job evaluation. (C) summative evaluation. and (D) formative evaluation.. Of the answer choices above, the best answer choice is (",C,0,professional_psychology,[-8.953559875488281]
"If you were hired by a large company to develop a new training program, your first step would probably be to conduct a: (A) needs analysis. (B) job evaluation. (C) summative evaluation. and (D) formative evaluation.. Of the answer choices above, the best answer choice is (",D,0,professional_psychology,[-8.680122375488281]
"Practitioners of Gestalt psychotherapy consider a client’s desire to talk about his/her past as: (A) a useful strategy for helping the client understand the present. (B) a way for the client to avoid coming to terms with the present. (C) ""the """"second layer"""" of therapy."" and (D) ""a way for achieving """"closure"""" near the end of therapy."". Of the answer choices above, the best answer choice is (",A,0,professional_psychology,[-6.312715530395508]
"Practitioners of Gestalt psychotherapy consider a client’s desire to talk about his/her past as: (A) a useful strategy for helping the client understand the present. (B) a way for the client to avoid coming to terms with the present. (C) ""the """"second layer"""" of therapy."" and (D) ""a way for achieving """"closure"""" near the end of therapy."". Of the answer choices above, the best answer choice is (",B,1,professional_psychology,[-6.437715530395508]
"Practitioners of Gestalt psychotherapy consider a client’s desire to talk about his/her past as: (A) a useful strategy for helping the client understand the present. (B) a way for the client to avoid coming to terms with the present. (C) ""the """"second layer"""" of therapy."" and (D) ""a way for achieving """"closure"""" near the end of therapy."". Of the answer choices above, the best answer choice is (",C,0,professional_psychology,[-7.320528030395508]
"Practitioners of Gestalt psychotherapy consider a client’s desire to talk about his/her past as: (A) a useful strategy for helping the client understand the present. (B) a way for the client to avoid coming to terms with the present. (C) ""the """"second layer"""" of therapy."" and (D) ""a way for achieving """"closure"""" near the end of therapy."". Of the answer choices above, the best answer choice is (",D,0,professional_psychology,[-7.414278030395508]
"In regard to memory, aging is most closely associated with a decline in (A) the efficiency of controlled memory processes (B) metamemory skills, or knowledge about memory (C) recognition memory and (D) the amount of factual memory knowledge available. Of the answer choices above, the best answer choice is (",A,1,professional_psychology,[-6.86592960357666]
"In regard to memory, aging is most closely associated with a decline in (A) the efficiency of controlled memory processes (B) metamemory skills, or knowledge about memory (C) recognition memory and (D) the amount of factual memory knowledge available. Of the answer choices above, the best answer choice is (",B,0,professional_psychology,[-7.50655460357666]
"In regard to memory, aging is most closely associated with a decline in (A) the efficiency of controlled memory processes (B) metamemory skills, or knowledge about memory (C) recognition memory and (D) the amount of factual memory knowledge available. Of the answer choices above, the best answer choice is (",C,0,professional_psychology,[-7.82686710357666]
"In regard to memory, aging is most closely associated with a decline in (A) the efficiency of controlled memory processes (B) metamemory skills, or knowledge about memory (C) recognition memory and (D) the amount of factual memory knowledge available. Of the answer choices above, the best answer choice is (",D,0,professional_psychology,[-7.80342960357666]
