preamble,stimulus,is_correct,subject,stimulus_prob
"What is the structure of the United Nations Security Council? (A) 5 permanent members with veto power, 10 rotating members with no veto power (B) 5 permanent members and 10 rotating members, all with veto power (C) 10 permanent members with veto power, and 5 rotating members without veto power and (D) 15 permanent members with veto power. Of the answer choices above, the best answer choice is (",A,1,us_foreign_policy,[-6.334535598754883]
"What is the structure of the United Nations Security Council? (A) 5 permanent members with veto power, 10 rotating members with no veto power (B) 5 permanent members and 10 rotating members, all with veto power (C) 10 permanent members with veto power, and 5 rotating members without veto power and (D) 15 permanent members with veto power. Of the answer choices above, the best answer choice is (",B,0,us_foreign_policy,[-9.752504348754883]
"What is the structure of the United Nations Security Council? (A) 5 permanent members with veto power, 10 rotating members with no veto power (B) 5 permanent members and 10 rotating members, all with veto power (C) 10 permanent members with veto power, and 5 rotating members without veto power and (D) 15 permanent members with veto power. Of the answer choices above, the best answer choice is (",C,0,us_foreign_policy,[-9.357973098754883]
"What is the structure of the United Nations Security Council? (A) 5 permanent members with veto power, 10 rotating members with no veto power (B) 5 permanent members and 10 rotating members, all with veto power (C) 10 permanent members with veto power, and 5 rotating members without veto power and (D) 15 permanent members with veto power. Of the answer choices above, the best answer choice is (",D,0,us_foreign_policy,[-10.022035598754883]
"What was the significance of the Gulf of Tonkin resolution? (A) It allowed the US to intensify its involvement in Vietnam (B) It illustrated the influence of public opinion on US foreign policy (C) It enhanced Congressional control over the Vietnam War and (D) It curtailed US involvement in Vietnam. Of the answer choices above, the best answer choice is (",A,1,us_foreign_policy,[-6.049684524536133]
"What was the significance of the Gulf of Tonkin resolution? (A) It allowed the US to intensify its involvement in Vietnam (B) It illustrated the influence of public opinion on US foreign policy (C) It enhanced Congressional control over the Vietnam War and (D) It curtailed US involvement in Vietnam. Of the answer choices above, the best answer choice is (",B,0,us_foreign_policy,[-8.729372024536133]
"What was the significance of the Gulf of Tonkin resolution? (A) It allowed the US to intensify its involvement in Vietnam (B) It illustrated the influence of public opinion on US foreign policy (C) It enhanced Congressional control over the Vietnam War and (D) It curtailed US involvement in Vietnam. Of the answer choices above, the best answer choice is (",C,0,us_foreign_policy,[-7.744997024536133]
"What was the significance of the Gulf of Tonkin resolution? (A) It allowed the US to intensify its involvement in Vietnam (B) It illustrated the influence of public opinion on US foreign policy (C) It enhanced Congressional control over the Vietnam War and (D) It curtailed US involvement in Vietnam. Of the answer choices above, the best answer choice is (",D,0,us_foreign_policy,[-7.635622024536133]
"Which is not a nonstate actor that poses a threat to the United States? (A) Terrorists (B) Organized crime (C) Drug traffickers and (D) China. Of the answer choices above, the best answer choice is (",A,0,us_foreign_policy,[-9.951831817626953]
"Which is not a nonstate actor that poses a threat to the United States? (A) Terrorists (B) Organized crime (C) Drug traffickers and (D) China. Of the answer choices above, the best answer choice is (",B,0,us_foreign_policy,[-11.283863067626953]
"Which is not a nonstate actor that poses a threat to the United States? (A) Terrorists (B) Organized crime (C) Drug traffickers and (D) China. Of the answer choices above, the best answer choice is (",C,0,us_foreign_policy,[-10.483081817626953]
"Which is not a nonstate actor that poses a threat to the United States? (A) Terrorists (B) Organized crime (C) Drug traffickers and (D) China. Of the answer choices above, the best answer choice is (",D,1,us_foreign_policy,[-7.393238067626953]
"Who was the first American president to visit communist China? (A) Richard Nixon (B) George H. W. Bush (C) Jimmy Carter and (D) Ronald Reagan. Of the answer choices above, the best answer choice is (",A,1,us_foreign_policy,[-6.764665603637695]
"Who was the first American president to visit communist China? (A) Richard Nixon (B) George H. W. Bush (C) Jimmy Carter and (D) Ronald Reagan. Of the answer choices above, the best answer choice is (",B,0,us_foreign_policy,[-11.018571853637695]
"Who was the first American president to visit communist China? (A) Richard Nixon (B) George H. W. Bush (C) Jimmy Carter and (D) Ronald Reagan. Of the answer choices above, the best answer choice is (",C,0,us_foreign_policy,[-10.354509353637695]
"Who was the first American president to visit communist China? (A) Richard Nixon (B) George H. W. Bush (C) Jimmy Carter and (D) Ronald Reagan. Of the answer choices above, the best answer choice is (",D,0,us_foreign_policy,[-10.584978103637695]
"The Strategic Arms Reduction Treaty was the first accord (A) on nuclear weapons signed between the United States and the Soviet Union. (B) cutting conventional arms in Europe. (C) to be rejected by the U.S. Senate. and (D) mandating the elimination of many long-range nuclear missiles.. Of the answer choices above, the best answer choice is (",A,0,us_foreign_policy,[-6.729730606079102]
"The Strategic Arms Reduction Treaty was the first accord (A) on nuclear weapons signed between the United States and the Soviet Union. (B) cutting conventional arms in Europe. (C) to be rejected by the U.S. Senate. and (D) mandating the elimination of many long-range nuclear missiles.. Of the answer choices above, the best answer choice is (",B,0,us_foreign_policy,[-8.792230606079102]
"The Strategic Arms Reduction Treaty was the first accord (A) on nuclear weapons signed between the United States and the Soviet Union. (B) cutting conventional arms in Europe. (C) to be rejected by the U.S. Senate. and (D) mandating the elimination of many long-range nuclear missiles.. Of the answer choices above, the best answer choice is (",C,0,us_foreign_policy,[-8.331293106079102]
"The Strategic Arms Reduction Treaty was the first accord (A) on nuclear weapons signed between the United States and the Soviet Union. (B) cutting conventional arms in Europe. (C) to be rejected by the U.S. Senate. and (D) mandating the elimination of many long-range nuclear missiles.. Of the answer choices above, the best answer choice is (",D,1,us_foreign_policy,[-8.010980606079102]
"What were the implications of the Cold War for American exceptionalism? (A) It ended the influence of American exceptionalism entirely (B) Exceptionalism was enhanced by America's status as the 'leader of the free world' (C) The extension of American power globally challenged core assumptions of exceptionalism and (D) Both b and c. Of the answer choices above, the best answer choice is (",A,0,us_foreign_policy,[-9.388557434082031]
"What were the implications of the Cold War for American exceptionalism? (A) It ended the influence of American exceptionalism entirely (B) Exceptionalism was enhanced by America's status as the 'leader of the free world' (C) The extension of American power globally challenged core assumptions of exceptionalism and (D) Both b and c. Of the answer choices above, the best answer choice is (",B,0,us_foreign_policy,[-9.451057434082031]
"What were the implications of the Cold War for American exceptionalism? (A) It ended the influence of American exceptionalism entirely (B) Exceptionalism was enhanced by America's status as the 'leader of the free world' (C) The extension of American power globally challenged core assumptions of exceptionalism and (D) Both b and c. Of the answer choices above, the best answer choice is (",C,0,us_foreign_policy,[-8.841682434082031]
"What were the implications of the Cold War for American exceptionalism? (A) It ended the influence of American exceptionalism entirely (B) Exceptionalism was enhanced by America's status as the 'leader of the free world' (C) The extension of American power globally challenged core assumptions of exceptionalism and (D) Both b and c. Of the answer choices above, the best answer choice is (",D,1,us_foreign_policy,[-6.849494934082031]
"Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s? (A) He believed that internal reform rather than international negotiation was the key to economic regeneration of the US (B) He believed that German domination of Europe would be in US interests (C) He always favoured isolationism and (D) All of the above. Of the answer choices above, the best answer choice is (",A,1,us_foreign_policy,[-6.625017166137695]
"Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s? (A) He believed that internal reform rather than international negotiation was the key to economic regeneration of the US (B) He believed that German domination of Europe would be in US interests (C) He always favoured isolationism and (D) All of the above. Of the answer choices above, the best answer choice is (",B,0,us_foreign_policy,[-8.976579666137695]
"Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s? (A) He believed that internal reform rather than international negotiation was the key to economic regeneration of the US (B) He believed that German domination of Europe would be in US interests (C) He always favoured isolationism and (D) All of the above. Of the answer choices above, the best answer choice is (",C,0,us_foreign_policy,[-8.328142166137695]
"Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s? (A) He believed that internal reform rather than international negotiation was the key to economic regeneration of the US (B) He believed that German domination of Europe would be in US interests (C) He always favoured isolationism and (D) All of the above. Of the answer choices above, the best answer choice is (",D,0,us_foreign_policy,[-8.062517166137695]
"What was the 'New Populism'? (A) A strand of neo-isolationist sentiment (B) A strand of internationalist sentiment (C) An expression of American cultural superiority and (D) Increased incorporation of public opinion in foreign policy making. Of the answer choices above, the best answer choice is (",A,1,us_foreign_policy,[-7.549854278564453]
"What was the 'New Populism'? (A) A strand of neo-isolationist sentiment (B) A strand of internationalist sentiment (C) An expression of American cultural superiority and (D) Increased incorporation of public opinion in foreign policy making. Of the answer choices above, the best answer choice is (",B,0,us_foreign_policy,[-8.471729278564453]
"What was the 'New Populism'? (A) A strand of neo-isolationist sentiment (B) A strand of internationalist sentiment (C) An expression of American cultural superiority and (D) Increased incorporation of public opinion in foreign policy making. Of the answer choices above, the best answer choice is (",C,0,us_foreign_policy,[-8.104541778564453]
"What was the 'New Populism'? (A) A strand of neo-isolationist sentiment (B) A strand of internationalist sentiment (C) An expression of American cultural superiority and (D) Increased incorporation of public opinion in foreign policy making. Of the answer choices above, the best answer choice is (",D,0,us_foreign_policy,[-7.127979278564453]
"How did World War I shift economic power from Europe to the United States? (A) The war reduced European population levels below that of the United States (B) The United States seized German resources after the war (C) European countries paid the United States for assistance and (D) The United States became a creditor country and financial centre, with European war spending boosting the US economy. Of the answer choices above, the best answer choice is (",A,0,us_foreign_policy,[-9.377296447753906]
"How did World War I shift economic power from Europe to the United States? (A) The war reduced European population levels below that of the United States (B) The United States seized German resources after the war (C) European countries paid the United States for assistance and (D) The United States became a creditor country and financial centre, with European war spending boosting the US economy. Of the answer choices above, the best answer choice is (",B,0,us_foreign_policy,[-10.674171447753906]
"How did World War I shift economic power from Europe to the United States? (A) The war reduced European population levels below that of the United States (B) The United States seized German resources after the war (C) European countries paid the United States for assistance and (D) The United States became a creditor country and financial centre, with European war spending boosting the US economy. Of the answer choices above, the best answer choice is (",C,0,us_foreign_policy,[-9.744483947753906]
"How did World War I shift economic power from Europe to the United States? (A) The war reduced European population levels below that of the United States (B) The United States seized German resources after the war (C) European countries paid the United States for assistance and (D) The United States became a creditor country and financial centre, with European war spending boosting the US economy. Of the answer choices above, the best answer choice is (",D,1,us_foreign_policy,[-6.705421447753906]
"In American government, the power to declare war rests with (A) the president of the United States. (B) the secretary of defense. (C) the chairman of the Joint Chiefs of Staff. and (D) Congress.. Of the answer choices above, the best answer choice is (",A,0,us_foreign_policy,[-8.108591079711914]
"In American government, the power to declare war rests with (A) the president of the United States. (B) the secretary of defense. (C) the chairman of the Joint Chiefs of Staff. and (D) Congress.. Of the answer choices above, the best answer choice is (",B,0,us_foreign_policy,[-10.846872329711914]
"In American government, the power to declare war rests with (A) the president of the United States. (B) the secretary of defense. (C) the chairman of the Joint Chiefs of Staff. and (D) Congress.. Of the answer choices above, the best answer choice is (",C,0,us_foreign_policy,[-9.632028579711914]
"In American government, the power to declare war rests with (A) the president of the United States. (B) the secretary of defense. (C) the chairman of the Joint Chiefs of Staff. and (D) Congress.. Of the answer choices above, the best answer choice is (",D,1,us_foreign_policy,[-6.710153579711914]
"How did the Cold War context shape US perceptions of the Third World? (A) The US ignored the Third World (B) Local developments were viewed through a geopolitical lens (C) The US unreservedly supported decolonization and (D) None of the above. Of the answer choices above, the best answer choice is (",A,0,us_foreign_policy,[-9.19978141784668]
"How did the Cold War context shape US perceptions of the Third World? (A) The US ignored the Third World (B) Local developments were viewed through a geopolitical lens (C) The US unreservedly supported decolonization and (D) None of the above. Of the answer choices above, the best answer choice is (",B,1,us_foreign_policy,[-7.41071891784668]
"How did the Cold War context shape US perceptions of the Third World? (A) The US ignored the Third World (B) Local developments were viewed through a geopolitical lens (C) The US unreservedly supported decolonization and (D) None of the above. Of the answer choices above, the best answer choice is (",C,0,us_foreign_policy,[-9.34821891784668]
"How did the Cold War context shape US perceptions of the Third World? (A) The US ignored the Third World (B) Local developments were viewed through a geopolitical lens (C) The US unreservedly supported decolonization and (D) None of the above. Of the answer choices above, the best answer choice is (",D,0,us_foreign_policy,[-9.23103141784668]
"What was unique about the NATO intervention in Kosovo? (A) It was the first time the US became involved in the Balkans (B) It was the first time NATO used military force (C) It was the first war won by airpower alone and (D) It was the first war to employ 'smart weapons'. Of the answer choices above, the best answer choice is (",A,0,us_foreign_policy,[-7.833024978637695]
"What was unique about the NATO intervention in Kosovo? (A) It was the first time the US became involved in the Balkans (B) It was the first time NATO used military force (C) It was the first war won by airpower alone and (D) It was the first war to employ 'smart weapons'. Of the answer choices above, the best answer choice is (",B,0,us_foreign_policy,[-7.958024978637695]
"What was unique about the NATO intervention in Kosovo? (A) It was the first time the US became involved in the Balkans (B) It was the first time NATO used military force (C) It was the first war won by airpower alone and (D) It was the first war to employ 'smart weapons'. Of the answer choices above, the best answer choice is (",C,1,us_foreign_policy,[-7.918962478637695]
"What was unique about the NATO intervention in Kosovo? (A) It was the first time the US became involved in the Balkans (B) It was the first time NATO used military force (C) It was the first war won by airpower alone and (D) It was the first war to employ 'smart weapons'. Of the answer choices above, the best answer choice is (",D,0,us_foreign_policy,[-7.793962478637695]
"What, according to Systemic theories, is the primary determinant of a state's foreign policy? (A) The character of a state's leader (B) The distribution of power in the international system (C) The distribution of power within a state's governmental system and (D) A state's political ideology. Of the answer choices above, the best answer choice is (",A,0,us_foreign_policy,[-9.476676940917969]
"What, according to Systemic theories, is the primary determinant of a state's foreign policy? (A) The character of a state's leader (B) The distribution of power in the international system (C) The distribution of power within a state's governmental system and (D) A state's political ideology. Of the answer choices above, the best answer choice is (",B,1,us_foreign_policy,[-7.046989440917969]
"What, according to Systemic theories, is the primary determinant of a state's foreign policy? (A) The character of a state's leader (B) The distribution of power in the international system (C) The distribution of power within a state's governmental system and (D) A state's political ideology. Of the answer choices above, the best answer choice is (",C,0,us_foreign_policy,[-9.902458190917969]
"What, according to Systemic theories, is the primary determinant of a state's foreign policy? (A) The character of a state's leader (B) The distribution of power in the international system (C) The distribution of power within a state's governmental system and (D) A state's political ideology. Of the answer choices above, the best answer choice is (",D,0,us_foreign_policy,[-10.312614440917969]
"Why is there so much uncertainty over which states have nuclear weapons? (A) Leaders have incentives to lie (B) If leaders revealed their programs, they would be more likely to be attacked (C) Leaders will not always grant foreign monitors access to their nuclear programs and (D) ALL of the above. Of the answer choices above, the best answer choice is (",A,0,us_foreign_policy,[-9.84922981262207]
"Why is there so much uncertainty over which states have nuclear weapons? (A) Leaders have incentives to lie (B) If leaders revealed their programs, they would be more likely to be attacked (C) Leaders will not always grant foreign monitors access to their nuclear programs and (D) ALL of the above. Of the answer choices above, the best answer choice is (",B,0,us_foreign_policy,[-11.46251106262207]
"Why is there so much uncertainty over which states have nuclear weapons? (A) Leaders have incentives to lie (B) If leaders revealed their programs, they would be more likely to be attacked (C) Leaders will not always grant foreign monitors access to their nuclear programs and (D) ALL of the above. Of the answer choices above, the best answer choice is (",C,0,us_foreign_policy,[-10.66954231262207]
"Why is there so much uncertainty over which states have nuclear weapons? (A) Leaders have incentives to lie (B) If leaders revealed their programs, they would be more likely to be attacked (C) Leaders will not always grant foreign monitors access to their nuclear programs and (D) ALL of the above. Of the answer choices above, the best answer choice is (",D,1,us_foreign_policy,[-7.94297981262207]
"Within American politics, the power to accord official recognition to other countries belongs to (A) the Senate. (B) the president. (C) the Secretary of State. and (D) the chairman of the Joint Chiefs.. Of the answer choices above, the best answer choice is (",A,0,us_foreign_policy,[-7.569257736206055]
"Within American politics, the power to accord official recognition to other countries belongs to (A) the Senate. (B) the president. (C) the Secretary of State. and (D) the chairman of the Joint Chiefs.. Of the answer choices above, the best answer choice is (",B,1,us_foreign_policy,[-6.944257736206055]
"Within American politics, the power to accord official recognition to other countries belongs to (A) the Senate. (B) the president. (C) the Secretary of State. and (D) the chairman of the Joint Chiefs.. Of the answer choices above, the best answer choice is (",C,0,us_foreign_policy,[-8.850507736206055]
"Within American politics, the power to accord official recognition to other countries belongs to (A) the Senate. (B) the president. (C) the Secretary of State. and (D) the chairman of the Joint Chiefs.. Of the answer choices above, the best answer choice is (",D,0,us_foreign_policy,[-8.569257736206055]
"What did the Moscow Treaty on Strategic Offensive Reductions do? (A) Required the United States and Russia to demobilize their armies (B) Required the United States and Russia to dismantle a significant number of their nuclear weapons (C) Prohibited the acquisition of new military bases and (D) Prohibited short-range nuclear weapons. Of the answer choices above, the best answer choice is (",A,0,us_foreign_policy,[-10.195661544799805]
"What did the Moscow Treaty on Strategic Offensive Reductions do? (A) Required the United States and Russia to demobilize their armies (B) Required the United States and Russia to dismantle a significant number of their nuclear weapons (C) Prohibited the acquisition of new military bases and (D) Prohibited short-range nuclear weapons. Of the answer choices above, the best answer choice is (",B,1,us_foreign_policy,[-7.156599044799805]
"What did the Moscow Treaty on Strategic Offensive Reductions do? (A) Required the United States and Russia to demobilize their armies (B) Required the United States and Russia to dismantle a significant number of their nuclear weapons (C) Prohibited the acquisition of new military bases and (D) Prohibited short-range nuclear weapons. Of the answer choices above, the best answer choice is (",C,0,us_foreign_policy,[-10.359724044799805]
"What did the Moscow Treaty on Strategic Offensive Reductions do? (A) Required the United States and Russia to demobilize their armies (B) Required the United States and Russia to dismantle a significant number of their nuclear weapons (C) Prohibited the acquisition of new military bases and (D) Prohibited short-range nuclear weapons. Of the answer choices above, the best answer choice is (",D,0,us_foreign_policy,[-10.117536544799805]
"What were the 'open-door notes'? (A) An American declaration that the US was always open to Chinese immigration (B) An American proclamation that China should be divided up between the US, Japan and the European empires (C) An American proclamation that China should be open to US trade and missionaries and (D) An American declaration of support for Chinese economic protectionism. Of the answer choices above, the best answer choice is (",A,0,us_foreign_policy,[-9.070060729980469]
"What were the 'open-door notes'? (A) An American declaration that the US was always open to Chinese immigration (B) An American proclamation that China should be divided up between the US, Japan and the European empires (C) An American proclamation that China should be open to US trade and missionaries and (D) An American declaration of support for Chinese economic protectionism. Of the answer choices above, the best answer choice is (",B,0,us_foreign_policy,[-9.077873229980469]
"What were the 'open-door notes'? (A) An American declaration that the US was always open to Chinese immigration (B) An American proclamation that China should be divided up between the US, Japan and the European empires (C) An American proclamation that China should be open to US trade and missionaries and (D) An American declaration of support for Chinese economic protectionism. Of the answer choices above, the best answer choice is (",C,1,us_foreign_policy,[-6.632560729980469]
"What were the 'open-door notes'? (A) An American declaration that the US was always open to Chinese immigration (B) An American proclamation that China should be divided up between the US, Japan and the European empires (C) An American proclamation that China should be open to US trade and missionaries and (D) An American declaration of support for Chinese economic protectionism. Of the answer choices above, the best answer choice is (",D,0,us_foreign_policy,[-9.452873229980469]
"International trade will almost always benefit both countries, so why do countries try to protect their own firms from exposure to the world market? (A) Irrationality on the part of the leadership (B) Costs of free trade are concentrated, but benefits are dispersed (C) Regime type and (D) International conflict prevents trade. Of the answer choices above, the best answer choice is (",A,0,us_foreign_policy,[-9.908716201782227]
"International trade will almost always benefit both countries, so why do countries try to protect their own firms from exposure to the world market? (A) Irrationality on the part of the leadership (B) Costs of free trade are concentrated, but benefits are dispersed (C) Regime type and (D) International conflict prevents trade. Of the answer choices above, the best answer choice is (",B,1,us_foreign_policy,[-7.432153701782227]
"International trade will almost always benefit both countries, so why do countries try to protect their own firms from exposure to the world market? (A) Irrationality on the part of the leadership (B) Costs of free trade are concentrated, but benefits are dispersed (C) Regime type and (D) International conflict prevents trade. Of the answer choices above, the best answer choice is (",C,0,us_foreign_policy,[-10.025903701782227]
"International trade will almost always benefit both countries, so why do countries try to protect their own firms from exposure to the world market? (A) Irrationality on the part of the leadership (B) Costs of free trade are concentrated, but benefits are dispersed (C) Regime type and (D) International conflict prevents trade. Of the answer choices above, the best answer choice is (",D,0,us_foreign_policy,[-9.990747451782227]
"Why did George H.W. Bush allow Saddam Hussein to remain in power after the Gulf War of 1991? (A) Lack of US firepower (B) Concern over oil supplies (C) Limited UN mandate and fear of a protracted conflict and (D) Difficult terrain and fear of civilian casualties. Of the answer choices above, the best answer choice is (",A,0,us_foreign_policy,[-9.790641784667969]
"Why did George H.W. Bush allow Saddam Hussein to remain in power after the Gulf War of 1991? (A) Lack of US firepower (B) Concern over oil supplies (C) Limited UN mandate and fear of a protracted conflict and (D) Difficult terrain and fear of civilian casualties. Of the answer choices above, the best answer choice is (",B,0,us_foreign_policy,[-9.790641784667969]
"Why did George H.W. Bush allow Saddam Hussein to remain in power after the Gulf War of 1991? (A) Lack of US firepower (B) Concern over oil supplies (C) Limited UN mandate and fear of a protracted conflict and (D) Difficult terrain and fear of civilian casualties. Of the answer choices above, the best answer choice is (",C,1,us_foreign_policy,[-7.501579284667969]
